"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"S Mosweu",2,2,10,20,2,0,0,1,0,0,2
"S Solman",1,1,1,100,Inf,0,0,1,0,0,1
"S Sriharsha",12,158,191,82.7225130890052,19.75,12,1,4,0,0,35
"S Tippoch",4,29,37,78.3783783783784,14.5,2,0,2,0,0,14
"SA Campbelle",10,180,142,126.760563380282,36,15,6,5,0,0,33
"SFM Devine",7,213,148,143.918918918919,30.4285714285714,21,12,0,0,2,52
"SIR Dunkley",12,347,241,143.983402489627,31.5454545454545,43,9,1,1,1,123
"SJ Bryce",13,190,216,87.962962962963,14.6153846153846,22,2,0,0,0,39
"SL Kalis",12,290,304,95.3947368421053,24.1666666666667,38,1,0,0,2,58
"SR Magar",2,22,29,75.8620689655172,22,2,0,1,0,0,18
"SR Taylor",9,274,229,119.650655021834,54.8,31,5,4,0,2,78
"SS Connell",3,4,8,50,2,0,0,1,0,0,2
"SW Bates",11,284,239,118.828451882845,31.5555555555556,33,5,2,0,1,60
"Sana Mir",7,49,59,83.0508474576271,9.8,5,1,2,0,0,18
"Shanzeen Shahzad",2,0,5,0,0,0,0,0,0,0,0
"T Ruma",3,31,34,91.1764705882353,15.5,4,1,1,0,0,21
"TG Norris",7,39,49,79.5918367346939,13,3,0,4,0,0,17
"Theertha Satish",12,245,242,101.239669421488,24.5,21,7,2,0,1,57
"WA Duraisingam",2,13,27,48.1481481481481,13,1,0,1,0,0,13
"WK Lai",1,1,5,20,1,0,0,0,0,0,1
"Y Daswani",2,16,15,106.666666666667,16,1,0,1,0,0,15
"YS To",2,5,5,100,5,1,0,1,0,0,4
"Yasmeen Khan",7,88,92,95.6521739130435,14.6666666666667,10,2,1,0,0,27
