"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"W Mwatile","Namibia","2019","ICC Women's T20 World Cup Qualifier",4,"13.0",1,56,4,14,4.30769230769231,19.5,56,0,0,"2/10"
"D Hazell","England","2016","Pakistan Women in England T20I Series",3,"11.4",0,57,4,14.25,4.88571428571429,17.5,37,0,0,"2/18"
"GK Diviya","Singapore","2023/24","Asian Cricket Council Women's Premier Cup",3,"12.0",0,57,4,14.25,4.75,18,44,0,0,"2/11"
"JL Jonassen","Australia","2017/18","England Women tour of Australia",3,"11.0",0,57,4,14.25,5.18181818181818,16.5,29,0,0,"2/25"
"M Kapp","South Africa","2020/21","Pakistan Women tour of South Africa",3,"12.0",1,57,4,14.25,4.75,18,33,0,0,"3/24"
"Q Abel","Kenya","2022","Kwibuka Women's Twenty20 Tournament",4,"12.3",0,57,4,14.25,4.56,18.75,40,0,0,"2/20"
"RS Gayakwad","India","2020/21","South Africa Women tour of India",3,"12.0",1,57,4,14.25,4.75,18,42,0,0,"3/9"
"S Bhanushali","Sweden","2023","ICC Women's T20 World Cup Europe Division 2 Qualifier",3,"8.0",0,57,4,14.25,7.125,12,20,0,0,"2/34"
"C Chukwuonye","Nigeria","2023/24","Women's African Games",4,"11.0",0,58,4,14.5,5.27272727272727,16.5,32,0,0,"2/6"
"K Joshi","Nepal","2023/24","Asian Cricket Council Women's Premier Cup",4,"11.0",0,58,4,14.5,5.27272727272727,16.5,34,0,0,"2/17"
"KL Cross","England","2018/19","England Women tour of India",3,"12.0",0,58,4,14.5,4.83333333333333,18,38,0,0,"2/18"
"MS Beresford","Germany","2020","Germany Women tour of Austria",3,"10.5",0,58,4,14.5,5.35384615384615,16.25,47,0,0,"2/20"
"V Hamunyela","Namibia","2023","Women's T20 Quadrangular Series (in Namibia)",4,"16.0",2,58,4,14.5,3.625,24,66,0,0,"2/14"
"DL Graham","France","2023","ICC Women's T20 World Cup Europe Division 2 Qualifier",5,"13.4",1,59,4,14.75,4.31707317073171,20.5,41,0,0,"2/11"
"E Toguchi-Quinn","Japan","2023/24","Women's T20 Quadrangular Series (in Hong Kong)",4,"14.0",0,59,4,14.75,4.21428571428571,21,52,0,0,"3/13"
"JL Jonassen","Australia","2019","Australia Women tour of England",3,"11.0",0,59,4,14.75,5.36363636363636,16.5,25,0,0,"2/19"
"M Bibi","Hong Kong","2022/23","Women's East Asia Cup",4,"14.0",0,59,4,14.75,4.21428571428571,21,52,0,0,"2/7"
"MD Bimenyimana","Rwanda","2019","ICC Women's T20 World Cup Africa Region Qualifier",3,"12.0",0,59,4,14.75,4.91666666666667,18,41,0,0,"3/21"
"OU Ranasinghe","Sri Lanka","2018","India Women tour of Sri Lanka",2,"6.4",0,59,4,14.75,8.85,10,14,0,0,"3/33"
