"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","match_number","outcome","method","eliminator"
1173059,6,"England","Pakistan","female","2019/20",2020-02-28,"ICC Women's T20 World Cup","Manuka Oval","Canberra","Pakistan","field","HC Knight","CM Brown","Nitin Menon","Kim Cotton","JM Williams","SR Bernard","England",42,NA,"12",NA,NA,NA
1173060,6,"Bangladesh","New Zealand","female","2019/20",2020-02-29,"ICC Women's T20 World Cup","Junction Oval","Melbourne","New Zealand","bat","HNK Jensen","Lauren Agenbag","Ahsan Raza","AG Wharf","L Rusere","BC Broad","New Zealand",17,NA,"13",NA,NA,NA
1173061,6,"India","Sri Lanka","female","2019/20",2020-02-29,"ICC Women's T20 World Cup","Junction Oval","Melbourne","Sri Lanka","bat","RP Yadav","S Redfern","S George","L Rusere","Lauren Agenbag","BC Broad","India",NA,7,"14",NA,NA,NA
1173062,6,"Pakistan","South Africa","female","2019/20",2020-03-01,"ICC Women's T20 World Cup","Sydney Showground Stadium","Sydney","South Africa","bat","L Wolvaardt","GO Brathwaite","Kim Cotton","JM Williams","Nitin Menon","GS Lakshmi","South Africa",17,NA,"15",NA,NA,NA
1173063,6,"England","West Indies","female","2019/20",2020-03-01,"ICC Women's T20 World Cup","Sydney Showground Stadium","Sydney","England","bat","NR Sciver","CM Brown","CA Polosak","Nitin Menon","Kim Cotton","SR Bernard","England",46,NA,"16",NA,NA,NA
1173064,6,"Bangladesh","Sri Lanka","female","2019/20",2020-03-02,"ICC Women's T20 World Cup","Junction Oval","Melbourne","Bangladesh","bat","HASD Siriwardene","S Redfern","AG Wharf","S George","Ahsan Raza","BC Broad","Sri Lanka",NA,9,"17",NA,NA,NA
1173065,6,"Australia","New Zealand","female","2019/20",2020-03-02,"ICC Women's T20 World Cup","Junction Oval","Melbourne","New Zealand","field","G Wareham","L Agenburg","L Rusere","S Redfern","AG Wharf","BC Broad","Australia",4,NA,"18",NA,NA,NA
1173066,6,"Pakistan","Thailand","female","2019/20",2020-03-03,"ICC Women's T20 World Cup","Sydney Showground Stadium","Sydney","Thailand","bat",NA,"CM Brown","CA Polosak","GO Brathwaite","JM Williams","SR Bernard",NA,NA,NA,"19","no result",NA,NA
1173069,6,"Australia","South Africa","female","2019/20",2020-03-05,"ICC Women's T20 World Cup","Sydney Cricket Ground","Sydney","South Africa","field","MM Lanning","Nitin Menon","Kim Cotton","GO Brathwaite","L Rusere","BC Broad","Australia",5,NA,NA,NA,"D/L",NA
1173070,6,"Australia","India","female","2019/20",2020-03-08,"ICC Women's T20 World Cup","Melbourne Cricket Ground","Melbourne","Australia","bat","AJ Healy","Ahsan Raza","Kim Cotton","L Rusere","GO Brathwaite","BC Broad","Australia",85,NA,NA,NA,NA,NA
1229204,6,"Germany","Austria","female","2020",2020-08-12,"Germany Women tour of Austria","Seebarn Cricket Centre, Lower Austria","Lower Austria","Austria","field","CM Gough","Praveen Kumar Swamidas","Rajinder Kumar","Arsalan Arif",NA,NA,"Germany",82,NA,"1",NA,NA,NA
1229205,6,"Germany","Austria","female","2020",2020-08-13,"Germany Women tour of Austria","Seebarn Cricket Centre","Lower Austria","Germany","bat","JE Ronalds","Dharminder Pal Rauhia","Rajinder Kumar","Arsalan Arif",NA,NA,"Germany",138,NA,"2",NA,NA,NA
1229206,6,"Austria","Germany","female","2020",2020-08-13,"Germany Women tour of Austria","Seebarn Cricket Centre","Lower Austria","Austria","bat","A Bierwisch","Dharminder Pal Rauhia","Rajinder Kumar","Arsalan Arif",NA,NA,"Germany",NA,10,"3",NA,NA,NA
1229207,6,"Germany","Austria","female","2020",2020-08-14,"Germany Women tour of Austria","Seebarn Cricket Centre","Lower Austria","Germany","bat","CM Gough","Dharminder Pal Rauhia","Rajinder Kumar","Praveen Kumar Swamidas",NA,NA,"Germany",137,NA,"4",NA,NA,NA
1229208,6,"Germany","Austria","female","2020",2020-08-15,"Germany Women tour of Austria","Seebarn Cricket Centre","Lower Austria","Germany","bat","A Bierwisch","Dharminder Pal Rauhia","Rajinder Kumar","Praveen Kumar Swamidas",NA,NA,"Germany",79,NA,"5",NA,NA,NA
1230855,6,"England","West Indies","female","2020",2020-09-21,"West Indies Women tour of England","County Ground","Derby","England","bat","TT Beaumont","M Burns","S Redfern","GD Lloyd","DJ Millns","Wayne Noon","England",47,NA,"1",NA,NA,NA
1230856,6,"England","West Indies","female","2020",2020-09-23,"West Indies Women tour of England","County Ground","Derby","West Indies","field","S Glenn","GD Lloyd","DJ Millns","M Burns","S Redfern","Wayne Noon","England",47,NA,"2",NA,NA,NA
1223941,6,"Australia","New Zealand","female","2020/21",2020-09-26,"New Zealand Women tour of Australia","Allan Border Field","Brisbane","New Zealand","field","A Gardner","BNJ Oxenford","DM Koch","D Taylor","MW Graham-Smith","RW Stratford","Australia",17,NA,"1",NA,NA,NA
1230857,6,"England","West Indies","female","2020",2020-09-26,"West Indies Women tour of England","County Ground","Derby","England","bat","NR Sciver","S Redfern","DJ Millns","GD Lloyd","M Burns","Wayne Noon","England",20,NA,"3",NA,NA,NA
1223942,6,"New Zealand","Australia","female","2020/21",2020-09-27,"New Zealand Women tour of Australia","Allan Border Field","Brisbane","New Zealand","bat","S Molineux","BNJ Oxenford","MW Graham-Smith","D Taylor","DM Koch","RW Stratford","Australia",NA,8,"2",NA,NA,NA
1230858,6,"England","West Indies","female","2020",2020-09-28,"West Indies Women tour of England","County Ground","Derby","England","bat","AE Jones","GD Lloyd","M Burns","S Redfern","DJ Millns","Wayne Noon","England",44,NA,"4",NA,NA,NA
1223943,6,"Australia","New Zealand","female","2020/21",2020-09-30,"New Zealand Women tour of Australia","Allan Border Field","Brisbane","New Zealand","field","AC Kerr","MW Graham-Smith","DM Koch","D Taylor","BNJ Oxenford","RW Stratford","New Zealand",NA,5,"3",NA,NA,NA
1230859,6,"West Indies","England","female","2020",2020-09-30,"West Indies Women tour of England","County Ground","Derby","England","field","SS Connell","GD Lloyd","S Redfern","DJ Millns","M Burns","Wayne Noon","England",NA,3,"5",NA,NA,NA
1244846,6,"Pakistan","South Africa","female","2020/21",2021-01-29,"Pakistan Women tour of South Africa","Kingsmead","Durban","Pakistan","bat",NA,"LB Gcuma","Stephen Harris","Lauren Agenbag","BM White","SA Fritz","South Africa",NA,8,"1",NA,NA,NA
1244847,6,"South Africa","Pakistan","female","2020/21",2021-01-31,"Pakistan Women tour of South Africa","Kingsmead","Durban","Pakistan","field",NA,"Lauren Agenbag","LB Gcuma","Stephen Harris",NA,"SA Fritz","South Africa",18,NA,"2",NA,NA,NA
