"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"SC Meaker",54,886,112,3558,93,38.258064516129,4.01580135440181,57.1612903225806,3752,7,1,"7/90"
"CJ White",41,788,177,2384,92,25.9130434782609,3.0253807106599,51.3913043478261,3628,7,5,"6/38"
"CAJ Meschede",69,1019.2,167,3664,92,39.8260869565217,3.59450621321125,66.4782608695652,4550,3,1,"5/84"
"KAJ Roach",45,724.4,159,2255,91,24.7802197802198,3.11177552897884,47.7802197802198,3345,2,6,"8/40"
"D Olivier",44,768.3,136,2735,91,30.0549450549451,3.55888093689005,50.6703296703297,3485,5,4,"5/20"
"N Wagner",53,923.2,151,3263,89,36.6629213483146,3.53393501805054,62.247191011236,4065,2,4,"6/48"
"JD Ryder",52,667.4,152,2089,87,24.0114942528736,3.12880678981528,46.0459770114943,3180,1,7,"6/47"
"R McLaren",49,853,190,2643,87,30.3793103448276,3.09847596717468,58.8275862068966,4037,7,1,"5/104"
"HJH Brookes",57,801.2,119,3054,87,35.1034482758621,3.81114808652246,55.264367816092,3483,3,1,"6/20"
"A Virdi",44,812.1,125,2589,86,30.1046511627907,3.18776934126821,56.6627906976744,3475,3,4,"8/61"
"WSA Williams",48,779.2,208,1863,85,21.9176470588235,2.39050470487596,55.0117647058824,3760,3,1,"5/41"
"NJ Dexter",86,957.4,202,3052,85,35.9058823529412,3.18691263487644,67.6,4346,1,4,"5/52"
"JJ Carson",52,933.5,133,3170,85,37.2941176470588,3.39461003034089,65.9176470588235,3868,1,2,"5/79"
"DL Lloyd",117,1054.1,136,4059,85,47.7529411764706,3.8504347826087,74.4117647058823,4400,1,0,"4/11"
"JW Hastings",47,761.4,172,2509,83,30.2289156626506,3.29409190371991,55.0602409638554,3560,4,2,"5/24"
"LWP Wells",121,931.4,111,3176,82,38.7317073170732,3.40894454382827,68.1707317073171,3814,1,2,"5/25"
"M Morkel",34,552.4,133,1621,81,20.0123456790123,2.93305186972256,40.9382716049383,2623,3,4,"6/57"
"MG Neser",34,610.3,120,1840,80,23,3.01392301392301,45.7875,2749,6,2,"7/32"
"Saeed Ajmal",30,690,158,1928,79,24.4050632911392,2.79420289855072,52.4050632911392,3209,3,7,"7/19"
"J Allenby",67,861.1,226,2150,79,27.2151898734177,2.49661312173408,65.4050632911392,4076,3,1,"6/54"
