"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"CF Parkinson","Durham",2024,"County Championship",7,202.5,25,776,16,48.5,3.82580115036976,76.0625,787,1,1,"5/131"
"MW Parkinson","Kent",2024,"County Championship",7,188.2,13,797,16,49.8125,4.23185840707965,70.625,682,0,1,"5/177"
"JAR Harris","Middlesex",2016,"Specsavers County Championship",12,228.2,34,807,16,50.4375,3.53430656934307,85.625,987,0,0,"3/67"
"L Trevaskis","Durham",2022,"County Championship",17,262.4,49,842,16,52.625,3.20558375634518,98.5,1119,0,1,"5/128"
"Saeed Ajmal","Worcestershire",2015,"LV= County Championship",13,272.3,42,890,16,55.625,3.26605504587156,102.1875,1188,0,1,"5/28"
"CP Wood","Hampshire",2014,"LV= County Championship",7,83,22,252,15,16.8,3.03614457831325,33.2,393,1,1,"5/39"
"CN Miles","Gloucestershire",2014,"LV= County Championship",5,70,12,260,15,17.3333333333333,3.71428571428571,28,315,1,1,"5/90"
"WJ Weighell","Durham",2018,"Specsavers County Championship",6,108.3,23,304,15,20.2666666666667,2.80184331797235,43.4,518,0,1,"7/32"
"JM Anderson","Lancashire",2016,"Specsavers County Championship",7,137.5,46,307,15,20.4666666666667,2.2273276904474,55.1333333333333,675,0,0,"3/29"
"HWR Cartwright","Middlesex",2018,"Specsavers County Championship",9,95.2,14,309,15,20.6,3.24125874125874,38.1333333333333,434,0,0,"3/33"
"JE Burke","Surrey",2015,"LV= County Championship",11,98,19,309,15,20.6,3.1530612244898,39.2,451,1,0,"4/19"
"JE Poysden","Warwickshire",2016,"Specsavers County Championship",7,80.4,7,323,15,21.5333333333333,4.00413223140496,32.2666666666667,311,1,1,"5/53"
"OJ Hannon-Dalby","Warwickshire",2018,"Specsavers County Championship",8,103.4,22,329,15,21.9333333333333,3.17363344051447,41.4666666666667,481,1,0,"4/61"
"I Sharma","Sussex",2018,"Specsavers County Championship",7,114.3,19,346,15,23.0666666666667,3.02183406113537,45.8,527,1,0,"4/52"
"OE Robinson","Sussex",2024,"County Championship",8,126.3,37,367,15,24.4666666666667,2.90118577075099,50.6,611,1,0,"4/42"
"TJ Price","Gloucestershire",2021,"County Championship",8,128,37,368,15,24.5333333333333,2.875,51.2,625,1,0,"4/72"
"JM Anderson","Lancashire",2017,"Specsavers County Championship",8,162.3,46,373,15,24.8666666666667,2.29538461538462,65,793,1,0,"4/20"
