"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"LE Scott",11,44,99,44.4444444444444,6.28571428571429,5,0,4,0,0,12
"LF Higham",30,347,562,61.7437722419929,12.8518518518519,26,1,3,0,0,34
"LG Kellogg",2,1,10,10,1,0,0,1,0,0,1
"LG Smith",2,93,118,78.8135593220339,93,13,0,1,0,1,73
"LK Bell",6,29,27,107.407407407407,7.25,3,0,2,0,0,17
"LM Kasperek",5,47,94,50,9.4,2,0,0,0,0,31
"M Blinkhorn-Jones",6,113,137,82.4817518248175,22.6,15,0,1,0,1,77
"M Blythin",2,56,111,50.4504504504505,28,3,0,0,0,1,50
"M Brown",3,38,48,79.1666666666667,12.6666666666667,3,0,0,0,0,19
"M Gaur",7,41,86,47.6744186046512,6.83333333333333,2,0,1,0,0,11
"M Home",9,75,174,43.1034482758621,8.33333333333333,4,0,0,0,0,24
"M Kelly",34,781,1141,68.4487291849255,24.40625,87,2,2,0,7,62
"M Rogers",7,42,64,65.625,10.5,2,0,3,0,0,12
"ME Bouchier",30,921,1119,82.3056300268097,32.8928571428571,120,5,2,0,7,71
"MJ Robbins",11,33,103,32.0388349514563,4.71428571428571,2,0,4,0,0,10
"MK Villiers",28,483,517,93.4235976789168,17.8888888888889,54,1,1,0,3,70
"ML Green",4,117,139,84.1726618705036,29.25,18,0,0,0,1,64
"ML Kirk",10,175,268,65.2985074626866,17.5,18,0,0,0,1,57
"ML Sturge",1,6,7,85.7142857142857,6,1,0,0,0,0,6
"MLL Taylor",11,51,64,79.6875,12.75,5,0,7,0,0,16
"MS Belt",2,5,7,71.4285714285714,5,1,0,1,0,0,5
"N Brown",14,246,426,57.7464788732394,17.5714285714286,29,0,0,0,1,52
"N Faltum",2,28,49,57.1428571428571,14,4,0,0,0,0,21
"N Harman",12,120,154,77.9220779220779,15,7,1,4,0,0,26
"N Harvey",7,67,98,68.3673469387755,22.3333333333333,6,0,4,0,0,25
"N Holland",21,215,302,71.1920529801324,11.9444444444444,24,1,3,0,0,44
"N de Klerk",13,281,417,67.3860911270983,28.1,27,1,3,1,0,106
"NAJ Wraith",32,707,837,84.468339307049,24.3793103448276,80,3,3,0,3,73
"ND Dattani",35,693,1127,61.4906832298137,20.3823529411765,79,2,1,0,2,82
"NE Farrant",16,434,567,76.5432098765432,28.9333333333333,40,3,1,0,3,94
