"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"RS Bopara",2023-08-18,"Northern Superchargers","London Spirit",2,"4.0",0,21,4,5.25,7,"The Hundred Men's Competition",2023,1355629,"Lord's, London","London","London Spirit","Northern Superchargers","Northern Superchargers","field","RS Bopara","London Spirit",NA,"13"
"TW Hartley",2022-08-28,"Birmingham Phoenix","Manchester Originals",2,"4.0",1,22,4,5.5,12,"The Hundred Men's Competition",2022,1299198,"Edgbaston, Birmingham","Birmingham","Manchester Originals","Birmingham Phoenix","Manchester Originals","bat","TW Hartley","Manchester Originals",NA,"79"
"MS Crane",2022-08-30,"Birmingham Phoenix","London Spirit",2,"4.0",0,24,4,6,12,"The Hundred Men's Competition",2022,1299200,"Lord's, London","London","London Spirit","Birmingham Phoenix","Birmingham Phoenix","field","MS Wade","Birmingham Phoenix","1",NA
"CP Wood",2022-08-24,"Welsh Fire","London Spirit",2,"4.0",0,28,4,7,7,"The Hundred Men's Competition",2022,1299194,"Lord's, London","London","London Spirit","Welsh Fire","Welsh Fire","field","DW Lawrence","London Spirit",NA,"17"
"JT Ball",2022-08-16,"Manchester Originals","Welsh Fire",1,"4.0",0,29,4,7.25,7,"The Hundred Men's Competition",2022,1299186,"Old Trafford, Manchester","Manchester","Manchester Originals","Welsh Fire","Welsh Fire","field","SA Abbott","Manchester Originals",NA,"47"
"Wahab Riaz",2021-08-06,"Welsh Fire","Trent Rockets",1,"4.0",0,30,4,7.5,7,"The Hundred Men's Competition",2021,1252685,"Sophia Gardens, Cardiff","Cardiff","Welsh Fire","Trent Rockets","Trent Rockets","field","SR Patel","Trent Rockets","6",NA
"KW Richardson",2023-08-13,"Oval Invincibles","Birmingham Phoenix",2,"3.4",0,32,4,8.42105263157895,9,"The Hundred Men's Competition",2023,1355624,"Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","Oval Invincibles","Oval Invincibles","field","JL Smith","Birmingham Phoenix",NA,"41"
"ZJ Chappell",2023-08-13,"Birmingham Phoenix","Oval Invincibles",1,"3.0",0,33,4,11,5,"The Hundred Men's Competition",2023,1355624,"Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","Oval Invincibles","Oval Invincibles","field","JL Smith","Birmingham Phoenix",NA,"41"
"SH Johnson",2023-08-09,"Manchester Originals","Oval Invincibles",2,"4.0",3,1,3,0.25,19,"The Hundred Men's Competition",2023,1355618,"Kennington Oval, London","London","Oval Invincibles","Manchester Originals","Manchester Originals","field","H Klaasen","Oval Invincibles",NA,"94"
"JDS Neesham",2021-07-27,"Southern Brave","Welsh Fire",2,"3.0",0,5,3,1.66666666666667,10,"The Hundred Men's Competition",2021,1252673,"Sophia Gardens, Cardiff","Cardiff","Welsh Fire","Southern Brave","Southern Brave","field","JM Bairstow","Welsh Fire",NA,"18"
"GHS Garton",2022-08-22,"Welsh Fire","Southern Brave",1,"3.0",1,7,3,2.33333333333333,12,"The Hundred Men's Competition",2022,1299192,"Sophia Gardens, Cardiff","Cardiff","Welsh Fire","Southern Brave","Southern Brave","field","GHS Garton","Southern Brave","9",NA
"GHS Garton",2023-08-12,"Welsh Fire","Southern Brave",1,"3.0",0,8,3,2.66666666666667,9,"The Hundred Men's Competition",2023,1355622,"Sophia Gardens, Cardiff","Cardiff","Welsh Fire","Southern Brave","Southern Brave","field","GHS Garton","Southern Brave","9",NA
"TS Mills",2021-08-20,"Trent Rockets","Southern Brave",1,"3.1",0,8,3,2.5,10,"The Hundred Men's Competition",2021,1252698,"Kennington Oval, London","London","Trent Rockets","Southern Brave","Southern Brave","field","GHS Garton","Southern Brave","7",NA
"DR Mousley",2024-07-31,"Trent Rockets","Birmingham Phoenix",2,"3.0",0,9,3,3,7,"The Hundred Men's Competition",2024,1417798,"Trent Bridge, Nottingham","Nottingham","Birmingham Phoenix","Trent Rockets","Trent Rockets","field","DR Mousley","Birmingham Phoenix",NA,"6"
"LA Dawson",2024-08-01,"Welsh Fire","London Spirit",1,"4.0",0,10,3,2.5,13,"The Hundred Men's Competition",2024,1417799,"Lord's, London","London","Welsh Fire","London Spirit","London Spirit","field","LA Dawson","London Spirit","3",NA
"A Zampa",2024-07-23,"Birmingham Phoenix","Oval Invincibles",1,"4.0",0,11,3,2.75,10,"The Hundred Men's Competition",2024,1417790,"Kennington Oval, London","London","Birmingham Phoenix","Oval Invincibles","Birmingham Phoenix","bat","A Zampa","Oval Invincibles","8",NA
"SP Narine",2021-08-08,"Trent Rockets","Oval Invincibles",2,"2.0",0,11,3,5.5,6,"The Hundred Men's Competition",2021,1252687,"Kennington Oval, London","London","Oval Invincibles","Trent Rockets","Trent Rockets","field","JJ Roy","Oval Invincibles",NA,"9"
"SP Narine",2022-08-11,"Northern Superchargers","Oval Invincibles",1,"4.0",0,11,3,2.75,12,"The Hundred Men's Competition",2022,1299179,"Kennington Oval, London","London","Northern Superchargers","Oval Invincibles","Oval Invincibles","field","SM Curran","Oval Invincibles","3",NA
"TG Helm",2022-08-23,"Oval Invincibles","Birmingham Phoenix",2,"4.0",0,11,3,2.75,13,"The Hundred Men's Competition",2022,1299193,"Kennington Oval, London","London","Birmingham Phoenix","Oval Invincibles","Oval Invincibles","field","KW Richardson","Birmingham Phoenix",NA,"10"
"SP Narine",2023-08-09,"Manchester Originals","Oval Invincibles",2,"4.0",0,12,3,3,11,"The Hundred Men's Competition",2023,1355618,"Kennington Oval, London","London","Oval Invincibles","Manchester Originals","Manchester Originals","field","H Klaasen","Oval Invincibles",NA,"94"
"AU Rashid",2021-07-31,"Oval Invincibles","Northern Superchargers",1,"4.0",0,13,3,3.25,9,"The Hundred Men's Competition",2021,1252678,"Headingley, Leeds","Leeds","Oval Invincibles","Northern Superchargers","Oval Invincibles","bat","HC Brook","Northern Superchargers","6",NA
"TW Hartley",2023-08-07,"Birmingham Phoenix","Manchester Originals",2,"4.0",0,13,3,3.25,9,"The Hundred Men's Competition",2023,1355615,"Old Trafford, Manchester","Manchester","Manchester Originals","Birmingham Phoenix","Birmingham Phoenix","field","Usama Mir","Manchester Originals",NA,"49"
"CJ Green",2024-07-26,"Northern Superchargers","Trent Rockets",2,"4.0",0,14,3,3.5,11,"The Hundred Men's Competition",2024,1417793,"Headingley, Leeds","Leeds","Trent Rockets","Northern Superchargers","Northern Superchargers","field","CJ Green","Trent Rockets",NA,"47"
"DJ Willey",2024-07-25,"Manchester Originals","Welsh Fire",1,"4.0",0,14,3,3.5,12,"The Hundred Men's Competition",2024,1417792,"Old Trafford, Manchester","Manchester","Manchester Originals","Welsh Fire","Welsh Fire","field","DJ Willey","Welsh Fire","8",NA
"JB Lintott",2021-08-16,"Oval Invincibles","Southern Brave",1,"4.0",0,14,3,3.5,6,"The Hundred Men's Competition",2021,1252695,"The Rose Bowl, Southampton","Southampton","Oval Invincibles","Southern Brave","Southern Brave","field","AL Davies","Southern Brave","6",NA
"AF Milne",2021-07-30,"Southern Brave","Birmingham Phoenix",2,"4.0",0,15,3,3.75,11,"The Hundred Men's Competition",2021,1252676,"The Rose Bowl, Southampton","Southampton","Birmingham Phoenix","Southern Brave","Southern Brave","field","JM Vince","Southern Brave","4",NA
"BA Raine",2021-08-12,"Manchester Originals","Northern Superchargers",2,"2.4",0,15,3,5.35714285714286,7,"The Hundred Men's Competition",2021,1252691,"Headingley, Leeds","Leeds","Northern Superchargers","Manchester Originals","Manchester Originals","field","JA Simpson","Northern Superchargers",NA,"69"
"D Wiese",2022-08-19,"Birmingham Phoenix","Northern Superchargers",2,"4.0",0,15,3,3.75,11,"The Hundred Men's Competition",2022,1299189,"Edgbaston, Birmingham","Birmingham","Northern Superchargers","Birmingham Phoenix","Birmingham Phoenix","field","D Wiese","Northern Superchargers",NA,"32"
"LA Dawson",2022-08-30,"Birmingham Phoenix","London Spirit",2,"4.0",0,15,3,3.75,8,"The Hundred Men's Competition",2022,1299200,"Lord's, London","London","London Spirit","Birmingham Phoenix","Birmingham Phoenix","field","MS Wade","Birmingham Phoenix","1",NA
"T Sangha",2023-08-24,"London Spirit","Birmingham Phoenix",2,"4.0",0,15,3,3.75,8,"The Hundred Men's Competition",2023,1355637,"Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","London Spirit","London Spirit","field","AF Milne","Birmingham Phoenix",NA,"77"
"C Overton",2024-07-24,"London Spirit","Southern Brave",1,"4.0",0,16,3,4,8,"The Hundred Men's Competition",2024,1417791,"The Rose Bowl, Southampton","Southampton","London Spirit","Southern Brave","London Spirit","bat","C Overton","Southern Brave","7",NA
"NT Ellis",2024-08-01,"Welsh Fire","London Spirit",1,"4.0",0,16,3,4,10,"The Hundred Men's Competition",2024,1417799,"Lord's, London","London","Welsh Fire","London Spirit","London Spirit","field","LA Dawson","London Spirit","3",NA
"Rashid Khan",2021-08-15,"Manchester Originals","Trent Rockets",1,"4.0",1,16,3,4,11,"The Hundred Men's Competition",2021,1252694,"Trent Bridge, Nottingham","Nottingham","Manchester Originals","Trent Rockets","Manchester Originals","bat","DJ Malan","Trent Rockets","7",NA
"SM Curran",2022-08-27,"London Spirit","Oval Invincibles",1,"4.0",0,16,3,4,12,"The Hundred Men's Competition",2022,1299197,"Lord's, London","London","London Spirit","Oval Invincibles","London Spirit","bat","SM Curran","Oval Invincibles","6",NA
