"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"SA Abbott",5,"15.4",2,147,6,24.5,9.30379746835443,13.1666666666667,29,1,0,"4/8"
"Mujeeb Ur Rahman",7,"26.0",0,157,6,26.1666666666667,6.03846153846154,21.6666666666667,48,0,0,"2/6"
"HJH Brookes",6,"19.0",0,159,6,26.5,8.36842105263158,15.8333333333333,26,0,1,"5/25"
"LH Ferguson",6,"23.0",0,161,6,26.8333333333333,7,19.1666666666667,41,0,0,"2/25"
"PR Brown",7,"18.0",0,179,6,29.8333333333333,9.94444444444444,15,19,0,0,"3/27"
"T Sangha",4,"14.0",0,82,5,16.4,5.85714285714286,14,25,0,0,"3/15"
"DW Lawrence",6,"16.4",0,116,5,23.2,6.9047619047619,16.8,28,1,0,"4/20"
"Haris Rauf",6,"20.0",0,123,5,24.6,6.15,20,42,0,0,"3/27"
"SH Johnson",6,"20.0",3,129,5,25.8,6.45,20,52,0,0,"3/1"
"S Mahmood",7,"24.0",0,173,5,34.6,7.20833333333333,24,43,0,0,"2/19"
"BA Carse",12,"27.0",0,245,5,49,9.07407407407407,27,47,0,0,"1/13"
"Wahab Riaz",2,"6.0",0,45,4,11.25,7.5,7.5,10,1,0,"4/30"
"T Stubbs",8,"15.0",0,109,4,27.25,7.26666666666667,18.75,26,0,0,"2/6"
"GLS Scrimshaw",4,"14.0",0,123,4,30.75,8.78571428571429,17.5,26,0,0,"2/22"
"AD Russell",6,"15.0",0,133,4,33.25,8.86666666666667,18.75,22,0,0,"1/7"
"CN Miles",6,"14.4",0,135,4,33.75,9.12162162162162,18.5,25,0,0,"2/30"
"D Pretorius",5,"17.0",0,135,4,33.75,7.94117647058824,21.25,26,0,0,"2/30"
"LJ Fletcher",6,"18.0",0,141,4,35.25,7.83333333333333,22.5,24,0,0,"2/22"
"TG Southee",1,"4.0",0,23,3,7.66666666666667,5.75,6.66666666666667,9,0,0,"3/23"
"MJ Henry",2,"7.0",0,27,3,9,3.85714285714286,11.6666666666667,22,0,0,"2/15"
"BA Stokes",2,"6.0",0,32,3,10.6666666666667,5.33333333333333,10,13,0,0,"2/24"
"DJ Mitchell",6,"8.1",0,76,3,25.3333333333333,9.26829268292683,13.6666666666667,13,0,0,"2/16"
"CN Ackermann",7,"16.0",1,91,3,30.3333333333333,5.6875,26.6666666666667,29,0,0,"1/7"
"JE Root",4,"14.0",0,94,3,31.3333333333333,6.71428571428571,23.3333333333333,19,0,0,"2/24"
"J Overton",7,"17.0",0,114,3,38,6.70588235294118,28.3333333333333,24,0,0,"2/21"
"Mohammad Amir",4,"15.2",0,132,3,44,8.57142857142857,25.6666666666667,23,0,0,"2/34"
"CR Brathwaite",6,"18.0",0,148,3,49.3333333333333,8.22222222222222,30,23,0,0,"2/13"
"MJ Potts",9,"28.0",0,237,3,79,8.46428571428571,46.6666666666667,53,0,0,"1/23"
"GJ Maxwell",2,"5.0",0,16,2,8,3.2,12.5,13,0,0,"1/6"
"A Lyth",1,"4.0",0,23,2,11.5,5.75,10,9,0,0,"2/23"
"Imad Wasim",2,"7.0",0,27,2,13.5,3.85714285714286,17.5,14,0,0,"2/15"
"AJ Turner",2,"4.0",0,31,2,15.5,7.75,10,3,0,0,"1/7"
"SJ Mullaney",2,"5.0",0,31,2,15.5,6.2,12.5,9,0,0,"1/9"
"BGF Green",3,"8.0",0,50,2,25,6.25,20,8,0,0,"2/26"
"P Hatzoglou",2,"7.0",0,60,2,30,8.57142857142857,17.5,10,0,0,"1/29"
"PR Stirling",7,"12.3",0,68,2,34,5.3968253968254,31.5,23,0,0,"1/10"
"CR Woakes",3,"11.0",0,71,2,35.5,6.45454545454545,27.5,23,0,0,"1/21"
"DY Pennington",3,"8.0",1,71,2,35.5,8.875,20,20,0,0,"2/11"
"MW Short",5,"9.0",0,71,2,35.5,7.88888888888889,22.5,15,0,0,"2/9"
"S Baker",3,"9.0",0,75,2,37.5,8.33333333333333,22.5,8,0,0,"2/28"
"JJ Cobb",5,"11.0",0,76,2,38,6.90909090909091,27.5,17,0,0,"1/14"
"MP Stoinis",5,"11.0",0,84,2,42,7.63636363636364,27.5,23,0,0,"1/12"
"Zaman Khan",5,"17.0",0,147,2,73.5,8.64705882352941,42.5,22,0,0,"2/22"
"TA Lammonby",1,"1.0",0,8,1,8,8,5,1,0,0,"1/8"
"DR Mousley",3,"2.4",0,18,1,18,6.42857142857143,14,4,0,0,"1/1"
"JA Turner",1,"4.0",0,22,1,22,5.5,20,10,0,0,"1/22"
"MJ Santner",2,"7.0",0,37,1,37,5.28571428571429,35,14,0,0,"1/17"
"MD Fisher",2,"6.4",0,50,1,50,7.35294117647059,34,15,0,0,"1/24"
"Shadab Khan",2,"7.0",0,55,1,55,7.85714285714286,35,10,0,0,"1/16"
"LWP Wells",3,"7.0",0,61,1,61,8.71428571428571,35,6,0,0,"1/31"
"T van der Gugten",3,"5.0",0,65,1,65,13,25,4,0,0,"1/29"
"MT Stanley",3,"9.0",1,83,1,83,9.22222222222222,45,15,0,0,"1/23"
"KA Pollard",1,"1.0",0,5,0,Inf,5,Inf,0,0,0,"0/5"
"J Clark",1,"1.0",0,6,0,Inf,6,Inf,2,0,0,"0/6"
"BL D'Oliveira",2,"2.0",0,10,0,Inf,5,Inf,3,0,0,"0/4"
"LM Reece",1,"1.0",0,11,0,Inf,11,Inf,0,0,0,"0/11"
"JL Denly",2,"2.0",0,12,0,Inf,6,Inf,7,0,0,"0/5"
"JL du Plooy",1,"1.0",0,16,0,Inf,16,Inf,1,0,0,"0/16"
"BJ Dwarshuis",1,"3.0",0,22,0,Inf,7.33333333333333,Inf,5,0,0,"0/22"
"JW Dernbach",1,"3.0",0,23,0,Inf,7.66666666666667,Inf,3,0,0,"0/23"
"D Moriarty",1,"4.0",0,28,0,Inf,7,Inf,5,0,0,"0/28"
"GL van Buuren",1,"2.0",0,28,0,Inf,14,Inf,5,0,0,"0/28"
"Noor Ahmad",1,"3.0",0,31,0,Inf,10.3333333333333,Inf,1,0,0,"0/31"
"TH David",2,"3.0",0,32,0,Inf,10.6666666666667,Inf,1,0,0,"0/7"
"DJM Short",2,"4.0",0,35,0,Inf,8.75,Inf,6,0,0,"0/15"
"LE Plunkett",1,"3.0",0,42,0,Inf,14,Inf,2,0,0,"0/42"
"GD Phillips",3,"5.4",0,56,0,Inf,9.6551724137931,Inf,9,0,0,"0/11"
"GG White",3,"9.0",0,89,0,Inf,9.88888888888889,Inf,7,0,0,"0/21"
"C de Grandhomme",4,"8.0",0,92,0,Inf,11.5,Inf,5,0,0,"0/14"
