"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_runs","winner_innings","outcome","winner_wickets","tv_umpire","toss_uncontested","match_number"
692741,6,"Lancashire","Northamptonshire","male","2014",2014-04-27,"LV= County Championship","County Ground, Northampton","Northampton","Northamptonshire","field",NA,"MJ Saggers","RA Kettleborough",NA,NA,"Lancashire",60,NA,NA,NA,NA,NA,NA
692745,6,"Somerset","Sussex","male","2014",2014-04-27,"LV= County Championship","County Ground, Hove","Brighton","Sussex","field",NA,"NJ Llong","AG Wharf",NA,NA,"Somerset",11,"1",NA,NA,NA,NA,NA
692885,6,"Derbyshire","Worcestershire","male","2014",2014-04-27,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Derbyshire","bat",NA,"G Sharp","NL Bainton",NA,NA,"Worcestershire",64,"1",NA,NA,NA,NA,NA
692887,6,"Leicestershire","Glamorgan","male","2014",2014-04-27,"LV= County Championship","Grace Road, Leicester","Leicester","Glamorgan","field",NA,"JH Evans","NGB Cook",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692889,6,"Gloucestershire","Essex","male","2014",2014-04-27,"LV= County Championship","County Ground, Bristol","Bristol","Essex","field",NA,"SC Gale","NGC Cowley",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692891,6,"Hampshire","Surrey","male","2014",2014-04-27,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Surrey","field",NA,"MR Benson","RJ Evans",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692747,6,"Nottinghamshire","Somerset","male","2014",2014-05-04,"LV= County Championship","County Ground, Taunton","Taunton","Somerset","field",NA,"SJ O'Shaughnessy","NL Bainton",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692749,6,"Sussex","Lancashire","male","2014",2014-05-04,"LV= County Championship","Old Trafford, Manchester","Manchester","Sussex","bat",NA,"MR Benson","SC Gale",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692753,6,"Middlesex","Warwickshire","male","2014",2014-05-04,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Middlesex","bat",NA,"P Willey","NA Mallender",NA,NA,"Warwickshire",47,"1",NA,NA,NA,NA,NA
692893,6,"Worcestershire","Glamorgan","male","2014",2014-05-04,"LV= County Championship","Sophia Gardens, Cardiff","Cardiff","Glamorgan","field",NA,"RJ Evans","MA Gough",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692755,6,"Northamptonshire","Nottinghamshire","male","2014",2014-05-11,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Nottinghamshire","field",NA,"MA Gough","G Sharp",NA,NA,"Nottinghamshire",10,"1",NA,NA,NA,NA,NA
692759,6,"Sussex","Durham","male","2014",2014-05-11,"LV= County Championship","County Ground, Hove","Brighton","Durham","field",NA,"MJ Saggers","RK Illingworth",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692761,6,"Yorkshire","Warwickshire","male","2014",2014-05-11,"LV= County Championship","Headingley, Leeds","Leeds","Warwickshire","field",NA,"RT Robinson","GD Lloyd",NA,NA,"Yorkshire",155,"1",NA,NA,NA,NA,NA
692899,6,"Gloucestershire","Surrey","male","2014",2014-05-11,"LV= County Championship","Kennington Oval, London","London","Surrey","field",NA,"MJD Bodenham","RJ Bailey",NA,NA,"Surrey",NA,NA,NA,4,NA,NA,NA
692901,6,"Derbyshire","Kent","male","2014",2014-05-11,"LV= County Championship","County Ground, Derby","Derby","Kent","field",NA,"SA Garratt","P Willey",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692903,6,"Glamorgan","Hampshire","male","2014",2014-05-11,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Hampshire","field",NA,"AG Wharf","SJ O'Shaughnessy",NA,NA,"Hampshire",NA,NA,NA,6,NA,NA,NA
692763,6,"Northamptonshire","Middlesex","male","2014",2014-05-18,"LV= County Championship","County Ground, Northampton","Northampton","Northamptonshire","bat",NA,"MJD Bodenham","RA Kettleborough",NA,NA,"Middlesex",84,"1",NA,NA,NA,NA,NA
692905,6,"Worcestershire","Essex","male","2014",2014-05-18,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat",NA,"NA Mallender","BJ Debenham",NA,NA,"Worcestershire",72,NA,NA,NA,NA,NA,NA
692907,6,"Hampshire","Leicestershire","male","2014",2014-05-18,"LV= County Championship","Grace Road, Leicester","Leicester","Hampshire","bat",NA,"JW Lloyds","SC Gale",NA,NA,"Hampshire",278,NA,NA,NA,NA,NA,NA
