"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
530353,6,"Lions","Warriors","male","2011/12",2012-03-14,"MiWAY T20 Challenge",33,"New Wanderers Stadium, Johannesburg","Johannesburg","Warriors","field","GH Bodi","BM White","KH Hurter","DJ Smith",NA,"S Wadvalla","Lions",NA,115,NA,NA,NA
530354,6,"Impi","Titans","male","2011/12",2012-03-14,"MiWAY T20 Challenge",34,"SuperSport Park, Centurion","Centurion","Impi","bat","M van Jaarsveld","GH Pienaar","MW Brown","BP Jele","BG Jerling","SB Lambson","Titans",6,NA,NA,NA,NA
530355,6,"Warriors","Cape Cobras","male","2011/12",2012-03-16,"MiWAY T20 Challenge",35,"Newlands, Cape Town","Cape Town","Cape Cobras","field","J Botha","BG Jerling","S George","CD Isaacs","EC Hendrikse","CJ Mitchley","Warriors",NA,43,NA,NA,NA
530356,6,"Impi","Knights","male","2011/12",2012-03-16,"MiWAY T20 Challenge",36,"De Beers Diamond Oval, Kimberley","Kimberley","Impi","bat","LJ Wright","GH Pienaar","KH Hurter","BM White",NA,"S Wadvalla","Knights",5,NA,"D/L",NA,NA
530357,6,"Lions","Dolphins","male","2011/12",2012-03-16,"MiWAY T20 Challenge",37,"New Wanderers Stadium, Johannesburg","Johannesburg","Dolphins","field",NA,"AT Holdstock","MW Brown","DJ Smith",NA,"A Barnes",NA,NA,NA,NA,"no result",NA
530358,6,"Warriors","Knights","male","2011/12",2012-03-18,"MiWAY T20 Challenge",38,"De Beers Diamond Oval, Kimberley","Kimberley","Knights","field","J Coetzee","BM White","KH Hurter","GH Pienaar",NA,"S Wadvalla","Knights",7,NA,NA,NA,NA
530359,6,"Cape Cobras","Titans","male","2011/12",2012-03-18,"MiWAY T20 Challenge",39,"SuperSport Park, Centurion","Centurion","Cape Cobras","bat","AC Thomas","AT Holdstock","DJ Smith","BP Jele","MW Brown","SB Lambson","Titans",6,NA,NA,NA,NA
530361,6,"Impi","Lions","male","2011/12",2012-03-21,"MiWAY T20 Challenge",41,"Willowmoore Park, Benoni","Benoni","Impi","bat",NA,"BG Jerling","EC Hendrikse","BM White",NA,"CJ Mitchley",NA,NA,NA,NA,"no result",NA
530362,6,"Warriors","Titans","male","2011/12",2012-03-21,"MiWAY T20 Challenge",42,"SuperSport Park, Centurion","Centurion","Warriors","bat","JA Morkel","AT Holdstock","IL Howell","DJ Smith","KH Hurter","SB Lambson","Titans",8,NA,"D/L",NA,NA
530364,6,"Titans","Lions","male","2011/12",2012-04-01,"MiWAY T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","field","F du Plessis","JD Cloete","S George","KH Hurter","AT Holdstock","D Govindjee","Titans",NA,45,NA,NA,NA
575157,6,"Knights","Warriors","male","2012/13",2013-02-17,"Ram Slam T20 Challenge",NA,"De Beers Diamond Oval, Kimberley","Kimberley","Warriors","field","C Jonker","EC Hendrikse","GH Pienaar","BDA Westraadt",NA,"CJ Mitchley","Warriors",8,NA,"D/L",NA,NA
575158,6,"Cape Cobras","Lions","male","2012/13",2013-02-17,"Ram Slam T20 Challenge",NA,"Senwes Park, Potchefstroom","Potchefstroom","Lions","field","AM Phangiso","BM White","DJ Smith","R Ellis",NA,"SB Lambson","Lions",9,NA,NA,NA,NA
575159,6,"Titans","Lions","male","2012/13",2013-02-20,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","field",NA,"BG Jerling","KH Hurter","GH Pienaar","AT Holdstock","A Barnes","Lions",7,NA,NA,NA,NA
575160,6,"Cape Cobras","Knights","male","2012/13",2013-02-22,"Ram Slam T20 Challenge",NA,"Boland Park, Paarl","Paarl","Knights","field","OA Shah","AT Holdstock","MW Brown","EC Hendrikse","KH Hurter","CJ Mitchley","Cape Cobras",NA,25,NA,NA,NA
575161,6,"Warriors","Titans","male","2012/13",2013-02-22,"Ram Slam T20 Challenge",NA,"St George's Park, Port Elizabeth","Port Elizabeth","Titans","field","JA Morkel","BG Jerling","IL Howell","RM White",NA,"SB Lambson","Titans",5,NA,NA,NA,NA
575163,6,"Dolphins","Cape Cobras","male","2012/13",2013-02-24,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Dolphins","bat","RE Levi","AT Holdstock","EC Hendrikse","MW Brown","KH Hurter","CJ Mitchley","Cape Cobras",9,NA,NA,NA,NA
575164,6,"Lions","Warriors","male","2012/13",2013-02-24,"Ram Slam T20 Challenge",NA,"Senwes Park, Potchefstroom","Potchefstroom","Warriors","field","D Pretorius","DJ Smith","IL Howell","GH Pienaar",NA,"S Wadvalla","Lions",NA,47,NA,NA,NA
575165,6,"Dolphins","Knights","male","2012/13",2013-02-27,"Ram Slam T20 Challenge",NA,"Chevrolet Park, Bloemfontein","Bloemfontein","Dolphins","bat","N Boje","DJ Smith","EC Hendrikse","BDA Westraadt","BM White","A Barnes","Knights",9,NA,NA,NA,NA
575166,6,"Cape Cobras","Titans","male","2012/13",2013-02-28,"Ram Slam T20 Challenge",NA,"Willowmoore Park, Benoni","Benoni","Titans","field","JA Rudolph","EC Hendrikse","MW Brown","BP Jele","DJ Smith","SB Lambson","Titans",6,NA,NA,NA,NA
575167,6,"Dolphins","Warriors","male","2012/13",2013-03-02,"Ram Slam T20 Challenge",NA,"Buffalo Park, East London","East London","Dolphins","bat","AG Prince","GH Pienaar","IL Howell","RM White","BG Jerling","S Wadvalla","Warriors",9,NA,NA,NA,NA
575170,6,"Knights","Titans","male","2012/13",2013-03-06,"Ram Slam T20 Challenge",NA,"SuperSport Park, Centurion","Centurion","Titans","field","LE Bosman","AT Holdstock","EC Hendrikse","RN Birkenstock","KH Hurter","D Govindjee","Knights",NA,8,NA,NA,NA
575171,6,"Cape Cobras","Lions","male","2012/13",2013-03-08,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Lions","field","AN Petersen","A Paleker","KH Hurter","EC Hendrikse",NA,"SB Lambson","Lions",5,NA,NA,NA,NA
575172,6,"Dolphins","Knights","male","2012/13",2013-03-08,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Dolphins","bat","YA Abdulla","BG Jerling","IL Howell","LB Gcuma","BM White","S Wadvalla","Dolphins",NA,14,NA,NA,NA
575174,6,"Titans","Cape Cobras","male","2012/13",2013-03-12,"Ram Slam T20 Challenge",NA,"Boland Park, Paarl","Paarl","Cape Cobras","field","RE van der Merwe","KH Hurter","S George","IH van Kerwel","EC Hendrikse","D Govindjee","Titans",NA,7,NA,NA,NA
575175,6,"Knights","Lions","male","2012/13",2013-03-12,"Ram Slam T20 Challenge",NA,"De Beers Diamond Oval, Kimberley","Kimberley","Knights","bat","J Symes","A Paleker","MW Brown","CJ Conradie",NA,"A Barnes","Lions",4,NA,NA,NA,NA
575176,6,"Knights","Warriors","male","2012/13",2013-03-14,"Ram Slam T20 Challenge",NA,"St George's Park, Port Elizabeth","Port Elizabeth","Knights","bat",NA,"BP Jele","M Erasmus","CL Joubert","BG Jerling","S Wadvalla","Knights",NA,6,NA,NA,NA
575177,6,"Dolphins","Cape Cobras","male","2012/13",2013-03-14,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Cape Cobras","field","DJ Vilas","IL Howell","MW Brown","LB Gcuma",NA,"CJ Mitchley","Dolphins",NA,22,NA,NA,NA
575179,6,"Warriors","Lions","male","2012/13",2013-03-22,"Ram Slam T20 Challenge",NA,"Buffalo Park, East London","East London","Warriors","bat","ND McKenzie","EC Hendrikse","MW Brown","LJ Willemse","IL Howell","CJ Mitchley","Warriors",NA,4,NA,NA,NA
575180,6,"Cape Cobras","Knights","male","2012/13",2013-03-22,"Ram Slam T20 Challenge",NA,"Chevrolet Park, Bloemfontein","Bloemfontein","Knights","field","VD Philander","DJ Smith","GH Pienaar","BDA Westraadt",NA,"S Wadvalla","Knights",7,NA,NA,NA,NA
575181,6,"Dolphins","Titans","male","2012/13",2013-03-22,"Ram Slam T20 Challenge",NA,"SuperSport Park, Centurion","Centurion","Dolphins","bat","D Wiese","BM White","KH Hurter","BP Jele",NA,"SB Lambson","Titans",4,NA,NA,NA,NA
575183,6,"Knights","Titans","male","2012/13",2013-03-26,"Ram Slam T20 Challenge",NA,"Chevrolet Park, Bloemfontein","Bloemfontein","Titans","field","SB Styris","AT Holdstock","JD Cloete","BDA Westraadt","DJ Smith","CJ Mitchley","Titans",8,NA,NA,NA,NA
575184,6,"Cape Cobras","Warriors","male","2012/13",2013-03-28,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Warriors","field","C Jonker","AT Holdstock","EC Hendrikse","MW Brown",NA,"A Barnes","Warriors",8,NA,NA,NA,NA
575185,6,"Lions","Dolphins","male","2012/13",2013-03-28,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Dolphins","field","GC Viljoen","IL Howell","JD Cloete","BM White","KH Hurter","S Wadvalla","Lions",NA,54,NA,NA,NA
