"striker","start_date","batting_team","bowling_team","innings","Runs","BallsFaced","Fours","Sixes","StrikeRate","NotOuts","Average","Hundreds","Fifties","HighScore","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"C Green",2021-03-06,"Western Australia","Queensland",2,286,390,33,5,73.3333333333333,0,143,1,0,251,"Sheffield Shield","2020/21",1244505,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","Queensland","Queensland","field","C Green",NA,NA,NA
"PSP Handscomb",2022-10-17,"Victoria","Western Australia",1,281,367,23,7,76.566757493188,1,Inf,1,0,281,"Sheffield Shield","2022/23",1322400,"Junction Oval, Melbourne","Melbourne","Western Australia","Victoria","Western Australia","bat","PSP Handscomb",NA,NA,NA
"TLW Cooper",2019-10-10,"South Australia","Victoria",1,271,347,27,7,78.0979827089337,1,Inf,1,0,271,"Marsh Sheffield Shield","2019/20",1196114,"Junction Oval, Melbourne","Melbourne","Victoria","South Australia","Victoria","bat","TLW Cooper",NA,NA,NA
"MS Harris",2019-02-23,"Victoria","Queensland",2,269,352,38,1,76.4204545454545,0,134.5,1,1,174,"Sheffield Shield","2018/19",1150126,"Junction Oval, Melbourne","Melbourne","Queensland","Victoria","Queensland","bat","MS Harris","Victoria","3",NA
"WJ Pucovski",2020-10-30,"Victoria","South Australia",1,255,386,27,1,66.0621761658031,1,Inf,1,0,255,"Sheffield Shield","2020/21",1233450,"Gliderol Stadium, Adelaide","Adelaide","South Australia","Victoria","South Australia","bat","WJ Pucovski",NA,NA,NA
"AJ Doolan",2017-11-13,"Tasmania","Victoria",2,247,383,30,1,64.490861618799,1,247,1,0,247,"Sheffield Shield","2017/18",1118870,"Melbourne Cricket Ground","Melbourne","Tasmania","Victoria","Tasmania","bat","AJ Doolan",NA,NA,NA
"DP Hughes",2023-02-11,"New South Wales","Tasmania",2,241,415,26,0,58.0722891566265,1,241,1,1,178,"Sheffield Shield","2022/23",1322416,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","New South Wales","bat","DP Hughes",NA,NA,NA
"MS Harris",2020-10-30,"Victoria","South Australia",1,239,399,28,1,59.8997493734336,0,239,1,0,239,"Sheffield Shield","2020/21",1233450,"Gliderol Stadium, Adelaide","Adelaide","South Australia","Victoria","South Australia","bat","WJ Pucovski",NA,NA,NA
"DP Hughes",2020-02-24,"New South Wales","South Australia",2,239,361,36,1,66.2049861495845,0,119.5,2,0,136,"Marsh Sheffield Shield","2019/20",1196135,"Bankstown Oval, Sydney","Sydney","New South Wales","South Australia","New South Wales","bat","DP Hughes","New South Wales",NA,"133"
"CP Jewell",2024-02-16,"Tasmania","Western Australia",2,232,325,28,3,71.3846153846154,0,116,1,0,227,"Sheffield Shield","2023/24",1391792,"Bellerive Oval, Hobart","Hobart","Tasmania","Western Australia","Western Australia","field","CP Jewell",NA,NA,NA
"TP Ward",2021-10-07,"Tasmania","Queensland",2,225,473,29,0,47.568710359408,0,112.5,1,1,144,"Sheffield Shield","2021/22",1270435,"Karen Rolton Oval, Adelaide","Adelaide","Tasmania","Queensland","Tasmania","bat","TP Ward",NA,NA,NA
"NJ Maddinson",2019-10-10,"Victoria","South Australia",1,224,328,23,5,68.2926829268293,0,224,1,0,224,"Marsh Sheffield Shield","2019/20",1196114,"Junction Oval, Melbourne","Melbourne","Victoria","South Australia","Victoria","bat","TLW Cooper",NA,NA,NA
"BJ Webster",2020-02-24,"Tasmania","Western Australia",2,216,205,28,5,105.365853658537,1,216,1,0,187,"Marsh Sheffield Shield","2019/20",1196136,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","BJ Webster","Tasmania","5",NA
"SE Marsh",2019-10-18,"Western Australia","Victoria",2,214,439,29,0,48.74715261959,1,214,1,0,214,"Marsh Sheffield Shield","2019/20",1196119,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Victoria","bat","SE Marsh","Western Australia","9",NA
"DR Drew",2023-02-10,"South Australia","Western Australia",2,212,352,25,0,60.2272727272727,1,212,1,0,208,"Sheffield Shield","2022/23",1322415,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","DR Drew","South Australia",NA,"164"
"SM Whiteman",2022-03-31,"Western Australia","Victoria",2,208,517,22,0,40.2321083172147,0,104,1,1,123,"Sheffield Shield","2021/22",1270465,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Victoria","Victoria","field","SM Whiteman",NA,NA,NA
"BJ Webster",2023-03-14,"Tasmania","Queensland",2,208,356,24,0,58.4269662921348,1,208,1,0,168,"Sheffield Shield","2022/23",1322423,"Bellerive Oval, Hobart","Hobart","Tasmania","Queensland","Queensland","field","BJ Webster",NA,NA,NA
"C Green",2019-11-02,"Western Australia","Queensland",2,208,339,27,3,61.3569321533923,2,Inf,1,1,121,"Marsh Sheffield Shield","2019/20",1196122,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","Queensland","Queensland","field","C Green",NA,NA,NA
"MT Renshaw",2022-10-18,"Queensland","New South Wales",2,207,407,11,5,50.8599508599509,2,Inf,1,0,200,"Sheffield Shield","2022/23",1322401,"Drummoyne Oval, Sydney","Sydney","New South Wales","Queensland","Queensland","field","MT Renshaw",NA,NA,NA
"JA Burns",2017-12-03,"Queensland","South Australia",2,206,344,15,4,59.8837209302326,1,206,1,0,202,"Sheffield Shield","2017/18",1118878,"Cazaly's Stadium, Cairns","Cairns","South Australia","Queensland","South Australia","bat","JA Burns",NA,NA,NA
"JJS Sangha",2022-03-23,"New South Wales","South Australia",2,204,338,23,2,60.3550295857988,0,102,1,1,142,"Sheffield Shield","2021/22",1270438,"Karen Rolton Oval, Adelaide","Adelaide","New South Wales","South Australia","South Australia","field","JJS Sangha","South Australia","5",NA
"C Green",2020-02-24,"Western Australia","Tasmania",2,203,366,24,2,55.4644808743169,1,203,1,0,158,"Marsh Sheffield Shield","2019/20",1196136,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","BJ Webster","Tasmania","5",NA
"SE Marsh",2020-10-30,"Western Australia","Tasmania",2,203,316,21,7,64.2405063291139,0,101.5,1,1,115,"Sheffield Shield","2020/21",1233449,"Park 25 No 2, Adelaide","Adelaide","Western Australia","Tasmania","Tasmania","field","SE Marsh",NA,NA,NA
"NJ Maddinson",2020-02-14,"Victoria","New South Wales",2,200,213,17,6,93.8967136150235,1,200,1,1,105,"Marsh Sheffield Shield","2019/20",1196132,"Sydney Cricket Ground","Sydney","Victoria","New South Wales","Victoria","bat","NJ Maddinson","Victoria",NA,"112"
"C Green",2020-10-19,"Western Australia","New South Wales",1,197,438,20,1,44.9771689497717,0,197,1,0,197,"Sheffield Shield","2020/21",1233446,"Park 25 No 2, Adelaide","Adelaide","New South Wales","Western Australia","Western Australia","field","SA Abbott",NA,NA,NA
"NJ Maddinson",2019-03-05,"Victoria","Tasmania",2,197,289,20,2,68.1660899653979,0,98.5,1,1,136,"Sheffield Shield","2018/19",1150129,"Melbourne Cricket Ground","Melbourne","Victoria","Tasmania","Victoria","bat","NJ Maddinson",NA,NA,NA
"TM Head",2017-12-03,"South Australia","Queensland",2,197,265,28,1,74.3396226415094,0,98.5,1,1,132,"Sheffield Shield","2017/18",1118878,"Cazaly's Stadium, Cairns","Cairns","South Australia","Queensland","South Australia","bat","JA Burns",NA,NA,NA
"HWR Cartwright",2018-03-14,"Western Australia","South Australia",2,194,298,22,1,65.1006711409396,1,194,1,1,111,"Sheffield Shield","2017/18",1118893,"Gliderol Stadium, Adelaide","Adelaide","Western Australia","South Australia","South Australia","field","HWR Cartwright","Western Australia",NA,"241"
"SM Whiteman",2022-11-11,"Western Australia","South Australia",1,193,394,28,0,48.9847715736041,0,193,1,0,193,"Sheffield Shield","2022/23",1322406,"Western Australia Cricket Association Ground, Perth","Perth","South Australia","Western Australia","Western Australia","field","SM Whiteman","Western Australia",NA,"28"
"TJ Dean",2022-03-15,"Victoria","Tasmania",2,193,348,27,0,55.4597701149425,0,96.5,1,0,146,"Sheffield Shield","2021/22",1270440,"Junction Oval, Melbourne","Melbourne","Tasmania","Victoria","Tasmania","bat","TJ Dean","Victoria","2",NA
"M Labuschagne",2021-04-15,"Queensland","New South Wales",1,192,353,21,0,54.3909348441926,0,192,1,0,192,"Sheffield Shield","2020/21",1244521,"Allan Border Field, Brisbane","Brisbane","New South Wales","Queensland","New South Wales","bat","M Labuschagne","Queensland",NA,"33"
"JA Burns",2021-02-17,"Queensland","Tasmania",2,191,287,21,3,66.5505226480836,0,95.5,1,0,171,"Sheffield Shield","2020/21",1244519,"Bellerive Oval, Hobart","Hobart","Tasmania","Queensland","Queensland","field","JA Burns","Queensland","3",NA
"HWR Cartwright",2021-09-24,"Western Australia","South Australia",2,190,308,20,7,61.6883116883117,1,190,1,1,121,"Sheffield Shield","2021/22",1270436,"Karen Rolton Oval, Adelaide","Adelaide","Western Australia","South Australia","Western Australia","bat","TM Head",NA,NA,NA
"MW Short",2023-02-20,"Victoria","South Australia",2,189,204,25,1,92.6470588235294,0,94.5,1,1,119,"Sheffield Shield","2022/23",1322417,"Junction Oval, Melbourne","Melbourne","Victoria","South Australia","Victoria","bat","MW Short","Victoria",NA,"177"
"JA Burns",2023-10-26,"Queensland","Tasmania",2,188,401,18,0,46.8827930174564,0,94,1,1,133,"Sheffield Shield","2023/24",1391777,"Bellerive Oval, Hobart","Hobart","Queensland","Tasmania","Tasmania","field","MS Wade","Tasmania","3",NA
"SM Whiteman",2023-10-15,"Western Australia","Tasmania",1,188,383,21,0,49.0861618798956,0,188,1,0,188,"Sheffield Shield","2023/24",1391775,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","SM Whiteman",NA,NA,NA
"AM Hardie",2022-03-31,"Western Australia","Victoria",2,187,364,26,1,51.3736263736264,1,187,1,0,174,"Sheffield Shield","2021/22",1270465,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Victoria","Victoria","field","SM Whiteman",NA,NA,NA
"UT Khawaja",2021-10-15,"Queensland","South Australia",2,187,346,14,1,54.0462427745665,0,93.5,1,0,174,"Sheffield Shield","2021/22",1270448,"Adelaide Oval","Adelaide","Queensland","South Australia","South Australia","field","MT Steketee",NA,NA,NA
"MS Wade",2022-11-12,"Tasmania","New South Wales",2,187,232,22,2,80.6034482758621,0,93.5,1,0,146,"Sheffield Shield","2022/23",1322407,"Bellerive Oval, Hobart","Hobart","Tasmania","New South Wales","New South Wales","field","MS Wade",NA,NA,NA
"SE Marsh",2018-11-16,"Western Australia","South Australia",2,184,308,26,2,59.7402597402597,1,184,1,0,163,"Sheffield Shield","2018/19",1150118,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","SE Marsh","Western Australia","5",NA
"JP Inglis",2024-03-01,"Western Australia","Queensland",2,183,236,22,2,77.5423728813559,1,183,1,0,136,"Sheffield Shield","2023/24",1391796,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Queensland","Queensland","field","JP Inglis","Western Australia",NA,"146"
"CA Wakim",2019-02-23,"Tasmania","South Australia",2,182,373,19,0,48.7935656836461,0,91,1,0,160,"Sheffield Shield","2018/19",1150128,"Adelaide Oval","Adelaide","South Australia","Tasmania","South Australia","bat","JM Bird","Tasmania","6",NA
"MC Henriques",2020-10-19,"New South Wales","Western Australia",2,182,302,22,1,60.2649006622517,1,182,1,0,167,"Sheffield Shield","2020/21",1233446,"Park 25 No 2, Adelaide","Adelaide","New South Wales","Western Australia","Western Australia","field","SA Abbott",NA,NA,NA
"JC Silk",2023-10-15,"Tasmania","Western Australia",2,181,352,19,0,51.4204545454545,0,90.5,1,0,181,"Sheffield Shield","2023/24",1391775,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","SM Whiteman",NA,NA,NA
"R Hackney",2023-03-14,"New South Wales","South Australia",2,180,314,22,1,57.3248407643312,0,90,1,1,102,"Sheffield Shield","2022/23",1322424,"Karen Rolton Oval, Adelaide","Adelaide","New South Wales","South Australia","South Australia","field","J Edwards",NA,NA,NA
"MT Renshaw",2020-11-08,"Queensland","South Australia",2,178,245,18,5,72.6530612244898,2,Inf,1,0,168,"Sheffield Shield","2020/21",1233453,"Gliderol Stadium, Adelaide","Adelaide","Queensland","South Australia","Queensland","bat","MJ Swepson","Queensland",NA,"62"
"CT Bancroft",2023-02-21,"Western Australia","Tasmania",2,177,302,20,0,58.6092715231788,1,177,1,0,176,"Sheffield Shield","2022/23",1322418,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","CT Bancroft","Western Australia",NA,"383"
"UT Khawaja",2020-11-08,"Queensland","South Australia",2,177,251,25,2,70.5179282868526,1,177,1,0,131,"Sheffield Shield","2020/21",1233453,"Gliderol Stadium, Adelaide","Adelaide","Queensland","South Australia","Queensland","bat","MJ Swepson","Queensland",NA,"62"
"BJ Webster",2024-03-01,"Tasmania","Victoria",2,176,207,23,4,85.024154589372,1,176,1,0,167,"Sheffield Shield","2023/24",1391795,"Bellerive Oval, Hobart","Hobart","Tasmania","Victoria","Victoria","field","BJ Webster","Tasmania",NA,"57"
"JS Lehmann",2023-03-14,"South Australia","New South Wales",2,175,261,21,0,67.0498084291188,1,175,1,1,101,"Sheffield Shield","2022/23",1322424,"Karen Rolton Oval, Adelaide","Adelaide","New South Wales","South Australia","South Australia","field","J Edwards",NA,NA,NA
"TM Head",2020-10-19,"South Australia","Tasmania",2,173,284,23,0,60.9154929577465,1,173,1,0,171,"Sheffield Shield","2020/21",1233445,"Karen Rolton Oval, Adelaide","Adelaide","South Australia","Tasmania","South Australia","bat","TM Head",NA,NA,NA
"MS Wade",2019-03-12,"Tasmania","Western Australia",2,172,261,18,4,65.9003831417624,0,86,1,0,134,"Sheffield Shield","2018/19",1150134,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","SM Whiteman","Western Australia",NA,"51"
"DR Drew",2023-03-14,"South Australia","New South Wales",2,169,362,23,0,46.6850828729282,0,84.5,0,2,85,"Sheffield Shield","2022/23",1322424,"Karen Rolton Oval, Adelaide","Adelaide","New South Wales","South Australia","South Australia","field","J Edwards",NA,NA,NA
"M Labuschagne",2020-10-10,"Queensland","Tasmania",1,167,230,17,2,72.6086956521739,0,167,1,0,167,"Sheffield Shield","2020/21",1233444,"Park 25 No 2, Adelaide","Adelaide","Tasmania","Queensland","Tasmania","bat","MG Neser","Queensland",NA,"59"
"NCR Larkin",2020-11-08,"New South Wales","Tasmania",2,166,318,22,0,52.2012578616352,0,83,1,0,161,"Sheffield Shield","2020/21",1233452,"Park 25 No 2, Adelaide","Adelaide","New South Wales","Tasmania","Tasmania","field","SA Abbott","New South Wales",NA,"145"
"BJ Webster",2022-03-23,"Tasmania","Queensland",1,166,172,21,6,96.5116279069767,1,Inf,1,0,166,"Sheffield Shield","2021/22",1270455,"Bellerive Oval, Hobart","Hobart","Queensland","Tasmania","Tasmania","field","SL Rainbird","Tasmania",NA,"231"
"TJ Dean",2021-11-20,"Victoria","New South Wales",2,165,332,19,0,49.6987951807229,1,165,1,0,144,"Sheffield Shield","2021/22",1270462,"Sydney Cricket Ground","Sydney","New South Wales","Victoria","Victoria","field","TJ Dean",NA,NA,NA
"GJ Bailey",2017-11-13,"Tasmania","Victoria",2,165,307,17,2,53.7459283387622,0,82.5,1,1,106,"Sheffield Shield","2017/18",1118870,"Melbourne Cricket Ground","Melbourne","Tasmania","Victoria","Tasmania","bat","AJ Doolan",NA,NA,NA
"CT Bancroft",2022-12-01,"Western Australia","Queensland",1,164,448,14,0,36.6071428571429,1,Inf,1,0,164,"Sheffield Shield","2022/23",1322413,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","Western Australia","Western Australia","field","CT Bancroft",NA,NA,NA
"NA McSweeney",2023-10-15,"South Australia","New South Wales",2,164,332,13,3,49.3975903614458,0,82,1,1,100,"Sheffield Shield","2023/24",1391774,"Adelaide Oval","Adelaide","South Australia","New South Wales","New South Wales","field","NA McSweeney","South Australia",NA,"186"
"MS Harris",2023-11-05,"Victoria","Tasmania",1,164,306,20,2,53.5947712418301,0,164,1,0,164,"Sheffield Shield","2023/24",1391779,"Junction Oval, Melbourne","Melbourne","Tasmania","Victoria","Victoria","field","MS Harris",NA,NA,NA
"HJ Hunt",2021-04-03,"South Australia","Victoria",2,163,323,23,1,50.4643962848297,0,81.5,1,0,127,"Sheffield Shield","2020/21",1251084,"Junction Oval, Melbourne","Melbourne","South Australia","Victoria","South Australia","bat","JM Holland",NA,NA,NA
"TM Head",2021-09-24,"South Australia","Western Australia",1,163,215,18,3,75.8139534883721,0,163,1,0,163,"Sheffield Shield","2021/22",1270436,"Karen Rolton Oval, Adelaide","Adelaide","Western Australia","South Australia","Western Australia","bat","TM Head",NA,NA,NA
"HJ Hunt",2023-11-06,"South Australia","Queensland",2,162,374,21,0,43.3155080213904,0,81,1,0,162,"Sheffield Shield","2023/24",1391781,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","Queensland","Queensland","field","N McAndrew","South Australia",NA,"3"
"BR McDermott",2024-02-03,"Queensland","Tasmania",2,162,248,19,3,65.3225806451613,1,162,1,0,146,"Sheffield Shield","2023/24",1391789,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","Tasmania","Queensland","bat",NA,"Tasmania","4",NA
"SM Whiteman",2020-03-06,"Western Australia","Queensland",2,161,399,25,2,40.3508771929825,0,80.5,1,1,110,"Marsh Sheffield Shield","2019/20",1196140,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Queensland","Queensland","field","SM Whiteman",NA,NA,NA
"NJ Maddinson",2021-11-05,"Victoria","New South Wales",2,161,304,14,1,52.9605263157895,0,80.5,1,0,128,"Sheffield Shield","2021/22",1270437,"Melbourne Cricket Ground","Melbourne","Victoria","New South Wales","New South Wales","field","SM Boland","Victoria",NA,"174"
"CP Jewell",2023-03-02,"Tasmania","Western Australia",2,161,268,22,1,60.0746268656716,0,80.5,1,0,121,"Sheffield Shield","2022/23",1322422,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","CH Stobo","Western Australia","9",NA
"TM Head",2020-10-30,"South Australia","Victoria",2,160,341,21,0,46.9208211143695,0,80,1,0,151,"Sheffield Shield","2020/21",1233450,"Gliderol Stadium, Adelaide","Adelaide","South Australia","Victoria","South Australia","bat","WJ Pucovski",NA,NA,NA
"PSP Handscomb",2022-02-09,"Victoria","South Australia",2,160,305,22,0,52.4590163934426,1,160,1,0,148,"Sheffield Shield","2021/22",1270451,"Adelaide Oval","Adelaide","South Australia","Victoria","South Australia","bat","PSP Handscomb",NA,NA,NA
"AT Carey",2017-12-03,"South Australia","Queensland",2,159,270,15,2,58.8888888888889,1,159,1,0,139,"Sheffield Shield","2017/18",1118878,"Cazaly's Stadium, Cairns","Cairns","South Australia","Queensland","South Australia","bat","JA Burns",NA,NA,NA
"MG Neser",2023-10-04,"Queensland","New South Wales",2,158,316,19,0,50,0,79,1,0,140,"Sheffield Shield","2023/24",1391771,"Cricket Central, Sydney","Sydney","Queensland","New South Wales","New South Wales","field","J Edwards",NA,NA,NA
"NJ Maddinson",2022-02-18,"Victoria","Queensland",2,158,263,22,1,60.0760456273764,2,Inf,1,0,110,"Sheffield Shield","2021/22",1270453,"Junction Oval, Melbourne","Melbourne","Queensland","Victoria","Queensland","bat","NJ Maddinson",NA,NA,NA
"CT Bancroft",2023-10-26,"Western Australia","South Australia",2,157,345,12,0,45.5072463768116,0,78.5,1,1,100,"Sheffield Shield","2023/24",1391778,"Adelaide Oval","Adelaide","Western Australia","South Australia","Western Australia","bat","JS Paris","Western Australia",NA,"200"
"CA Wakim",2023-11-05,"Tasmania","Victoria",2,157,296,20,0,53.0405405405405,0,78.5,1,0,148,"Sheffield Shield","2023/24",1391779,"Junction Oval, Melbourne","Melbourne","Tasmania","Victoria","Victoria","field","MS Harris",NA,NA,NA
"O Davies",2024-03-11,"New South Wales","Queensland",2,156,178,22,1,87.6404494382023,0,78,1,0,131,"Sheffield Shield","2023/24",1391799,"Allan Border Field, Brisbane","Brisbane","Queensland","New South Wales","New South Wales","field","O Davies","New South Wales","5",NA
"SB Harper",2023-11-28,"Victoria","South Australia",2,155,111,16,9,139.63963963964,0,77.5,1,0,151,"Sheffield Shield","2023/24",1391785,"Adelaide Oval","Adelaide","Victoria","South Australia","South Australia","field","SB Harper","Victoria",NA,"23"
"J Weatherald",2022-02-09,"South Australia","Victoria",2,154,282,14,2,54.6099290780142,0,77,1,0,122,"Sheffield Shield","2021/22",1270451,"Adelaide Oval","Adelaide","South Australia","Victoria","South Australia","bat","PSP Handscomb",NA,NA,NA
"SE Marsh",2021-09-24,"Western Australia","South Australia",2,154,273,20,2,56.4102564102564,0,77,1,0,118,"Sheffield Shield","2021/22",1270436,"Karen Rolton Oval, Adelaide","Adelaide","Western Australia","South Australia","Western Australia","bat","TM Head",NA,NA,NA
"CP Jewell",2021-02-17,"Tasmania","Queensland",2,154,270,23,1,57.037037037037,0,77,1,0,140,"Sheffield Shield","2020/21",1244519,"Bellerive Oval, Hobart","Hobart","Tasmania","Queensland","Queensland","field","JA Burns","Queensland","3",NA
"SA Abbott",2021-03-06,"New South Wales","South Australia",2,154,254,18,1,60.6299212598425,0,77,0,2,83,"Sheffield Shield","2020/21",1251095,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","SA Abbott","New South Wales","6",NA
"JC Silk",2022-10-29,"Tasmania","Victoria",1,154,161,9,5,95.6521739130435,1,Inf,1,0,154,"Sheffield Shield","2022/23",1322402,"Bellerive Oval, Hobart","Hobart","Victoria","Tasmania","Tasmania","field","JC Silk",NA,NA,NA
"JP Inglis",2020-10-10,"Western Australia","South Australia",1,153,182,26,3,84.0659340659341,1,Inf,1,0,153,"Sheffield Shield","2020/21",1233443,"Karen Rolton Oval, Adelaide","Adelaide","Western Australia","South Australia","Western Australia","bat","AC Agar","Western Australia",NA,"205"
"BJ Webster",2021-04-03,"Tasmania","Western Australia",2,152,201,14,2,75.6218905472637,1,152,1,0,135,"Sheffield Shield","2020/21",1251085,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Western Australia","field","BJ Webster","Tasmania",NA,"175"
"J Weatherald",2019-02-23,"South Australia","Tasmania",2,151,271,15,5,55.719557195572,0,75.5,1,0,150,"Sheffield Shield","2018/19",1150128,"Adelaide Oval","Adelaide","South Australia","Tasmania","South Australia","bat","JM Bird","Tasmania","6",NA
"MS Wade",2018-11-17,"Tasmania","Victoria",2,151,223,16,3,67.7130044843049,0,75.5,1,0,137,"Sheffield Shield","2018/19",1150119,"Bellerive Oval, Hobart","Hobart","Tasmania","Victoria","Victoria","field","MS Wade","Victoria","6",NA
"JR Doran",2021-03-05,"Tasmania","Victoria",2,150,336,11,0,44.6428571428571,0,75,0,2,98,"Sheffield Shield","2020/21",1244506,"Melbourne Cricket Ground","Melbourne","Tasmania","Victoria","Victoria","field","JR Doran",NA,NA,NA
"JC Silk",2018-03-23,"Tasmania","Queensland",2,150,213,20,2,70.4225352112676,0,75,0,2,76,"Sheffield Shield","2017/18",1118894,"Allan Border Field, Brisbane","Brisbane","Tasmania","Queensland","Tasmania","bat","MS Wade","Queensland","9",NA
"HJ Hunt",2021-11-10,"South Australia","Tasmania",2,149,273,19,3,54.5787545787546,1,149,1,0,134,"Sheffield Shield","2021/22",1270446,"Bellerive Oval, Hobart","Hobart","South Australia","Tasmania","Tasmania","field","HJ Hunt",NA,NA,NA
"HWR Cartwright",2024-03-21,"Western Australia","Tasmania",2,149,269,18,2,55.3903345724907,0,74.5,0,2,94,"Sheffield Shield","2023/24",1391800,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","SM Whiteman","Western Australia",NA,"377"
"KR Patterson",2021-11-20,"New South Wales","Victoria",2,149,190,25,1,78.4210526315789,0,74.5,1,0,112,"Sheffield Shield","2021/22",1270462,"Sydney Cricket Ground","Sydney","New South Wales","Victoria","Victoria","field","TJ Dean",NA,NA,NA
"DP Hughes",2021-11-05,"New South Wales","Victoria",2,148,451,18,0,32.8159645232816,1,148,0,2,89,"Sheffield Shield","2021/22",1270437,"Melbourne Cricket Ground","Melbourne","Victoria","New South Wales","New South Wales","field","SM Boland","Victoria",NA,"174"
"SM Whiteman",2019-03-12,"Western Australia","Tasmania",2,148,319,14,0,46.3949843260188,0,74,0,2,93,"Sheffield Shield","2018/19",1150134,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","SM Whiteman","Western Australia",NA,"51"
"JJ Peirson",2021-10-15,"Queensland","South Australia",2,148,200,18,2,74,0,74,1,0,132,"Sheffield Shield","2021/22",1270448,"Adelaide Oval","Adelaide","Queensland","South Australia","South Australia","field","MT Steketee",NA,NA,NA
"MS Harris",2021-10-27,"Victoria","New South Wales",2,146,381,10,1,38.3202099737533,0,73,1,0,137,"Sheffield Shield","2021/22",1270442,"Drummoyne Oval, Sydney","Sydney","Victoria","New South Wales","Victoria","bat","NJ Maddinson","Victoria",NA,"204"
"HWR Cartwright",2022-10-17,"Western Australia","Victoria",2,146,271,20,0,53.8745387453875,1,146,0,2,76,"Sheffield Shield","2022/23",1322400,"Junction Oval, Melbourne","Melbourne","Western Australia","Victoria","Western Australia","bat","PSP Handscomb",NA,NA,NA
"JR Philippe",2021-11-10,"Western Australia","Queensland",2,146,249,17,3,58.6345381526104,1,146,1,0,129,"Sheffield Shield","2021/22",1270456,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","Western Australia","Western Australia","field","JA Richardson","Western Australia","7",NA
"AT Carey",2021-03-06,"South Australia","New South Wales",2,146,239,16,1,61.0878661087866,0,73,1,0,125,"Sheffield Shield","2020/21",1251095,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","SA Abbott","New South Wales","6",NA
"TP Ward",2023-11-05,"Tasmania","Victoria",2,145,371,14,2,39.0835579514825,1,145,0,2,78,"Sheffield Shield","2023/24",1391779,"Junction Oval, Melbourne","Melbourne","Tasmania","Victoria","Victoria","field","MS Harris",NA,NA,NA
"JJ Peirson",2023-02-21,"Queensland","New South Wales",2,145,204,18,0,71.078431372549,1,145,1,0,115,"Sheffield Shield","2022/23",1322419,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","New South Wales","Queensland","Queensland","field","JJ Peirson","Queensland","5",NA
"BAD Manenti",2022-10-16,"South Australia","Tasmania",2,144,170,10,5,84.7058823529412,1,144,0,2,85,"Sheffield Shield","2022/23",1322399,"Adelaide Oval","Adelaide","South Australia","Tasmania","South Australia","bat","PM Siddle","Tasmania","7",NA
"BE Street",2021-10-07,"Queensland","Tasmania",1,143,334,14,3,42.814371257485,0,143,1,0,143,"Sheffield Shield","2021/22",1270435,"Karen Rolton Oval, Adelaide","Adelaide","Tasmania","Queensland","Tasmania","bat","TP Ward",NA,NA,NA
"DL Solway",2019-11-01,"New South Wales","South Australia",2,143,331,16,0,43.202416918429,1,143,1,0,133,"Marsh Sheffield Shield","2019/20",1196121,"Adelaide Oval","Adelaide","New South Wales","South Australia","South Australia","field","CJ Sayers","New South Wales",NA,"96"
"AJ Doolan",2018-11-05,"Tasmania","New South Wales",2,143,288,15,1,49.6527777777778,0,71.5,0,2,90,"Sheffield Shield","2018/19",1150114,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","New South Wales","bat","JJS Sangha",NA,NA,NA
