"striker","start_date","batting_team","bowling_team","innings","Runs","BallsFaced","Fours","Sixes","StrikeRate","NotOuts","Average","Hundreds","Fifties","HighScore","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"JR Doran",2020-10-10,"Tasmania","Queensland",2,55,243,8,0,22.6337448559671,0,27.5,0,0,36,"Sheffield Shield","2020/21",1233444,"Park 25 No 2, Adelaide","Adelaide","Tasmania","Queensland","Tasmania","bat","MG Neser","Queensland",NA,"59"
"BE Street",2023-02-09,"Queensland","Victoria",2,55,239,6,0,23.0125523012552,0,27.5,0,0,34,"Sheffield Shield","2022/23",1322414,"Melbourne Cricket Ground","Melbourne","Victoria","Queensland","Queensland","field","MS Harris","Victoria",NA,"164"
"BE Street",2020-02-14,"Queensland","Tasmania",2,55,196,8,0,28.0612244897959,1,55,0,0,46,"Marsh Sheffield Shield","2019/20",1196134,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","MG Neser","Queensland","10",NA
"L Scott",2020-10-19,"South Australia","Tasmania",2,55,154,6,0,35.7142857142857,1,55,0,0,40,"Sheffield Shield","2020/21",1233445,"Karen Rolton Oval, Adelaide","Adelaide","South Australia","Tasmania","South Australia","bat","TM Head",NA,NA,NA
"MT Renshaw",2022-12-01,"Queensland","Western Australia",2,55,152,5,0,36.1842105263158,0,27.5,0,1,54,"Sheffield Shield","2022/23",1322413,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","Western Australia","Western Australia","field","CT Bancroft",NA,NA,NA
"MT Renshaw",2017-12-03,"Queensland","South Australia",2,55,144,5,0,38.1944444444444,1,55,0,1,51,"Sheffield Shield","2017/18",1118878,"Cazaly's Stadium, Cairns","Cairns","South Australia","Queensland","South Australia","bat","JA Burns",NA,NA,NA
"CT Bancroft",2023-03-14,"Western Australia","Victoria",2,55,138,4,0,39.8550724637681,0,27.5,0,0,31,"Sheffield Shield","2022/23",1322425,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Victoria","Victoria","field","SM Boland","Victoria","7",NA
"HWR Cartwright",2023-02-10,"Western Australia","South Australia",2,55,132,6,1,41.6666666666667,0,27.5,0,1,50,"Sheffield Shield","2022/23",1322415,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","DR Drew","South Australia",NA,"164"
"MW Short",2019-10-18,"Victoria","Western Australia",2,55,124,7,0,44.3548387096774,0,27.5,0,1,55,"Marsh Sheffield Shield","2019/20",1196119,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Victoria","bat","SE Marsh","Western Australia","9",NA
"HJ Hunt",2024-02-03,"South Australia","Victoria",2,55,120,9,0,45.8333333333333,0,27.5,0,1,54,"Sheffield Shield","2023/24",1391788,"Junction Oval, Melbourne","Melbourne","South Australia","Victoria","Victoria","field","NJ Maddinson","Victoria","3",NA
"KR Patterson",2020-02-14,"New South Wales","Victoria",2,55,117,4,0,47.008547008547,0,27.5,0,1,54,"Marsh Sheffield Shield","2019/20",1196132,"Sydney Cricket Ground","Sydney","Victoria","New South Wales","Victoria","bat","NJ Maddinson","Victoria",NA,"112"
"JR Philippe",2020-02-14,"Western Australia","South Australia",2,55,110,6,1,50,0,27.5,0,0,29,"Marsh Sheffield Shield","2019/20",1196133,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","DJ Worrall","South Australia",NA,"109"
"SJ Truloff",2022-02-09,"Queensland","New South Wales",2,55,105,9,0,52.3809523809524,0,27.5,0,0,37,"Sheffield Shield","2021/22",1270459,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","New South Wales","New South Wales","field","CP Tremain","New South Wales","2",NA
"BM Hope",2023-10-26,"Tasmania","Queensland",2,55,96,6,1,57.2916666666667,1,55,0,0,48,"Sheffield Shield","2023/24",1391777,"Bellerive Oval, Hobart","Hobart","Queensland","Tasmania","Tasmania","field","MS Wade","Tasmania","3",NA
"CJ Green",2023-02-21,"New South Wales","Queensland",2,55,89,7,0,61.7977528089888,0,27.5,0,1,52,"Sheffield Shield","2022/23",1322419,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","New South Wales","Queensland","Queensland","field","JJ Peirson","Queensland","5",NA
