"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","outcome","winner","winner_runs","winner_wickets","tv_umpire","winner_innings","reserve_umpire"
1118894,6,"Tasmania","Queensland","male","2017/18",2018-03-23,"Sheffield Shield",NA,"Allan Border Field, Brisbane","Brisbane","Tasmania","bat","MS Wade","SJ Nogajski","GA Abood","PL Marshall",NA,"Queensland",NA,9,"PJ Gillespie",NA,NA
1150108,6,"New South Wales","South Australia","male","2018/19",2018-10-16,"Sheffield Shield","1","Adelaide Oval","Adelaide","South Australia","field","TA Copeland","SD Fry","SAJ Craig","DJ Harper","draw",NA,NA,NA,NA,NA,NA
1150109,6,"Tasmania","Queensland","male","2018/19",2018-10-16,"Sheffield Shield","2","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","JM Bird","SA Lightbody","GA Abood","SR Bernard",NA,"Tasmania",246,NA,NA,NA,NA
1150114,6,"New South Wales","Tasmania","male","2018/19",2018-11-05,"Sheffield Shield","9","Sydney Cricket Ground","Sydney","New South Wales","bat","JJS Sangha","SA Lightbody","GJ Davidson","PL Marshall","draw",NA,NA,NA,NA,NA,NA
1150118,6,"South Australia","Western Australia","male","2018/19",2018-11-16,"Sheffield Shield","11","Adelaide Oval","Adelaide","Western Australia","field","SE Marsh","SA Lightbody","JD Ward","RW Stratford",NA,"Western Australia",NA,5,NA,NA,NA
1150119,6,"Tasmania","Victoria","male","2018/19",2018-11-17,"Sheffield Shield","12","Bellerive Oval, Hobart","Hobart","Victoria","field","MS Wade","AK Wilds","MW Graham-Smith","RL Parry",NA,"Victoria",NA,6,NA,NA,NA
1150121,6,"Victoria","Queensland","male","2018/19",2018-11-27,"Sheffield Shield","14","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","JA Burns","AK Wilds","SA Lightbody","D Talalla",NA,"Queensland",NA,8,NA,NA,NA
1150126,6,"Queensland","Victoria","male","2018/19",2019-02-23,"Sheffield Shield","19","Junction Oval, Melbourne","Melbourne","Queensland","bat","MS Harris","SD Fry","SB Haig","RL Parry",NA,"Victoria",NA,3,NA,NA,NA
1150128,6,"South Australia","Tasmania","male","2018/19",2019-02-23,"Sheffield Shield","21","Adelaide Oval","Adelaide","South Australia","bat","JM Bird","JD Ward","AY Dandekar","SR Bernard",NA,"Tasmania",NA,6,NA,NA,NA
1150130,6,"New South Wales","Queensland","male","2018/19",2019-03-03,"Sheffield Shield","22","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","MC Henriques","AK Wilds","AY Dandekar","RL Parry",NA,"New South Wales",174,NA,NA,NA,NA
1150131,6,"South Australia","Western Australia","male","2018/19",2019-03-03,"Sheffield Shield","23","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","M Kelly","SJ Nogajski","GA Abood","D Talalla",NA,"Western Australia",NA,6,NA,NA,NA
