"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"MP Kuhnemann",12,96,197,48.7309644670051,16,9,1,6,0,0,24
"MP Stoinis",13,286,550,52,23.8333333333333,37,2,1,0,3,60
"MR Marsh",13,424,633,66.9826224328594,35.3333333333333,51,8,1,2,0,108
"MS Harris",69,3133,6185,50.6548100242522,48.2,378,19,4,9,16,239
"MS Wade",48,2264,4154,54.5016851227732,52.6511627906977,259,29,5,7,13,146
"MT Renshaw",67,2040,4458,45.7604306864065,33.4426229508197,200,21,6,5,6,200
"MT Steketee",52,638,987,64.6403242147923,15.5609756097561,74,8,11,0,1,52
"MW Edwards",6,37,69,53.6231884057971,7.4,5,0,1,0,0,12
"MW Short",58,1796,3377,53.1832987859046,33.8867924528302,205,10,5,3,10,119
"N McAndrew",39,683,1574,43.3926302414231,25.2962962962963,74,10,12,0,3,65
"N Radhakrishnan",2,17,82,20.7317073170732,8.5,2,0,0,0,0,13
"NA McSweeney",50,1540,3828,40.2298850574713,34.2222222222222,155,8,5,5,6,118
"NCR Larkin",33,893,1969,45.3529710512951,27.90625,106,2,1,1,3,161
"NJ Maddinson",53,2317,3631,63.8116221426604,47.2857142857143,240,50,4,9,7,224
"NL Bertus",6,103,256,40.234375,20.6,12,0,1,0,1,53
"NM Lyon",39,278,699,39.7711015736767,8.96774193548387,26,3,8,0,0,31
"NP Winter",23,295,962,30.6652806652807,16.3888888888889,34,0,5,0,1,53
"NT Ellis",14,205,562,36.4768683274021,14.6428571428571,27,1,0,0,0,41
"O Davies",16,754,925,81.5135135135135,53.8571428571429,94,5,2,3,3,131
"PJ Cummins",1,9,34,26.4705882352941,9,0,0,0,0,0,9
"PM Nevill",38,789,1994,39.5687061183551,23.9090909090909,81,0,5,0,5,72
"PM Siddle",50,475,904,52.5442477876106,13.9705882352941,58,3,16,0,0,46
"PR George",2,3,18,16.6666666666667,3,0,0,1,0,0,3
"PSP Handscomb",66,2542,4872,52.175697865353,40.3492063492063,268,13,3,5,14,281
