"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"JM Carder","2019/20","Marsh Sheffield Shield","Western Australia",7,178,379,46.9656992084433,25.4285714285714,24,0,0,0,0,44
"JM Carder","2020/21","Sheffield Shield","Western Australia",2,61,131,46.5648854961832,Inf,4,0,2,0,1,57
"JM Carder","2021/22","Sheffield Shield","South Australia",10,327,629,51.9872813990461,32.7,42,0,0,1,1,118
"JM Carder","2022/23","Sheffield Shield","South Australia",12,180,410,43.9024390243902,15,30,0,0,0,1,54
"JM Carder","2023/24","Sheffield Shield","South Australia",10,143,572,25,14.3,18,0,0,0,0,37
"JM Holland","2016/17","Sheffield Shield","Victoria",2,17,13,130.769230769231,8.5,2,1,0,0,0,17
"JM Holland","2018/19","Sheffield Shield","Victoria",6,52,85,61.1764705882353,13,7,1,2,0,0,29
"JM Holland","2019/20","Marsh Sheffield Shield","Victoria",2,0,31,0,0,0,0,1,0,0,0
"JM Holland","2020/21","Sheffield Shield","Victoria",3,13,16,81.25,4.33333333333333,3,0,0,0,0,13
"JM Holland","2021/22","Sheffield Shield","Victoria",5,1,28,3.57142857142857,0.5,0,0,3,0,0,1
"JM Holland","2022/23","Sheffield Shield","Victoria",10,125,159,78.6163522012579,20.8333333333333,18,1,4,0,1,55
"JM Mennie","2016/17","Sheffield Shield","South Australia",2,41,71,57.7464788732394,41,6,0,1,0,0,36
"JM Mennie","2017/18","Sheffield Shield","South Australia",8,101,262,38.5496183206107,14.4285714285714,12,1,1,0,0,38
"JM Mennie","2018/19","Sheffield Shield","South Australia",8,107,202,52.970297029703,17.8333333333333,12,1,2,0,0,43
"JM Mennie","2019/20","Marsh Sheffield Shield","South Australia",5,118,181,65.1933701657459,23.6,15,0,0,0,0,49
"JP Faulkner","2017/18","Sheffield Shield","Tasmania",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"JP Inglis","2017/18","Sheffield Shield","Western Australia",6,150,257,58.3657587548638,30,17,2,1,0,1,86
"JP Inglis","2018/19","Sheffield Shield","Western Australia",8,103,229,44.9781659388646,14.7142857142857,17,0,1,0,0,29
"JP Inglis","2019/20","Marsh Sheffield Shield","Western Australia",7,101,202,50,14.4285714285714,7,2,0,0,1,58
"JP Inglis","2020/21","Sheffield Shield","Western Australia",7,312,365,85.4794520547945,78,46,6,3,1,2,153
"JP Inglis","2021/22","Sheffield Shield","Western Australia",2,41,47,87.2340425531915,20.5,3,1,0,0,0,28
"JP Inglis","2022/23","Sheffield Shield","Western Australia",6,199,257,77.431906614786,33.1666666666667,24,0,0,1,0,116
"JP Inglis","2023/24","Sheffield Shield","Western Australia",6,266,420,63.3333333333333,53.2,32,4,1,1,0,136
"JR Doran","2017/18","Sheffield Shield","Tasmania",4,203,568,35.7394366197183,50.75,26,0,0,0,1,97
"JR Doran","2018/19","Sheffield Shield","Tasmania",10,135,458,29.4759825327511,16.875,7,0,2,0,0,47
"JR Doran","2019/20","Marsh Sheffield Shield","Tasmania",7,158,374,42.2459893048128,22.5714285714286,20,0,0,0,1,63
"JR Doran","2020/21","Sheffield Shield","Tasmania",14,615,1532,40.1436031331593,43.9285714285714,68,1,0,2,3,123
"JR Doran","2021/22","Sheffield Shield","Tasmania",8,199,481,41.3721413721414,24.875,27,1,0,0,2,72
"JR Doran","2022/23","Sheffield Shield","Tasmania",16,402,822,48.9051094890511,26.8,44,3,1,0,2,85
"JR Doran","2023/24","Sheffield Shield","Tasmania",14,479,839,57.0917759237187,34.2142857142857,68,2,0,1,1,118
"JR Hazlewood","2019/20","Marsh Sheffield Shield","New South Wales",2,1,10,10,0.5,0,0,0,0,0,1
"JR Hazlewood","2020/21","Sheffield Shield","New South Wales",4,3,23,13.0434782608696,1.5,0,0,2,0,0,3
"JR Philippe","2017/18","Sheffield Shield","Western Australia",4,92,123,74.7967479674797,23,18,0,0,0,1,74
"JR Philippe","2018/19","Sheffield Shield","Western Australia",8,273,453,60.2649006622517,39,32,2,1,0,2,76
"JR Philippe","2019/20","Marsh Sheffield Shield","Western Australia",9,283,561,50.445632798574,31.4444444444444,38,1,0,0,3,65
"JR Philippe","2021/22","Sheffield Shield","Western Australia",11,357,718,49.7214484679666,35.7,38,5,1,1,2,129
"JR Philippe","2022/23","Sheffield Shield","Western Australia",11,140,332,42.1686746987952,14,18,1,1,0,0,30
"JR Philippe","2023/24","Sheffield Shield","Western Australia",11,174,281,61.9217081850534,17.4,21,1,1,0,1,52
"JS Buckingham","2021/22","Sheffield Shield","South Australia",1,0,10,0,NA,0,0,1,0,0,0
"JS Buckingham","2022/23","Sheffield Shield","South Australia",7,25,66,37.8787878787879,6.25,4,0,3,0,0,17
"JS Buckingham","2023/24","Sheffield Shield","South Australia",11,6,90,6.66666666666667,1.5,0,0,7,0,0,2
"JS Lehmann","2016/17","Sheffield Shield","South Australia",2,15,32,46.875,7.5,1,0,0,0,0,14
"JS Lehmann","2017/18","Sheffield Shield","South Australia",8,129,230,56.0869565217391,16.125,19,0,0,0,0,43
"JS Lehmann","2018/19","Sheffield Shield","South Australia",10,148,398,37.1859296482412,16.4444444444444,16,0,1,0,1,61
"JS Lehmann","2019/20","Marsh Sheffield Shield","South Australia",5,55,139,39.568345323741,11,3,0,0,0,0,25
"JS Lehmann","2020/21","Sheffield Shield","South Australia",4,206,311,66.2379421221865,68.6666666666667,24,0,1,0,2,80
"JS Lehmann","2021/22","Sheffield Shield","South Australia",3,106,106,100,35.3333333333333,16,0,0,0,1,94
"JS Lehmann","2022/23","Sheffield Shield","South Australia",19,531,919,57.7801958650707,31.2352941176471,67,0,2,1,4,101
"JS Lehmann","2023/24","Sheffield Shield","South Australia",20,428,672,63.6904761904762,21.4,57,0,0,1,3,115
"JS Paris","2017/18","Sheffield Shield","Western Australia",2,37,182,20.3296703296703,37,3,0,1,0,0,23
"JS Paris","2018/19","Sheffield Shield","Western Australia",5,58,203,28.5714285714286,11.6,5,0,0,0,0,26
"JS Paris","2019/20","Marsh Sheffield Shield","Western Australia",4,134,265,50.5660377358491,33.5,20,2,0,0,1,93
"JS Paris","2020/21","Sheffield Shield","Western Australia",2,52,100,52,26,7,0,0,0,0,48
