"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"PM Siddle","Victoria","2018/19","Sheffield Shield",8,140.2,24,407,12,33.9166666666667,2.90023752969121,70.1666666666667,641,2,0,"4/62"
"MJ Swepson","Queensland","2022/23","Sheffield Shield",7,171.5,23,476,12,39.6666666666667,2.77012609117362,85.9166666666667,763,0,1,"5/113"
"DMK Grant","South Australia","2021/22","Sheffield Shield",9,178.4,38,480,12,40,2.6865671641791,89.3333333333333,837,0,0,"3/66"
"JA Richardson","Western Australia","2021/22","Sheffield Shield",4,52.2,22,103,11,9.36363636363636,1.96815286624204,28.5454545454545,266,0,1,"5/23"
"DJ Worrall","South Australia","2019/20","Marsh Sheffield Shield",4,80,28,162,11,14.7272727272727,2.025,43.6363636363636,400,1,1,"5/31"
"MA Starc","New South Wales","2019/20","Marsh Sheffield Shield",4,83.2,27,189,11,17.1818181818182,2.268,45.4545454545455,404,0,2,"5/20"
"L Guthrie","Queensland","2023/24","Sheffield Shield",4,55,7,221,11,20.0909090909091,4.01818181818182,30,234,0,1,"6/60"
"SP Mackin","Western Australia","2017/18","Sheffield Shield",5,84.2,23,227,11,20.6363636363636,2.69169960474308,46,412,0,1,"6/43"
"SA Abbott","New South Wales","2021/22","Sheffield Shield",4,85.4,16,228,11,20.7272727272727,2.66147859922179,46.7272727272727,394,0,1,"6/38"
"LR Morris","Western Australia","2023/24","Sheffield Shield",6,82.5,11,281,11,25.5454545454545,3.39235412474849,45.1818181818182,375,0,0,"3/44"
"XC Bartlett","Queensland","2023/24","Sheffield Shield",6,88.3,21,313,11,28.4545454545455,3.53672316384181,48.2727272727273,407,0,1,"5/64"
"JL Pattinson","Victoria","2019/20","Marsh Sheffield Shield",4,108,22,318,11,28.9090909090909,2.94444444444444,58.9090909090909,501,2,0,"4/66"
"MJ Swepson","Queensland","2019/20","Marsh Sheffield Shield",7,128.4,29,329,11,29.9090909090909,2.55699481865285,70.1818181818182,587,1,0,"4/75"
"W Sutherland","Victoria","2020/21","Sheffield Shield",8,129,34,338,11,30.7272727272727,2.62015503875969,70.3636363636364,620,0,0,"3/26"
"SL Rainbird","Tasmania","2019/20","Marsh Sheffield Shield",8,140.3,36,381,11,34.6363636363636,2.71174377224199,76.6363636363636,679,0,1,"5/77"
"JD Wildermuth","Queensland","2021/22","Sheffield Shield",11,134.4,22,401,11,36.4545454545455,2.97772277227723,73.4545454545455,649,0,0,"2/29"
"MJ Swepson","Queensland","2017/18","Sheffield Shield",7,117.3,7,472,11,42.9090909090909,4.01702127659574,64.0909090909091,461,0,1,"5/142"
"CJ Sayers","South Australia","2020/21","Sheffield Shield",9,183,57,485,11,44.0909090909091,2.65027322404372,99.8181818181818,883,0,0,"3/27"
"CP Tremain","Victoria","2019/20","Marsh Sheffield Shield",10,179.4,41,510,11,46.3636363636364,2.83858998144712,98,840,0,0,"2/41"
"L Pope","South Australia","2021/22","Sheffield Shield",8,118.5,10,533,11,48.4545454545455,4.48527349228612,64.8181818181818,469,1,0,"4/92"
"MA Starc","New South Wales","2017/18","Sheffield Shield",2,37.4,3,119,10,11.9,3.15929203539823,22.6,173,0,1,"8/73"
"AM Hardie","Western Australia","2021/22","Sheffield Shield",4,60,14,141,10,14.1,2.35,36,298,1,0,"4/24"
"JL Pattinson","Victoria","2018/19","Sheffield Shield",6,59,11,187,10,18.7,3.16949152542373,35.4,271,0,0,"3/13"
"NM Lyon","New South Wales","2017/18","Sheffield Shield",5,68.3,12,188,10,18.8,2.74452554744526,41.1,308,0,0,"3/59"
"MW Short","Victoria","2022/23","Sheffield Shield",13,64.4,9,215,10,21.5,3.32474226804124,38.8,254,0,0,"2/3"
"JS Paris","Western Australia","2019/20","Marsh Sheffield Shield",4,75.4,20,256,10,25.6,3.38325991189427,45.4,348,0,1,"5/90"
"M Perry","Victoria","2020/21","Sheffield Shield",8,97,26,283,10,28.3,2.91752577319588,58.2,462,0,0,"3/25"
"LC Hatcher","New South Wales","2023/24","Sheffield Shield",5,77.4,11,310,10,31,3.99141630901288,46.6,333,1,0,"4/56"
"MG Neser","Queensland","2017/18","Sheffield Shield",6,93.1,20,316,10,31.6,3.391771019678,55.9,427,1,0,"4/32"
"DJ Worrall","South Australia","2021/22","Sheffield Shield",7,140,45,335,10,33.5,2.39285714285714,84,682,1,0,"4/49"
