"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"DR Briggs","Hampshire",2015,"NatWest T20 Blast",15,"59.0",0,414,18,23,7.01694915254237,19.6666666666667,118,0,0,"3/21"
"AJ Tye","Gloucestershire",2016,"NatWest T20 Blast",13,"49.1",0,421,18,23.3888888888889,8.56271186440678,16.3888888888889,84,0,0,"3/16"
"CF Parkinson","Leicestershire",2021,"Vitality Blast",14,"56.0",1,421,18,23.3888888888889,7.51785714285714,18.6666666666667,115,1,0,"4/35"
"MT Coles","Hampshire",2014,"NatWest T20 Blast",15,"57.0",0,469,18,26.0555555555556,8.2280701754386,19,116,0,0,"2/24"
"CP Wood","Hampshire",2015,"NatWest T20 Blast",15,"52.5",0,474,18,26.3333333333333,8.97160883280757,17.6111111111111,124,1,0,"4/16"
"L Gregory","Somerset",2018,"Vitality Blast",16,"58.0",0,574,18,31.8888888888889,9.89655172413793,19.3333333333333,96,1,0,"4/28"
"TS Mills","Sussex",2021,"Vitality Blast",9,"30.0",0,240,17,14.1176470588235,8,10.5882352941176,73,0,0,"3/20"
"Rashid Khan","Sussex",2018,"Vitality Blast",10,"37.0",0,244,17,14.3529411764706,6.59459459459459,13.0588235294118,80,0,0,"3/9"
"TS Roland-Jones","Middlesex",2016,"NatWest T20 Blast",12,"39.0",0,287,17,16.8823529411765,7.35897435897436,13.7647058823529,96,0,0,"3/24"
"DA Payne","Gloucestershire",2017,"NatWest T20 Blast",12,"39.4",1,298,17,17.5294117647059,7.51260504201681,14,105,0,0,"3/13"
"PM Siddle","Somerset",2022,"Vitality Blast",11,"36.1",0,304,17,17.8823529411765,8.40552995391705,12.7647058823529,75,0,0,"3/10"
"AJ Ireland","Leicestershire",2014,"NatWest T20 Blast",10,"34.5",1,305,17,17.9411764705882,8.75598086124402,12.2941176470588,80,0,1,"5/22"
"RJW Topley","Sussex",2019,"Vitality Blast",10,"36.0",0,305,17,17.9411764705882,8.47222222222222,12.7058823529412,98,1,0,"4/33"
"TK Curran","Surrey",2019,"Vitality Blast",10,"33.1",0,305,17,17.9411764705882,9.19597989949749,11.7058823529412,75,0,0,"3/3"
"D Moriarty","Surrey",2020,"Vitality Blast",13,"45.0",0,311,17,18.2941176470588,6.91111111111111,15.8823529411765,92,0,0,"3/25"
