"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Nongthombam Denin","Manipur","2020/21","Syed Mushtaq Ali Trophy",2,"7.0",0,46,2,23,6.57142857142857,21,18,0,0,"1/14"
"Rana Dutta","Tripura","2022/23","Syed Mushtaq Ali Trophy",2,"6.0",0,46,2,23,7.66666666666667,18,16,0,0,"1/21"
"Lamabam Singh","Manipur","2021/22","Syed Mushtaq Ali Trophy",2,"6.0",0,47,2,23.5,7.83333333333333,18,9,0,0,"2/32"
"Deepraj Gaonkar","Goa","2015/16","Syed Mushtaq Ali Trophy",4,"9.0",0,48,2,24,5.33333333333333,27,20,0,0,"1/9"
"J Suchith","Karnataka","2017/18","Syed Mushtaq Ali Trophy",2,"8.0",0,48,2,24,6,24,24,0,0,"2/13"
"RA Tripathi","Maharashtra","2019/20","Syed Mushtaq Ali Trophy",3,"7.0",0,48,2,24,6.85714285714286,21,17,0,0,"2/12"
"RB Bishnoi Jr","Meghalaya","2023/24","Syed Mushtaq Ali Trophy",2,"7.0",0,48,2,24,6.85714285714286,21,15,0,0,"1/20"
"AR Lamba","Rajasthan","2019/20","Syed Mushtaq Ali Trophy",2,"7.0",0,49,2,24.5,7,21,23,0,0,"1/17"
"Damodaran Rohit","Puducherry","2020/21","Syed Mushtaq Ali Trophy",3,"5.0",0,49,2,24.5,9.8,15,8,0,0,"2/26"
"KR Sen","Tamil Nadu","2023/24","Syed Mushtaq Ali Trophy",2,"5.0",0,49,2,24.5,9.8,15,9,0,0,"2/28"
"Kukna Ajay Singh","Rajasthan","2015/16","Syed Mushtaq Ali Trophy",2,"7.0",0,49,2,24.5,7,21,12,0,0,"1/23"
"Utkarsh Singh","Jharkhand","2020/21","Syed Mushtaq Ali Trophy",3,"9.0",0,49,2,24.5,5.44444444444444,27,21,0,0,"1/10"
"Vasuki Koushik","Karnataka","2021/22","Syed Mushtaq Ali Trophy",1,"4.0",0,49,2,24.5,12.25,12,9,0,0,"2/49"
"Yuvraj Singh","Punjab","2015/16","Syed Mushtaq Ali Trophy",3,"5.4",0,49,2,24.5,8.64705882352941,17,11,0,0,"2/16"
"Chinta Gandhi","Baroda","2020/21","Syed Mushtaq Ali Trophy",3,"8.0",0,50,2,25,6.25,24,20,0,0,"1/12"
"Chirag Jani","Saurashtra","2018/19","Syed Mushtaq Ali Trophy",4,"10.0",1,50,2,25,5,30,28,0,0,"1/7"
"Dinesh Rai","Sikkim","2019/20","Syed Mushtaq Ali Trophy",4,"6.3",0,50,2,25,7.69230769230769,19.5,15,0,0,"2/15"
"Lalith Mohan","Andhra","2020/21","Syed Mushtaq Ali Trophy",2,"8.0",0,50,2,25,6.25,24,21,0,0,"1/21"
"Shiva Singh","Uttar Pradesh","2022/23","Syed Mushtaq Ali Trophy",2,"8.0",0,50,2,25,6.25,24,20,0,0,"2/25"
"AS Rajpoot","Uttar Pradesh","2020/21","Syed Mushtaq Ali Trophy",2,"7.4",1,51,2,25.5,6.65217391304348,23,24,0,0,"2/28"
"AS Thakare","Vidarbha","2020/21","Syed Mushtaq Ali Trophy",2,"8.0",0,51,2,25.5,6.375,24,15,0,0,"1/19"
"Mohit Jangra","Uttar Pradesh","2018/19","Syed Mushtaq Ali Trophy",2,"7.0",0,51,2,25.5,7.28571428571429,21,18,0,0,"1/21"
"Shivendra Singh","Railways","2020/21","Syed Mushtaq Ali Trophy",2,"7.0",0,51,2,25.5,7.28571428571429,21,19,0,0,"2/33"
"Subhash Sharma","Arunachal Pradesh","2018/19","Syed Mushtaq Ali Trophy",2,"7.1",0,51,2,25.5,7.11627906976744,21.5,19,0,0,"1/25"
"Mayank Mishra","Uttarakhand","2018/19","Syed Mushtaq Ali Trophy",2,"4.0",0,52,2,26,13,12,7,0,0,"1/16"
"Palzor Tamang","Sikkim","2021/22","Syed Mushtaq Ali Trophy",3,"6.0",0,52,2,26,8.66666666666667,18,11,0,0,"2/32"
"Rachit Bhatia","Nagaland","2018/19","Syed Mushtaq Ali Trophy",2,"6.0",0,52,2,26,8.66666666666667,18,14,0,0,"2/44"
"Damodaran Rohit","Puducherry","2022/23","Syed Mushtaq Ali Trophy",3,"6.0",0,53,2,26.5,8.83333333333333,18,10,0,0,"1/9"
"M Markande","Punjab","2021/22","Syed Mushtaq Ali Trophy",2,"6.0",0,53,2,26.5,8.83333333333333,18,8,0,0,"2/29"
"MD Ingale","Maharashtra","2018/19","Syed Mushtaq Ali Trophy",3,"8.0",1,53,2,26.5,6.625,24,19,0,0,"2/18"
"Mohsin Khan","Uttar Pradesh","2021/22","Syed Mushtaq Ali Trophy",2,"8.0",0,53,2,26.5,6.625,24,26,0,0,"2/31"
"V Tokas","Delhi","2017/18","Syed Mushtaq Ali Trophy",2,"5.1",0,53,2,26.5,10.258064516129,15.5,12,0,0,"2/36"
"P Suyal","Delhi","2020/21","Syed Mushtaq Ali Trophy",2,"6.0",1,54,2,27,9,18,16,0,0,"2/12"
"Tarani Sa","Odisha","2020/21","Syed Mushtaq Ali Trophy",2,"6.0",0,56,2,28,9.33333333333333,18,8,0,0,"2/37"
"YK Pathan","Baroda","2015/16","Syed Mushtaq Ali Trophy",4,"7.0",0,56,2,28,8,21,12,0,0,"1/10"
"AL Menaria","Rajasthan","2015/16","Syed Mushtaq Ali Trophy",4,"11.0",0,57,2,28.5,5.18181818181818,33,24,0,0,"1/14"
"Ankit Kushwah","Madhya Pradesh","2022/23","Syed Mushtaq Ali Trophy",2,"6.0",0,57,2,28.5,9.5,18,10,0,0,"1/18"
"Chintan Gaja","Gujarat","2020/21","Syed Mushtaq Ali Trophy",3,"8.0",0,57,2,28.5,7.125,24,24,0,0,"1/11"
"Jay Bista","Mumbai","2017/18","Syed Mushtaq Ali Trophy",3,"7.0",0,57,2,28.5,8.14285714285714,21,13,0,0,"1/21"
"Shivam Sharma","Uttar Pradesh","2021/22","Syed Mushtaq Ali Trophy",3,"10.0",0,57,2,28.5,5.7,30,27,0,0,"2/20"
"Tahmeed Rahman","Nagaland","2022/23","Syed Mushtaq Ali Trophy",4,"7.0",0,57,2,28.5,8.14285714285714,21,13,0,0,"1/13"
"AS Raut","Odisha","2019/20","Syed Mushtaq Ali Trophy",4,"9.0",0,58,2,29,6.44444444444444,27,20,0,0,"1/21"
"Baltej Singh","Punjab","2023/24","Syed Mushtaq Ali Trophy",2,"8.0",0,58,2,29,7.25,24,20,0,0,"2/15"
"RA Tripathi","Maharashtra","2015/16","Syed Mushtaq Ali Trophy",3,"7.0",0,58,2,29,8.28571428571429,21,10,0,0,"2/31"
"Kangabam Singh","Manipur","2021/22","Syed Mushtaq Ali Trophy",2,"7.0",0,59,2,29.5,8.42857142857143,21,11,0,0,"2/23"
"Pallav Kumar Das","Assam","2018/19","Syed Mushtaq Ali Trophy",4,"7.0",0,59,2,29.5,8.42857142857143,21,15,0,0,"1/6"
"S Gopal","Karnataka","2020/21","Syed Mushtaq Ali Trophy",3,"8.4",0,59,2,29.5,6.80769230769231,26,18,0,0,"2/27"
"Samarth Seth","Arunachal Pradesh","2019/20","Syed Mushtaq Ali Trophy",4,"6.2",0,59,2,29.5,9.31578947368421,19,10,0,0,"1/4"
"SD Lad","Mumbai","2015/16","Syed Mushtaq Ali Trophy",4,"7.0",0,59,2,29.5,8.42857142857143,21,9,0,0,"2/27"
"Debabrata Pradhan","Odisha","2017/18","Syed Mushtaq Ali Trophy",4,"10.2",0,60,2,30,5.80645161290323,31,31,0,0,"1/6"
