"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"M Prasidh Krishna",2,1,5,20,1,0,0,1,0,0,1
"M Rawat",7,248,199,124.623115577889,49.6,20,6,2,0,2,72
"M Shahrukh Khan",24,379,257,147.470817120623,25.2666666666667,29,24,9,0,0,40
"M Siddharth",1,1,2,50,Inf,0,0,1,0,0,1
"M Vijay",9,388,276,140.579710144928,43.1111111111111,38,14,0,1,3,107
"M Vohra",29,987,748,131.951871657754,39.48,88,43,4,1,7,106
"MA Agarwal",35,804,631,127.416798732171,25.9354838709677,88,23,4,0,5,86
"MA Sharma",1,2,10,20,2,0,0,0,0,0,2
"MB Darshan",2,0,0,NA,NA,0,0,2,0,0,0
"MC Juneja",9,214,170,125.882352941176,26.75,21,3,1,0,1,54
"MD Ingale",2,18,8,225,18,2,1,1,0,0,12
"MD Nidheesh",3,6,3,200,6,0,1,2,0,0,6
"MD Rahmatullah",13,261,211,123.696682464455,23.7272727272727,16,14,2,0,1,64
"MG Sirur",8,72,54,133.333333333333,12,10,2,2,0,0,27
"MK Lomror",31,814,665,122.406015037594,33.9166666666667,71,28,7,0,6,78
"MK Pandey",34,1000,734,136.239782016349,38.4615384615385,70,49,8,2,5,129
"MK Tiwary",27,506,442,114.47963800905,23,31,18,5,0,1,63
"MM Patel",1,0,0,NA,NA,0,0,1,0,0,0
"MM Sharma",2,4,9,44.4444444444444,2,0,0,0,0,0,4
"MN Singh",17,218,200,109,12.8235294117647,17,9,0,0,1,77
"MR Raut",6,44,45,97.7777777777778,7.33333333333333,4,1,0,0,0,20
"MR Shylla",1,0,2,0,0,0,0,0,0,0,0
"MS Akhil",1,9,4,225,Inf,2,0,1,0,0,9
"MS Bhandage",5,91,65,140,22.75,5,6,1,0,0,25
"MS Gony",10,84,59,142.372881355932,10.5,5,5,2,0,0,18
"MS Hooda",4,142,148,95.945945945946,35.5,8,2,0,0,1,65
"MS Redkar",1,1,1,100,Inf,0,0,1,0,0,1
"MSR Charan",1,0,2,0,0,0,0,0,0,0,0
"MSS Hussain",1,6,4,150,6,1,0,0,0,0,6
"Madhav Avsh",1,2,9,22.2222222222222,Inf,0,0,1,0,0,2
"Madhav Kaushik",4,67,62,108.064516129032,16.75,8,2,0,0,0,24
"Manan Sharma",2,21,16,131.25,21,1,1,1,0,0,19
"Mandeep Singh",38,1124,776,144.845360824742,43.2307692307692,112,37,12,0,8,99
"Mandup Bhutia",9,40,57,70.1754385964912,5,4,1,1,0,0,19
"Mangal Mahrour",17,342,346,98.8439306358381,22.8,33,9,2,0,3,64
"Manik Beri",1,17,18,94.4444444444444,17,1,1,0,0,0,17
"Manik Gupta",2,9,8,112.5,Inf,1,0,2,0,0,9
"Manisankar Murasingh",32,535,373,143.43163538874,22.2916666666667,32,31,8,0,2,61
"Manish Dogra",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"Manish Golamaru",5,30,37,81.0810810810811,6,2,1,0,0,0,14
"Manjeet Singh",2,9,6,150,4.5,2,0,0,0,0,9
"Manjinder Singh",2,27,42,64.2857142857143,13.5,2,0,0,0,0,14
"Manjot Kalra",2,13,14,92.8571428571429,6.5,0,2,0,0,0,13
"Manogaran Pooviarasan",1,0,1,0,0,0,0,0,0,0,0
"Manoj Singh",4,79,60,131.666666666667,19.75,7,1,0,0,0,35
"Manvan Patel",4,10,7,142.857142857143,2.5,0,1,0,0,0,8
"Manzoor Dar",11,146,120,121.666666666667,16.2222222222222,11,7,2,0,0,39
"Marimuthu Vikneshwaran",21,161,175,92,10.0625,12,5,5,0,0,34
"Mark Ingty",3,58,42,138.095238095238,29,2,3,1,0,0,39
"Mayank Dagar",12,53,72,73.6111111111111,5.88888888888889,3,1,3,0,0,21
"Mayank Mishra",9,34,54,62.962962962963,4.85714285714286,2,1,2,0,0,14
"Mayank Raghav",6,301,210,143.333333333333,60.2,33,14,1,1,2,103
"Mayank Sidhana",5,39,41,95.1219512195122,13,5,0,2,0,0,21
"Md Nazim",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"Md Saptula",3,4,8,50,4,0,0,2,0,0,3
"Mehdi Hassan",8,21,29,72.4137931034483,10.5,0,0,6,0,0,8
"Mickil Jaiswal",3,63,38,165.789473684211,31.5,3,5,1,0,0,44
"Mihir Hirwani",8,24,29,82.7586206896552,4,1,1,2,0,0,8
"Milind Kumar",26,681,578,117.820069204152,34.05,62,17,6,0,5,64
"Mitesh Patel",8,152,133,114.285714285714,21.7142857142857,17,2,1,0,1,60
"Moakumzuk Tzudir",3,1,3,33.3333333333333,0.5,0,0,1,0,0,1
"Mohammad Saif",5,53,68,77.9411764705882,10.6,5,0,0,0,0,32
"Mohammed Azharuddeen",27,436,384,113.541666666667,16.1481481481481,35,18,0,0,1,60
"Mohammed Mudhasir",7,19,24,79.1666666666667,2.71428571428571,1,1,0,0,0,7
"Mohammed Shami",1,4,3,133.333333333333,4,1,0,0,0,0,4
"Mohammed Siraj",6,16,27,59.2592592592593,3.2,2,0,1,0,0,12
"Mohammed Taha",4,86,77,111.688311688312,21.5,10,3,0,0,0,45
"Mohd Israr",1,0,2,0,0,0,0,0,0,0,0
"Mohit Ahlawat",6,27,26,103.846153846154,5.4,2,1,1,0,0,19
"Mohit Jangra",4,39,36,108.333333333333,13,4,1,1,0,0,16
"Mohit Kumar",5,18,10,180,6,1,2,2,0,0,12
"Mohit Mittan",3,54,48,112.5,18,4,2,0,0,0,28
"Mohit Mongia",3,29,25,116,9.66666666666667,3,1,0,0,0,13
"Mohsin Khan",9,52,40,130,8.66666666666667,4,2,3,0,0,19
"Monu Kumar",9,37,24,154.166666666667,9.25,2,3,5,0,0,16
"Mrinmoy Dutta",4,6,12,50,3,1,0,2,0,0,6
"Mrunal Devdhar",34,766,622,123.151125401929,23.2121212121212,86,20,1,0,6,82
"Mughavi Wotsa",3,25,48,52.0833333333333,12.5,3,0,1,0,0,17
