"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"N Pooran",2023-07-25,"MI New York","Seattle Orcas",1,68,34,3,7,200,FALSE,"Major League Cricket",2023,1381375,"Church Street Park, Morrisville","Morrisville","MI New York","Seattle Orcas","Seattle Orcas","field","H Klaasen","Seattle Orcas","2",NA
"UBT Chand",2024-07-05,"Los Angeles Knight Riders","Texas Super Kings",1,68,45,6,3,151.111111111111,FALSE,"Major League Cricket",2024,1432727,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Texas Super Kings","Texas Super Kings","field","Ali Khan","Los Angeles Knight Riders",NA,"12"
"FH Allen",2024-07-07,"San Francisco Unicorns","Los Angeles Knight Riders",2,63,37,4,5,170.27027027027,FALSE,"Major League Cricket",2024,1432729,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","San Francisco Unicorns","San Francisco Unicorns","field","FH Allen","San Francisco Unicorns","6",NA
"N Pooran",2023-07-23,"MI New York","Washington Freedom",2,62,33,4,6,187.878787878788,TRUE,"Major League Cricket",2023,1381373,"Church Street Park, Morrisville","Morrisville","Washington Freedom","MI New York","MI New York","field","N Pooran","MI New York","8",NA
"Q de Kock",2024-07-20,"Seattle Orcas","San Francisco Unicorns",1,62,33,8,3,187.878787878788,FALSE,"Major League Cricket",2024,1432743,"Grand Prairie Stadium, Dallas","Dallas","Seattle Orcas","San Francisco Unicorns","San Francisco Unicorns","field","FH Allen","San Francisco Unicorns","6",NA
"N Pooran",2024-07-05,"MI New York","Seattle Orcas",2,62,37,7,2,167.567567567568,TRUE,"Major League Cricket",2024,1432726,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","MI New York","MI New York","field","N Pooran","MI New York","6",NA
"DP Conway",2024-07-26,"Texas Super Kings","San Francisco Unicorns",2,62,38,4,2,163.157894736842,TRUE,"Major League Cricket",2024,1432749,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","Texas Super Kings","Texas Super Kings","field","FH Allen","San Francisco Unicorns",NA,"10"
"UBT Chand",2024-07-17,"Los Angeles Knight Riders","Seattle Orcas",2,62,47,3,3,131.914893617021,FALSE,"Major League Cricket",2024,1432740,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","Los Angeles Knight Riders","Seattle Orcas","bat","RD Rickelton","Los Angeles Knight Riders","4",NA
"Shadab Khan",2023-07-14,"San Francisco Unicorns","MI New York",1,61,30,4,5,203.333333333333,FALSE,"Major League Cricket",2023,1381362,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"22"
"F du Plessis",2024-07-14,"Texas Super Kings","MI New York",1,61,38,4,4,160.526315789474,FALSE,"Major League Cricket",2024,1432737,"Grand Prairie Stadium, Dallas","Dallas","Texas Super Kings","MI New York","MI New York","field","Rashid Khan","Texas Super Kings",NA,"15"
"DA Miller",2023-07-13,"Texas Super Kings","Los Angeles Knight Riders",1,61,42,2,4,145.238095238095,FALSE,"Major League Cricket",2023,1381361,"Grand Prairie Stadium","Grand Prairie","Texas Super Kings","Los Angeles Knight Riders","Los Angeles Knight Riders","field","DA Miller","Texas Super Kings",NA,"69"
"MD Patel",2024-07-14,"MI New York","Texas Super Kings",2,61,45,3,4,135.555555555556,FALSE,"Major League Cricket",2024,1432737,"Grand Prairie Stadium, Dallas","Dallas","Texas Super Kings","MI New York","MI New York","field","Rashid Khan","Texas Super Kings",NA,"15"
"GSNFG Jayasuriya",2023-07-23,"Seattle Orcas","Los Angeles Knight Riders",1,60,45,7,1,133.333333333333,TRUE,"Major League Cricket",2023,1381372,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","Los Angeles Knight Riders","Los Angeles Knight Riders","field","RR Rossouw","Los Angeles Knight Riders","2",NA
"CJ Anderson",2024-07-18,"San Francisco Unicorns","MI New York",1,59,37,4,2,159.459459459459,TRUE,"Major League Cricket",2024,1432741,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"3"
"AGS Gous",2024-07-16,"Washington Freedom","MI New York",1,59,48,3,4,122.916666666667,FALSE,"Major League Cricket",2024,1432739,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","MI New York","MI New York","field","Jasdeep Singh","Washington Freedom",NA,"94"
"MW Short",2024-07-07,"San Francisco Unicorns","Los Angeles Knight Riders",2,58,26,3,5,223.076923076923,FALSE,"Major League Cricket",2024,1432729,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","San Francisco Unicorns","San Francisco Unicorns","field","FH Allen","San Francisco Unicorns","6",NA
"Hassan Khan",2024-07-25,"San Francisco Unicorns","Washington Freedom",1,57,36,0,6,158.333333333333,FALSE,"Major League Cricket",2024,1432748,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","Washington Freedom","Washington Freedom","field","TM Head","Washington Freedom","7",NA
"SPD Smith",2024-07-19,"Washington Freedom","Texas Super Kings",1,57,40,2,3,142.5,FALSE,"Major League Cricket",2024,1432742,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","Texas Super Kings","Texas Super Kings","field","Jasdeep Singh","Washington Freedom",NA,"42"
"D Brevis",2023-07-27,"MI New York","Washington Freedom",1,57,41,4,3,139.024390243902,FALSE,"Major League Cricket",2023,1381376,"Grand Prairie Stadium","Dallas","MI New York","Washington Freedom","Washington Freedom","field","D Brevis","MI New York",NA,"16"
"SPD Smith",2024-07-22,"Washington Freedom","San Francisco Unicorns",1,56,31,5,4,180.645161290323,FALSE,"Major League Cricket",2024,1432745,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","San Francisco Unicorns","San Francisco Unicorns","field","SP Krishnamurthi","San Francisco Unicorns","6",NA
"MW Short",2024-07-15,"San Francisco Unicorns","Seattle Orcas",1,56,32,4,4,175,FALSE,"Major League Cricket",2024,1432738,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","Seattle Orcas","Seattle Orcas","field","LE Plunkett","San Francisco Unicorns",NA,"23"
"D Brevis",2024-07-18,"MI New York","San Francisco Unicorns",2,56,36,5,3,155.555555555556,FALSE,"Major League Cricket",2024,1432741,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"3"
"J Tromp",2024-07-26,"Texas Super Kings","San Francisco Unicorns",2,56,36,5,2,155.555555555556,TRUE,"Major League Cricket",2024,1432749,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","Texas Super Kings","Texas Super Kings","field","FH Allen","San Francisco Unicorns",NA,"10"
"TM Head",2024-07-22,"Washington Freedom","San Francisco Unicorns",1,56,36,5,3,155.555555555556,FALSE,"Major League Cricket",2024,1432745,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","San Francisco Unicorns","San Francisco Unicorns","field","SP Krishnamurthi","San Francisco Unicorns","6",NA
"Rashid Khan",2024-07-24,"MI New York","Texas Super Kings",1,55,30,4,4,183.333333333333,FALSE,"Major League Cricket",2024,1432747,"Grand Prairie Stadium, Dallas","Dallas","MI New York","Texas Super Kings","Texas Super Kings","field","F du Plessis","Texas Super Kings","9",NA
"F du Plessis",2024-07-19,"Texas Super Kings","Washington Freedom",2,55,32,5,5,171.875,FALSE,"Major League Cricket",2024,1432742,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","Texas Super Kings","Texas Super Kings","field","Jasdeep Singh","Washington Freedom",NA,"42"
"AD Russell",2023-07-13,"Los Angeles Knight Riders","Texas Super Kings",2,55,34,7,3,161.764705882353,FALSE,"Major League Cricket",2023,1381361,"Grand Prairie Stadium","Grand Prairie","Texas Super Kings","Los Angeles Knight Riders","Los Angeles Knight Riders","field","DA Miller","Texas Super Kings",NA,"69"
"DP Conway",2023-07-13,"Texas Super Kings","Los Angeles Knight Riders",1,55,37,7,1,148.648648648649,FALSE,"Major League Cricket",2023,1381361,"Grand Prairie Stadium","Grand Prairie","Texas Super Kings","Los Angeles Knight Riders","Los Angeles Knight Riders","field","DA Miller","Texas Super Kings",NA,"69"
"GJ Maxwell",2024-07-25,"Washington Freedom","San Francisco Unicorns",2,54,23,4,5,234.782608695652,TRUE,"Major League Cricket",2024,1432748,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","Washington Freedom","Washington Freedom","field","TM Head","Washington Freedom","7",NA
"TM Head",2024-07-14,"Washington Freedom","Los Angeles Knight Riders",2,54,32,2,6,168.75,FALSE,"Major League Cricket",2024,1432736,"Church Street Park, Morrisville","Morrisville","Los Angeles Knight Riders","Washington Freedom","Washington Freedom","field","GJ Maxwell","Washington Freedom","8",NA
"TM Head",2024-07-16,"Washington Freedom","MI New York",1,54,33,9,2,163.636363636364,FALSE,"Major League Cricket",2024,1432739,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","MI New York","MI New York","field","Jasdeep Singh","Washington Freedom",NA,"94"
"GSNFG Jayasuriya",2024-07-15,"Seattle Orcas","San Francisco Unicorns",2,54,37,7,2,145.945945945946,FALSE,"Major League Cricket",2024,1432738,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","Seattle Orcas","Seattle Orcas","field","LE Plunkett","San Francisco Unicorns",NA,"23"
"TM Head",2024-07-19,"Washington Freedom","Texas Super Kings",1,53,22,8,2,240.909090909091,FALSE,"Major League Cricket",2024,1432742,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","Texas Super Kings","Texas Super Kings","field","Jasdeep Singh","Washington Freedom",NA,"42"
"TH David",2023-07-14,"MI New York","San Francisco Unicorns",2,53,28,4,4,189.285714285714,TRUE,"Major League Cricket",2023,1381362,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"22"
"H Klaasen",2023-07-15,"Seattle Orcas","San Francisco Unicorns",1,53,31,4,3,170.967741935484,FALSE,"Major League Cricket",2023,1381364,"Grand Prairie Stadium","Dallas","Seattle Orcas","San Francisco Unicorns","Seattle Orcas","bat","H Klaasen","Seattle Orcas",NA,"35"
"Q de Kock",2023-07-21,"Seattle Orcas","Texas Super Kings",2,53,36,3,3,147.222222222222,FALSE,"Major League Cricket",2023,1381370,"Church Street Park, Morrisville","Morrisville","Texas Super Kings","Seattle Orcas","Seattle Orcas","field","WD Parnell","Seattle Orcas","8",NA
"DP Conway",2024-07-05,"Texas Super Kings","Los Angeles Knight Riders",2,53,39,4,2,135.897435897436,FALSE,"Major League Cricket",2024,1432727,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Texas Super Kings","Texas Super Kings","field","Ali Khan","Los Angeles Knight Riders",NA,"12"
"Milind Kumar",2023-07-24,"Texas Super Kings","San Francisco Unicorns",2,52,42,4,2,123.809523809524,FALSE,"Major League Cricket",2023,1381374,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","Texas Super Kings","San Francisco Unicorns","bat","DR Sams","Texas Super Kings","3",NA
"H Klaasen",2024-07-11,"Seattle Orcas","Washington Freedom",1,51,30,4,3,170,FALSE,"Major League Cricket",2024,1432733,"Grand Prairie Stadium, Dallas","Dallas","Seattle Orcas","Washington Freedom","Washington Freedom","field","LH Ferguson","Washington Freedom","5",NA
"Nauman Anwar",2023-07-25,"Seattle Orcas","MI New York",2,51,30,6,3,170,FALSE,"Major League Cricket",2023,1381375,"Church Street Park, Morrisville","Morrisville","MI New York","Seattle Orcas","Seattle Orcas","field","H Klaasen","Seattle Orcas","2",NA
"DP Conway",2024-07-24,"Texas Super Kings","MI New York",2,51,43,3,1,118.604651162791,TRUE,"Major League Cricket",2024,1432747,"Grand Prairie Stadium, Dallas","Dallas","MI New York","Texas Super Kings","Texas Super Kings","field","F du Plessis","Texas Super Kings","9",NA
"Q de Kock",2024-07-09,"Seattle Orcas","Los Angeles Knight Riders",2,51,46,3,2,110.869565217391,TRUE,"Major League Cricket",2024,1432731,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Seattle Orcas","Seattle Orcas","field","RD Rickelton","Seattle Orcas","9",NA
"Rashid Khan",2024-07-14,"MI New York","Texas Super Kings",2,50,23,4,5,217.391304347826,FALSE,"Major League Cricket",2024,1432737,"Grand Prairie Stadium, Dallas","Dallas","Texas Super Kings","MI New York","MI New York","field","Rashid Khan","Texas Super Kings",NA,"15"
"MS Wade",2023-07-24,"San Francisco Unicorns","Texas Super Kings",1,49,30,4,3,163.333333333333,FALSE,"Major League Cricket",2023,1381374,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","Texas Super Kings","San Francisco Unicorns","bat","DR Sams","Texas Super Kings","3",NA
"TH David",2023-07-16,"MI New York","Los Angeles Knight Riders",1,48,21,4,4,228.571428571429,TRUE,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"KA Pollard",2023-07-14,"MI New York","San Francisco Unicorns",2,48,27,2,4,177.777777777778,FALSE,"Major League Cricket",2023,1381362,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"22"
"Nauman Anwar",2023-07-14,"Seattle Orcas","Washington Freedom",2,48,37,3,3,129.72972972973,FALSE,"Major League Cricket",2023,1381363,"Grand Prairie Stadium","Dallas","Washington Freedom","Seattle Orcas","Seattle Orcas","field","Imad Wasim","Seattle Orcas","5",NA
"MD Patel",2024-07-24,"MI New York","Texas Super Kings",1,48,41,5,1,117.073170731707,FALSE,"Major League Cricket",2024,1432747,"Grand Prairie Stadium, Dallas","Dallas","MI New York","Texas Super Kings","Texas Super Kings","field","F du Plessis","Texas Super Kings","9",NA
"GD Phillips",2023-07-23,"Washington Freedom","MI New York",1,47,35,2,3,134.285714285714,FALSE,"Major League Cricket",2023,1381373,"Church Street Park, Morrisville","Morrisville","Washington Freedom","MI New York","MI New York","field","N Pooran","MI New York","8",NA
"SPD Smith",2024-07-06,"Washington Freedom","MI New York",2,46,28,4,3,164.285714285714,TRUE,"Major League Cricket",2024,1432728,"Church Street Park, Morrisville","Morrisville","MI New York","Washington Freedom","Washington Freedom","field","SN Netravalkar","Washington Freedom",NA,"4"
"JP Inglis",2024-07-22,"San Francisco Unicorns","Washington Freedom",2,45,17,1,6,264.705882352941,FALSE,"Major League Cricket",2024,1432745,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","San Francisco Unicorns","San Francisco Unicorns","field","SP Krishnamurthi","San Francisco Unicorns","6",NA
"JJ Roy",2023-07-18,"Los Angeles Knight Riders","San Francisco Unicorns",2,45,21,4,4,214.285714285714,FALSE,"Major League Cricket",2023,1381368,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","Los Angeles Knight Riders","San Francisco Unicorns","bat","MS Wade","San Francisco Unicorns",NA,"21"
"F du Plessis",2024-07-26,"Texas Super Kings","San Francisco Unicorns",2,45,22,7,1,204.545454545455,FALSE,"Major League Cricket",2024,1432749,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","Texas Super Kings","Texas Super Kings","field","FH Allen","San Francisco Unicorns",NA,"10"
"CP Savage",2024-07-23,"Texas Super Kings","Seattle Orcas",1,45,27,6,2,166.666666666667,TRUE,"Major League Cricket",2024,1432746,"Grand Prairie Stadium, Dallas","Dallas","Texas Super Kings","Seattle Orcas","Seattle Orcas","field","CP Savage","Texas Super Kings",NA,"37"
"DA Miller",2024-07-09,"Los Angeles Knight Riders","Seattle Orcas",1,44,22,5,2,200,TRUE,"Major League Cricket",2024,1432731,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Seattle Orcas","Seattle Orcas","field","RD Rickelton","Seattle Orcas","9",NA
"MD Patel",2023-07-23,"MI New York","Washington Freedom",2,44,29,5,1,151.724137931034,FALSE,"Major League Cricket",2023,1381373,"Church Street Park, Morrisville","Morrisville","Washington Freedom","MI New York","MI New York","field","N Pooran","MI New York","8",NA
"N Pooran",2024-07-06,"MI New York","Washington Freedom",1,44,30,5,1,146.666666666667,FALSE,"Major League Cricket",2024,1432728,"Church Street Park, Morrisville","Morrisville","MI New York","Washington Freedom","Washington Freedom","field","SN Netravalkar","Washington Freedom",NA,"4"
"Hassan Khan",2024-07-18,"San Francisco Unicorns","MI New York",1,44,35,2,2,125.714285714286,FALSE,"Major League Cricket",2024,1432741,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"3"
