"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"WD Parnell",5,50,38,131.578947368421,16.6666666666667,3,3,2,0,0,21
"WG Jacks",15,571,362,157.734806629834,43.9230769230769,53,31,2,1,4,108
"WIA Fernando",12,395,243,162.551440329218,35.9090909090909,41,22,1,0,2,91
"WU Tharanga",15,433,343,126.239067055394,33.3076923076923,50,10,2,0,4,69
"Wahab Riaz",13,111,75,148,15.8571428571429,6,8,6,0,0,23
"Waqar Salamkheil",1,6,7,85.7142857142857,Inf,1,0,1,0,0,6
"Waseem Muhammad",1,1,7,14.2857142857143,1,0,0,0,0,0,1
"Y Cariah",1,4,2,200,4,1,0,0,0,0,4
"Yasir Ali Chowdhury",46,956,782,122.250639386189,23.9,69,44,6,0,5,78
"Yasir Arafat",2,18,19,94.7368421052632,18,2,0,1,0,0,13
"Yasir Shah",7,51,54,94.4444444444444,8.5,6,1,1,0,0,12
"Zahiduzzaman",1,18,21,85.7142857142857,18,2,0,0,0,0,18
"Zahir Khan",1,0,0,NA,0,0,0,0,0,0,0
"Zakir Hasan",50,797,673,118.424962852897,17.3260869565217,77,27,4,0,4,70
"Ziaur Rahman",50,777,599,129.716193656093,21,57,53,13,0,1,60
