"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Shamim Hossain",2022-02-08,"Chattogram Challengers","Minister Group Dhaka",1,52,37,5,1,140.540540540541,FALSE,"Bangladesh Premier League","2021/22",1296707,"Sylhet International Cricket Stadium","Sylhet","Chattogram Challengers","Minister Group Dhaka","Minister Group Dhaka","field","Shamim Hossain","Chattogram Challengers",NA,"3"
"Mehedi Maruf",2023-01-28,"Chattogram Challengers","Sylhet Strikers",1,52,40,7,2,130,FALSE,"Bangladesh Premier League","2022/23",1351079,"Sylhet International Cricket Stadium","Sylhet","Chattogram Challengers","Sylhet Strikers","Chattogram Challengers","bat","Nazmul Hossain Shanto","Sylhet Strikers","7",NA
"Mohammad Naim",2024-01-19,"Durdanto Dhaka","Comilla Victorians",2,52,40,3,3,130,FALSE,"Bangladesh Premier League","2023/24",1412274,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Durdanto Dhaka","Durdanto Dhaka","field","Shoriful Islam","Durdanto Dhaka","5",NA
"Ibrahim Zadran",2023-01-10,"Fortune Barishal","Rangpur Riders",2,52,41,5,2,126.829268292683,FALSE,"Bangladesh Premier League","2022/23",1351058,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Fortune Barishal","Fortune Barishal","field","Mehedi Hasan Miraz","Fortune Barishal","6",NA
"Imrul Kayes",2024-01-23,"Comilla Victorians","Fortune Barishal",2,52,41,4,3,126.829268292683,FALSE,"Bangladesh Premier League","2023/24",1412281,"Shere Bangla National Stadium, Mirpur","Dhaka","Fortune Barishal","Comilla Victorians","Comilla Victorians","field","MW Forde","Comilla Victorians","4",NA
"Usman Khan",2023-02-04,"Chattogram Challengers","Comilla Victorians",1,52,41,4,3,126.829268292683,FALSE,"Bangladesh Premier League","2022/23",1351086,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Comilla Victorians","Chattogram Challengers","bat","Mohammad Rizwan","Comilla Victorians","6",NA
"Shamsur Rahman",2020-01-17,"Khulna Tigers","Rajshahi Royals",2,52,43,4,2,120.93023255814,FALSE,"Bangladesh Premier League","2019/20",1208112,"Shere Bangla National Stadium, Mirpur","Dhaka","Rajshahi Royals","Khulna Tigers","Khulna Tigers","field","AD Russell","Rajshahi Royals",NA,"21"
"Tamim Iqbal",2024-02-26,"Fortune Barishal","Chattogram Challengers",2,52,43,9,0,120.93023255814,TRUE,"Bangladesh Premier League","2023/24",1412316,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Fortune Barishal","Fortune Barishal","field","KR Mayers","Fortune Barishal","7",NA
"Ahmed Shehzad",2016-11-18,"Comilla Victorians","Rangpur Riders",1,52,45,4,1,115.555555555556,FALSE,"Bangladesh Premier League","2016/17",1063066,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Comilla Victorians","Rangpur Riders","Rangpur Riders","field","Mohammad Shahzad","Rangpur Riders","9",NA
"CH Gayle",2022-02-08,"Fortune Barishal","Sylhet Sunrisers",1,52,45,4,2,115.555555555556,TRUE,"Bangladesh Premier League","2021/22",1296708,"Sylhet International Cricket Stadium","Sylhet","Fortune Barishal","Sylhet Sunrisers","Sylhet Sunrisers","field","Shakib Al Hasan","Fortune Barishal",NA,"12"
