"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Enamul Haque",4,"12.0",0,63,3,21,5.25,24,25,0,0,"1/6"
"S Badree",3,"12.0",0,66,3,22,5.5,24,36,0,0,"1/18"
"AG Cremer",3,"11.0",0,76,3,25.3333333333333,6.90909090909091,22,26,0,0,"3/15"
"ACR Birch",2,"8.0",0,77,3,25.6666666666667,9.625,16,18,0,0,"3/42"
"KA Maharaj",3,"12.0",0,81,3,27,6.75,24,41,0,0,"1/19"
"DI Stevens",8,"15.0",0,106,3,35.3333333333333,7.06666666666667,30,26,0,0,"1/9"
"Mohammad Ashraful",6,"11.5",0,109,3,36.3333333333333,9.2112676056338,23.6666666666667,16,0,0,"2/9"
"Mohor Sheikh",5,"13.5",0,109,3,36.3333333333333,7.87951807228916,27.6666666666667,30,0,0,"2/24"
"O Thomas",4,"13.5",0,116,3,38.6666666666667,8.3855421686747,27.6666666666667,41,0,0,"2/38"
"Aks Swadhin",4,"14.0",0,131,3,43.6666666666667,9.35714285714286,28,34,0,0,"1/29"
"Ahmed Shehzad",5,"14.4",0,139,3,46.3333333333333,9.47727272727273,29.3333333333333,20,0,0,"1/26"
"Abdul Razzaq",6,"17.0",0,140,3,46.6666666666667,8.23529411764706,34,38,0,0,"1/22"
"Shykat Ali",8,"17.2",0,152,3,50.6666666666667,8.76923076923077,34.6666666666667,24,0,0,"1/23"
"TM Dilshan",9,"24.0",0,155,3,51.6666666666667,6.45833333333333,48,58,0,0,"2/6"
"R Mondol",5,"16.0",0,158,3,52.6666666666667,9.875,32,34,0,0,"1/26"
"Al-Amin",12,"19.0",0,183,3,61,9.63157894736842,38,36,0,0,"1/7"
"KA Pollard",13,"26.2",0,221,3,73.6666666666667,8.39240506329114,52.6666666666667,50,0,0,"1/19"
"Ariful Haque",14,"21.0",0,240,3,80,11.4285714285714,42,28,0,0,"1/18"
"SM Harwood",1,"3.2",0,20,2,10,6,10,9,0,0,"2/20"
"ADS Fletcher",2,"4.0",0,27,2,13.5,6.75,12,10,0,0,"2/22"
"LHD Dilhara",1,"4.0",0,29,2,14.5,7.25,12,9,0,0,"2/29"
"RA Whiteley",2,"4.0",0,36,2,18,9,12,7,0,0,"1/10"
"J Charles",2,"4.1",0,46,2,23,11.04,12.5,5,0,0,"1/12"
"JO Holder",2,"7.0",0,48,2,24,6.85714285714286,21,14,0,0,"1/19"
"J Mubarak",3,"6.0",0,54,2,27,9,18,16,0,0,"1/8"
"ST Jayasuriya",3,"7.0",0,57,2,28.5,8.14285714285714,21,16,0,0,"2/25"
"Ali Khan",2,"7.0",1,61,2,30.5,8.71428571428571,21,20,0,0,"1/26"
"TB Abell",4,"6.4",0,63,2,31.5,9.45,20,10,0,0,"1/11"
"RR Beaton",2,"8.0",0,65,2,32.5,8.125,24,21,0,0,"2/30"
"Sabbir Rahman",8,"9.0",0,68,2,34,7.55555555555556,27,21,0,0,"1/8"
"Bilawal Bhatti",3,"11.0",0,70,2,35,6.36363636363636,33,34,0,0,"1/20"
"DP Hyatt",3,"8.0",0,75,2,37.5,9.375,24,16,0,0,"1/18"
"S van Zyl",3,"6.0",0,75,2,37.5,12.5,18,6,0,0,"2/14"
"Ruyel Miah",3,"10.0",0,78,2,39,7.8,30,30,0,0,"1/21"
"Taposh Ghosh",4,"9.0",0,79,2,39.5,8.77777777777778,27,14,0,0,"1/25"
"WG Jacks",5,"14.0",0,86,2,43,6.14285714285714,42,42,0,0,"1/14"
"Asif Hasan",5,"14.0",0,89,2,44.5,6.35714285714286,42,38,0,0,"1/6"
"MT Coles",3,"10.5",0,90,2,45,8.30769230769231,32.5,20,0,0,"1/23"
