"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"AI Ross","Salauddin Sakil",7,9,1,4,0,0,4.66666666666667,77.7777777777778,7
"AI Ross","Shakib Al Hasan",13,11,1,4,2,0,7.09090909090909,118.181818181818,13
"AI Ross","Shohidul Islam",16,9,0,4,2,1,10.6666666666667,177.777777777778,Inf
"AI Ross","Shuvagata Hom",4,4,0,3,1,0,6,100,Inf
"AI Ross","Soumya Sarkar",62,20,0,2,4,6,18.6,310,Inf
"AI Ross","Taijul Islam",7,4,0,2,0,1,10.5,175,Inf
"AI Ross","WD Parnell",1,5,0,4,0,0,1.2,20,Inf
"AJ Blake","Azmatullah Omarzai",9,7,0,3,1,0,7.71428571428571,128.571428571429,Inf
"AJ Blake","Haris Rauf",1,1,0,0,0,0,6,100,Inf
"AJ Blake","Hasan Mahmud",5,3,1,1,1,0,10,166.666666666667,5
"AJ Blake","Iftikhar Ahmed",1,6,0,5,0,0,1,16.6666666666667,Inf
"AJ Blake","Mahedi Hasan",7,8,1,6,0,1,5.25,87.5,7
"AJ Blake","Mohammad Saifuddin",1,2,0,1,0,0,3,50,Inf
"AJ Blake","Mohammad Wasim",14,5,0,1,3,0,16.8,280,Inf
"AJ Blake","Nahid Rana",0,5,0,4,0,0,0,0,NA
"AJ Blake","Nahidul Islam",2,10,1,8,0,0,1.2,20,2
"AJ Blake","Nihaduzzaman",9,7,1,3,0,1,7.71428571428571,128.571428571429,9
"AJ Blake","Shakib Al Hasan",0,1,1,1,0,0,0,0,0
"AJ Blake","Shuvagata Hom",2,3,0,1,0,0,4,66.6666666666667,Inf
"AJ Blake","Ziaur Rahman",2,3,0,1,0,0,4,66.6666666666667,Inf
"AK Perera","KA Maharaj",8,7,1,5,2,0,6.85714285714286,114.285714285714,8
"AK Perera","KR Mayers",5,5,0,1,0,0,6,100,Inf
"AK Perera","Mohammad Saifuddin",2,3,0,1,0,0,4,66.6666666666667,Inf
"AK Perera","OC McCoy",2,4,0,2,0,0,3,50,Inf
"AM McCarthy","MW Forde",0,1,1,1,0,0,0,0,0
"AM Rossington","Arif Ahmed",2,2,0,0,0,0,6,100,Inf
"AM Rossington","Bilal Khan",0,3,0,3,0,0,0,0,NA
"AM Rossington","Mohammad Saifuddin",4,2,1,1,1,0,12,200,4
"AM Rossington","Nahidul Islam",11,7,0,4,1,1,9.42857142857143,157.142857142857,Inf
"AM Rossington","Shuvagata Hom",1,3,1,2,0,0,2,33.3333333333333,1
"AM Rossington","WD Parnell",5,3,1,1,1,0,10,166.666666666667,5
"AN Kervezee","Arafat Sunny",8,6,0,4,2,0,8,133.333333333333,Inf
"AN Kervezee","Sunzamul Islam",0,2,1,2,0,0,0,0,0
"AR Adams","SM Ervine",4,2,1,1,1,0,12,200,4
"AR Adams","Taijul Islam",0,3,0,3,0,0,0,0,NA
"AS Joseph","AD Russell",0,1,1,1,0,0,0,0,0
"AS Joseph","Hasan Murad",2,3,0,1,0,0,4,66.6666666666667,Inf
