"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"BM Cliff",2024-08-02,"Gloucestershire","Yorkshire",1,"7.0",1,46,2,6.57142857142857,27,"One-Day Cup",2024,1415112,"York Cricket Club","York","Gloucestershire","Yorkshire","Gloucestershire","bat",NA,"Gloucestershire",NA,"36"
"BMJ Allison",2023-08-22,"Surrey","Essex",2,"10.0",1,46,2,4.6,36,"One-Day Cup",2023,1347560,"County Ground, Chelmsford","Chelmsford","Essex","Surrey","Surrey","field",NA,"Surrey","2",NA
"BO Coad",2018-05-27,"Leicestershire","Yorkshire",1,"9.0",0,46,2,5.11111111111111,30,"Royal London One-Day Cup",2018,1127800,"Grace Road, Leicester","Leicester","Leicestershire","Yorkshire","Leicestershire","bat",NA,"Yorkshire","9",NA
"C Rushworth",2018-05-27,"Northamptonshire","Durham",2,"10.0",0,46,2,4.6,35,"Royal London One-Day Cup",2018,1127797,"County Ground, Northampton","Northampton","Durham","Northamptonshire","Northamptonshire","field",NA,"Durham",NA,"5"
"CN Ackermann",2023-08-11,"Lancashire","Leicestershire",2,"10.0",0,46,2,4.6,27,"One-Day Cup",2023,1347518,"Old Trafford, Manchester","Manchester","Leicestershire","Lancashire","Leicestershire","bat",NA,"Leicestershire",NA,"95"
"DA Douthwaite",2019-05-07,"Sussex","Glamorgan",1,"10.0",1,46,2,4.6,36,"Royal London One-Day Cup",2019,1167118,"County Ground, Hove","Brighton","Sussex","Glamorgan","Sussex","bat","DA Douthwaite","Glamorgan","2",NA
"DR Briggs",2014-07-27,"Lancashire","Hampshire",2,"9.2",0,46,2,4.92857142857143,35,"Royal London One-Day Cup",2014,693293,"Old Trafford, Manchester","Manchester","Hampshire","Lancashire","Hampshire","bat",NA,"Hampshire",NA,"148"
"EA Brookes",2021-07-22,"Glamorgan","Warwickshire",2,"9.0",0,46,2,5.11111111111111,30,"Royal London One-Day Cup",2021,1250159,"Sophia Gardens, Cardiff","Cardiff","Warwickshire","Glamorgan","Warwickshire","bat",NA,"Glamorgan","2",NA
"GG White",2016-08-18,"Surrey","Northamptonshire",2,"10.0",0,46,2,4.6,26,"Royal London One-Day Cup",2016,947505,"County Ground, Northampton","Northampton","Northamptonshire","Surrey","Northamptonshire","bat",NA,"Surrey","1",NA
"GG White",2018-05-27,"Durham","Northamptonshire",1,"8.0",0,46,2,5.75,17,"Royal London One-Day Cup",2018,1127797,"County Ground, Northampton","Northampton","Durham","Northamptonshire","Northamptonshire","field",NA,"Durham",NA,"5"
"HW Podmore",2014-08-07,"Somerset","Middlesex",2,"8.2",0,46,2,5.52,27,"Royal London One-Day Cup",2014,693339,"Lord's, London","London","Middlesex","Somerset","Somerset","field",NA,"Somerset","6",NA
"J Clark",2014-08-14,"Northamptonshire","Lancashire",1,"7.0",0,46,2,6.57142857142857,19,"Royal London One-Day Cup",2014,693399,"Old Trafford, Manchester","Manchester","Northamptonshire","Lancashire","Lancashire","field",NA,"Northamptonshire",NA,"19"
"JAR Harris",2021-08-01,"Worcestershire","Middlesex",2,"8.0",0,46,2,5.75,22,"Royal London One-Day Cup",2021,1250195,"County Ground, New Road, Worcester","Worcester","Middlesex","Worcestershire","Middlesex","bat",NA,"Middlesex",NA,"13"
"JC Archer",2017-05-10,"Essex","Sussex",1,"10.0",0,46,2,4.6,32,"Royal London One-Day Cup",2017,1068476,"County Ground, Chelmsford","Chelmsford","Essex","Sussex","Sussex","field","AN Cook","Essex",NA,"10"
"JC Tongue",2017-05-10,"Lancashire","Worcestershire",1,"7.0",0,46,2,6.57142857142857,19,"Royal London One-Day Cup",2017,1068475,"Old Trafford, Manchester","Manchester","Lancashire","Worcestershire","Lancashire","bat",NA,"Lancashire",NA,"152"
"JJ Bazley",2023-08-09,"Lancashire","Kent",1,"10.0",2,46,2,4.6,39,"One-Day Cup",2023,1347513,"Stanley Park, Blackpool","Blackpool","Lancashire","Kent","Kent","field",NA,"Lancashire",NA,"125"
"JS Patel",2019-05-06,"Leicestershire","Warwickshire",1,"10.0",1,46,2,4.6,35,"Royal London One-Day Cup",2019,1167114,"Grace Road, Leicester","Leicester","Leicestershire","Warwickshire","Leicestershire","bat",NA,"Leicestershire",NA,"36"
"JT Ball",2015-08-02,"Essex","Nottinghamshire",1,"9.0",1,46,2,5.11111111111111,31,"Royal London One-Day Cup",2015,804777,"County Ground, Chelmsford","Chelmsford","Essex","Nottinghamshire","Nottinghamshire","field",NA,"Nottinghamshire","7",NA
"Kasey Aldridge",2021-08-01,"Yorkshire","Somerset",1,"4.0",0,46,2,11.5,6,"Royal London One-Day Cup",2021,1250193,"The Cooper Associates County Ground, Taunton","Taunton","Yorkshire","Somerset","Somerset","field",NA,"Somerset","5",NA
"KHD Barker",2023-08-25,"Worcestershire","Hampshire",2,"9.0",0,46,2,5.11111111111111,26,"One-Day Cup",2023,1347564,"The Rose Bowl, Southampton","Southampton","Hampshire","Worcestershire","Worcestershire","field",NA,"Hampshire",NA,"10"
