"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"HR Hosein",2019-05-02,"Derbyshire","Lancashire",2,41,34,2,1,120.588235294118,TRUE,"Royal London One-Day Cup",2019,1167102,"Old Trafford, Manchester","Manchester","Lancashire","Derbyshire","Derbyshire","field",NA,"Lancashire",NA,"30"
"LJ Wright",2018-06-01,"Sussex","Glamorgan",1,41,34,7,0,120.588235294118,FALSE,"Royal London One-Day Cup",2018,1127813,"Sophia Gardens, Cardiff","Cardiff","Sussex","Glamorgan","Glamorgan","field",NA,"Glamorgan","6",NA
"Ashar Zaidi",2016-06-05,"Essex","Hampshire",2,41,35,2,2,117.142857142857,FALSE,"Royal London One-Day Cup",2016,947361,"The Rose Bowl, Southampton","Southampton","Hampshire","Essex","Essex","field",NA,"Essex","3",NA
"AU Rashid",2017-05-10,"Yorkshire","Northamptonshire",1,41,35,5,0,117.142857142857,FALSE,"Royal London One-Day Cup",2017,1068473,"County Ground, Northampton","Northampton","Yorkshire","Northamptonshire","Northamptonshire","field",NA,"Yorkshire",NA,"164"
"JHK Adams",2014-07-27,"Hampshire","Lancashire",1,41,35,5,1,117.142857142857,FALSE,"Royal London One-Day Cup",2014,693293,"Old Trafford, Manchester","Manchester","Hampshire","Lancashire","Hampshire","bat",NA,"Hampshire",NA,"148"
"MD Stoneman",2017-06-17,"Surrey","Worcestershire",1,41,35,5,0,117.142857142857,FALSE,"Royal London One-Day Cup",2017,1068505,"County Ground, New Road, Worcester","Worcester","Surrey","Worcestershire","Surrey","bat",NA,"Surrey",NA,"153"
"Azhar Ali",2023-08-01,"Worcestershire","Durham",1,41,36,5,1,113.888888888889,FALSE,"One-Day Cup",2023,1347494,"Riverside Ground, Chester-le-Street","Chester-le-Street","Worcestershire","Durham","Durham","field",NA,"Worcestershire",NA,"42"
"James Bracey",2023-08-18,"Gloucestershire","Sussex",1,41,36,5,1,113.888888888889,FALSE,"One-Day Cup",2023,1347544,"County Ground, Hove","Brighton","Gloucestershire","Sussex","Sussex","field",NA,"Gloucestershire",NA,"166"
"AJ Blake",2018-05-25,"Kent","Glamorgan",2,41,37,1,3,110.810810810811,FALSE,"Royal London One-Day Cup",2018,1127787,"St Lawrence Ground, Canterbury","Canterbury","Glamorgan","Kent","Kent","field",NA,"Kent","4",NA
"BAC Howell",2019-05-05,"Gloucestershire","Sussex",1,41,37,3,2,110.810810810811,FALSE,"Royal London One-Day Cup",2019,1167112,"The Saffrons, Eastbourne","Eastbourne","Gloucestershire","Sussex","Gloucestershire","bat",NA,"Gloucestershire",NA,"116"
"CB Cooke",2019-05-07,"Glamorgan","Sussex",2,41,37,5,1,110.810810810811,FALSE,"Royal London One-Day Cup",2019,1167118,"County Ground, Hove","Brighton","Sussex","Glamorgan","Sussex","bat","DA Douthwaite","Glamorgan","2",NA
"JM Vince",2016-06-15,"Hampshire","Surrey",1,41,38,7,0,107.894736842105,FALSE,"Royal London One-Day Cup",2016,947425,"The Rose Bowl, Southampton","Southampton","Hampshire","Surrey","Surrey","field",NA,"Hampshire",NA,"6"
"JM Vince",2018-06-03,"Hampshire","Glamorgan",2,41,38,6,0,107.894736842105,FALSE,"Royal London One-Day Cup",2018,1127821,"St Helen's, Swansea","Swansea","Glamorgan","Hampshire","Hampshire","field",NA,"Hampshire","4",NA
"LD McManus",2018-05-19,"Hampshire","Sussex",2,41,38,1,3,107.894736842105,FALSE,"Royal London One-Day Cup",2018,1127770,"County Ground, Hove","Brighton","Sussex","Hampshire","Sussex","bat",NA,"Hampshire","2",NA
"AJ Blake",2018-06-06,"Kent","Essex",2,41,39,3,2,105.128205128205,FALSE,"Royal London One-Day Cup",2018,1127826,"County Ground, Chelmsford","Chelmsford","Essex","Kent","Kent","field",NA,"Essex",NA,"153"
"DJ Vilas",2018-05-17,"Lancashire","Nottinghamshire",2,41,39,4,0,105.128205128205,FALSE,"Royal London One-Day Cup",2018,1127762,"Old Trafford, Manchester","Manchester","Nottinghamshire","Lancashire","Nottinghamshire","bat","SJ Mullaney","Nottinghamshire",NA,"9"
"GG White",2018-06-07,"Northamptonshire","Yorkshire",1,41,39,4,1,105.128205128205,TRUE,"Royal London One-Day Cup",2018,1127830,"Headingley, Leeds","Leeds","Northamptonshire","Yorkshire","Northamptonshire","bat",NA,"Yorkshire","4",NA
"WJ Durston",2015-08-18,"Derbyshire","Worcestershire",1,41,39,5,0,105.128205128205,FALSE,"Royal London One-Day Cup",2015,804841,"County Ground, Derby","Derby","Derbyshire","Worcestershire","Derbyshire","bat",NA,"Derbyshire",NA,"49"
"AJA Wheater",2018-05-20,"Essex","Gloucestershire",1,41,40,6,1,102.5,FALSE,"Royal London One-Day Cup",2018,1127774,"County Ground, Bristol","Bristol","Essex","Gloucestershire","Essex","bat",NA,"Gloucestershire","4",NA
"CB Cooke",2016-06-14,"Glamorgan","Middlesex",2,41,41,3,1,100,FALSE,"Royal London One-Day Cup",2016,947409,"Sophia Gardens, Cardiff","Cardiff","Middlesex","Glamorgan","Glamorgan","field",NA,"Middlesex",NA,"28"
"CN Ackermann",2018-05-25,"Leicestershire","Derbyshire",2,41,41,3,0,100,FALSE,"Royal London One-Day Cup",2018,1127792,"County Ground, Derby","Derby","Derbyshire","Leicestershire","Leicestershire","field",NA,"Derbyshire",NA,"5"
"J Leach",2023-08-06,"Worcestershire","Somerset",2,41,41,4,1,100,FALSE,"One-Day Cup",2023,1347505,"The Cooper Associates County Ground, Taunton","Taunton","Somerset","Worcestershire","Somerset","bat",NA,"Somerset",NA,"36"
"WAR Fraine",2022-08-04,"Yorkshire","Lancashire",1,41,41,5,1,100,FALSE,"Royal London One-Day Cup",2022,1297968,"York Cricket Club","York","Yorkshire","Lancashire","Lancashire","field",NA,"Lancashire","7",NA
"MH Wessels",2015-08-17,"Nottinghamshire","Kent",1,41,42,8,0,97.6190476190476,FALSE,"Royal London One-Day Cup",2015,804833,"Trent Bridge, Nottingham","Nottingham","Nottinghamshire","Kent","Kent","field",NA,"Kent","5",NA
"FS Middleton",2023-08-25,"Hampshire","Worcestershire",1,41,43,7,0,95.3488372093023,FALSE,"One-Day Cup",2023,1347564,"The Rose Bowl, Southampton","Southampton","Hampshire","Worcestershire","Worcestershire","field",NA,"Hampshire",NA,"10"
"JL Denly",2017-05-14,"Kent","Glamorgan",2,41,43,4,0,95.3488372093023,FALSE,"Royal London One-Day Cup",2017,1068492,"St Helen's, Swansea","Swansea","Glamorgan","Kent","Kent","field",NA,"Glamorgan",NA,"15"
"L Trevaskis",2023-08-22,"Durham","Gloucestershire",1,41,43,1,2,95.3488372093023,FALSE,"One-Day Cup",2023,1347562,"County Ground, Bristol","Bristol","Durham","Gloucestershire","Durham","bat",NA,"Gloucestershire","7",NA
"AJ Hose",2015-07-29,"Somerset","Durham",1,41,44,6,0,93.1818181818182,FALSE,"Royal London One-Day Cup",2015,804751,"County Ground, Taunton","Taunton","Somerset","Durham","Somerset","bat",NA,"Durham","7",NA
"AL Davies",2017-04-28,"Lancashire","Leicestershire",1,41,45,6,1,91.1111111111111,FALSE,"Royal London One-Day Cup",2017,1068436,"Old Trafford, Manchester","Manchester","Lancashire","Leicestershire","Lancashire","bat",NA,"Leicestershire","3",NA
"JD Libby",2019-04-21,"Nottinghamshire","Derbyshire",2,41,45,2,0,91.1111111111111,FALSE,"Royal London One-Day Cup",2019,1167069,"County Ground, Derby","Derby","Derbyshire","Nottinghamshire","Derbyshire","bat",NA,"Nottinghamshire","6",NA
"TJ Prest",2021-08-06,"Hampshire","Gloucestershire",1,41,45,3,0,91.1111111111111,FALSE,"Royal London One-Day Cup",2021,1250205,"County Ground, Bristol","Bristol","Hampshire","Gloucestershire","Hampshire","bat",NA,"Gloucestershire","7",NA
"C Overton",2019-04-21,"Somerset","Glamorgan",1,41,46,3,1,89.1304347826087,TRUE,"Royal London One-Day Cup",2019,1167063,"Sophia Gardens, Cardiff","Cardiff","Somerset","Glamorgan","Somerset","bat",NA,"Somerset",NA,"2"
"ZS Ansari",2015-07-31,"Surrey","Durham",1,41,46,2,0,89.1304347826087,FALSE,"Royal London One-Day Cup",2015,804763,"Riverside Ground, Chester-le-Street","Chester-le-Street","Surrey","Durham","Durham","field",NA,"Surrey",NA,"49"
"DJ Willey",2015-08-17,"Northamptonshire","Gloucestershire",2,41,47,5,1,87.2340425531915,FALSE,"Royal London One-Day Cup",2015,804831,"County Ground, Northampton","Northampton","Gloucestershire","Northamptonshire","Gloucestershire","bat",NA,"Northamptonshire","4",NA
"JHK Adams",2015-08-05,"Hampshire","Warwickshire",1,41,48,5,0,85.4166666666667,FALSE,"Royal London One-Day Cup",2015,804813,"Edgbaston, Birmingham","Birmingham","Hampshire","Warwickshire","Warwickshire","field","LA Dawson","Hampshire",NA,"23"
"RP Jones",2023-08-06,"Worcestershire","Somerset",2,41,48,5,1,85.4166666666667,FALSE,"One-Day Cup",2023,1347505,"The Cooper Associates County Ground, Taunton","Taunton","Somerset","Worcestershire","Somerset","bat",NA,"Somerset",NA,"36"
"TN Cullen",2021-08-16,"Glamorgan","Essex",2,41,48,2,0,85.4166666666667,TRUE,"Royal London One-Day Cup",2021,1250233,"Sophia Gardens, Cardiff","Cardiff","Essex","Glamorgan","Glamorgan","field",NA,"Glamorgan","5",NA
"AJ Finch",2016-07-24,"Surrey","Essex",1,41,49,5,1,83.6734693877551,FALSE,"Royal London One-Day Cup",2016,947437,"County Ground, Chelmsford","Chelmsford","Surrey","Essex","Surrey","bat",NA,"Surrey",NA,"66"
"MH Wessels",2017-04-29,"Nottinghamshire","Yorkshire",1,41,49,1,1,83.6734693877551,FALSE,"Royal London One-Day Cup",2017,1068438,"Trent Bridge, Nottingham","Nottingham","Nottinghamshire","Yorkshire","Yorkshire","field",NA,"Yorkshire","7",NA
