"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"SL Elstone",11,159,230,69.1304347826087,17.6666666666667,11,0,2,0,1,52
"SM Curran",23,467,512,91.2109375,24.5789473684211,51,4,4,0,1,57
"SM Davies",53,1692,1780,95.0561797752809,32.5384615384615,187,21,1,3,11,115
"SM Ervine",20,491,542,90.590405904059,25.8421052631579,39,8,1,0,3,64
"SM Sharif",2,3,9,33.3333333333333,1.5,0,0,0,0,0,2
"SM Whiteman",8,194,192,101.041666666667,27.7142857142857,22,4,1,0,2,88
"SP Crook",22,447,436,102.522935779817,26.2941176470588,34,7,5,0,1,52
"SP Terry",4,126,136,92.6470588235294,42,10,4,1,0,2,63
"SR Dickson",37,1155,1179,97.9643765903308,36.09375,86,31,5,1,7,103
"SR Hain",32,1840,2090,88.0382775119617,73.6,175,13,7,7,10,161
"SR Harmer",29,441,451,97.7827050997783,25.9411764705882,35,11,12,0,1,68
"SR Patel",48,1661,1851,89.7352782279849,41.525,165,18,8,5,7,136
"SS Eskinazi",27,1353,1304,103.757668711656,56.375,135,22,3,6,2,182
"SSE Gumbs",4,104,139,74.8201438848921,26,9,1,0,0,1,66
"ST Evans",3,96,161,59.6273291925466,48,7,0,1,0,1,60
"ST Finn",12,179,225,79.5555555555556,35.8,16,5,7,0,0,42
"SW Billings",28,1125,936,120.192307692308,51.1363636363636,113,29,6,3,9,135
"SW Currie",16,181,203,89.1625615763547,20.1111111111111,15,2,7,0,0,43
"SW Poynter",14,217,214,101.401869158879,19.7272727272727,18,2,3,0,0,43
"Saeed Ajmal",6,16,28,57.1428571428571,4,2,0,2,0,0,8
"Shahid Afridi",1,4,10,40,4,0,0,0,0,0,4
"Shan Masood",11,420,514,81.7120622568093,42,35,2,1,0,5,96
"Shoaib Bashir",4,10,23,43.4782608695652,5,1,0,2,0,0,7
"T Banton",16,417,528,78.9772727272727,26.0625,43,9,0,1,3,112
"T Kohler-Cadmore",45,1532,1763,86.89733408962,34.0444444444444,164,34,0,3,8,164
"T Poynton",6,35,39,89.7435897435897,8.75,3,1,2,0,0,20
"T Westley",71,2827,3128,90.3772378516624,42.8333333333333,310,22,5,7,21,134
"T van der Gugten",18,158,170,92.9411764705882,15.8,18,2,8,0,0,21
"TA Wood",14,255,271,94.0959409594096,18.2142857142857,35,3,0,1,0,109
"TAI Taylor",20,785,684,114.766081871345,52.3333333333333,81,19,5,2,5,112
"TAR Scriven",12,183,226,80.9734513274336,22.875,9,4,4,0,0,42
"TB Abell",20,608,771,78.8586251621271,30.4,60,1,0,1,1,106
"TB Sole",1,4,3,133.333333333333,4,1,0,0,0,0,4
"TC Fell",43,1371,1695,80.8849557522124,35.1538461538462,150,8,4,1,12,116
"TC Knight",1,0,1,0,0,0,0,0,0,0,0
"TC Lace",12,198,279,70.9677419354839,16.5,14,3,0,0,0,48
"TC Smith",7,184,250,73.6,26.2857142857143,20,2,0,0,2,56
"TD Groenewald",23,396,307,128.990228013029,33,32,15,11,0,2,57
"TE Albert",12,403,407,99.017199017199,40.3,44,3,2,0,2,84
"TE Bailey",19,258,273,94.5054945054945,21.5,18,7,7,0,1,60
"TE Barber",3,0,4,0,0,0,0,1,0,0,0
"TE Lawes",8,324,331,97.8851963746224,46.2857142857143,34,6,1,0,4,75
