"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"C Tlali",2018-11-01,"Lesotho","Malawi",2,58,52,6,1,111.538461538462,FALSE,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163062,"Botswana Cricket Association Oval 2","Gaborone","Malawi","Lesotho","Malawi","bat","C Tlali","Malawi",NA,"4"
"R van Schoor",2013-11-23,"Namibia","Canada",2,58,55,1,0,105.454545454545,FALSE,"ICC World Twenty20 Qualifier","2013/14",660183,"Sheikh Zayed Stadium Nursery 1","Abu Dhabi","Canada","Namibia","Namibia","field","NRP Scholtz","Namibia","7",NA
"Steven Ryan Taylor",2018-09-26,"United States of America","Belize",2,57,19,5,5,300,TRUE,"ICC World Twenty20 Americas Sub Regional Qualifier A","2018/19",1157700,"Church Street Park","Morrisville","Belize","United States of America","Belize","bat","Usman Ashraf","United States of America","9",NA
"Adnan Ilyas",2015-01-29,"Oman","Maldives",2,57,21,1,7,271.428571428571,TRUE,"ACC Twenty20 Cup","2014/15",811127,"Sharjah Cricket Stadium",NA,"Maldives","Oman","Oman","field","Adnan Ilyas","Oman","7",NA
"MS Henriksen",2018-09-02,"Denmark","France",1,57,30,3,3,190,FALSE,"ICC World Twenty20 Europe Region Qualifier A","2018",1155316,"Sportpark Het Schootsveld 2","Deventer","Denmark","France","Denmark","bat","Rizwan Mahmood","Denmark",NA,"73"
"EJ Farley",2015-07-11,"Jersey","Hong Kong",2,57,35,3,4,162.857142857143,FALSE,"ICC World Twenty20 Qualifier","2015",875469,"Bready Cricket Club, Magheramason","Londonderry","Hong Kong","Jersey","Jersey","field","PW Gough","Jersey","9",NA
"HDRL Thirimanne",2014-10-03,"Sri Lanka","Afghanistan",1,57,37,7,1,154.054054054054,FALSE,"Asian Games Men's Cricket Competition","2014/15",778043,"Yeonhui Cricket Ground","Incheon","Afghanistan","Sri Lanka","Sri Lanka","bat",NA,"Sri Lanka",NA,"68"
"BF Mailata",2018-08-25,"Samoa","Vanuatu",1,57,38,7,2,150,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155275,"Albert Park 2","Suva","Samoa","Vanuatu","Vanuatu","field","BF Mailata","Samoa",NA,"17"
"Nizakat Khan",2013-11-22,"Hong Kong","United States of America",1,57,38,2,4,150,FALSE,"ICC World Twenty20 Qualifier","2013/14",660179,"Abu Dhabi Oval 2","Abu Dhabi","Hong Kong","United States of America","United States of America","field","Munir Dar","Hong Kong",NA,"67"
"NA Maiolo",2018-09-01,"Italy","Belgium",2,57,42,6,1,135.714285714286,TRUE,"ICC World Twenty20 Europe Region Qualifier B","2018",1156659,"Sportpark Thurlede","Schiedam","Belgium","Italy","Belgium","bat","NA Maiolo","Italy","6",NA
"S Ateak",2018-04-15,"Ghana","Sierra Leone",1,57,42,8,0,135.714285714286,FALSE,"ICC World Twenty20 Africa Region Qualifier A","2018",1143118,"Tafawa Balewa Square Cricket Oval","Lagos","Ghana","Sierra Leone","Ghana","bat",NA,"Ghana",NA,"31"
