"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"Abdul Waheed",11,213,208,102.403846153846,21.3,15,6,1,0,0,35
"Abdul-Shakoor Rahimzei",4,25,19,131.578947368421,6.25,2,1,0,0,0,11
"Abdullah Jasat",3,2,6,33.3333333333333,2,0,0,2,0,0,1
"Abdullah Shahid",8,79,79,100,9.875,11,1,0,0,0,24
"Abdullah Sheikh",2,1,2,50,1,0,0,1,0,0,1
"Abdulrahman Dashti",1,2,7,28.5714285714286,2,0,0,0,0,0,2
"Abhiraj Singh",2,4,8,50,2,0,0,0,0,0,2
"Abid Mushtaq",4,69,65,106.153846153846,23,4,3,1,0,0,31
"Abraash Khan",2,31,25,124,31,5,0,1,0,0,19
"Abubacarr Kuyateh",2,16,27,59.2592592592593,8,0,0,0,0,0,13
"Adil Bhatti",3,32,36,88.8888888888889,10.6666666666667,2,0,0,0,0,17
"Adnan Ilyas",4,123,55,223.636363636364,61.5,5,12,2,0,1,57
"Adnan Liaquat",1,0,0,NA,0,0,0,0,0,0,0
"Adnan Mufti",3,11,15,73.3333333333333,5.5,0,0,1,0,0,5
"Afaq Ahmed",5,61,67,91.044776119403,30.5,3,2,3,0,0,22
"Aftab Ahmed (2)",6,56,51,109.803921568627,11.2,2,3,1,0,0,32
"Aftab Alam",1,0,1,0,0,0,0,0,0,0,0
"Afzal Faiz",3,59,67,88.0597014925373,19.6666666666667,7,0,0,0,0,34
"Afzal Saleem",2,86,77,111.688311688312,86,5,2,1,0,1,54
"Afzal Virk",2,4,11,36.3636363636364,2,0,0,0,0,0,4
"Ahmad Mushtaq",4,29,39,74.3589743589744,14.5,1,1,2,0,0,12
"Ahmad Ramdoni",5,57,85,67.0588235294118,14.25,4,0,1,0,0,28
"Ahmed Ameel",2,12,20,60,12,0,0,1,0,0,7
"Ahmed Faiz",1,0,6,0,0,0,0,0,0,0,0
"Ahmed Faiz Mohammad Noor",10,376,278,135.251798561151,53.7142857142857,22,20,3,1,2,109
"Ahmed Hassan",4,25,64,39.0625,6.25,0,0,0,0,0,9
"Ahmed Raza",1,1,2,50,1,0,0,0,0,0,1
"Ahmed Wardak",2,6,3,200,Inf,1,0,2,0,0,6
"Ahsan Malik",1,1,1,100,Inf,0,0,1,0,0,1
"Aizaz Khan",8,47,59,79.6610169491525,9.4,0,1,3,0,0,26
"Ajaz Patel",1,2,14,14.2857142857143,Inf,0,0,1,0,0,2
"Ali Bushahri",1,0,1,0,0,0,0,0,0,0,0
"Ali Khan",1,6,6,100,Inf,1,0,1,0,0,6
"Ali Zaheer",6,82,102,80.3921568627451,13.6666666666667,1,2,0,0,0,27
"Alkandari Abdulrahman",1,0,3,0,0,0,0,0,0,0,0
"Alkandari Mohammad",1,1,2,50,1,0,0,0,0,0,1
"Alotaibi Mohammed",1,0,5,0,0,0,0,0,0,0,0
"Alqallaf Mohammad",1,1,2,50,1,0,0,0,0,0,1
"Altaf Gill",4,24,36,66.6666666666667,8,0,1,1,0,0,13
"Amar Naeem",1,31,26,119.230769230769,Inf,3,0,1,0,0,31
