"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Waqas Khan",2015-05-18,"Namibia","Hong Kong",2,"4.0",0,30,1,7.5,7,"Hong Kong tour of Namibia","2015",877507,"Wanderers Cricket Ground","Windhoek","Namibia","Hong Kong","Namibia","field","JJ Atkinson","Hong Kong",NA,"59"
"Waseeq Ahmed",2018-04-23,"United Arab Emirates","Bahrain",1,"4.0",0,30,1,7.5,8,"ICC World Twenty20 Asia Region Qualifier A","2018",1142216,"Sulabiya Ground","Kuwait City","United Arab Emirates","Bahrain","Bahrain","field","Qadeer Ahmed","United Arab Emirates",NA,"51"
"Abdul Sadiq",2018-04-24,"Bahrain","Kuwait",2,"4.0",0,31,1,7.75,8,"ICC World Twenty20 Asia Region Qualifier A","2018",1142219,"Tack-Tec Ground","Kuwait City","Kuwait","Bahrain","Kuwait","bat","A Makesh","Kuwait",NA,"23"
"Amir Hayat",2018-04-27,"Qatar","United Arab Emirates",1,"3.0",0,31,1,10.3333333333333,6,"ICC World Twenty20 Asia Region Qualifier A","2018",1142224,"Tack-Tec Ground","Kuwait City","Qatar","United Arab Emirates","Qatar","bat","Ghulam Shabber","United Arab Emirates","9",NA
"AV Lalcheta",2015-07-14,"Netherlands","Oman",1,"4.0",0,31,1,7.75,12,"ICC World Twenty20 Qualifier","2015",875495,"Myreside","Edinburgh","Netherlands","Oman","Oman","field","Jatinder Singh","Oman","6",NA
"C Waiswa",2018-07-14,"Kenya","Uganda",1,"3.0",0,31,1,10.3333333333333,6,"ICC World Twenty20 Africa Region Qualifier B","2018",1151254,"Gahanga International Cricket Stadium. Rwanda",NA,"Kenya","Uganda","Uganda","field","DM Nakrani","Uganda","7",NA
"F Damiao Couana",2018-10-29,"Namibia","Mozambique",1,"4.0",0,31,1,7.75,13,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163054,"Botswana Cricket Association Oval 2","Gaborone","Namibia","Mozambique","Namibia","bat","L Louwrens","Namibia",NA,"125"
"GK Berg",2013-11-18,"Uganda","Italy",2,"4.0",0,31,1,7.75,11,"ICC World Twenty20 Qualifier","2013/14",660133,"Sheikh Zayed Stadium","Abu Dhabi","Italy","Uganda","Uganda","field","RG Okia","Uganda","1",NA
"I Kamara",2018-04-18,"Nigeria","Sierra Leone",1,"4.0",0,31,1,7.75,8,"ICC World Twenty20 Africa Region Qualifier A","2018",1143122,"Tafawa Balewa Square Cricket Oval","Lagos","Nigeria","Sierra Leone","Nigeria","bat",NA,"Nigeria",NA,"6"
"I Wardlaw",2013-11-18,"Nepal","Scotland",1,"4.0",0,31,1,7.75,10,"ICC World Twenty20 Qualifier","2013/14",660139,"ICC Academy Ground No 2","Dubai","Nepal","Scotland","Scotland","field","CS MacLeod","Scotland","8",NA
"J Singye",2018-10-09,"Nepal","Bhutan",1,"4.0",0,31,1,7.75,7,"ICC World Twenty20 Asia Region Qualifier B","2018/19",1160958,"UKM-YSD Cricket Oval","Bangi","Nepal","Bhutan","Bhutan","field","PS Airee","Nepal",NA,"117"
"K Ganesh",2013-11-22,"Hong Kong","United States of America",1,"4.0",0,31,1,7.75,10,"ICC World Twenty20 Qualifier","2013/14",660179,"Abu Dhabi Oval 2","Abu Dhabi","Hong Kong","United States of America","United States of America","field","Munir Dar","Hong Kong",NA,"67"
"L Hyde",2018-09-25,"Panama","Belize",1,"4.0",0,31,1,7.75,12,"ICC World Twenty20 Americas Sub Regional Qualifier A","2018/19",1157698,"Church Street Park","Morrisville","Panama","Belize","Panama","bat","S Chohan","Panama",NA,"9"
"Mohamed Mahfooz",2015-01-27,"Kuwait","Maldives",2,"3.0",0,31,1,10.3333333333333,6,"ACC Twenty20 Cup","2014/15",811121,"Sharjah Cricket Stadium",NA,"Kuwait","Maldives","Maldives","bat","Sibtain Raza","Kuwait","9",NA
"Mohammad Nabi",2013-11-21,"Denmark","Afghanistan",1,"4.0",0,31,1,7.75,7,"ICC World Twenty20 Qualifier","2013/14",660165,"ICC Academy Ground No 2","Dubai","Afghanistan","Denmark","Afghanistan","field","Najibullah Zadran","Afghanistan","2",NA
"Mohammed Nadeem",2018-04-21,"Kuwait","Qatar",2,"4.0",0,31,1,7.75,9,"ICC World Twenty20 Asia Region Qualifier A","2018",1142211,"Sulabiya Ground","Kuwait City","Qatar","Kuwait","Qatar","bat","Inam-ul-Haq","Qatar",NA,"26"
"NM Odhiambo",2015-07-18,"Netherlands","Kenya",2,"2.0",0,31,1,15.5,3,"ICC World Twenty20 Qualifier","2015",875533,"Myreside","Edinburgh","Kenya","Netherlands","Netherlands","field","T van der Gugten","Netherlands","4",NA
"SM Solia",2018-08-25,"Papua New Guinea","Samoa",1,"3.0",0,31,1,10.3333333333333,6,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155273,"Albert Park 2","Suva","Papua New Guinea","Samoa","Papua New Guinea","bat","TP Ura","Papua New Guinea",NA,"80"
"SP Gauchan",2013-11-30,"United Arab Emirates","Nepal",1,"3.0",0,31,1,10.3333333333333,3,"ICC World Twenty20 Qualifier","2013/14",660233,"Sheikh Zayed Stadium","Abu Dhabi","United Arab Emirates","Nepal","Nepal","field","B Regmi","Nepal","5",NA
"Taekwan Park",2018-12-07,"Japan","South Korea",1,"3.0",0,31,1,10.3333333333333,5,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","2018/19",1166892,"Friendship Oval","Dasmarinas","Japan","South Korea","South Korea","field","Muhammad Nadeem","South Korea","4",NA
"Waqas Barkat",2014-09-30,"Malaysia","Hong Kong",1,"4.0",0,31,1,7.75,5,"Asian Games Men's Cricket Competition","2014/15",778029,"Yeonhui Cricket Ground","Incheon","Hong Kong","Malaysia","Malaysia","bat",NA,"Hong Kong","7",NA
"Z Bimenyimana",2018-07-10,"Uganda","Rwanda",1,"4.0",0,31,1,7.75,11,"ICC World Twenty20 Africa Region Qualifier B","2018",1151248,"Gahanga International Cricket Stadium. Rwanda",NA,"Uganda","Rwanda","Rwanda","field","Mohammed Irfan (2)","Uganda",NA,"170"
"Abubacarr Kuyateh",2018-04-18,"Ghana","Gambia",1,"4.0",0,32,1,8,10,"ICC World Twenty20 Africa Region Qualifier A","2018",1143121,"Tafawa Balewa Square Cricket Oval","Lagos","Ghana","Gambia","Ghana","bat",NA,"Ghana",NA,"109"
"Basiru Jaye",2018-04-18,"Ghana","Gambia",1,"4.0",0,32,1,8,9,"ICC World Twenty20 Africa Region Qualifier A","2018",1143121,"Tafawa Balewa Square Cricket Oval","Lagos","Ghana","Gambia","Ghana","bat",NA,"Ghana",NA,"109"
"CC Blake",2018-08-25,"Samoa","Vanuatu",1,"4.0",0,32,1,8,7,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155275,"Albert Park 2","Suva","Samoa","Vanuatu","Vanuatu","field","BF Mailata","Samoa",NA,"17"
"Fazal Rahman",2014-10-03,"Sri Lanka","Afghanistan",1,"4.0",0,32,1,8,5,"Asian Games Men's Cricket Competition","2014/15",778043,"Yeonhui Cricket Ground","Incheon","Afghanistan","Sri Lanka","Sri Lanka","bat",NA,"Sri Lanka",NA,"68"
"GRD Munasinghe",2018-09-01,"Belgium","Italy",1,"4.0",0,32,1,8,10,"ICC World Twenty20 Europe Region Qualifier B","2018",1156659,"Sportpark Thurlede","Schiedam","Belgium","Italy","Belgium","bat","NA Maiolo","Italy","6",NA
"Iqbal Hussain",2016-09-28,"Saudi Arabia","Qatar",1,"4.0",0,32,1,8,5,"Kenya T20 Quadrangular Series","2016",1058157,"Jaffery Sports Club Ground","Nairobi","Qatar","Saudi Arabia","Qatar","field",NA,"Saudi Arabia",NA,"36"
"Iqbal Hussain",2016-09-29,"Kenya","Qatar",1,"4.0",0,32,1,8,7,"Kenya T20 Quadrangular Series","2016",1059539,"Gymkhana Club Ground","Nairobi","Kenya","Qatar","Qatar","field",NA,"Qatar","2",NA
"JB Reva",2015-07-18,"Namibia","Papua New Guinea",1,"3.0",0,32,1,10.6666666666667,6,"ICC World Twenty20 Qualifier","2015",875529,"The Village, Malahide","Dublin","Namibia","Papua New Guinea","Papua New Guinea","field","BM Scholtz","Namibia",NA,"49"
