"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Han Junhui",1,"1.0",0,8,0,Inf,8,Inf,2,0,0,"0/8"
"Harvinder Singh",1,"1.0",0,8,0,Inf,8,Inf,3,0,0,"0/8"
"Hongki Kim",1,"1.0",0,8,0,Inf,8,Inf,2,0,0,"0/8"
"Muhammad Saeed",1,"1.0",0,8,0,Inf,8,Inf,2,0,0,"0/8"
"S Groenewald",1,"1.0",0,8,0,Inf,8,Inf,1,0,0,"0/8"
"Xu Hao",1,"1.0",0,8,0,Inf,8,Inf,4,0,0,"0/8"
"Y Naing Kyaw",1,"0.4",0,8,0,Inf,12,Inf,0,0,0,"0/8"
"Mohammad Mujtaba",1,"2.0",0,9,0,Inf,4.5,Inf,5,0,0,"0/9"
"U Sofi",1,"1.0",0,9,0,Inf,9,Inf,3,0,0,"0/9"
"V Vini",1,"1.0",0,9,0,Inf,9,Inf,0,0,0,"0/9"
"Ahsan Yusuf",1,"1.0",0,10,0,Inf,10,Inf,1,0,0,"0/10"
"CS MacLeod",2,"3.0",0,10,0,Inf,3.33333333333333,Inf,14,0,0,"0/3"
"K Senamontree",1,"1.0",0,10,0,Inf,10,Inf,1,0,0,"0/10"
"Lim Jeongwook",1,"1.0",0,10,0,Inf,10,Inf,1,0,0,"0/10"
"Muzaffar Mujeed",1,"1.0",0,10,0,Inf,10,Inf,2,0,0,"0/10"
"RD Berrington",1,"2.0",0,10,0,Inf,5,Inf,3,0,0,"0/10"
"Adil Afzal",1,"1.0",0,11,0,Inf,11,Inf,0,0,0,"0/11"
"DLS van Bunge",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"E Solomon",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"JPR Lamsam",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"MB van Schelven",1,"1.0",0,11,0,Inf,11,Inf,3,0,0,"0/11"
"Nawroz Mangal",1,"1.0",0,11,0,Inf,11,Inf,0,0,0,"0/11"
"Sarfaraj Mulla",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"Tafseer Ali",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"Taskin Ahmed",1,"3.0",0,11,0,Inf,3.66666666666667,Inf,10,0,0,"0/11"
"Zhai Dian Da",1,"1.3",0,11,0,Inf,7.33333333333333,Inf,4,0,0,"0/11"
"AG Dugmore",1,"1.1",0,12,0,Inf,10.2857142857143,Inf,1,0,0,"0/12"
"D Dawa",1,"2.0",0,12,0,Inf,6,Inf,6,0,0,"0/12"
"Feng Yu",1,"1.0",0,12,0,Inf,12,Inf,3,0,0,"0/12"
"GLB Lamplough",1,"1.0",0,12,0,Inf,12,Inf,0,0,0,"0/12"
"I Medhi",1,"1.1",0,12,0,Inf,10.2857142857143,Inf,0,0,0,"0/12"
"PD Hennessy",1,"1.0",0,12,0,Inf,12,Inf,1,0,0,"0/12"
"S Udugalage",1,"2.0",0,12,0,Inf,6,Inf,1,0,0,"0/12"
"SJ Myburgh",1,"1.0",0,12,0,Inf,12,Inf,1,0,0,"0/12"
"SM Tupou",1,"1.0",0,12,0,Inf,12,Inf,0,0,0,"0/12"
"Alkandari Abdulrahman",1,"1.5",0,13,0,Inf,7.09090909090909,Inf,4,0,0,"0/13"
"Altaf Gill",1,"1.0",0,13,0,Inf,13,Inf,0,0,0,"0/13"
"D Forrester",1,"1.0",0,13,0,Inf,13,Inf,1,0,0,"0/13"
"D Gim",1,"2.0",0,13,0,Inf,6.5,Inf,3,0,0,"0/13"
"J Adderley",1,"3.0",0,13,0,Inf,4.33333333333333,Inf,10,0,0,"0/13"
"JW Jenner",1,"1.0",0,13,0,Inf,13,Inf,1,0,0,"0/13"
"MB Gauna",1,"1.0",0,13,0,Inf,13,Inf,1,0,0,"0/13"
"MO Bryan",1,"2.0",0,13,0,Inf,6.5,Inf,5,0,0,"0/13"
"Naveed Ahmed",1,"2.0",0,13,0,Inf,6.5,Inf,1,0,0,"0/13"
"Shuvagata Hom",1,"1.0",0,13,0,Inf,13,Inf,0,0,0,"0/13"
"Anas Khan",1,"1.0",0,14,0,Inf,14,Inf,2,0,0,"0/14"
"Sabir Zahoor",1,"2.0",0,14,0,Inf,7,Inf,6,0,0,"0/14"
"Shunan Ali",1,"1.1",0,14,0,Inf,12,Inf,2,0,0,"0/14"
"A Koul",1,"1.0",0,15,0,Inf,15,Inf,0,0,0,"0/15"
"Asim Khurshid",1,"2.0",0,15,0,Inf,7.5,Inf,4,0,0,"0/15"
"DJ Wakefield",1,"2.0",0,15,0,Inf,7.5,Inf,6,0,0,"0/15"
"E Isaneez",1,"3.0",0,15,0,Inf,5,Inf,5,0,0,"0/15"
"MPGT Ketiyage",1,"1.0",0,15,0,Inf,15,Inf,0,0,0,"0/15"
