"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"AC Douglas","JB Reva",0,1,1,1,0,0,0,0,0
"AC Douglas","JK Mukhiya",1,1,0,0,0,0,6,100,Inf
"AC Douglas","Karim Sadiq",1,5,0,4,0,0,1.2,20,Inf
"AC Douglas","Mohammad Nabi",0,1,1,1,0,0,0,0,0
"AC Douglas","P Khadka",2,5,0,3,0,0,2.4,40,Inf
"AC Douglas","RM Haq",8,3,0,0,0,1,16,266.666666666667,Inf
"AC Douglas","SM Sharif",5,2,0,0,1,0,15,250,Inf
"AC Douglas","SO Ngoche",1,3,0,2,0,0,2,33.3333333333333,Inf
"AC Douglas","SO Tikolo",21,11,0,6,0,3,11.4545454545455,190.909090909091,Inf
"ACF Stokes","Ansar Iqbal",1,1,0,0,0,0,6,100,Inf
"ACF Stokes","Hayatullah Niazi",1,4,0,3,0,0,1.5,25,Inf
"ACF Stokes","Junaid Sheikh",1,2,0,1,0,0,3,50,Inf
"AD Algar","A Pusthay",5,6,1,2,0,0,5,83.3333333333333,5
"AD Algar","B Ward",2,10,0,8,0,0,1.2,20,Inf
"AD Algar","BDH Stevens",4,5,1,2,0,0,4.8,80,4
"AD Algar","CW Perchard",6,7,0,2,0,0,5.14285714285714,85.7142857142857,Inf
"AD Algar","EJB Miles",2,7,0,5,0,0,1.71428571428571,28.5714285714286,Inf
"AD Algar","GRD Munasinghe",3,2,0,0,0,0,9,150,Inf
"AD Algar","H Dandapani",2,4,0,3,0,0,3,50,Inf
"AD Algar","Jaspreet Singh",2,4,0,2,0,0,3,50,Inf
"AD Algar","M Chauhan",2,4,0,2,0,0,3,50,Inf
"AD Conwana","T Lungameni",0,1,1,1,0,0,0,0,0
"AD Kamania","C Rububagumya",1,2,0,1,0,0,3,50,Inf
"AD Kamania","EH Dusabemungu",0,1,0,1,0,0,0,0,NA
"AD Kamania","O Tuyisenge",1,2,0,1,0,0,3,50,Inf
"AD Kamania","V Mitari",11,10,1,1,0,0,6.6,110,11
"AD Kamania","Z Bimenyimana",19,9,0,3,1,2,12.6666666666667,211.111111111111,Inf
"AE Paraam","AV Lalcheta",1,2,1,1,0,0,3,50,1
"AE Paraam","Adnan Liaquat",6,5,0,2,1,0,7.2,120,Inf
"AE Paraam","D Duraisingam",1,2,0,1,0,0,3,50,Inf
"AE Paraam","Hammad Saeed",9,8,0,5,2,0,6.75,112.5,Inf
"AE Paraam","Hassan Ghulam",12,10,0,3,1,0,7.2,120,Inf
"AE Paraam","Khizar Hayat",11,7,0,2,2,0,9.42857142857143,157.142857142857,Inf
"AE Paraam","M Ansari",4,1,0,0,1,0,24,400,Inf
