"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_wickets","winner_runs","method","tv_umpire","outcome"
1160957,6,"Thailand","Singapore","male","2018/19",2018-10-09,"ICC World Twenty20 Asia Region Qualifier B","13","Bayuemas Oval","Kuala Lumpur","Thailand","bat","Manpreet Singh","IA Thomson","DN Subedi","Tabarak Dar","Akhtar Ahmad","Singapore",8,NA,NA,NA,NA
1160958,6,"Nepal","Bhutan","male","2018/19",2018-10-09,"ICC World Twenty20 Asia Region Qualifier B","14","UKM-YSD Cricket Oval","Bangi","Bhutan","field","PS Airee","V Kalidas","Sarika Prasad","C Shamshuddin","Akhtar Ahmad","Nepal",NA,117,NA,NA,NA
1160959,6,"Myanmar","Malaysia","male","2018/19",2018-10-09,"ICC World Twenty20 Asia Region Qualifier B","15","Bayuemas Oval","Kuala Lumpur","Malaysia","field","Pavandeep Singh","DN Subedi","Tabarak Dar","IA Thomson","Akhtar Ahmad","Malaysia",8,NA,"D/L",NA,NA
1160960,6,"China","Nepal","male","2018/19",2018-10-10,"ICC World Twenty20 Asia Region Qualifier B","16","Bayuemas Oval","Kuala Lumpur","Nepal","field","S Lamichhane","C Shamshuddin","V Kalidas","Sarika Prasad","Akhtar Ahmad","Nepal",10,NA,NA,NA,NA
1160961,6,"Singapore","Bhutan","male","2018/19",2018-10-10,"ICC World Twenty20 Asia Region Qualifier B","17","UKM-YSD Cricket Oval","Bangi","Bhutan","field","S Chandramohan","Tabarak Dar","DN Subedi","IA Thomson","Akhtar Ahmad","Singapore",NA,95,NA,NA,NA
1160962,6,"Thailand","Myanmar","male","2018/19",2018-10-10,"ICC World Twenty20 Asia Region Qualifier B","18","Bayuemas Oval","Kuala Lumpur","Myanmar","field","C Pengkumta","V Kalidas","Sarika Prasad","C Shamshuddin","Akhtar Ahmad","Thailand",NA,31,"D/L",NA,NA
1160964,6,"China","Malaysia","male","2018/19",2018-10-12,"ICC World Twenty20 Asia Region Qualifier B","20","UKM-YSD Cricket Oval","Bangi","Malaysia","field","SKG Krishnan","DN Subedi","Sarika Prasad","C Shamshuddin","Akhtar Ahmad","Malaysia",10,NA,NA,NA,NA
1160965,6,"Singapore","Nepal","male","2018/19",2018-10-12,"ICC World Twenty20 Asia Region Qualifier B","21","Bayuemas Oval","Kuala Lumpur","Nepal","field",NA,"Tabarak Dar","V Kalidas","IA Thomson","Akhtar Ahmad",NA,NA,NA,NA,NA,"no result"
1163048,6,"Swaziland","Namibia","male","2018/19",2018-10-28,"ICC World Twenty20 Africa Region Qualifier C","2","Botswana Cricket Association Oval 2","Gaborone","Namibia","field","Z Groenewald","VR Angara","Patric Makumbi",NA,NA,"Namibia",10,NA,NA,NA,NA
1163051,6,"Swaziland","Lesotho","male","2018/19",2018-10-29,"ICC World Twenty20 Africa Region Qualifier C","5","Botswana Cricket Association Oval 1","Gaborone","Lesotho","field","Sarfaraj Patel","C Thorburn","Justine Muzungu",NA,NA,"Lesotho",8,NA,NA,NA,NA
1163052,6,"St Helena","Malawi","male","2018/19",2018-10-29,"ICC World Twenty20 Africa Region Qualifier C","6","Botswana Cricket Association Oval 1","Gaborone","St Helena","bat","S Crowie","Justine Muzungu","VR Angara","BP Jele",NA,"St Helena",NA,6,NA,NA,NA
1163054,6,"Namibia","Mozambique","male","2018/19",2018-10-29,"ICC World Twenty20 Africa Region Qualifier C","8","Botswana Cricket Association Oval 2","Gaborone","Namibia","bat","L Louwrens","R D'Mello","Patric Makumbi",NA,NA,"Namibia",NA,125,NA,NA,NA
1163055,6,"Botswana","St Helena","male","2018/19",2018-10-30,"ICC World Twenty20 Africa Region Qualifier C","9","Botswana Cricket Association Oval 1","Gaborone","Botswana","bat","A Rangaswamy","R D'Mello","C Thorburn","Patric Makumbi",NA,"Botswana",NA,81,NA,NA,NA
1163056,6,"Swaziland","Malawi","male","2018/19",2018-10-30,"ICC World Twenty20 Africa Region Qualifier C","10","Botswana Cricket Association Oval 2","Gaborone","Swaziland","bat","M Abdulla","VR Angara","Justine Muzungu",NA,NA,"Malawi",8,NA,NA,NA,NA
1163057,6,"Mozambique","Lesotho","male","2018/19",2018-10-30,"ICC World Twenty20 Africa Region Qualifier C","11","Botswana Cricket Association Oval 1","Gaborone","Mozambique","bat","FA Cossa","Justine Muzungu","C Thorburn","VR Angara",NA,"Mozambique",NA,66,NA,NA,NA
1163058,6,"Botswana","Malawi","male","2018/19",2018-10-30,"ICC World Twenty20 Africa Region Qualifier C","12","Botswana Cricket Association Oval 2","Gaborone","Botswana","bat","Sami Sohail","R D'Mello","Patric Makumbi",NA,NA,"Botswana",NA,15,NA,NA,NA
1163059,6,"Malawi","Mozambique","male","2018/19",2018-11-01,"ICC World Twenty20 Africa Region Qualifier C","13","Botswana Cricket Association Oval 1","Gaborone","Malawi","bat","FA Cossa","R D'Mello","Justine Muzungu","C Thorburn",NA,"Mozambique",5,NA,NA,NA,NA
1163060,6,"Namibia","Lesotho","male","2018/19",2018-11-01,"ICC World Twenty20 Africa Region Qualifier C","14","Botswana Cricket Association Oval 2","Gaborone","Namibia","bat","L Louwrens","Patric Makumbi","VR Angara","BP Jele",NA,"Namibia",NA,179,NA,NA,NA
1163061,6,"Swaziland","Botswana","male","2018/19",2018-11-01,"ICC World Twenty20 Africa Region Qualifier C","15","Botswana Cricket Association Oval 1","Gaborone","Swaziland","bat","T Phaswana","Patric Makumbi","C Thorburn","VR Angara",NA,"Botswana",9,NA,NA,NA,NA
1163062,6,"Malawi","Lesotho","male","2018/19",2018-11-01,"ICC World Twenty20 Africa Region Qualifier C","16","Botswana Cricket Association Oval 2","Gaborone","Malawi","bat","C Tlali","R D'Mello","Justine Muzungu","BP Jele",NA,"Malawi",NA,4,NA,NA,NA
1163064,6,"Lesotho","Botswana","male","2018/19",2018-11-02,"ICC World Twenty20 Africa Region Qualifier C","18","Botswana Cricket Association Oval 2","Gaborone","Lesotho","bat","A Rangaswamy","BP Jele","C Thorburn",NA,NA,"Botswana",6,NA,NA,NA,NA
1163066,6,"Namibia","St Helena","male","2018/19",2018-11-02,"ICC World Twenty20 Africa Region Qualifier C","20","Botswana Cricket Association Oval 2","Gaborone","Namibia","bat","Z Groenewald","R D'Mello","VR Angara","BP Jele",NA,"Namibia",NA,90,NA,NA,NA
1163067,6,"Namibia","Botswana","male","2018/19",2018-11-03,"ICC World Twenty20 Africa Region Qualifier C","21","Botswana Cricket Association Oval 1","Gaborone","Namibia","bat","JWN Moses","Patric Makumbi","R D'Mello",NA,NA,"Botswana",3,NA,NA,NA,NA
1166881,6,"Japan","Indonesia","male","2018/19",2018-12-01,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","1","Friendship Oval","Dasmarinas","Japan","bat","T Ota","Hitesh Sharma","Bri Olewale","NR Johnstone","RW Stratford","Japan",NA,12,NA,NA,NA
1166882,6,"Philippines","South Korea","male","2018/19",2018-12-01,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","2","Friendship Oval","Dasmarinas","South Korea","field","Surinder Singh","NR Johnstone","Suresh Subramanian","Bri Olewale","RW Stratford","Philippines",NA,6,NA,NA,NA
1166884,6,"Philippines","Japan","male","2018/19",2018-12-02,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","4","Friendship Oval","Dasmarinas","Japan","bat","M Taniyama","Bri Olewale","Suresh Subramanian","Hitesh Sharma","RW Stratford","Japan",NA,5,NA,NA,NA
1166885,6,"Philippines","Indonesia","male","2018/19",2018-12-03,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","5","Friendship Oval","Dasmarinas","Philippines","bat","Anjar Tadarus","NR Johnstone","Bri Olewale","Hitesh Sharma","RW Stratford","Philippines",NA,3,NA,NA,NA
1166886,6,"Japan","South Korea","male","2018/19",2018-12-03,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","6","Friendship Oval","Dasmarinas","South Korea","bat","M Taniyama","Hitesh Sharma","Suresh Subramanian","Bri Olewale",NA,"Japan",6,NA,NA,NA,NA
1166887,6,"Indonesia","Japan","male","2018/19",2018-12-05,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","9","Friendship Oval","Dasmarinas","Japan","bat","GD Arta","NR Johnstone","Bri Olewale","Suresh Subramanian","RW Stratford","Indonesia",4,NA,NA,NA,NA
1166888,6,"Philippines","South Korea","male","2018/19",2018-12-05,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","8","Friendship Oval","Dasmarinas","Philippines","bat","Surinder Singh","Hitesh Sharma","Suresh Subramanian","NR Johnstone","RW Stratford","Philippines",NA,4,NA,NA,NA
1166889,6,"Indonesia","South Korea","male","2018/19",2018-12-06,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","10","Friendship Oval","Dasmarinas","Indonesia","bat","Mudassir Iqbal","NR Johnstone","Suresh Subramanian","Bri Olewale",NA,"South Korea",6,NA,NA,NA,NA
1166890,6,"Philippines","Japan","male","2018/19",2018-12-06,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","9","Friendship Oval","Dasmarinas","Philippines","bat","Vimal Kumar","Hitesh Sharma","Bri Olewale","NR Johnstone",NA,"Philippines",NA,3,NA,NA,NA
1166891,6,"Philippines","Indonesia","male","2018/19",2018-12-07,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","12","Friendship Oval","Dasmarinas","Indonesia","field","Karweng NG","Bri Olewale","Suresh Subramanian","Hitesh Sharma","RW Stratford","Philippines",NA,28,NA,NA,NA
1166892,6,"Japan","South Korea","male","2018/19",2018-12-07,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","11","Friendship Oval","Dasmarinas","South Korea","field","Muhammad Nadeem","NR Johnstone","Hitesh Sharma","Suresh Subramanian",NA,"South Korea",4,NA,NA,NA,NA
1434162,6,"Gibraltar","Hungary","male","2024",2024-05-26,"Continental Cup",NA,"Moara Vlasiei Cricket Ground, Ilfov County","Ilfov County","Hungary","field","Sheikh Rasik","Imran Haider","Dharmendra Manani","I Doekhie","A Begg","Hungary",8,NA,NA,NA,NA
