"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"LMM Tahuhu",2019-05-11,"Velocity","Supernovas",1,"4.0",1,21,2,5.25,15,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"Poonam Yadav",2018-05-22,"Supernovas","Trailblazers",2,"4.0",0,21,2,5.25,8,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"LM Kasperek",2020-11-04,"Supernovas","Velocity",1,"4.0",0,23,2,5.75,11,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"KL Cross",2022-05-24,"Supernovas","Velocity",1,"4.0",0,24,2,6,12,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"A Khaka",2020-11-04,"Velocity","Supernovas",2,"4.0",1,27,2,6.75,14,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"Jahanara Alam",2020-11-04,"Supernovas","Velocity",1,"4.0",0,27,2,6.75,8,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"DJS Dottin",2022-05-28,"Velocity","Supernovas",2,"4.0",1,28,2,7,15,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"RP Yadav",2019-05-06,"Trailblazers","Supernovas",1,"4.0",0,28,2,7,8,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"S Ecclestone",2022-05-28,"Velocity","Supernovas",2,"4.0",0,28,2,7,12,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"AC Kerr",2019-05-11,"Supernovas","Velocity",2,"4.0",0,29,2,7.25,10,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
