"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"H Kaur",2022-05-23,"Supernovas","Trailblazers",1,37,29,4,0,127.586206896552,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"T Bhatia",2022-05-24,"Supernovas","Velocity",1,36,32,3,0,112.5,FALSE,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"AC Kerr",2019-05-11,"Velocity","Supernovas",1,36,38,4,0,94.7368421052632,FALSE,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"H Deol",2019-05-06,"Trailblazers","Supernovas",1,36,44,3,0,81.8181818181818,FALSE,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"H Deol",2022-05-23,"Supernovas","Trailblazers",1,35,19,5,0,184.210526315789,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"S Mandhana",2022-05-23,"Trailblazers","Supernovas",2,34,23,4,0,147.826086956522,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"Shafali Verma",2019-05-08,"Velocity","Trailblazers",2,34,31,5,1,109.677419354839,FALSE,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"S Verma",2020-11-04,"Velocity","Supernovas",2,34,33,0,2,103.030303030303,FALSE,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"S Mandhana",2020-11-07,"Trailblazers","Supernovas",2,33,40,2,1,82.5,FALSE,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"DJS Dottin",2022-05-23,"Supernovas","Trailblazers",1,32,17,5,1,188.235294117647,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"SFM Devine",2019-05-06,"Supernovas","Trailblazers",2,32,22,2,2,145.454545454545,FALSE,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"SW Bates",2018-05-22,"Trailblazers","Supernovas",1,32,37,2,0,86.4864864864865,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"H Kaur",2020-11-04,"Supernovas","Velocity",1,31,27,1,2,114.814814814815,FALSE,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"H Kaur",2020-11-07,"Supernovas","Trailblazers",1,31,29,1,1,106.896551724138,FALSE,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"AC Jayangani",2019-05-09,"Supernovas","Velocity",1,31,38,5,0,81.5789473684211,FALSE,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"V Krishnamurthy",2019-05-09,"Velocity","Supernovas",2,30,29,3,0,103.448275862069,TRUE,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"H Kaur",2020-11-09,"Supernovas","Trailblazers",2,30,36,2,0,83.3333333333333,FALSE,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"PS Punia",2020-11-07,"Supernovas","Trailblazers",1,30,37,3,0,81.0810810810811,FALSE,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"Shafali Verma",2022-05-26,"Velocity","Trailblazers",2,29,15,5,0,193.333333333333,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"DJS Dottin",2020-11-05,"Trailblazers","Velocity",2,29,28,3,0,103.571428571429,TRUE,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"V Krishnamurthy",2020-11-04,"Velocity","Supernovas",2,29,28,4,0,103.571428571429,FALSE,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"PS Punia",2019-05-11,"Supernovas","Velocity",2,29,31,5,0,93.5483870967742,FALSE,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"PS Punia",2022-05-28,"Supernovas","Velocity",1,28,29,0,2,96.551724137931,FALSE,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"DJS Dottin",2020-11-07,"Trailblazers","Supernovas",2,27,15,4,1,180,FALSE,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"H Deol",2020-11-07,"Trailblazers","Supernovas",2,27,15,3,0,180,FALSE,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"HK Matthews",2022-05-26,"Trailblazers","Velocity",1,27,16,4,0,168.75,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"SW Bates",2019-05-08,"Trailblazers","Velocity",1,26,22,2,1,118.181818181818,FALSE,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"AC Jayangani",2019-05-06,"Supernovas","Trailblazers",2,26,34,2,0,76.4705882352941,FALSE,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"JI Rodrigues",2018-05-22,"Trailblazers","Supernovas",1,25,23,3,0,108.695652173913,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"JI Rodrigues",2019-05-06,"Supernovas","Trailblazers",2,24,19,4,0,126.315789473684,FALSE,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"DN Wyatt",2018-05-22,"Supernovas","Trailblazers",2,24,20,2,1,120,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"JI Rodrigues",2022-05-23,"Trailblazers","Supernovas",2,24,21,4,0,114.285714285714,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"DB Sharma",2022-05-24,"Velocity","Supernovas",2,24,25,2,0,96,TRUE,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"M Raj",2018-05-22,"Supernovas","Trailblazers",2,22,17,3,1,129.411764705882,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"PS Punia",2022-05-23,"Supernovas","Trailblazers",1,22,20,2,1,110,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"JI Rodrigues",2019-05-11,"Supernovas","Velocity",2,22,25,3,0,88,FALSE,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
