"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Qais Ahmad",6,"23.0",0,247,9,27.4444444444444,10.7391304347826,15.3333333333333,38,0,0,"3/21"
"Saeed Ajmal",10,"33.4",0,273,9,30.3333333333333,8.10891089108911,22.4444444444444,65,0,0,"3/27"
"Asif Afridi",5,"19.0",1,124,8,15.5,6.52631578947368,14.25,49,0,0,"3/19"
"Mahmudullah",7,"17.2",0,137,8,17.125,7.90384615384615,13,38,0,0,"3/21"
"Arif Yaqoob",5,"16.0",0,142,8,17.75,8.875,12,28,0,1,"5/27"
"TK Curran",5,"20.0",0,181,8,22.625,9.05,15,39,0,0,"3/34"
"Imran Khan",7,"25.0",1,208,8,26,8.32,18.75,52,0,0,"3/28"
"Hunain Shah",9,"23.4",1,225,8,28.125,9.50704225352113,17.75,57,0,0,"2/25"
"DJG Sammy",15,"25.4",0,247,8,30.875,9.62337662337662,19.25,35,0,0,"2/21"
"Shakib Al Hasan",11,"34.0",2,250,8,31.25,7.35294117647059,25.5,77,0,0,"2/14"
"Ehsan Adil",5,"19.5",0,170,7,24.2857142857143,8.57142857142857,17,50,1,0,"4/39"
"L Gregory",12,"29.1",0,273,7,39,9.36,25,49,1,0,"4/25"
"Mohammad Imran",10,"33.3",0,319,7,45.5714285714286,9.52238805970149,28.7142857142857,62,0,0,"2/47"
"Aizaz Cheema",5,"17.0",0,136,6,22.6666666666667,8,17,37,0,0,"2/14"
"KK Cooper",6,"17.0",0,157,6,26.1666666666667,9.23529411764706,17,40,0,0,"3/25"
"DW Steyn",7,"21.4",1,182,6,30.3333333333333,8.4,21.6666666666667,57,0,0,"2/44"
"JDS Neesham",7,"22.0",0,199,6,33.1666666666667,9.04545454545454,22,46,0,0,"2/23"
"Bilawal Bhatti",8,"26.1",0,203,6,33.8333333333333,7.75796178343949,26.1666666666667,59,0,0,"3/26"
"Noor Ahmad",8,"31.0",0,251,6,41.8333333333333,8.09677419354839,31,69,0,0,"2/19"
"Ahmed Daniyal",10,"35.0",0,330,6,55,9.42857142857143,35,69,0,0,"2/29"
"Mujeeb Ur Rahman",11,"44.0",0,381,6,63.5,8.65909090909091,44,96,0,0,"2/28"
"JC Archer",2,"8.0",0,53,5,10.6,6.625,9.6,23,0,0,"3/23"
"Mohammad Abbas",3,"12.0",1,69,5,13.8,5.75,14.4,37,0,0,"3/22"
"MM Ali",6,"11.0",0,110,5,22,10,13.2,18,0,0,"2/13"
"ST Finn",5,"16.0",0,124,5,24.8,7.75,19.2,41,0,0,"3/35"
"Mehran Mumtaz",5,"19.0",0,126,5,25.2,6.63157894736842,22.8,42,0,0,"2/22"
"OF Smith",6,"20.3",0,212,5,42.4,10.3414634146341,24.6,40,0,0,"2/41"
"Jahandad Khan",9,"23.0",0,226,5,45.2,9.82608695652174,27.6,44,0,0,"2/30"
"Arish Ali",2,"7.0",0,64,4,16,9.14285714285714,10.5,18,1,0,"4/28"
"Ahmed Safi Abdullah",3,"8.0",0,65,4,16.25,8.125,12,18,0,0,"2/17"
"Ali Shafiq",4,"12.3",0,91,4,22.75,7.28,18.75,35,0,0,"2/11"
"BAW Mendis",4,"12.0",0,94,4,23.5,7.83333333333333,18,22,0,0,"3/17"
"Imran Khan (2)",3,"10.4",0,100,4,25,9.375,16,19,0,0,"3/24"
"CJ Green",5,"17.0",0,111,4,27.75,6.52941176470588,25.5,42,0,0,"3/32"
"Sufiyan Muqeem",5,"13.0",0,113,4,28.25,8.69230769230769,19.5,31,0,0,"3/37"
"Mustafizur Rahman",6,"17.0",1,122,4,30.5,7.17647058823529,25.5,41,0,0,"2/22"
"GC Viljoen",5,"15.0",0,139,4,34.75,9.26666666666667,22.5,30,0,0,"2/49"
"DR Sams",4,"16.0",0,154,4,38.5,9.625,24,29,0,0,"2/28"
"Mohammad Imran (2)",6,"23.0",0,171,4,42.75,7.43478260869565,34.5,53,0,0,"1/24"
"S Badree",7,"26.0",1,192,4,48,7.38461538461539,39,60,0,0,"1/20"
"RR Emrit",1,"4.0",0,30,3,10,7.5,8,12,0,0,"3/30"
"Aftab Ibrahim",3,"7.0",0,61,3,20.3333333333333,8.71428571428571,14,14,0,0,"2/26"
"Zia-ul-Haq",3,"8.0",0,69,3,23,8.625,16,24,0,0,"2/38"
"Muhammad Faizan",3,"7.0",0,72,3,24,10.2857142857143,14,15,0,0,"2/29"
"B Laughlin",3,"10.0",0,79,3,26.3333333333333,7.9,20,21,0,0,"1/9"
"Ahsan Hafeez",5,"8.0",0,80,3,26.6666666666667,10,16,15,0,0,"2/19"
"SS Cottrell",3,"8.0",0,81,3,27,10.125,16,27,0,0,"3/20"
"FA Allen",3,"8.0",0,83,3,27.6666666666667,10.375,16,7,0,0,"2/36"
"Imran Khan (1)",3,"10.4",0,101,3,33.6666666666667,9.46875,21.3333333333333,12,0,0,"1/24"
"Ali Khan",4,"11.2",0,106,3,35.3333333333333,9.35294117647059,22.6666666666667,28,0,0,"1/10"
"Khalid Usman",4,"15.0",0,114,3,38,7.6,30,32,0,0,"1/17"
"Zahir Khan",4,"15.0",0,123,3,41,8.2,30,29,0,0,"1/25"
