"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"PWH de Silva",2023-01-31,"Sharjah Warriors","Desert Vipers",2,"4.0",0,13,3,3.25,14,"International League T20","2022/23",1346938,"Sharjah Cricket Stadium","Sharjah","Desert Vipers","Sharjah Warriors","Desert Vipers","bat","PWH de Silva","Desert Vipers",NA,"22"
"SS Cottrell",2023-01-20,"Abu Dhabi Knight Riders","Desert Vipers",2,"4.0",0,14,3,3.5,18,"International League T20","2022/23",1346924,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Desert Vipers","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","AD Hales","Desert Vipers",NA,"111"
"TA Boult",2024-01-23,"Abu Dhabi Knight Riders","MI Emirates",1,"4.0",0,14,3,3.5,16,"International League T20","2023/24",1406894,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","MI Emirates","MI Emirates","field","TA Boult","MI Emirates","9",NA
"DJ Worrall",2024-02-14,"MI Emirates","Gulf Giants",1,"4.0",0,15,3,3.75,17,"International League T20","2023/24",1406919,"Dubai International Cricket Stadium","Dubai","MI Emirates","Gulf Giants","Gulf Giants","field","AJ Hosein","MI Emirates",NA,"45"
"A Zampa",2023-01-28,"Desert Vipers","Dubai Capitals",1,"4.0",0,16,3,4,9,"International League T20","2022/23",1346935,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Dubai Capitals","Dubai Capitals","field","A Zampa","Desert Vipers",NA,"12"
"A Zampa",2023-01-30,"Abu Dhabi Knight Riders","Dubai Capitals",1,"4.0",0,16,3,4,13,"International League T20","2022/23",1346937,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","Dubai Capitals","Dubai Capitals","field","A Zampa","Dubai Capitals","7",NA
"Haider Ali",2024-02-10,"MI Emirates","Dubai Capitals",2,"4.0",0,16,3,4,9,"International League T20","2023/24",1406917,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Dubai Capitals","MI Emirates","MI Emirates","field","Haider Ali","Dubai Capitals",NA,"19"
"J Little",2024-02-05,"Sharjah Warriors","Abu Dhabi Knight Riders",1,"4.0",0,17,3,4.25,16,"International League T20","2023/24",1406911,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","J Little","Abu Dhabi Knight Riders","7",NA
"PWH de Silva",2023-01-18,"Abu Dhabi Knight Riders","Desert Vipers",1,"4.0",1,18,3,4.5,11,"International League T20","2022/23",1346922,"Dubai International Cricket Stadium","Dubai","Abu Dhabi Knight Riders","Desert Vipers","Desert Vipers","field","PWH de Silva","Desert Vipers","7",NA
"Waqar Salamkheil",2024-02-02,"Sharjah Warriors","MI Emirates",1,"4.0",0,18,3,4.5,13,"International League T20","2023/24",1406906,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Sharjah Warriors","MI Emirates","MI Emirates","field","Waqar Salamkheil","MI Emirates","8",NA
"CR Brathwaite",2023-02-12,"Desert Vipers","Gulf Giants",1,"4.0",0,19,3,4.75,13,"International League T20","2022/23",1346949,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Gulf Giants","Gulf Giants","field","CR Brathwaite","Gulf Giants","7",NA
"Waqar Salamkheil",2024-02-08,"Gulf Giants","MI Emirates",1,"4.0",0,19,3,4.75,11,"International League T20","2023/24",1406914,"Dubai International Cricket Stadium","Dubai","Gulf Giants","MI Emirates","MI Emirates","field","CJ Jordan","Gulf Giants",NA,"5"
"L Wood",2023-01-31,"Sharjah Warriors","Desert Vipers",2,"4.0",0,20,3,5,11,"International League T20","2022/23",1346938,"Sharjah Cricket Stadium","Sharjah","Desert Vipers","Sharjah Warriors","Desert Vipers","bat","PWH de Silva","Desert Vipers",NA,"22"
"Muhammad Rohid",2024-01-30,"Desert Vipers","MI Emirates",2,"3.0",0,21,3,7,9,"International League T20","2023/24",1406903,"Dubai International Cricket Stadium","Dubai","MI Emirates","Desert Vipers","Desert Vipers","field","Mohammad Amir","Desert Vipers","2",NA
"NA Sowter",2024-02-11,"Sharjah Warriors","Desert Vipers",1,"4.0",0,21,3,5.25,10,"International League T20","2023/24",1406918,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","Desert Vipers","Desert Vipers","field","NA Sowter","Desert Vipers","6",NA
"Sikandar Raza",2024-01-20,"MI Emirates","Dubai Capitals",1,"4.0",0,21,3,5.25,8,"International League T20","2023/24",1406890,"Dubai International Cricket Stadium","Dubai","MI Emirates","Dubai Capitals","Dubai Capitals","field","Sikandar Raza","Dubai Capitals","7",NA
"Shaheen Shah Afridi",2024-01-24,"Gulf Giants","Desert Vipers",1,"4.0",0,22,3,5.5,14,"International League T20","2023/24",1406895,"Dubai International Cricket Stadium","Dubai","Gulf Giants","Desert Vipers","Desert Vipers","field","PWH de Silva","Desert Vipers","6",NA
"V Viyaskanth",2024-02-14,"Gulf Giants","MI Emirates",2,"4.0",0,22,3,5.5,12,"International League T20","2023/24",1406919,"Dubai International Cricket Stadium","Dubai","MI Emirates","Gulf Giants","Gulf Giants","field","AJ Hosein","MI Emirates",NA,"45"
"Muhammad Jawadullah",2023-02-04,"Abu Dhabi Knight Riders","Sharjah Warriors",2,"4.0",0,24,3,6,11,"International League T20","2022/23",1346943,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Sharjah Warriors","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","JM Clarke","Abu Dhabi Knight Riders","5",NA
"CJ Jordan",2023-01-23,"Sharjah Warriors","Gulf Giants",1,"4.0",0,25,3,6.25,9,"International League T20","2022/23",1346929,"Dubai International Cricket Stadium","Dubai","Sharjah Warriors","Gulf Giants","Gulf Giants","field","Naveen-ul-Haq","Sharjah Warriors",NA,"21"
"DJ Bravo",2023-01-17,"Sharjah Warriors","MI Emirates",1,"4.0",0,25,3,6.25,10,"International League T20","2022/23",1346921,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","MI Emirates","MI Emirates","field","DJ Bravo","MI Emirates","6",NA
"Muhammad Rohid",2024-01-23,"Abu Dhabi Knight Riders","MI Emirates",1,"3.0",0,25,3,8.33333333333333,12,"International League T20","2023/24",1406894,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","MI Emirates","MI Emirates","field","TA Boult","MI Emirates","9",NA
