"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"RS Bopara",3,"7.0",0,53,4,13.25,7.57142857142857,10.5,12,1,0,"4/15"
"Rashid Khan",2,"8.0",0,60,4,15,7.5,12,16,0,0,"2/20"
"SC Williams",2,"6.0",0,61,4,15.25,10.1666666666667,9,13,0,0,"3/46"
"NA Sowter",3,"11.0",0,67,4,16.75,6.09090909090909,16.5,29,0,0,"3/21"
"SM Curran",2,"8.0",0,68,4,17,8.5,12,14,0,0,"2/29"
"Sabir Ali",5,"10.0",0,99,4,24.75,9.9,15,26,0,0,"2/35"
"Rohan Mustafa",11,"19.0",0,144,4,36,7.57894736842105,28.5,42,0,0,"2/27"
"Noor Ahmad",6,"21.0",0,148,4,37,7.04761904761905,31.5,44,0,0,"2/27"
"TS Mills",5,"17.4",0,153,4,38.25,8.66037735849057,26.5,45,0,0,"2/21"
"BAC Howell",7,"18.1",0,155,4,38.75,8.53211009174312,27.25,26,0,0,"2/6"
"DJ Worrall",2,"7.0",0,53,3,17.6666666666667,7.57142857142857,14,21,0,0,"3/15"
"R Rampaul",2,"7.0",1,63,3,21,9,14,22,0,0,"2/36"
"MG Erasmus",5,"11.0",0,70,3,23.3333333333333,6.36363636363636,22,26,0,0,"1/1"
"I Udana",4,"14.0",1,115,3,38.3333333333333,8.21428571428571,28,33,0,0,"2/41"
"LA Dawson",6,"17.0",1,130,3,43.3333333333333,7.64705882352941,34,36,0,0,"1/17"
"Mohammad Nabi",7,"15.3",1,135,3,45,8.70967741935484,31,29,0,0,"1/12"
"M de Lange",5,"15.0",0,145,3,48.3333333333333,9.66666666666667,30,35,0,0,"1/23"
"C Karunaratne",5,"16.4",1,176,3,58.6666666666667,10.56,33.3333333333333,29,0,0,"1/32"
"Matiullah Khan",7,"16.1",0,176,3,58.6666666666667,10.8865979381443,32.3333333333333,31,0,0,"2/24"
"JL Denly",3,"4.0",1,31,2,15.5,7.75,12,10,0,0,"2/0"
"MP Stoinis",2,"8.0",0,37,2,18.5,4.625,24,24,0,0,"1/16"
"SR Patel",2,"3.0",0,43,2,21.5,14.3333333333333,9,4,0,0,"2/23"
"DW Lawrence",3,"6.0",0,48,2,24,8,18,15,0,0,"1/12"
"OF Smith",2,"6.0",0,52,2,26,8.66666666666667,18,10,0,0,"1/21"
"PI Walter",3,"9.1",0,79,2,39.5,8.61818181818182,27.5,17,0,0,"2/29"
"KA Pollard",3,"7.0",0,80,2,40,11.4285714285714,21,9,0,0,"1/10"
"JA Thompson",4,"14.0",0,125,2,62.5,8.92857142857143,42,27,0,0,"1/20"
"Qais Ahmad",5,"17.0",0,141,2,70.5,8.29411764705882,51,37,0,0,"2/29"
"C Overton",1,"4.0",0,14,1,14,3.5,24,18,0,0,"1/14"
"ADS Fletcher",1,"1.0",0,20,1,20,20,6,1,0,0,"1/20"
"TG Helm",1,"2.0",0,22,1,22,11,12,5,0,0,"1/22"
"LS Livingstone",1,"4.0",0,24,1,24,6,24,9,0,0,"1/24"
"MM Ali",2,"2.0",0,26,1,26,13,12,4,0,0,"1/8"
"JB Lintott",2,"4.5",0,37,1,37,7.6551724137931,29,10,0,0,"1/32"
"L Gregory",3,"4.0",0,38,1,38,9.5,24,8,0,0,"1/21"
"Ali Naseer",2,"5.0",0,39,1,39,7.8,30,8,0,0,"1/31"
"DM de Silva",2,"4.0",0,41,1,41,10.25,24,6,0,0,"1/25"
"YK Pathan",2,"5.0",0,52,1,52,10.4,30,10,0,0,"1/48"
"JK Fuller",4,"5.0",0,53,1,53,10.6,30,10,0,0,"1/18"
"MD Shanaka",3,"5.0",0,57,1,57,11.4,30,8,0,0,"1/24"
"C de Grandhomme",4,"10.0",1,64,1,64,6.4,60,26,0,0,"1/18"
"FA Allen",3,"7.0",0,74,1,74,10.5714285714286,42,6,0,0,"1/24"
"Shiraz Ahmed",6,"10.0",0,109,1,109,10.9,60,16,0,0,"1/28"
"MRJ Watt",5,"13.0",0,124,1,124,9.53846153846154,78,35,0,0,"1/15"
"LWP Wells",1,"1.0",0,5,0,Inf,5,Inf,2,0,0,"0/5"
"Aryan Lakra",1,"0.2",0,8,0,Inf,24,Inf,0,0,0,"0/8"
"Karim Janat",1,"1.0",0,9,0,Inf,9,Inf,3,0,0,"0/9"
"Nilansh Keswani",1,"0.5",0,10,0,Inf,12,Inf,1,0,0,"0/10"
"Zawar Farid",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"PR Stirling",1,"1.0",0,17,0,Inf,17,Inf,1,0,0,"0/17"
"BFW de Leede",1,"1.0",0,22,0,Inf,22,Inf,0,0,0,"0/22"
"TH David",2,"2.0",0,24,0,Inf,12,Inf,2,0,0,"0/1"
"PA van Meekeren",1,"2.0",0,26,0,Inf,13,Inf,4,0,0,"0/26"
"RJW Topley",1,"3.0",0,26,0,Inf,8.66666666666667,Inf,6,0,0,"0/26"
"CB Sole",1,"2.0",0,29,0,Inf,14.5,Inf,3,0,0,"0/29"
"Waseem Muhammad",2,"2.0",0,30,0,Inf,15,Inf,2,0,0,"0/15"
"RA Reifer",1,"4.0",0,32,0,Inf,8,Inf,6,0,0,"0/32"
"R Ngarava",1,"2.0",0,34,0,Inf,17,Inf,3,0,0,"0/34"
"KP Meiyappan",2,"4.0",0,41,0,Inf,10.25,Inf,5,0,0,"0/14"
"BTJ Wheal",2,"5.4",0,64,0,Inf,11.2941176470588,Inf,8,0,0,"0/22"
"D Madushanka",2,"7.0",0,78,0,Inf,11.1428571428571,Inf,13,0,0,"0/29"
"Shadab Khan",3,"9.0",0,101,0,Inf,11.2222222222222,Inf,14,0,0,"0/25"
"KW Richardson",4,"13.5",0,128,0,Inf,9.25301204819277,Inf,32,0,0,"0/18"
