"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Waseem Muhammad",2023-01-14,"MI Emirates","Sharjah Warriors",1,71,39,5,5,182.051282051282,FALSE,"International League T20","2022/23",1346917,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Sharjah Warriors","Sharjah Warriors","field","Waseem Muhammad","MI Emirates",NA,"49"
"SO Hetmyer",2023-01-22,"Gulf Giants","Desert Vipers",2,70,35,5,5,200,FALSE,"International League T20","2022/23",1346927,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Gulf Giants","Gulf Giants","field","SO Hetmyer","Gulf Giants","5",NA
"ADS Fletcher",2023-02-09,"MI Emirates","Dubai Capitals",2,68,45,4,4,151.111111111111,TRUE,"International League T20","2022/23",1346947,"Sharjah Cricket Stadium","Sharjah","Dubai Capitals","MI Emirates","MI Emirates","field","N Pooran","MI Emirates","8",NA
"T Kohler-Cadmore",2024-01-28,"Sharjah Warriors","Desert Vipers",1,68,34,2,8,200,FALSE,"International League T20","2023/24",1406901,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","Desert Vipers","Desert Vipers","field","T Kohler-Cadmore","Sharjah Warriors",NA,"7"
"CA Lynn",2024-01-31,"Gulf Giants","Abu Dhabi Knight Riders",1,67,48,6,3,139.583333333333,FALSE,"International League T20","2023/24",1406904,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Gulf Giants","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","MS Pepper","Abu Dhabi Knight Riders","6",NA
"LJ Evans",2024-01-25,"Abu Dhabi Knight Riders","Dubai Capitals",1,67,41,6,2,163.414634146341,TRUE,"International League T20","2023/24",1406896,"Dubai International Cricket Stadium","Dubai","Abu Dhabi Knight Riders","Dubai Capitals","Dubai Capitals","field","SW Billings","Dubai Capitals","5",NA
"KA Pollard",2023-01-24,"MI Emirates","Desert Vipers",1,67,39,1,6,171.794871794872,TRUE,"International League T20","2022/23",1346930,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Desert Vipers","Desert Vipers","field","SE Rutherford","Desert Vipers","7",NA
"SW Billings",2024-01-25,"Dubai Capitals","Abu Dhabi Knight Riders",2,67,35,9,1,191.428571428571,FALSE,"International League T20","2023/24",1406896,"Dubai International Cricket Stadium","Dubai","Abu Dhabi Knight Riders","Dubai Capitals","Dubai Capitals","field","SW Billings","Dubai Capitals","5",NA
"AD Hales",2024-02-09,"Desert Vipers","Dubai Capitals",1,66,37,4,6,178.378378378378,FALSE,"International League T20","2023/24",1406915,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Dubai Capitals","Dubai Capitals","field","Sikandar Raza","Dubai Capitals","5",NA
"N Pooran",2023-02-09,"MI Emirates","Dubai Capitals",2,66,36,3,5,183.333333333333,TRUE,"International League T20","2022/23",1346947,"Sharjah Cricket Stadium","Sharjah","Dubai Capitals","MI Emirates","MI Emirates","field","N Pooran","MI Emirates","8",NA
"MDKJ Perera",2024-02-04,"MI Emirates","Desert Vipers",1,65,46,8,1,141.304347826087,FALSE,"International League T20","2023/24",1406909,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Desert Vipers","Desert Vipers","field","N Pooran","MI Emirates",NA,"30"
"JM Vince",2023-01-15,"Gulf Giants","Abu Dhabi Knight Riders",2,65,44,4,4,147.727272727273,FALSE,"International League T20","2022/23",1346918,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","Gulf Giants","Abu Dhabi Knight Riders","bat","SM Sharma","Gulf Giants","6",NA
"DM de Silva",2023-01-21,"Abu Dhabi Knight Riders","MI Emirates",1,65,40,8,2,162.5,FALSE,"International League T20","2022/23",1346926,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","MI Emirates","MI Emirates","field","Najibullah Zadran","MI Emirates","5",NA
"AD Hales",2023-01-18,"Desert Vipers","Abu Dhabi Knight Riders",2,64,47,7,1,136.170212765957,FALSE,"International League T20","2022/23",1346922,"Dubai International Cricket Stadium","Dubai","Abu Dhabi Knight Riders","Desert Vipers","Desert Vipers","field","PWH de Silva","Desert Vipers","7",NA
"Ali Naseer",2024-02-04,"Desert Vipers","MI Emirates",2,63,47,5,2,134.042553191489,TRUE,"International League T20","2023/24",1406909,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Desert Vipers","Desert Vipers","field","N Pooran","MI Emirates",NA,"30"
"CA Lynn",2024-01-24,"Gulf Giants","Desert Vipers",1,63,42,7,3,150,FALSE,"International League T20","2023/24",1406895,"Dubai International Cricket Stadium","Dubai","Gulf Giants","Desert Vipers","Desert Vipers","field","PWH de Silva","Desert Vipers","6",NA
"JL du Plooy",2024-02-15,"Dubai Capitals","Gulf Giants",2,63,40,5,3,157.5,TRUE,"International League T20","2023/24",1406921,"Sharjah Cricket Stadium","Sharjah","Gulf Giants","Dubai Capitals","Gulf Giants","bat","JL du Plooy","Dubai Capitals","9",NA
"AD Hales",2023-01-24,"Desert Vipers","MI Emirates",2,62,44,6,2,140.909090909091,TRUE,"International League T20","2022/23",1346930,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Desert Vipers","Desert Vipers","field","SE Rutherford","Desert Vipers","7",NA
"CR Woakes",2023-01-14,"Sharjah Warriors","MI Emirates",2,62,29,9,2,213.793103448276,FALSE,"International League T20","2022/23",1346917,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Sharjah Warriors","Sharjah Warriors","field","Waseem Muhammad","MI Emirates",NA,"49"
"AD Hales",2024-01-28,"Desert Vipers","Sharjah Warriors",2,61,40,3,5,152.5,FALSE,"International League T20","2023/24",1406901,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","Desert Vipers","Desert Vipers","field","T Kohler-Cadmore","Sharjah Warriors",NA,"7"
"Sikandar Raza",2024-02-09,"Dubai Capitals","Desert Vipers",2,60,45,5,2,133.333333333333,TRUE,"International League T20","2023/24",1406915,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Dubai Capitals","Dubai Capitals","field","Sikandar Raza","Dubai Capitals","5",NA
"Waseem Muhammad",2023-02-03,"MI Emirates","Abu Dhabi Knight Riders",1,60,43,1,6,139.53488372093,FALSE,"International League T20","2022/23",1346941,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","KA Pollard","MI Emirates",NA,"18"
"JM Vince",2024-02-08,"Gulf Giants","MI Emirates",1,59,41,7,1,143.90243902439,FALSE,"International League T20","2023/24",1406914,"Dubai International Cricket Stadium","Dubai","Gulf Giants","MI Emirates","MI Emirates","field","CJ Jordan","Gulf Giants",NA,"5"
"MS Pepper",2024-01-31,"Abu Dhabi Knight Riders","Gulf Giants",2,59,40,7,3,147.5,FALSE,"International League T20","2023/24",1406904,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Gulf Giants","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","MS Pepper","Abu Dhabi Knight Riders","6",NA
"BR Dunk",2024-02-01,"Dubai Capitals","Desert Vipers",2,59,30,7,2,196.666666666667,FALSE,"International League T20","2023/24",1406905,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Dubai Capitals","Dubai Capitals","field","BR Dunk","Dubai Capitals","4",NA
"JM Vince",2024-02-15,"Gulf Giants","Dubai Capitals",1,58,53,4,2,109.433962264151,FALSE,"International League T20","2023/24",1406921,"Sharjah Cricket Stadium","Sharjah","Gulf Giants","Dubai Capitals","Gulf Giants","bat","JL du Plooy","Dubai Capitals","9",NA
"JL Denly",2023-01-23,"Sharjah Warriors","Gulf Giants",1,58,43,4,2,134.883720930233,FALSE,"International League T20","2022/23",1346929,"Dubai International Cricket Stadium","Dubai","Sharjah Warriors","Gulf Giants","Gulf Giants","field","Naveen-ul-Haq","Sharjah Warriors",NA,"21"
