"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"JO Holder","Dubai Capitals","2023/24","International League T20",9,"28.0",0,274,8,34.25,9.78571428571429,21,65,0,0,"3/36"
"Haider Ali","Dubai Capitals","2023/24","International League T20",7,"22.0",0,135,7,19.2857142857143,6.13636363636364,18.8571428571429,53,0,0,"3/16"
"CR Woakes","Sharjah Warriors","2022/23","International League T20",6,"23.0",1,163,7,23.2857142857143,7.08695652173913,19.7142857142857,70,0,0,"2/11"
"SM Sharma","Gulf Giants","2022/23","International League T20",9,"23.0",0,205,7,29.2857142857143,8.91304347826087,19.7142857142857,55,0,0,"3/9"
"J Little","Abu Dhabi Knight Riders","2023/24","International League T20",8,"22.0",0,218,7,31.1428571428571,9.90909090909091,18.8571428571429,57,0,0,"3/17"
"SP Narine","Abu Dhabi Knight Riders","2023/24","International League T20",10,"36.0",0,220,7,31.4285714285714,6.11111111111111,30.8571428571429,84,0,0,"2/22"
"SP Narine","Abu Dhabi Knight Riders","2022/23","International League T20",9,"36.0",0,237,7,33.8571428571429,6.58333333333333,30.8571428571429,72,0,0,"2/21"
"AJ Hosein","Abu Dhabi Knight Riders","2022/23","International League T20",9,"35.0",0,262,7,37.4285714285714,7.48571428571429,30,91,0,0,"2/28"
"JT Ball","Dubai Capitals","2022/23","International League T20",3,"11.0",0,103,6,17.1666666666667,9.36363636363636,11,27,0,0,"3/37"
"RJ Gleeson","Gulf Giants","2022/23","International League T20",5,"19.0",0,107,6,17.8333333333333,5.63157894736842,19,61,0,0,"2/14"
"Aayan Afzal Khan","Gulf Giants","2023/24","International League T20",7,"16.5",0,115,6,19.1666666666667,6.83168316831683,16.8333333333333,39,0,0,"2/8"
"FJ Klaassen","Dubai Capitals","2022/23","International League T20",5,"19.0",1,152,6,25.3333333333333,8,19,51,0,0,"3/34"
"Shaheen Shah Afridi","Desert Vipers","2023/24","International League T20",5,"20.0",0,173,6,28.8333333333333,8.65,20,47,0,0,"3/22"
"B Muzarabani","Gulf Giants","2023/24","International League T20",7,"23.3",0,185,6,30.8333333333333,7.87234042553191,23.5,59,0,0,"2/34"
"AD Russell","Abu Dhabi Knight Riders","2023/24","International League T20",8,"21.0",0,191,6,31.8333333333333,9.09523809523809,21,44,0,0,"2/29"
"DJ Bravo","MI Emirates","2023/24","International League T20",8,"24.0",0,215,6,35.8333333333333,8.95833333333333,24,49,0,0,"2/30"
"Zahir Khan","Dubai Capitals","2023/24","International League T20",4,"16.0",0,94,5,18.8,5.875,19.2,40,0,0,"2/23"
"R Powell","Dubai Capitals","2022/23","International League T20",5,"11.0",0,105,5,21,9.54545454545454,13.2,13,0,0,"2/15"
"RJ Gleeson","Gulf Giants","2023/24","International League T20",5,"20.0",0,143,5,28.6,7.15,24,59,0,0,"2/29"
"DC Drakes","Gulf Giants","2023/24","International League T20",8,"21.0",0,146,5,29.2,6.95238095238095,25.2,54,0,0,"2/19"
"Hazrat Luqman","Dubai Capitals","2022/23","International League T20",7,"17.0",0,152,5,30.4,8.94117647058824,20.4,43,0,0,"2/24"
"Mujeeb Ur Rahman","Dubai Capitals","2022/23","International League T20",5,"17.0",0,164,5,32.8,9.64705882352941,20.4,43,0,0,"2/16"
"Muhammad Jawadullah","Sharjah Warriors","2022/23","International League T20",6,"23.0",0,172,5,34.4,7.47826086956522,27.6,53,0,0,"3/24"
"L Wood","Desert Vipers","2023/24","International League T20",5,"18.0",0,174,5,34.8,9.66666666666667,21.6,40,0,0,"3/33"
"Akif Raja","Dubai Capitals","2023/24","International League T20",8,"20.1",0,185,5,37,9.17355371900826,24.2,31,0,0,"2/25"
"AD Russell","Abu Dhabi Knight Riders","2022/23","International League T20",8,"24.4",0,270,5,54,10.9459459459459,29.6,44,0,0,"1/27"
"RS Bopara","Abu Dhabi Knight Riders","2023/24","International League T20",2,"6.0",0,38,4,9.5,6.33333333333333,9,10,1,0,"4/15"
"AU Rashid","Sharjah Warriors","2023/24","International League T20",3,"9.0",1,44,4,11,4.88888888888889,13.5,23,1,0,"4/12"
"Rashid Khan","MI Emirates","2022/23","International League T20",2,"8.0",0,60,4,15,7.5,12,16,0,0,"2/20"
"SC Williams","Sharjah Warriors","2023/24","International League T20",2,"6.0",0,61,4,15.25,10.1666666666667,9,13,0,0,"3/46"
"NA Sowter","Desert Vipers","2023/24","International League T20",3,"11.0",0,67,4,16.75,6.09090909090909,16.5,29,0,0,"3/21"
"SM Curran","Desert Vipers","2023/24","International League T20",2,"8.0",0,68,4,17,8.5,12,14,0,0,"2/29"
"CR Brathwaite","Gulf Giants","2023/24","International League T20",4,"11.0",0,98,4,24.5,8.90909090909091,16.5,26,0,0,"3/26"
"DC Drakes","Gulf Giants","2022/23","International League T20",4,"14.0",0,110,4,27.5,7.85714285714286,21,41,0,0,"2/21"
"Noor Ahmad","Sharjah Warriors","2022/23","International League T20",6,"21.0",0,148,4,37,7.04761904761905,31.5,44,0,0,"2/27"
"BAC Howell","Desert Vipers","2022/23","International League T20",7,"18.1",0,155,4,38.75,8.53211009174312,27.25,26,0,0,"2/6"
"DR Mousley","MI Emirates","2023/24","International League T20",2,"5.0",0,28,3,9.33333333333333,5.6,10,12,0,0,"2/22"
"DJ Worrall","Gulf Giants","2023/24","International League T20",2,"7.0",0,53,3,17.6666666666667,7.57142857142857,14,21,0,0,"3/15"
"R Rampaul","Abu Dhabi Knight Riders","2022/23","International League T20",2,"7.0",1,63,3,21,9,14,22,0,0,"2/36"
"Rohan Mustafa","Desert Vipers","2022/23","International League T20",7,"13.0",0,95,3,31.6666666666667,7.30769230769231,26,30,0,0,"2/27"
"I Udana","Dubai Capitals","2022/23","International League T20",4,"14.0",1,115,3,38.3333333333333,8.21428571428571,28,33,0,0,"2/41"
"Mujeeb Ur Rahman","Gulf Giants","2023/24","International League T20",5,"15.2",1,127,3,42.3333333333333,8.28260869565217,30.6666666666667,41,0,0,"2/31"
"Mohammad Nabi","Sharjah Warriors","2022/23","International League T20",7,"15.3",1,135,3,45,8.70967741935484,31,29,0,0,"1/12"
"TS Mills","Desert Vipers","2023/24","International League T20",4,"14.4",0,142,3,47.3333333333333,9.68181818181818,29.3333333333333,37,0,0,"2/21"
"M Pathirana","Desert Vipers","2022/23","International League T20",4,"15.0",0,152,3,50.6666666666667,10.1333333333333,30,31,0,0,"2/36"
"C Karunaratne","Dubai Capitals","2022/23","International League T20",5,"16.4",1,176,3,58.6666666666667,10.56,33.3333333333333,29,0,0,"1/32"
"Sikandar Raza","Dubai Capitals","2022/23","International League T20",7,"25.0",0,190,3,63.3333333333333,7.6,50,40,0,0,"1/17"
"JL Denly","Sharjah Warriors","2023/24","International League T20",1,"1.0",1,0,2,0,0,3,6,0,0,"2/0"
"Aayan Afzal Khan","Gulf Giants","2022/23","International League T20",2,"4.0",0,20,2,10,5,12,11,0,0,"1/2"
"Zahir Khan","MI Emirates","2022/23","International League T20",1,"4.0",1,32,2,16,8,12,10,0,0,"2/32"
"Junaid Siddique","Sharjah Warriors","2023/24","International League T20",3,"5.0",0,35,2,17.5,7,15,15,0,0,"2/16"
"Sabir Ali","Abu Dhabi Knight Riders","2023/24","International League T20",1,"3.0",0,35,2,17.5,11.6666666666667,9,5,0,0,"2/35"
"DR Mousley","MI Emirates","2022/23","International League T20",3,"5.2",0,37,2,18.5,6.9375,16,13,0,0,"1/9"
"MP Stoinis","Sharjah Warriors","2022/23","International League T20",2,"8.0",0,37,2,18.5,4.625,24,24,0,0,"1/16"
"SR Patel","MI Emirates","2022/23","International League T20",2,"3.0",0,43,2,21.5,14.3333333333333,9,4,0,0,"2/23"
"DW Lawrence","Desert Vipers","2023/24","International League T20",3,"6.0",0,48,2,24,8,18,15,0,0,"1/12"
"OF Smith","MI Emirates","2023/24","International League T20",2,"6.0",0,52,2,26,8.66666666666667,18,10,0,0,"1/21"
