"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Rashid Khan",2018-12-07,"Jozi Stars","Durban Heat",2,"4.0",0,19,3,4.75,15,"Mzansi Super League","2018/19",1162663,"Kingsmead, Durban","Durban","Durban Heat","Jozi Stars","Durban Heat","bat","DJ Vilas","Jozi Stars","1",NA
"S von Berg",2018-12-08,"Nelson Mandela Bay Giants","Tshwane Spartans",2,"4.0",0,19,3,4.75,13,"Mzansi Super League","2018/19",1162665,"St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","Nelson Mandela Bay Giants","Tshwane Spartans","bat","GL Cloete","Tshwane Spartans",NA,"28"
"Wahab Riaz",2019-12-06,"Nelson Mandela Bay Giants","Cape Town Blitz",1,"4.0",0,19,3,4.75,16,"Mzansi Super League","2019/20",1201995,"Newlands, Cape Town","Cape Town","Nelson Mandela Bay Giants","Cape Town Blitz","Cape Town Blitz","field","BR Dunk","Nelson Mandela Bay Giants",NA,"11"
"JT Smuts",2018-11-17,"Jozi Stars","Nelson Mandela Bay Giants",1,"4.0",0,20,3,5,6,"Mzansi Super League","2018/19",1162642,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","BM Duckett","Nelson Mandela Bay Giants","5",NA
"M Morkel",2019-11-24,"Jozi Stars","Tshwane Spartans",2,"3.3",0,21,3,6,10,"Mzansi Super League","2019/20",1201985,"New Wanderers Stadium, Johannesburg","Johannesburg","Tshwane Spartans","Jozi Stars","Tshwane Spartans","bat","AB de Villiers","Tshwane Spartans",NA,"20"
"DJ Bravo",2018-12-12,"Nelson Mandela Bay Giants","Paarl Rocks",1,"4.0",0,22,3,5.5,10,"Mzansi Super League","2018/19",1162669,"Boland Park, Paarl","Paarl","Nelson Mandela Bay Giants","Paarl Rocks","Nelson Mandela Bay Giants","bat","CS Delport","Paarl Rocks","6",NA
"L Sipamla",2018-11-21,"Durban Heat","Tshwane Spartans",2,"3.0",0,22,3,7.33333333333333,8,"Mzansi Super League","2018/19",1162646,"Kingsmead, Durban","Durban","Tshwane Spartans","Durban Heat","Durban Heat","field","KJ Abbott","Durban Heat",NA,"10"
"SR Harmer",2018-11-20,"Paarl Rocks","Jozi Stars",2,"4.0",0,22,3,5.5,10,"Mzansi Super League","2018/19",1162645,"Boland Park, Paarl","Paarl","Jozi Stars","Paarl Rocks","Paarl Rocks","field","RD Rickelton","Jozi Stars",NA,"60"
"D Paterson",2018-11-25,"Cape Town Blitz","Paarl Rocks",1,"4.0",0,23,3,5.75,11,"Mzansi Super League","2018/19",1162651,"Boland Park, Paarl","Paarl","Cape Town Blitz","Paarl Rocks","Cape Town Blitz","bat","BC Fortuin","Paarl Rocks","5",NA
"GF Linde",2019-11-10,"Paarl Rocks","Cape Town Blitz",1,"4.0",0,23,3,5.75,6,"Mzansi Super League","2019/20",1201972,"Boland Park, Paarl","Paarl","Paarl Rocks","Cape Town Blitz","Paarl Rocks","bat","GC Viljoen","Paarl Rocks",NA,"86"
