"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S von Berg","Tshwane Spartans","2018/19","Mzansi Super League",4,"13.0",0,101,6,16.8333333333333,7.76923076923077,13,31,0,0,"3/19"
"FD Adams","Paarl Rocks","2019/20","Mzansi Super League",5,"16.4",0,142,6,23.6666666666667,8.52,16.6666666666667,26,0,0,"3/36"
"D Pretorius","Jozi Stars","2018/19","Mzansi Super League",5,"18.0",0,145,6,24.1666666666667,8.05555555555556,18,38,0,0,"3/17"
"Mohammad Nawaz","Cape Town Blitz","2018/19","Mzansi Super League",7,"23.0",0,148,6,24.6666666666667,6.43478260869565,23,32,0,0,"3/14"
"AL Phehlukwayo","Durban Heat","2019/20","Mzansi Super League",6,"16.0",0,161,6,26.8333333333333,10.0625,16,30,0,0,"2/34"
"JT Smuts","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",11,"32.1",0,216,6,36,6.71502590673575,32.1666666666667,61,0,0,"1/3"
"A Nortje","Cape Town Blitz","2019/20","Mzansi Super League",7,"26.2",0,228,6,38,8.65822784810127,26.3333333333333,58,0,0,"3/31"
"GC Viljoen","Paarl Rocks","2019/20","Mzansi Super League",8,"26.5",0,275,6,45.8333333333333,10.2484472049689,26.8333333333333,43,0,0,"2/9"
"GF Linde","Cape Town Blitz","2018/19","Mzansi Super League",5,"11.4",0,91,5,18.2,7.8,14,18,0,0,"3/25"
"GF Linde","Cape Town Blitz","2019/20","Mzansi Super League",5,"13.0",0,118,5,23.6,9.07692307692308,15.6,16,0,0,"3/23"
"AM Phangiso","Jozi Stars","2019/20","Mzansi Super League",6,"20.1",0,142,5,28.4,7.04132231404959,24.2,39,0,0,"2/32"
"C Bosch","Tshwane Spartans","2018/19","Mzansi Super League",4,"16.0",0,145,5,29,9.0625,19.2,37,0,0,"2/27"
"TL Moreki","Paarl Rocks","2018/19","Mzansi Super League",7,"14.0",0,146,5,29.2,10.4285714285714,16.8,27,0,0,"2/18"
"KA Maharaj","Durban Heat","2019/20","Mzansi Super League",6,"23.0",0,152,5,30.4,6.60869565217391,27.6,52,0,0,"3/15"
"CJ Dala","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",7,"22.0",0,163,5,32.6,7.40909090909091,26.4,59,0,0,"2/16"
"FD Adams","Cape Town Blitz","2018/19","Mzansi Super League",7,"22.3",1,180,5,36,8,27,48,0,0,"3/28"
"TK Curran","Tshwane Spartans","2019/20","Mzansi Super League",6,"20.0",0,187,5,37.4,9.35,24,41,0,0,"3/30"
"KJ Abbott","Durban Heat","2019/20","Mzansi Super League",6,"22.0",0,207,5,41.4,9.40909090909091,26.4,48,0,0,"2/32"
"N Burger","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",8,"26.5",1,209,5,41.8,7.7888198757764,32.2,71,0,0,"2/24"
"R Frylinck","Tshwane Spartans","2018/19","Mzansi Super League",8,"27.0",0,244,5,48.8,9.03703703703704,32.4,49,0,0,"1/27"
"R McLaren","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",2,"7.0",0,56,4,14,8,10.5,15,0,0,"2/22"
"D Wiese","Tshwane Spartans","2019/20","Mzansi Super League",2,"7.0",0,64,4,16,9.14285714285714,10.5,14,0,0,"3/30"
"G Mahlokwana","Cape Town Blitz","2019/20","Mzansi Super League",3,"8.0",0,69,4,17.25,8.625,12,13,0,0,"2/26"
"K Mungroo","Paarl Rocks","2018/19","Mzansi Super League",3,"12.0",0,92,4,23,7.66666666666667,18,28,0,0,"3/29"
"SR Harmer","Jozi Stars","2019/20","Mzansi Super League",5,"12.4",0,133,4,33.25,10.5,19,23,0,0,"2/30"
"Imran Tahir","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",5,"20.0",0,135,4,33.75,6.75,30,42,0,0,"1/18"
"BE Hendricks","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",4,"15.0",0,159,4,39.75,10.6,22.5,32,0,0,"1/32"
"DT Christian","Jozi Stars","2019/20","Mzansi Super League",6,"21.0",0,177,4,44.25,8.42857142857143,31.5,28,0,0,"2/30"
"M Nabe","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",2,"5.0",0,45,3,15,9,10,10,0,0,"2/24"
"D Pretorius","Paarl Rocks","2019/20","Mzansi Super League",5,"10.0",0,63,3,21,6.3,20,18,0,0,"1/11"
"A Mnyaka","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",4,"9.0",0,75,3,25,8.33333333333333,18,14,0,0,"1/16"
"AL Phehlukwayo","Cape Town Blitz","2018/19","Mzansi Super League",7,"17.5",0,152,3,50.6666666666667,8.52336448598131,35.6666666666667,38,0,0,"2/12"
"RK Kleinveldt","Tshwane Spartans","2018/19","Mzansi Super League",6,"19.0",0,153,3,51,8.05263157894737,38,48,0,0,"2/34"
"AM Phangiso","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",7,"24.2",0,166,3,55.3333333333333,6.82191780821918,48.6666666666667,45,0,0,"1/20"
"K Mungroo","Paarl Rocks","2019/20","Mzansi Super League",6,"22.0",0,185,3,61.6666666666667,8.40909090909091,44,49,0,0,"1/21"
