"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"DJ Vilas","2018/19","Mzansi Super League","Jozi Stars",8,183,147,124.489795918367,45.75,12,6,4,0,0,43
"DJ Vilas","2019/20","Mzansi Super League","Durban Heat",6,134,91,147.252747252747,26.8,10,6,1,0,1,75
"DL Piedt","2018/19","Mzansi Super League","Cape Town Blitz",2,9,12,75,4.5,0,0,0,0,0,8
"DT Christian","2018/19","Mzansi Super League","Jozi Stars",10,196,101,194.059405940594,28,8,16,3,0,1,52
"DT Christian","2019/20","Mzansi Super League","Jozi Stars",6,64,60,106.666666666667,16,4,1,2,0,0,23
"DW Steyn","2018/19","Mzansi Super League","Cape Town Blitz",4,17,13,130.769230769231,8.5,1,1,2,0,0,15
"DW Steyn","2019/20","Mzansi Super League","Cape Town Blitz",2,13,15,86.6666666666667,Inf,1,0,2,0,0,8
"E Bosch","2018/19","Mzansi Super League","Paarl Rocks",1,17,17,100,17,1,1,0,0,0,17
"E Leie","2018/19","Mzansi Super League","Jozi Stars",1,0,1,0,0,0,0,0,0,0,0
"EJG Morgan","2018/19","Mzansi Super League","Tshwane Spartans",4,58,35,165.714285714286,19.3333333333333,4,4,1,0,0,27
"F Behardien","2018/19","Mzansi Super League","Cape Town Blitz",8,118,103,114.563106796117,16.8571428571429,8,2,1,0,0,30
"F Behardien","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",1,48,34,141.176470588235,48,2,2,0,0,0,48
"F du Plessis","2018/19","Mzansi Super League","Paarl Rocks",8,318,203,156.650246305419,53,33,7,2,0,4,76
"F du Plessis","2019/20","Mzansi Super League","Paarl Rocks",10,219,167,131.137724550898,27.375,9,13,2,0,1,66
"FD Adams","2018/19","Mzansi Super League","Cape Town Blitz",4,37,41,90.2439024390244,12.3333333333333,3,0,1,0,0,12
"FD Adams","2019/20","Mzansi Super League","Paarl Rocks",3,36,31,116.129032258065,18,2,2,1,0,0,23
"G Coetzee","2019/20","Mzansi Super League","Jozi Stars",2,5,13,38.4615384615385,2.5,0,0,0,0,0,4
"G Mahlokwana","2019/20","Mzansi Super League","Cape Town Blitz",2,3,6,50,1.5,0,0,0,0,0,3
"GC Viljoen","2019/20","Mzansi Super League","Paarl Rocks",5,28,21,133.333333333333,14,3,1,3,0,0,9
"GF Linde","2018/19","Mzansi Super League","Cape Town Blitz",5,43,28,153.571428571429,43,3,2,4,0,0,13
"GF Linde","2019/20","Mzansi Super League","Cape Town Blitz",6,63,60,105,15.75,3,2,2,0,0,24
"GJ Snyman","2019/20","Mzansi Super League","Jozi Stars",1,1,2,50,1,0,0,0,0,0,1
"GL Cloete","2018/19","Mzansi Super League","Tshwane Spartans",10,330,290,113.793103448276,33,38,5,0,0,4,80
"GM Thomson","2018/19","Mzansi Super League","Paarl Rocks",3,88,68,129.411764705882,44,6,1,1,0,1,71
"H Davids","2018/19","Mzansi Super League","Paarl Rocks",7,140,98,142.857142857143,20,11,8,0,0,1,60
"H Davids","2019/20","Mzansi Super League","Paarl Rocks",10,275,203,135.467980295566,30.5555555555556,33,7,1,0,1,77
"H Klaasen","2018/19","Mzansi Super League","Durban Heat",7,67,67,100,11.1666666666667,3,4,1,0,0,36
"H Klaasen","2019/20","Mzansi Super League","Tshwane Spartans",9,158,120,131.666666666667,22.5714285714286,14,5,2,0,0,36
"HE van der Dussen","2018/19","Mzansi Super League","Jozi Stars",11,469,338,138.757396449704,58.625,27,24,3,0,4,96
"HE van der Dussen","2019/20","Mzansi Super League","Jozi Stars",7,130,108,120.37037037037,26,8,4,2,0,0,31
"HG Kuhn","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",6,144,111,129.72972972973,24,14,4,0,0,2,55
"HG Kuhn","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",9,154,132,116.666666666667,19.25,12,3,1,0,1,58
"HM Amla","2018/19","Mzansi Super League","Durban Heat",7,71,87,81.6091954022989,10.1428571428571,7,0,0,0,0,24
"Hussain Talat","2018/19","Mzansi Super League","Cape Town Blitz",3,25,31,80.6451612903226,25,0,0,2,0,0,16
"I Udana","2019/20","Mzansi Super League","Paarl Rocks",8,95,79,120.253164556962,19,5,4,3,0,0,28
"Imran Tahir","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",3,13,16,81.25,13,0,1,2,0,0,9
"Imran Tahir","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",2,6,7,85.7142857142857,Inf,0,0,2,0,0,4
"JA Morkel","2018/19","Mzansi Super League","Durban Heat",8,178,115,154.782608695652,25.4285714285714,13,12,1,0,1,57
"JF Smith","2018/19","Mzansi Super League","Cape Town Blitz",1,25,27,92.5925925925926,25,3,0,0,0,0,25
"JJ Roy","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",3,49,35,140,16.3333333333333,4,3,0,0,0,26
"JJ Roy","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",6,118,84,140.47619047619,19.6666666666667,14,5,0,0,1,50
"JM Vince","2019/20","Mzansi Super League","Paarl Rocks",8,226,160,141.25,37.6666666666667,16,7,2,0,1,86
"JN Malan","2018/19","Mzansi Super League","Cape Town Blitz",9,305,243,125.514403292181,33.8888888888889,34,8,0,0,2,66
"JN Malan","2019/20","Mzansi Super League","Cape Town Blitz",9,358,239,149.790794979079,44.75,26,22,1,0,3,99
"JT Smuts","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",9,219,186,117.741935483871,31.2857142857143,26,5,2,0,2,62
"JT Smuts","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",10,238,188,126.595744680851,26.4444444444444,22,6,1,0,2,73
"K Rabada","2018/19","Mzansi Super League","Jozi Stars",4,42,25,168,14,6,1,1,0,0,21
"K Rabada","2019/20","Mzansi Super League","Jozi Stars",3,7,12,58.3333333333333,2.33333333333333,0,1,0,0,0,6
"K Verreynne","2018/19","Mzansi Super League","Cape Town Blitz",4,107,80,133.75,35.6666666666667,9,2,1,0,1,53
"K Verreynne","2019/20","Mzansi Super League","Paarl Rocks",2,64,38,168.421052631579,64,7,1,1,0,0,36
"K Zondo","2018/19","Mzansi Super League","Durban Heat",9,216,174,124.137931034483,30.8571428571429,16,6,2,0,1,67
"KA Maharaj","2018/19","Mzansi Super League","Durban Heat",7,74,61,121.311475409836,24.6666666666667,8,2,4,0,0,23
"KA Maharaj","2019/20","Mzansi Super League","Durban Heat",1,8,6,133.333333333333,Inf,1,0,1,0,0,8
"KJ Abbott","2018/19","Mzansi Super League","Durban Heat",4,45,28,160.714285714286,22.5,5,1,2,0,0,30
"L Sipamla","2018/19","Mzansi Super League","Tshwane Spartans",3,2,5,40,1,0,0,1,0,0,1
"LB Williams","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",1,5,10,50,Inf,0,0,1,0,0,5
"LB Williams","2019/20","Mzansi Super League","Jozi Stars",2,0,2,0,0,0,0,1,0,0,0
"LS Livingstone","2019/20","Mzansi Super League","Cape Town Blitz",9,208,162,128.395061728395,23.1111111111111,7,15,0,0,1,65
"M Klinger","2018/19","Mzansi Super League","Paarl Rocks",2,16,16,100,8,2,0,0,0,0,14
"M Marais","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",7,133,138,96.3768115942029,19,13,3,0,0,0,47
"M Marais","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",8,146,93,156.989247311828,29.2,13,5,3,0,0,40
"M Morkel","2019/20","Mzansi Super League","Tshwane Spartans",1,2,2,100,Inf,0,0,1,0,0,2
"M Mosehle","2018/19","Mzansi Super League","Paarl Rocks",7,80,79,101.26582278481,20,5,1,3,0,0,28
"M Mosehle","2019/20","Mzansi Super League","Paarl Rocks",6,83,73,113.698630136986,13.8333333333333,7,2,0,0,0,31
"M Nabe","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",1,1,1,100,Inf,0,0,1,0,0,1
"M de Lange","2018/19","Mzansi Super League","Durban Heat",1,1,1,100,Inf,0,0,1,0,0,1
"MJ Ackerman","2019/20","Mzansi Super League","Cape Town Blitz",4,87,73,119.178082191781,21.75,7,2,0,0,0,43
"MM Ali","2019/20","Mzansi Super League","Cape Town Blitz",2,38,30,126.666666666667,19,5,1,0,0,0,25
"MN van Wyk","2018/19","Mzansi Super League","Durban Heat",8,210,150,140,26.25,19,9,0,0,2,66
"MP Breetzke","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",8,154,134,114.925373134328,19.25,14,3,0,0,1,64
"MP Siboto","2018/19","Mzansi Super League","Cape Town Blitz",4,22,21,104.761904761905,11,3,0,2,0,0,9
"Mohammad Nawaz","2018/19","Mzansi Super League","Cape Town Blitz",6,96,76,126.315789473684,16,9,4,0,0,1,59
"Mohammad Nawaz","2019/20","Mzansi Super League","Cape Town Blitz",4,55,43,127.906976744186,13.75,2,3,0,0,0,41
"N Burger","2018/19","Mzansi Super League","Cape Town Blitz",2,8,9,88.8888888888889,Inf,1,0,2,0,0,6
"N Burger","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",2,6,9,66.6666666666667,6,0,0,1,0,0,6
"O Nyaku","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",2,5,4,125,5,1,0,1,0,0,4
"P Subrayen","2019/20","Mzansi Super League","Durban Heat",1,1,1,100,Inf,0,0,1,0,0,1
"PE Kruger","2018/19","Mzansi Super League","Paarl Rocks",4,37,33,112.121212121212,12.3333333333333,2,1,1,0,0,19
"PJ van Biljon","2018/19","Mzansi Super League","Jozi Stars",7,98,50,196,24.5,7,7,3,0,0,42
"PJ van Biljon","2019/20","Mzansi Super League","Tshwane Spartans",7,192,138,139.130434782609,48,16,6,3,0,1,62
"PWA Mulder","2019/20","Mzansi Super League","Tshwane Spartans",4,69,56,123.214285714286,34.5,7,1,2,0,1,52
"Q de Kock","2018/19","Mzansi Super League","Cape Town Blitz",8,412,243,169.547325102881,58.8571428571429,45,18,1,1,3,108
"Q de Kock","2019/20","Mzansi Super League","Cape Town Blitz",9,235,144,163.194444444444,26.1111111111111,31,11,0,0,0,41
"R Frylinck","2018/19","Mzansi Super League","Tshwane Spartans",5,36,34,105.882352941176,9,3,1,1,0,0,22
"R McLaren","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",2,19,22,86.3636363636364,Inf,1,0,2,0,0,10
"RD Rickelton","2018/19","Mzansi Super League","Jozi Stars",9,251,198,126.767676767677,27.8888888888889,20,10,0,0,1,91
"RD Rickelton","2019/20","Mzansi Super League","Jozi Stars",5,49,59,83.0508474576271,12.25,3,0,1,0,0,30
"RE van der Merwe","2019/20","Mzansi Super League","Tshwane Spartans",4,36,37,97.2972972972973,36,2,0,3,0,0,16
"RK Kleinveldt","2018/19","Mzansi Super League","Tshwane Spartans",5,21,21,100,5.25,1,0,1,0,0,11
"RN ten Doeschate","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",5,90,88,102.272727272727,18,2,1,0,0,0,33
"RR Hendricks","2018/19","Mzansi Super League","Jozi Stars",9,412,289,142.560553633218,58.8571428571429,37,20,2,2,2,108
"RR Hendricks","2019/20","Mzansi Super League","Jozi Stars",7,275,220,125,39.2857142857143,28,4,0,0,3,80
"RR Rossouw","2018/19","Mzansi Super League","Tshwane Spartans",2,15,14,107.142857142857,7.5,1,0,0,0,0,15
"RS Bopara","2019/20","Mzansi Super League","Durban Heat",3,87,66,131.818181818182,87,6,2,2,0,1,57
"RS Second","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",8,136,120,113.333333333333,22.6666666666667,8,3,2,0,0,37
"Rashid Khan","2018/19","Mzansi Super League","Durban Heat",2,9,9,100,4.5,0,1,0,0,0,6
"S Qeshile","2019/20","Mzansi Super League","Jozi Stars",2,14,11,127.272727272727,7,3,0,0,0,0,14
"S von Berg","2018/19","Mzansi Super League","Tshwane Spartans",3,8,14,57.1428571428571,4,1,0,1,0,0,5
"SC Williams","2018/19","Mzansi Super League","Tshwane Spartans",4,31,24,129.166666666667,15.5,5,0,2,0,0,13
"SJ Erwee","2018/19","Mzansi Super League","Durban Heat",5,125,91,137.362637362637,25,14,5,0,0,1,62
"SJ Erwee","2019/20","Mzansi Super League","Durban Heat",1,16,23,69.5652173913043,16,1,0,0,0,0,16
"SR Harmer","2018/19","Mzansi Super League","Jozi Stars",3,29,30,96.6666666666667,14.5,0,2,1,0,0,25
"SR Harmer","2019/20","Mzansi Super League","Jozi Stars",3,31,26,119.230769230769,15.5,2,1,1,0,0,20
"SSB Magala","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",5,34,30,113.333333333333,6.8,2,2,0,0,0,31
"SSB Magala","2019/20","Mzansi Super League","Cape Town Blitz",6,19,25,76,6.33333333333333,1,0,3,0,0,9
"Shoaib Malik","2019/20","Mzansi Super League","Jozi Stars",1,20,8,250,Inf,2,1,1,0,0,20
"Sikandar Raza","2018/19","Mzansi Super League","Tshwane Spartans",2,39,38,102.631578947368,19.5,3,0,0,0,0,20
"T Bavuma","2018/19","Mzansi Super League","Durban Heat",3,5,8,62.5,1.66666666666667,1,0,0,0,0,4
"T Bavuma","2019/20","Mzansi Super League","Jozi Stars",6,232,172,134.883720930233,38.6666666666667,21,7,0,0,1,62
"T Bokako","2018/19","Mzansi Super League","Durban Heat",2,6,6,100,3,1,0,0,0,0,6
"T Shamsi","2018/19","Mzansi Super League","Paarl Rocks",2,2,2,100,Inf,0,0,2,0,0,1
"T Shamsi","2019/20","Mzansi Super League","Paarl Rocks",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"T de Zorzi","2018/19","Mzansi Super League","Tshwane Spartans",10,126,124,101.612903225806,18,9,3,3,0,0,33
"T de Zorzi","2019/20","Mzansi Super League","Tshwane Spartans",3,61,57,107.017543859649,20.3333333333333,7,0,0,0,0,30
"TB de Bruyn","2018/19","Mzansi Super League","Tshwane Spartans",5,95,72,131.944444444444,23.75,10,3,1,0,1,66
