"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome"
1162662,6,"Nelson Mandela Bay Giants","Durban Heat","male","2018/19",2018-12-05,"Mzansi Super League","22","Kingsmead, Durban","Durban","Nelson Mandela Bay Giants","bat",NA,"A Paleker","DJ Smith","LB Gcuma","A Jacobs","S Wadvalla",NA,NA,NA,NA,"no result"
1162663,6,"Durban Heat","Jozi Stars","male","2018/19",2018-12-07,"Mzansi Super League","23","Kingsmead, Durban","Durban","Durban Heat","bat","DJ Vilas","A Jacobs","Stephen Harris","Siphelele Gasa","DJ Smith","D Govindjee","Jozi Stars",1,NA,NA,NA
1162664,6,"Paarl Rocks","Cape Town Blitz","male","2018/19",2018-12-07,"Mzansi Super League","24","Newlands, Cape Town","Cape Town","Paarl Rocks","bat","Q de Kock","JD Cloete","MW Brown","A Steenkamp","CD Isaacs","SB Lambson","Cape Town Blitz",6,NA,NA,NA
1162665,6,"Tshwane Spartans","Nelson Mandela Bay Giants","male","2018/19",2018-12-08,"Mzansi Super League","25","St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","bat","GL Cloete","LB Gcuma","S George","AM Sodumo","PJ Vosloo","GH Pienaar","Tshwane Spartans",NA,28,NA,NA
1162666,6,"Jozi Stars","Paarl Rocks","male","2018/19",2018-12-09,"Mzansi Super League","26","New Wanderers Stadium, Johannesburg","Johannesburg","Paarl Rocks","field","GM Thomson","A Jacobs","BP Jele","Siphelele Gasa","Stephen Harris","D Govindjee","Paarl Rocks",6,NA,NA,NA
1162667,6,"Cape Town Blitz","Durban Heat","male","2018/19",2018-12-09,"Mzansi Super League","27","Newlands, Cape Town","Cape Town","Cape Town Blitz","bat","K Zondo","AT Holdstock","JD Cloete","TC Mokorosi","MW Brown","A Barnes","Durban Heat",6,NA,NA,NA
1162668,6,"Jozi Stars","Tshwane Spartans","male","2018/19",2018-12-11,"Mzansi Super League","28","New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","bat","HE van der Dussen","A Paleker","LB Gcuma","J Sadler","DJ Smith","ZTA Ndamane","Jozi Stars",NA,101,NA,NA
1162669,6,"Nelson Mandela Bay Giants","Paarl Rocks","male","2018/19",2018-12-12,"Mzansi Super League","29","Boland Park, Paarl","Paarl","Nelson Mandela Bay Giants","bat","CS Delport","S George","Stephen Harris","CD Isaacs","BP Jele","LH Matroos","Paarl Rocks",6,NA,NA,NA
1162670,6,"Tshwane Spartans","Durban Heat","male","2018/19",2018-12-12,"Mzansi Super League","30","SuperSport Park, Centurion","Centurion","Tshwane Spartans","bat","JA Morkel","AT Holdstock","DJ Smith","Siphelele Gasa","A Paleker","A Barnes","Durban Heat",2,NA,NA,NA
1162672,6,"Cape Town Blitz","Jozi Stars","male","2018/19",2018-12-16,"Mzansi Super League",NA,"Newlands, Cape Town","Cape Town","Cape Town Blitz","bat","BE Hendricks","AT Holdstock","S George","A Paleker","BP Jele","S Wadvalla","Jozi Stars",8,NA,NA,NA
1201970,6,"Cape Town Blitz","Jozi Stars","male","2019/20",2019-11-08,"Mzansi Super League","1","New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","field","JN Malan","BP Jele","S George","Siphelele Gasa","BM White","ZTA Ndamane","Cape Town Blitz",NA,15,NA,NA
1201972,6,"Paarl Rocks","Cape Town Blitz","male","2019/20",2019-11-10,"Mzansi Super League","3","Boland Park, Paarl","Paarl","Paarl Rocks","bat","GC Viljoen","S George","Stephen Harris","A Steenkamp","CD Isaacs","LH Matroos","Paarl Rocks",NA,86,NA,NA
1201973,6,"Nelson Mandela Bay Giants","Jozi Stars","male","2019/20",2019-11-10,"Mzansi Super League","4","St George's Park, Port Elizabeth","Port Elizabeth","Jozi Stars","field","HG Kuhn","BM White","Siphelele Gasa","AM Sodumo","A Jacobs","GH Pienaar","Nelson Mandela Bay Giants",NA,24,NA,NA
1201974,6,"Tshwane Spartans","Nelson Mandela Bay Giants","male","2019/20",2019-11-13,"Mzansi Super League","5","SuperSport Park, Centurion","Centurion","Nelson Mandela Bay Giants","field",NA,"AT Holdstock","MW Brown","RN Birkenstock","A Paleker","ZTA Ndamane",NA,NA,NA,NA,"no result"
1201975,6,"Cape Town Blitz","Jozi Stars","male","2019/20",2019-11-14,"Mzansi Super League","6","Newlands, Cape Town","Cape Town","Jozi Stars","field","LS Livingstone","A Jacobs","LB Gcuma","TC Mokorosi","MW Brown","S Wadvalla","Cape Town Blitz",NA,57,NA,NA
1201977,6,"Jozi Stars","Nelson Mandela Bay Giants","male","2019/20",2019-11-16,"Mzansi Super League","8","New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","bat","CJ Dala","S George","TC Mokorosi","Lauren Agenbag","Stephen Harris","SB Lambson","Nelson Mandela Bay Giants",9,NA,NA,NA
1201978,6,"Cape Town Blitz","Durban Heat","male","2019/20",2019-11-17,"Mzansi Super League","9","Kingsmead, Durban","Durban","Durban Heat","field","DW Steyn","LB Gcuma","PJ Vosloo","DJ Smith","BP Jele","GH Pienaar","Cape Town Blitz",NA,10,NA,NA
