"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"GL Cloete",2018-11-18,"Tshwane Spartans","Paarl Rocks",1,80,49,11,1,163.265306122449,FALSE,"Mzansi Super League","2018/19",1162644,"Boland Park, Paarl","Paarl","Tshwane Spartans","Paarl Rocks","Paarl Rocks","field","TB de Bruyn","Tshwane Spartans",NA,"1"
"Asif Ali",2018-11-18,"Cape Town Blitz","Durban Heat",2,80,33,7,5,242.424242424242,FALSE,"Mzansi Super League","2018/19",1162643,"Kingsmead, Durban","Durban","Durban Heat","Cape Town Blitz","Cape Town Blitz","field","Asif Ali","Cape Town Blitz","3",NA
"D Elgar",2018-11-28,"Tshwane Spartans","Jozi Stars",2,79,52,5,4,151.923076923077,TRUE,"Mzansi Super League","2018/19",1162653,"SuperSport Park, Centurion","Centurion","Jozi Stars","Tshwane Spartans","Tshwane Spartans","field","D Elgar","Tshwane Spartans","4",NA
"RR Hendricks",2018-12-04,"Jozi Stars","Cape Town Blitz",1,79,48,5,6,164.583333333333,FALSE,"Mzansi Super League","2018/19",1162660,"Newlands, Cape Town","Cape Town","Jozi Stars","Cape Town Blitz","Jozi Stars","bat","RR Hendricks","Jozi Stars",NA,"50"
"HE van der Dussen",2018-11-20,"Jozi Stars","Paarl Rocks",1,78,49,3,5,159.183673469388,FALSE,"Mzansi Super League","2018/19",1162645,"Boland Park, Paarl","Paarl","Jozi Stars","Paarl Rocks","Paarl Rocks","field","RD Rickelton","Jozi Stars",NA,"60"
"H Davids",2019-12-16,"Paarl Rocks","Tshwane Spartans",2,77,44,8,4,175,TRUE,"Mzansi Super League","2019/20",1202001,"Boland Park, Paarl","Paarl","Tshwane Spartans","Paarl Rocks","Paarl Rocks","field","H Davids","Paarl Rocks","8",NA
"F du Plessis",2018-12-02,"Paarl Rocks","Durban Heat",2,76,48,9,0,158.333333333333,TRUE,"Mzansi Super League","2018/19",1162658,"Boland Park, Paarl","Paarl","Durban Heat","Paarl Rocks","Durban Heat","bat","F du Plessis","Paarl Rocks","9",NA
"BR Dunk",2019-12-06,"Nelson Mandela Bay Giants","Cape Town Blitz",1,75,56,6,4,133.928571428571,FALSE,"Mzansi Super League","2019/20",1201995,"Newlands, Cape Town","Cape Town","Nelson Mandela Bay Giants","Cape Town Blitz","Cape Town Blitz","field","BR Dunk","Nelson Mandela Bay Giants",NA,"11"
"DJ Vilas",2019-11-28,"Durban Heat","Cape Town Blitz",2,75,52,6,3,144.230769230769,TRUE,"Mzansi Super League","2019/20",1201987,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Durban Heat","Cape Town Blitz","bat","DJ Vilas","Durban Heat","7",NA
"BM Duckett",2018-11-17,"Nelson Mandela Bay Giants","Jozi Stars",2,75,45,5,5,166.666666666667,FALSE,"Mzansi Super League","2018/19",1162642,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","BM Duckett","Nelson Mandela Bay Giants","5",NA
"JN Malan",2019-11-28,"Cape Town Blitz","Durban Heat",1,75,42,2,7,178.571428571429,FALSE,"Mzansi Super League","2019/20",1201987,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Durban Heat","Cape Town Blitz","bat","DJ Vilas","Durban Heat","7",NA
"RR Hendricks",2019-12-01,"Jozi Stars","Paarl Rocks",1,74,53,7,2,139.622641509434,FALSE,"Mzansi Super League","2019/20",1201990,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","BS Makhanya","Paarl Rocks","5",NA
"Q de Kock",2018-11-24,"Cape Town Blitz","Jozi Stars",1,74,36,9,5,205.555555555556,FALSE,"Mzansi Super League","2018/19",1162649,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Town Blitz","Jozi Stars","Jozi Stars","field","Q de Kock","Cape Town Blitz",NA,"62"
"JT Smuts",2019-11-20,"Nelson Mandela Bay Giants","Cape Town Blitz",2,73,51,8,2,143.137254901961,FALSE,"Mzansi Super League","2019/20",1201980,"St George's Park, Port Elizabeth","Port Elizabeth","Cape Town Blitz","Nelson Mandela Bay Giants","Cape Town Blitz","bat","JT Smuts","Nelson Mandela Bay Giants","5",NA
"CS Delport",2018-11-18,"Paarl Rocks","Tshwane Spartans",2,73,43,4,5,169.767441860465,FALSE,"Mzansi Super League","2018/19",1162644,"Boland Park, Paarl","Paarl","Tshwane Spartans","Paarl Rocks","Paarl Rocks","field","TB de Bruyn","Tshwane Spartans",NA,"1"
"GM Thomson",2018-12-09,"Paarl Rocks","Jozi Stars",2,71,55,5,1,129.090909090909,TRUE,"Mzansi Super League","2018/19",1162666,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","GM Thomson","Paarl Rocks","6",NA
"AB de Villiers",2019-11-29,"Tshwane Spartans","Paarl Rocks",2,69,37,6,3,186.486486486486,TRUE,"Mzansi Super League","2019/20",1201988,"SuperSport Park, Centurion","Centurion","Paarl Rocks","Tshwane Spartans","Tshwane Spartans","field","RE van der Merwe","Tshwane Spartans","8",NA
"K Zondo",2018-12-09,"Durban Heat","Cape Town Blitz",2,67,42,4,3,159.52380952381,FALSE,"Mzansi Super League","2018/19",1162667,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Durban Heat","Cape Town Blitz","bat","K Zondo","Durban Heat","6",NA
"JN Malan",2018-11-24,"Cape Town Blitz","Jozi Stars",1,66,43,4,4,153.488372093023,FALSE,"Mzansi Super League","2018/19",1162649,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Town Blitz","Jozi Stars","Jozi Stars","field","Q de Kock","Cape Town Blitz",NA,"62"
"TB de Bruyn",2018-11-18,"Tshwane Spartans","Paarl Rocks",1,66,38,9,2,173.684210526316,FALSE,"Mzansi Super League","2018/19",1162644,"Boland Park, Paarl","Paarl","Tshwane Spartans","Paarl Rocks","Paarl Rocks","field","TB de Bruyn","Tshwane Spartans",NA,"1"
"F du Plessis",2019-12-04,"Paarl Rocks","Durban Heat",1,66,36,3,4,183.333333333333,TRUE,"Mzansi Super League","2019/20",1201993,"Boland Park, Paarl","Paarl","Paarl Rocks","Durban Heat","Durban Heat","field","AD Hales","Durban Heat","6",NA
"MN van Wyk",2018-11-30,"Durban Heat","Jozi Stars",2,66,33,3,6,200,FALSE,"Mzansi Super League","2018/19",1162656,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Durban Heat","Durban Heat","field","RR Hendricks","Jozi Stars",NA,"53"
"GL Cloete",2018-12-08,"Tshwane Spartans","Nelson Mandela Bay Giants",1,65,59,5,2,110.169491525424,FALSE,"Mzansi Super League","2018/19",1162665,"St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","Nelson Mandela Bay Giants","Tshwane Spartans","bat","GL Cloete","Tshwane Spartans",NA,"28"
"LS Livingstone",2019-11-14,"Cape Town Blitz","Jozi Stars",1,65,41,3,5,158.536585365854,FALSE,"Mzansi Super League","2019/20",1201975,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Jozi Stars","Jozi Stars","field","LS Livingstone","Cape Town Blitz",NA,"57"
"MP Breetzke",2019-12-06,"Nelson Mandela Bay Giants","Cape Town Blitz",1,64,40,7,2,160,FALSE,"Mzansi Super League","2019/20",1201995,"Newlands, Cape Town","Cape Town","Nelson Mandela Bay Giants","Cape Town Blitz","Cape Town Blitz","field","BR Dunk","Nelson Mandela Bay Giants",NA,"11"
"BS Makhanya",2019-12-01,"Paarl Rocks","Jozi Stars",2,63,47,5,2,134.042553191489,TRUE,"Mzansi Super League","2019/20",1201990,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","BS Makhanya","Paarl Rocks","5",NA
"AB de Villiers",2019-12-03,"Tshwane Spartans","Nelson Mandela Bay Giants",1,63,38,6,2,165.789473684211,FALSE,"Mzansi Super League","2019/20",1201992,"St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","Nelson Mandela Bay Giants","Tshwane Spartans","bat","BR Dunk","Nelson Mandela Bay Giants","6",NA
"RR Hendricks",2019-11-10,"Jozi Stars","Nelson Mandela Bay Giants",2,62,58,5,0,106.896551724138,FALSE,"Mzansi Super League","2019/20",1201973,"St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","Jozi Stars","Jozi Stars","field","HG Kuhn","Nelson Mandela Bay Giants",NA,"24"
"JT Smuts",2018-11-23,"Nelson Mandela Bay Giants","Durban Heat",2,62,52,6,2,119.230769230769,TRUE,"Mzansi Super League","2018/19",1162648,"St George's Park, Port Elizabeth","Port Elizabeth","Durban Heat","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","CJ Dala","Nelson Mandela Bay Giants","9",NA
"JT Smuts",2018-12-05,"Nelson Mandela Bay Giants","Durban Heat",1,62,45,8,1,137.777777777778,TRUE,"Mzansi Super League","2018/19",1162662,"Kingsmead, Durban","Durban","Nelson Mandela Bay Giants","Durban Heat","Nelson Mandela Bay Giants","bat",NA,NA,NA,NA
"PJ van Biljon",2019-12-01,"Tshwane Spartans","Cape Town Blitz",2,62,42,4,3,147.619047619048,FALSE,"Mzansi Super League","2019/20",1201991,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Tshwane Spartans","Cape Town Blitz","bat","DW Steyn","Cape Town Blitz",NA,"15"
"T Bavuma",2019-11-14,"Jozi Stars","Cape Town Blitz",2,62,42,8,1,147.619047619048,FALSE,"Mzansi Super League","2019/20",1201975,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Jozi Stars","Jozi Stars","field","LS Livingstone","Cape Town Blitz",NA,"57"
"SJ Erwee",2018-12-07,"Durban Heat","Jozi Stars",1,62,39,9,1,158.974358974359,FALSE,"Mzansi Super League","2018/19",1162663,"Kingsmead, Durban","Durban","Durban Heat","Jozi Stars","Durban Heat","bat","DJ Vilas","Jozi Stars","1",NA
"F du Plessis",2018-12-07,"Paarl Rocks","Cape Town Blitz",1,61,39,4,2,156.410256410256,FALSE,"Mzansi Super League","2018/19",1162664,"Newlands, Cape Town","Cape Town","Paarl Rocks","Cape Town Blitz","Paarl Rocks","bat","Q de Kock","Cape Town Blitz","6",NA
"F du Plessis",2018-12-09,"Paarl Rocks","Jozi Stars",2,61,34,7,2,179.411764705882,FALSE,"Mzansi Super League","2018/19",1162666,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","GM Thomson","Paarl Rocks","6",NA
"JN Malan",2019-12-06,"Cape Town Blitz","Nelson Mandela Bay Giants",2,60,41,1,6,146.341463414634,FALSE,"Mzansi Super League","2019/20",1201995,"Newlands, Cape Town","Cape Town","Nelson Mandela Bay Giants","Cape Town Blitz","Cape Town Blitz","field","BR Dunk","Nelson Mandela Bay Giants",NA,"11"
"H Davids",2018-11-20,"Paarl Rocks","Jozi Stars",2,60,36,4,4,166.666666666667,FALSE,"Mzansi Super League","2018/19",1162645,"Boland Park, Paarl","Paarl","Jozi Stars","Paarl Rocks","Paarl Rocks","field","RD Rickelton","Jozi Stars",NA,"60"
"HE van der Dussen",2018-12-16,"Jozi Stars","Cape Town Blitz",2,59,54,8,1,109.259259259259,TRUE,"Mzansi Super League","2018/19",1162672,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Jozi Stars","Cape Town Blitz","bat","BE Hendricks","Jozi Stars","8",NA
"Mohammad Nawaz",2018-11-16,"Cape Town Blitz","Tshwane Spartans",1,59,37,7,2,159.459459459459,FALSE,"Mzansi Super League","2018/19",1162641,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Tshwane Spartans","Tshwane Spartans","field","Mohammad Nawaz","Cape Town Blitz",NA,"49"
"AB de Villiers",2018-11-16,"Tshwane Spartans","Cape Town Blitz",2,59,30,3,5,196.666666666667,FALSE,"Mzansi Super League","2018/19",1162641,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Tshwane Spartans","Tshwane Spartans","field","Mohammad Nawaz","Cape Town Blitz",NA,"49"
"HG Kuhn",2019-12-08,"Nelson Mandela Bay Giants","Paarl Rocks",2,58,43,4,1,134.883720930233,FALSE,"Mzansi Super League","2019/20",1201997,"Boland Park, Paarl","Paarl","Paarl Rocks","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","T Shamsi","Paarl Rocks",NA,"12"
"RS Bopara",2019-11-23,"Durban Heat","Nelson Mandela Bay Giants",1,57,43,4,1,132.558139534884,TRUE,"Mzansi Super League","2019/20",1201983,"St George's Park, Port Elizabeth","Port Elizabeth","Durban Heat","Nelson Mandela Bay Giants","Durban Heat","bat","JJ Roy","Nelson Mandela Bay Giants","5",NA
"JN Malan",2018-11-21,"Cape Town Blitz","Nelson Mandela Bay Giants",1,57,39,10,1,146.153846153846,FALSE,"Mzansi Super League","2018/19",1162647,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Nelson Mandela Bay Giants","Cape Town Blitz","bat","JN Malan","Cape Town Blitz",NA,"12"
"D Elgar",2019-11-21,"Tshwane Spartans","Durban Heat",1,57,37,7,0,154.054054054054,TRUE,"Mzansi Super League","2019/20",1201981,"SuperSport Park, Centurion","Centurion","Tshwane Spartans","Durban Heat","Durban Heat","field",NA,NA,NA,NA
"JA Morkel",2018-12-12,"Durban Heat","Tshwane Spartans",2,57,28,4,5,203.571428571429,TRUE,"Mzansi Super League","2018/19",1162670,"SuperSport Park, Centurion","Centurion","Tshwane Spartans","Durban Heat","Tshwane Spartans","bat","JA Morkel","Durban Heat","2",NA
"MN van Wyk",2018-12-09,"Durban Heat","Cape Town Blitz",2,56,48,5,1,116.666666666667,FALSE,"Mzansi Super League","2018/19",1162667,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Durban Heat","Cape Town Blitz","bat","K Zondo","Durban Heat","6",NA
"RR Hendricks",2018-11-28,"Jozi Stars","Tshwane Spartans",1,55,48,7,1,114.583333333333,FALSE,"Mzansi Super League","2018/19",1162653,"SuperSport Park, Centurion","Centurion","Jozi Stars","Tshwane Spartans","Tshwane Spartans","field","D Elgar","Tshwane Spartans","4",NA
"GL Cloete",2018-11-21,"Tshwane Spartans","Durban Heat",1,55,43,7,0,127.906976744186,FALSE,"Mzansi Super League","2018/19",1162646,"Kingsmead, Durban","Durban","Tshwane Spartans","Durban Heat","Durban Heat","field","KJ Abbott","Durban Heat",NA,"10"
"HG Kuhn",2018-11-21,"Nelson Mandela Bay Giants","Cape Town Blitz",2,55,35,7,1,157.142857142857,FALSE,"Mzansi Super League","2018/19",1162647,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Nelson Mandela Bay Giants","Cape Town Blitz","bat","JN Malan","Cape Town Blitz",NA,"12"
"F du Plessis",2018-11-25,"Paarl Rocks","Cape Town Blitz",2,54,39,6,0,138.461538461538,FALSE,"Mzansi Super League","2018/19",1162651,"Boland Park, Paarl","Paarl","Cape Town Blitz","Paarl Rocks","Cape Town Blitz","bat","BC Fortuin","Paarl Rocks","5",NA
"JT Smuts",2019-11-30,"Nelson Mandela Bay Giants","Durban Heat",1,54,37,6,1,145.945945945946,FALSE,"Mzansi Super League","2019/20",1201989,"Kingsmead, Durban","Durban","Nelson Mandela Bay Giants","Durban Heat","Nelson Mandela Bay Giants","bat","KA Maharaj","Durban Heat","6",NA
"HG Kuhn",2018-11-30,"Nelson Mandela Bay Giants","Paarl Rocks",1,54,36,5,2,150,FALSE,"Mzansi Super League","2018/19",1162655,"St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","Paarl Rocks","Nelson Mandela Bay Giants","bat","HG Kuhn","Nelson Mandela Bay Giants",NA,"48"
"CH Gayle",2019-11-24,"Jozi Stars","Tshwane Spartans",2,54,27,6,4,200,FALSE,"Mzansi Super League","2019/20",1201985,"New Wanderers Stadium, Johannesburg","Johannesburg","Tshwane Spartans","Jozi Stars","Tshwane Spartans","bat","AB de Villiers","Tshwane Spartans",NA,"20"
"DG Bedingham",2019-12-01,"Cape Town Blitz","Tshwane Spartans",1,53,40,5,1,132.5,FALSE,"Mzansi Super League","2019/20",1201991,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Tshwane Spartans","Cape Town Blitz","bat","DW Steyn","Cape Town Blitz",NA,"15"
"K Verreynne",2018-11-16,"Cape Town Blitz","Tshwane Spartans",1,53,34,6,1,155.882352941176,TRUE,"Mzansi Super League","2018/19",1162641,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Tshwane Spartans","Tshwane Spartans","field","Mohammad Nawaz","Cape Town Blitz",NA,"49"
"AB de Villiers",2019-11-24,"Tshwane Spartans","Jozi Stars",1,53,33,4,2,160.606060606061,FALSE,"Mzansi Super League","2019/20",1201985,"New Wanderers Stadium, Johannesburg","Johannesburg","Tshwane Spartans","Jozi Stars","Tshwane Spartans","bat","AB de Villiers","Tshwane Spartans",NA,"20"
"PWA Mulder",2019-12-03,"Tshwane Spartans","Nelson Mandela Bay Giants",1,52,41,6,1,126.829268292683,FALSE,"Mzansi Super League","2019/20",1201992,"St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","Nelson Mandela Bay Giants","Tshwane Spartans","bat","BR Dunk","Nelson Mandela Bay Giants","6",NA
"DT Christian",2018-12-11,"Jozi Stars","Tshwane Spartans",1,52,19,0,6,273.684210526316,TRUE,"Mzansi Super League","2018/19",1162668,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Tshwane Spartans","Jozi Stars","bat","HE van der Dussen","Jozi Stars",NA,"101"
"AB de Villiers",2019-12-16,"Tshwane Spartans","Paarl Rocks",1,51,37,3,1,137.837837837838,FALSE,"Mzansi Super League","2019/20",1202001,"Boland Park, Paarl","Paarl","Tshwane Spartans","Paarl Rocks","Paarl Rocks","field","H Davids","Paarl Rocks","8",NA
"GL Cloete",2018-12-11,"Tshwane Spartans","Jozi Stars",2,50,40,7,0,125,FALSE,"Mzansi Super League","2018/19",1162668,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Tshwane Spartans","Jozi Stars","bat","HE van der Dussen","Jozi Stars",NA,"101"
