"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","outcome","method","eliminator"
65639,6,"England","Australia","male","2002/03",2003-01-19,"VB Series","11","Adelaide Oval","Adelaide","England","bat","NW Bracken","DJ Harper","DL Orchard",NA,"SJ Davis","CH Lloyd","Australia",4,NA,NA,NA,NA
65640,6,"Sri Lanka","Australia","male","2002/03",2003-01-21,"VB Series","12","Melbourne Cricket Ground","Melbourne","Sri Lanka","bat","RT Ponting","DJ Harper","RB Tiffin",NA,"SJA Taufel","CH Lloyd","Australia",9,NA,NA,NA,NA
65641,6,"England","Australia","male","2002/03",2003-01-23,"VB Series",NA,"Sydney Cricket Ground","Sydney","England","bat","B Lee","DL Orchard","SJA Taufel",NA,"DB Hair","CH Lloyd","Australia",10,NA,NA,NA,NA
65642,6,"Australia","England","male","2002/03",2003-01-25,"VB Series",NA,"Melbourne Cricket Ground","Melbourne","Australia","bat","B Lee","DB Hair","RB Tiffin",NA,"SJA Taufel","CH Lloyd","Australia",NA,5,NA,NA,NA
65235,6,"West Indies","South Africa","male","2002/03",2003-02-09,"ICC World Cup","1","Newlands, Cape Town","Cape Town","West Indies","bat","BC Lara","DJ Harper","S Venkataraghavan",NA,"P Willey","RS Madugalle","West Indies",NA,3,NA,NA,NA
65236,6,"Zimbabwe","Namibia","male","2002/03",2003-02-10,"ICC World Cup","2","Harare Sports Club","Harare","Namibia","field","CB Wishart","DL Orchard","SJA Taufel",NA,"DB Hair","Wasim Raja","Zimbabwe",NA,86,NA,"D/L",NA
65237,6,"Sri Lanka","New Zealand","male","2002/03",2003-02-10,"ICC World Cup","3","Goodyear Park, Bloemfontein","Bloemfontein","New Zealand","field","ST Jayasuriya","NA Mallender","SA Bucknor",NA,"RB Tiffin","MJ Procter","Sri Lanka",NA,47,NA,NA,NA
65238,6,"Australia","Pakistan","male","2002/03",2003-02-11,"ICC World Cup","4","New Wanderers Stadium, Johannesburg","Johannesburg","Pakistan","field","A Symonds","EAR de Silva","DR Shepherd",NA,"BF Bowden","CH Lloyd","Australia",NA,82,NA,NA,NA
65239,6,"Canada","Bangladesh","male","2002/03",2003-02-11,"ICC World Cup","5","Kingsmead, Durban","Durban","Canada","bat","A Codrington","Aleem Dar","BG Jerling",NA,"AV Jayaprakash","GR Viswanath","Canada",NA,60,NA,NA,NA
65240,6,"Kenya","South Africa","male","2002/03",2003-02-12,"ICC World Cup","6","North West Cricket Stadium, Potchefstroom","Potchefstroom","Kenya","bat","L Klusener","KC Barbour","TH Wijewardene",NA,"NA Mallender","RS Madugalle","South Africa",10,NA,NA,NA,NA
65241,6,"India","Netherlands","male","2002/03",2003-02-12,"ICC World Cup","7","Boland Bank Park, Paarl","Paarl","India","bat","TBM de Leede","DJ Harper","P Willey",NA,"Nadeem Ghauri","DT Lindsay","India",NA,68,NA,NA,NA
65242,6,"New Zealand","West Indies","male","2002/03",2003-02-13,"ICC World Cup","9","St George's Park, Port Elizabeth","Gqeberha","West Indies","field","AR Adams","DB Hair","RE Koertzen",NA,"S Venkataraghavan","MJ Procter","New Zealand",NA,20,NA,NA,NA
65244,6,"India","Australia","male","2002/03",2003-02-15,"ICC World Cup","11","SuperSport Park, Centurion","Centurion","India","bat","JN Gillespie","EAR de Silva","DR Shepherd",NA,"BG Jerling","CH Lloyd","Australia",9,NA,NA,NA,NA
65245,6,"Canada","Kenya","male","2002/03",2003-02-15,"ICC World Cup","12","Newlands, Cape Town","Cape Town","Canada","bat","TM Odoyo","AV Jayaprakash","Nadeem Ghauri",NA,"KC Barbour","RS Madugalle","Kenya",4,NA,NA,NA,NA
65246,6,"Netherlands","England","male","2002/03",2003-02-16,"ICC World Cup","13","Buffalo Park, East London","East London","England","field","JM Anderson","DB Hair","RE Koertzen",NA,"TH Wijewardene","MJ Procter","England",6,NA,NA,NA,NA
65247,6,"Pakistan","Namibia","male","2002/03",2003-02-16,"ICC World Cup","14","De Beers Diamond Oval, Kimberley","Kimberley","Pakistan","bat","Wasim Akram","DL Orchard","NA Mallender",NA,"SJA Taufel","DT Lindsay","Pakistan",NA,171,NA,NA,NA
65248,6,"South Africa","New Zealand","male","2002/03",2003-02-16,"ICC World Cup","15","New Wanderers Stadium, Johannesburg","Johannesburg","South Africa","bat","SP Fleming","P Willey","SA Bucknor",NA,"DJ Harper","Wasim Raja","New Zealand",9,NA,NA,"D/L",NA
65249,6,"West Indies","Bangladesh","male","2002/03",2003-02-18,"ICC World Cup","16","Willowmoore Park, Benoni","Benoni","Bangladesh","field",NA,"BG Jerling","RB Tiffin",NA,"BF Bowden","GR Viswanath",NA,NA,NA,"no result",NA,NA
65250,6,"India","Zimbabwe","male","2002/03",2003-02-19,"ICC World Cup","17","Harare Sports Club","Harare","Zimbabwe","field","SR Tendulkar","EAR de Silva","RE Koertzen",NA,"DB Hair","CH Lloyd","India",NA,83,NA,NA,NA
65251,6,"Canada","Sri Lanka","male","2002/03",2003-02-19,"ICC World Cup","18","Boland Bank Park, Paarl","Paarl","Sri Lanka","field","RAP Nissanka","DR Shepherd","NA Mallender",NA,"KC Barbour","Wasim Raja","Sri Lanka",9,NA,NA,NA,NA
65252,6,"England","Namibia","male","2002/03",2003-02-19,"ICC World Cup","19","St George's Park, Port Elizabeth","Gqeberha","Namibia","field","AJ Burger","SJA Taufel","S Venkataraghavan",NA,"Nadeem Ghauri","MJ Procter","England",NA,55,NA,NA,NA
65254,6,"Bangladesh","South Africa","male","2002/03",2003-02-22,"ICC World Cup","22","Goodyear Park, Bloemfontein","Bloemfontein","South Africa","field","M Ntini","BF Bowden","S Venkataraghavan",NA,"TH Wijewardene","CH Lloyd","South Africa",10,NA,NA,NA,NA
65255,6,"England","Pakistan","male","2002/03",2003-02-22,"ICC World Cup","23","Newlands, Cape Town","Cape Town","England","bat","JM Anderson","BG Jerling","RE Koertzen",NA,"SA Bucknor","MJ Procter","England",NA,112,NA,NA,NA
65256,6,"Canada","West Indies","male","2002/03",2003-02-23,"ICC World Cup","24","SuperSport Park, Centurion","Centurion","West Indies","field","JM Davison","EAR de Silva","DB Hair",NA,"Nadeem Ghauri","RS Madugalle","West Indies",7,NA,NA,NA,NA
65257,6,"India","Namibia","male","2002/03",2003-02-23,"ICC World Cup","25","City Oval, Pietermaritzburg","Pietermaritzburg","Namibia","field","SR Tendulkar","Aleem Dar","DR Shepherd",NA,"KC Barbour","Wasim Raja","India",NA,181,NA,NA,NA
65258,6,"Kenya","Sri Lanka","male","2002/03",2003-02-24,"ICC World Cup","26","Gymkhana Club Ground, Nairobi","Nairobi","Sri Lanka","field","CO Obuya","DJ Harper","RB Tiffin",NA,"AV Jayaprakash","DT Lindsay","Kenya",NA,53,NA,NA,NA
65259,6,"Zimbabwe","Australia","male","2002/03",2003-02-24,"ICC World Cup","27","Queens Sports Club, Bulawayo","Bulawayo","Zimbabwe","bat","AM Blignaut","BF Bowden","DL Orchard",NA,"BG Jerling","GR Viswanath","Australia",7,NA,NA,NA,NA
65260,6,"Pakistan","Netherlands","male","2002/03",2003-02-25,"ICC World Cup","28","Boland Bank Park, Paarl","Paarl","Netherlands","field","Yousuf Youhana","S Venkataraghavan","SA Bucknor",NA,"TH Wijewardene","CH Lloyd","Pakistan",NA,97,NA,NA,NA
65261,6,"Bangladesh","New Zealand","male","2002/03",2003-02-26,"ICC World Cup","29","De Beers Diamond Oval, Kimberley","Kimberley","Bangladesh","bat","CD McMillan","DB Hair","DR Shepherd",NA,"BG Jerling","MJ Procter","New Zealand",7,NA,NA,NA,NA
