"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
1375872,6,"South Africa","Australia","female","2023/24",2024-02-03,"South Africa Women tour of Australia","1","Adelaide Oval","Adelaide","Australia","field","KJ Garth","CA Polosak","S Redfern","Troy Penman","Eloise Sheridan","Dave Gilbert","Australia",8,NA,NA,NA,NA
1375873,6,"South Africa","Australia","female","2023/24",2024-02-07,"South Africa Women tour of Australia","2","North Sydney Oval, Sydney","Sydney","Australia","field","M Kapp","CA Polosak","Eloise Sheridan","Sharad Patel","S Redfern","Dave Gilbert","South Africa",NA,84,"D/L",NA,NA
1375874,6,"Australia","South Africa","female","2023/24",2024-02-10,"South Africa Women tour of Australia","3","North Sydney Oval, Sydney","Sydney","Australia","bat","TM McGrath","Eloise Sheridan","S Redfern","Troy Penman","CA Polosak","Dave Gilbert","Australia",NA,110,"D/L",NA,NA
1425061,6,"Australia","Bangladesh","female","2023/24",2024-03-21,"Australia Women tour of Bangladesh","1","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","field","A King","Gazi Sohel","VG Rathi","Ali Arman","Morshed Ali Khan","Neeyamur Rashid","Australia",NA,118,NA,NA,NA
1425062,6,"Bangladesh","Australia","female","2023/24",2024-03-24,"Australia Women tour of Bangladesh","2","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","S Molineux","Gazi Sohel","VG Rathi","Ali Arman","Tanvir Ahmed","Neeyamur Rashid","Australia",6,NA,NA,NA,NA
1426046,6,"Papua New Guinea","Zimbabwe","female","2023/24",2024-03-26,"Papua New Guinea Women tour of Zimbabwe","2","Harare Sports Club","Harare","Zimbabwe","field","M Mupachikwa","D Shawane","O Tafirenyika","T Musakwa",NA,"J Chibhabha","Zimbabwe",2,NA,NA,NA,NA
1425063,6,"Bangladesh","Australia","female","2023/24",2024-03-27,"Australia Women tour of Bangladesh","3","Shere Bangla National Stadium, Mirpur","Dhaka","Australia","field","KJ Garth","Tanvir Ahmed","VG Rathi","Shathira Jakir","Ali Arman","Neeyamur Rashid","Australia",8,NA,NA,NA,NA
1426047,6,"Zimbabwe","Papua New Guinea","female","2023/24",2024-03-28,"Papua New Guinea Women tour of Zimbabwe","3","Harare Sports Club","Harare","Papua New Guinea","field","J Nkomo","S Dambanevana","T Musakwa","I Chabi",NA,"J Chibhabha","Zimbabwe",NA,35,NA,NA,NA
1388207,6,"New Zealand","England","female","2023/24",2024-04-01,"England Women tour of New Zealand","1","Basin Reserve, Wellington","Wellington","England","field","AE Jones","CM Brown","Eloise Sheridan","C Black","Kim Cotton","TL Anderson","England",4,NA,NA,NA,NA
1388208,6,"England","New Zealand","female","2023/24",2024-04-04,"England Women tour of New Zealand","2","Seddon Park, Hamilton","Hamilton","England","bat","TT Beaumont","CM Brown","Kim Cotton","GG Pennell","Eloise Sheridan","TL Anderson","England",NA,56,NA,NA,NA
1388209,6,"England","New Zealand","female","2023/24",2024-04-07,"England Women tour of New Zealand","3","Seddon Park, Hamilton","Hamilton","England","bat","SFM Devine","Eloise Sheridan","Kim Cotton","GG Pennell","CM Brown","TL Anderson","New Zealand",7,NA,NA,NA,NA
1398265,6,"South Africa","Sri Lanka","female","2023/24",2024-04-09,"Sri Lanka Women tour of South Africa","1","Buffalo Park, East London","East London","Sri Lanka","field",NA,"JM Williams","K Klaaste","TC Mokorosi","Lauren Agenbag","SA Fritz",NA,NA,NA,NA,"no result",NA
1427423,6,"United States of America","Papua New Guinea","female","2024",2024-04-11,"UAE Women's ODI Tri-Series","1","ICC Academy, Dubai","Dubai","United States of America","bat","I Toua","Aasif Iqbal","Akbar Ali",NA,NA,"Iftikhar Ali","Papua New Guinea",6,NA,NA,NA,NA
1427424,6,"Scotland","Papua New Guinea","female","2024",2024-04-12,"UAE Women's ODI Tri-Series","2","ICC Academy, Dubai","Dubai","Papua New Guinea","field","S Horley","Aasif Iqbal","Akbar Ali",NA,NA,"Iftikhar Ali","Scotland",NA,104,NA,NA,NA
1398266,6,"Sri Lanka","South Africa","female","2023/24",2024-04-13,"Sri Lanka Women tour of South Africa","2","Diamond Oval, Kimberley","Kimberley","South Africa","field","L Wolvaardt","JM Williams","TC Mokorosi","Lauren Agenbag","K Klaaste","SA Fritz","South Africa",7,NA,NA,NA,NA
1427425,6,"Scotland","United States of America","female","2024",2024-04-14,"UAE Women's ODI Tri-Series","3","ICC Academy, Dubai","Dubai","Scotland","bat","AH Maqsood","Aasif Iqbal","Akbar Ali",NA,NA,"Iftikhar Ali","Scotland",NA,41,NA,NA,NA
1398267,6,"South Africa","Sri Lanka","female","2023/24",2024-04-17,"Sri Lanka Women tour of South Africa","3","Senwes Park, Potchefstroom","Potchefstroom","Sri Lanka","field","AC Jayangani","JM Williams","Lauren Agenbag","TC Mokorosi","K Klaaste","SA Fritz","Sri Lanka",6,NA,NA,NA,NA
1426081,6,"West Indies","Pakistan","female","2024",2024-04-18,"West Indies Women tour of Pakistan","1","National Stadium, Karachi","Karachi","West Indies","bat","HK Matthews","CA Polosak","Nasir Hussain","Saleema Imtiaz","Abdul Muqeet","Ali Naqvi","West Indies",NA,113,NA,NA,NA
1426082,6,"Pakistan","West Indies","female","2024",2024-04-21,"West Indies Women tour of Pakistan","2","National Stadium, Karachi","Karachi","Pakistan","bat","SR Taylor","Abdul Muqeet","CA Polosak","Humaira Farah","Nasir Hussain","Ali Naqvi","West Indies",2,NA,NA,NA,NA
1426083,6,"West Indies","Pakistan","female","2024",2024-04-23,"West Indies Women tour of Pakistan","3","National Stadium, Karachi","Karachi","West Indies","bat","HK Matthews","CA Polosak","Imran Javed","Saleema Imtiaz","Abdul Muqeet","Ali Naqvi","West Indies",NA,88,NA,NA,NA
1398271,6,"England","Pakistan","female","2024",2024-05-23,"Pakistan Women tour of England","1","County Ground, Derby","Derby","Pakistan","field","S Ecclestone","Kim Cotton","S Redfern","J Naeem","AY Harris","H Pack","England",NA,37,NA,NA,NA
1398272,6,"Pakistan","England","female","2024",2024-05-26,"Pakistan Women tour of England","2","The Cooper Associates County Ground, Taunton","Taunton","Pakistan","bat",NA,"AY Harris","S Redfern","J Naeem","Kim Cotton","H Pack",NA,NA,NA,NA,"no result",NA
1398273,6,"England","Pakistan","female","2024",2024-05-29,"Pakistan Women tour of England","3","County Ground, Chelmsford","Chelmsford","England","bat","NR Sciver-Brunt","J Naeem","Kim Cotton","AY Harris","S Redfern","H Pack","England",NA,178,NA,NA,NA
1436886,6,"West Indies","Sri Lanka","female","2024",2024-06-15,"West Indies Women tour of Sri Lanka","1","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Sri Lanka","field",NA,"LDVV Silva","Lauren Agenbag","LE Hannibal","RSA Palliyaguruge","V Bowen","Sri Lanka",6,NA,NA,NA,NA
1434287,6,"India","South Africa","female","2024",2024-06-16,"South Africa Women tour of India","1","M Chinnaswamy Stadium, Bengaluru","Bengaluru","India","bat","S Mandhana","N Perera","R Pandit","N Janani","KN Ananthapadmanabhan","V Narayan Kutty","India",NA,143,NA,NA,NA
1436887,6,"West Indies","Sri Lanka","female","2024",2024-06-18,"West Indies Women tour of Sri Lanka","2","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","West Indies","bat",NA,"Lauren Agenbag","LE Hannibal","LDVV Silva","RSA Palliyaguruge","V Bowen","Sri Lanka",5,NA,NA,NA,NA
