"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","method","winner_wickets","outcome","eliminator"
1324541,6,"Kandy Falcons","Colombo Stars","male","2022/23",2022-12-22,"Lanka Premier League",NA,"R Premadasa Stadium, Colombo","Colombo","Colombo Stars","field","CAK Rajitha","RR Wimalasiri","WR Knights","RMPJ Rambukwella","LE Hannibal","WC Labrooy","Colombo Stars",NA,NA,6,NA,NA
1324542,6,"Colombo Stars","Jaffna Kings","male","2022/23",2022-12-23,"Lanka Premier League",NA,"R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","field","WIA Fernando","HDPK Dharmasena","WR Knights","RR Wimalasiri","RSA Palliyaguruge","GF Labrooy","Jaffna Kings",NA,NA,2,NA,NA
1382878,6,"Jaffna Kings","Colombo Strikers","male","2023",2023-07-30,"Lanka Premier League","1","R Premadasa Stadium, Colombo","Colombo","Colombo Strikers","field","V Viyaskanth","Gazi Sohel","RR Wimalasiri","RMPJ Rambukwella","LE Hannibal","GF Labrooy","Jaffna Kings",21,NA,NA,NA,NA
1382879,6,"Galle Titans","Dambulla Aura","male","2023",2023-07-31,"Lanka Premier League","2","R Premadasa Stadium, Colombo","Colombo","Dambulla Aura","field","MD Shanaka","IC Soysa","LE Hannibal","RA Kottahachchi","RR Wimalasiri","BCMS Mendis",NA,NA,NA,NA,"tie","Galle Titans"
1382880,6,"Colombo Strikers","B-Love Kandy","male","2023",2023-07-31,"Lanka Premier League","3","R Premadasa Stadium, Colombo","Colombo","Colombo Strikers","bat","Babar Azam","BCN Amarasinghe","Gazi Sohel","AG Dissanayake","RMPJ Rambukwella","GF Labrooy","Colombo Strikers",27,NA,NA,NA,NA
1382881,6,"Jaffna Kings","Dambulla Aura","male","2023",2023-08-01,"Lanka Premier League","4","R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","bat","WIA Fernando","RR Wimalasiri","RA Kottahachchi","BCN Amarasinghe","LE Hannibal","BCMS Mendis","Dambulla Aura",NA,NA,8,NA,NA
1382882,6,"Galle Titans","B-Love Kandy","male","2023",2023-08-01,"Lanka Premier League","5","R Premadasa Stadium, Colombo","Colombo","Galle Titans","bat","TL Seifert","IC Soysa","Gazi Sohel","AG Dissanayake","RMPJ Rambukwella","GF Labrooy","Galle Titans",83,NA,NA,NA,NA
1382883,6,"Dambulla Aura","B-Love Kandy","male","2023",2023-08-04,"Lanka Premier League","6","Pallekele International Cricket Stadium","Kandy","Dambulla Aura","bat","Mujeeb Ur Rahman","Gazi Sohel","RMPJ Rambukwella","RA Kottahachchi","RSA Palliyaguruge","BCMS Mendis","B-Love Kandy",NA,NA,7,NA,NA
1382884,6,"Galle Titans","Jaffna Kings","male","2023",2023-08-04,"Lanka Premier League","7","Pallekele International Cricket Stadium","Kandy","Galle Titans","bat","DN Wellalage","HDPK Dharmasena","RR Wimalasiri","IC Soysa","LE Hannibal","RS Madugalle","Jaffna Kings",NA,NA,8,NA,NA
1382885,6,"Dambulla Aura","Colombo Strikers","male","2023",2023-08-05,"Lanka Premier League","8","Pallekele International Cricket Stadium","Kandy","Colombo Strikers","field","BKG Mendis","Gazi Sohel","RA Kottahachchi","IC Soysa","RMPJ Rambukwella","BCMS Mendis","Dambulla Aura",10,NA,NA,NA,NA
1382886,6,"Jaffna Kings","B-Love Kandy","male","2023",2023-08-05,"Lanka Premier League","9","Pallekele International Cricket Stadium","Kandy","B-Love Kandy","field","PWH de Silva","HDPK Dharmasena","RSA Palliyaguruge","LE Hannibal","RR Wimalasiri","RS Madugalle","B-Love Kandy",NA,NA,8,NA,NA
1382887,6,"Galle Titans","Colombo Strikers","male","2023",2023-08-07,"Lanka Premier League","10","Pallekele International Cricket Stadium","Kandy","Colombo Strikers","field","Babar Azam","HDPK Dharmasena","RMPJ Rambukwella","RA Kottahachchi","LE Hannibal","RS Madugalle","Colombo Strikers",NA,NA,7,NA,NA
1382888,6,"Dambulla Aura","Jaffna Kings","male","2023",2023-08-07,"Lanka Premier League","11","Pallekele International Cricket Stadium","Kandy","Jaffna Kings","field","Hasan Ali","IC Soysa","RSA Palliyaguruge","BCN Amarasinghe","RR Wimalasiri","WC Labrooy","Dambulla Aura",9,NA,NA,NA,NA
1382889,6,"B-Love Kandy","Galle Titans","male","2023",2023-08-08,"Lanka Premier League","12","Pallekele International Cricket Stadium","Kandy","Galle Titans","field","PWH de Silva","HDPK Dharmasena","RA Kottahachchi","RR Wimalasiri","RMPJ Rambukwella","RS Madugalle","B-Love Kandy",89,NA,NA,NA,NA
1382890,6,"Colombo Strikers","Jaffna Kings","male","2023",2023-08-08,"Lanka Premier League","13","Pallekele International Cricket Stadium","Kandy","Colombo Strikers","bat","DN Wellalage","BCN Amarasinghe","LE Hannibal","IC Soysa","RSA Palliyaguruge","WC Labrooy","Jaffna Kings",NA,NA,6,NA,NA
1382891,6,"Galle Titans","Dambulla Aura","male","2023",2023-08-11,"Lanka Premier League","14","R Premadasa Stadium, Colombo","Colombo","Dambulla Aura","field","WIA Fernando","BCN Amarasinghe","RMPJ Rambukwella","REJ Martinesz","RR Wimalasiri","WC Labrooy","Dambulla Aura",NA,NA,7,NA,NA
1382892,6,"B-Love Kandy","Jaffna Kings","male","2023",2023-08-12,"Lanka Premier League","15","R Premadasa Stadium, Colombo","Colombo","B-Love Kandy","bat","Mohammad Haris","IC Soysa","RSA Palliyaguruge","RA Kottahachchi","RMPJ Rambukwella","GF Labrooy","B-Love Kandy",8,NA,NA,NA,NA
1382893,6,"Dambulla Aura","Colombo Strikers","male","2023",2023-08-12,"Lanka Premier League","16","R Premadasa Stadium, Colombo","Colombo","Dambulla Aura","bat","BR McDermott","LE Hannibal","REJ Martinesz","BCN Amarasinghe","RR Wimalasiri","WC Labrooy","Dambulla Aura",50,NA,NA,NA,NA
1382894,6,"Jaffna Kings","Galle Titans","male","2023",2023-08-13,"Lanka Premier League","17","R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","bat","CAK Rajitha","RR Wimalasiri","RA Kottahachchi","IC Soysa","LE Hannibal","GF Labrooy","Galle Titans",NA,NA,7,NA,NA
1382895,6,"Colombo Strikers","B-Love Kandy","male","2023",2023-08-13,"Lanka Premier League","18","R Premadasa Stadium, Colombo","Colombo","Colombo Strikers","bat","P Nissanka","REJ Martinesz","RSA Palliyaguruge","BCN Amarasinghe","RMPJ Rambukwella","WC Labrooy","Colombo Strikers",9,NA,NA,NA,NA
1382896,6,"Dambulla Aura","B-Love Kandy","male","2023",2023-08-14,"Lanka Premier League","19","R Premadasa Stadium, Colombo","Colombo","B-Love Kandy","field","DM de Silva","Aleem Dar","RSA Palliyaguruge","REJ Martinesz","RR Wimalasiri","GF Labrooy","Dambulla Aura",20,NA,NA,NA,NA
1382897,6,"Colombo Strikers","Galle Titans","male","2023",2023-08-15,"Lanka Premier League","20","R Premadasa Stadium, Colombo","Colombo","Galle Titans","field","T Shamsi","Aleem Dar","LE Hannibal","IC Soysa","RSA Palliyaguruge","WC Labrooy","Galle Titans",NA,NA,8,NA,NA
1382898,6,"Galle Titans","Dambulla Aura","male","2023",2023-08-17,"Lanka Premier League",NA,"R Premadasa Stadium, Colombo","Colombo","Dambulla Aura","field","BKG Mendis","BCN Amarasinghe","RSA Palliyaguruge","IC Soysa","RR Wimalasiri","WC Labrooy","Dambulla Aura",NA,NA,6,NA,NA
1382899,6,"B-Love Kandy","Jaffna Kings","male","2023",2023-08-17,"Lanka Premier League",NA,"R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","field","PWH de Silva","Aleem Dar","RMPJ Rambukwella","RA Kottahachchi","LE Hannibal","GF Labrooy","B-Love Kandy",61,NA,NA,NA,NA
1382900,6,"B-Love Kandy","Galle Titans","male","2023",2023-08-19,"Lanka Premier League",NA,"R Premadasa Stadium, Colombo","Colombo","B-Love Kandy","bat","PWH de Silva","Aleem Dar","RR Wimalasiri","LE Hannibal","RMPJ Rambukwella","GF Labrooy","B-Love Kandy",34,NA,NA,NA,NA
1382901,6,"Dambulla Aura","B-Love Kandy","male","2023",2023-08-20,"Lanka Premier League",NA,"R Premadasa Stadium, Colombo","Colombo","Dambulla Aura","bat","AD Mathews","Aleem Dar","HDPK Dharmasena","RR Wimalasiri","RSA Palliyaguruge","RS Madugalle","B-Love Kandy",NA,NA,5,NA,NA
1428459,6,"Dambulla Sixers","Kandy Falcons","male","2024",2024-07-01,"Lanka Premier League","1","Pallekele International Cricket Stadium","Kandy","Kandy Falcons","field","MD Shanaka","RMPJ Rambukwella","RR Wimalasiri","PSR Fonseka","RSA Palliyaguruge","GF Labrooy","Kandy Falcons",NA,NA,6,NA,NA
1428460,6,"Jaffna Kings","Galle Marvels","male","2024",2024-07-02,"Lanka Premier League","2","Pallekele International Cricket Stadium","Kandy","Jaffna Kings","bat","AD Hales","IC Soysa","RSA Palliyaguruge","RA Kottahachchi","RMPJ Rambukwella","WC Labrooy","Galle Marvels",NA,NA,5,NA,NA
1428461,6,"Colombo Strikers","Kandy Falcons","male","2024",2024-07-02,"Lanka Premier League","3","Pallekele International Cricket Stadium","Kandy","Kandy Falcons","field","Shadab Khan","R Black","PSR Fonseka","BSP Fernando","RR Wimalasiri","GF Labrooy","Colombo Strikers",51,NA,NA,NA,NA
1428462,6,"Dambulla Sixers","Jaffna Kings","male","2024",2024-07-03,"Lanka Premier League","4","Pallekele International Cricket Stadium","Kandy","Jaffna Kings","field","WIA Fernando","RA Kottahachchi","RSA Palliyaguruge","IC Soysa","RMPJ Rambukwella","GF Labrooy","Jaffna Kings",NA,NA,4,NA,NA
1428463,6,"Galle Marvels","Colombo Strikers","male","2024",2024-07-03,"Lanka Premier League","5","Pallekele International Cricket Stadium","Kandy","Colombo Strikers","field","I Udana","R Black","BSP Fernando","PSR Fonseka","RR Wimalasiri","WC Labrooy","Galle Marvels",7,NA,NA,NA,NA
