"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","method","winner_wickets","outcome","eliminator"
1238768,6,"Galle Gladiators","Dambulla Viiking","male","2020/21",2020-12-09,"Lanka Premier League","17","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Viiking","field","Samiullah Shenwari","RA Kottahachchi","RSA Palliyaguruge","JWHD Boteju","LE Hannibal","WC Labrooy","Dambulla Viiking",NA,NA,4,NA,NA
1238769,6,"Colombo Kings","Jaffna Stallions","male","2020/21",2020-12-10,"Lanka Premier League","18","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Stallions","field","LJ Evans","Keerthi Bandara","LE Hannibal","ID Gunawardene","RMPJ Rambukwella","BCMS Mendis","Colombo Kings",6,NA,NA,NA,NA
1238770,6,"Kandy Tuskers","Galle Gladiators","male","2020/21",2020-12-10,"Lanka Premier League","19","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","field","MD Gunathilaka","JWHD Boteju","HDPK Dharmasena","RA Kottahachchi","RSA Palliyaguruge","RS Madugalle","Galle Gladiators",NA,NA,9,NA,NA
1238771,6,"Dambulla Viiking","Colombo Kings","male","2020/21",2020-12-11,"Lanka Premier League","20","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Kings","field","Qais Ahmad","HDPK Dharmasena","RMPJ Rambukwella","LE Hannibal","RR Wimalasiri","RS Madugalle","Colombo Kings",NA,NA,6,NA,NA
1238772,6,"Colombo Kings","Galle Gladiators","male","2020/21",2020-12-13,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","field","D Lakshan","HDPK Dharmasena","RR Wimalasiri","RMPJ Rambukwella","RSA Palliyaguruge","RS Madugalle","Galle Gladiators",NA,NA,2,NA,NA
1238773,6,"Jaffna Stallions","Dambulla Viiking","male","2020/21",2020-12-14,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Viiking","field","J Charles","LE Hannibal","RSA Palliyaguruge","RR Wimalasiri","HDPK Dharmasena","RS Madugalle","Jaffna Stallions",37,NA,NA,NA,NA
1238774,6,"Jaffna Stallions","Galle Gladiators","male","2020/21",2020-12-16,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Stallions","bat","Shoaib Malik","HDPK Dharmasena","RSA Palliyaguruge","RR Wimalasiri","LE Hannibal","RS Madugalle","Jaffna Stallions",53,NA,NA,NA,NA
1291195,6,"Galle Gladiators","Jaffna Kings","male","2021/22",2021-12-05,"Lanka Premier League","1","R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","field","SR Patel","HDPK Dharmasena","RSA Palliyaguruge","RMPJ Rambukwella","LE Hannibal","GF Labrooy","Galle Gladiators",54,NA,NA,NA,NA
1291196,6,"Dambulla Giants","Kandy Warriors","male","2021/22",2021-12-06,"Lanka Premier League","2","R Premadasa Stadium, Colombo","Colombo","Dambulla Giants","bat","PD Salt","Keerthi Bandara","RR Wimalasiri","RA Kottahachchi","RMPJ Rambukwella","WC Labrooy","Dambulla Giants",20,NA,NA,NA,NA
1291197,6,"Galle Gladiators","Colombo Stars","male","2021/22",2021-12-06,"Lanka Premier League","3","R Premadasa Stadium, Colombo","Colombo","Galle Gladiators","bat","DM de Silva","ID Gunawardene","HDPK Dharmasena","RD Kottahachchi","RSA Palliyaguruge","BCMS Mendis","Colombo Stars",NA,NA,4,NA,NA
1291198,6,"Dambulla Giants","Jaffna Kings","male","2021/22",2021-12-07,"Lanka Premier League","4","R Premadasa Stadium, Colombo","Colombo","Dambulla Giants","bat","M Theekshana","HDPK Dharmasena","RA Kottahachchi","EJAPAM Jayasooriya","RR Wimalasiri","GF Labrooy","Jaffna Kings",NA,NA,8,NA,NA
1291199,6,"Kandy Warriors","Galle Gladiators","male","2021/22",2021-12-07,"Lanka Premier League","5","R Premadasa Stadium, Colombo","Colombo","Kandy Warriors","bat","D Lakshan","JWHD Boteju","HDPK Dharmasena","Keerthi Bandara","RSA Palliyaguruge","WC Labrooy","Galle Gladiators",NA,NA,4,NA,NA
1291200,6,"Dambulla Giants","Colombo Stars","male","2021/22",2021-12-08,"Lanka Premier League","6","R Premadasa Stadium, Colombo","Colombo","Dambulla Giants","bat","PD Salt","HDPK Dharmasena","RD Kottahachchi","ID Gunawardene","LE Hannibal","BCMS Mendis","Dambulla Giants",18,NA,NA,NA,NA
1291201,6,"Jaffna Kings","Kandy Warriors","male","2021/22",2021-12-08,"Lanka Premier League","7","R Premadasa Stadium, Colombo","Colombo","Kandy Warriors","field","RAS Lakmal","EJAPAM Jayasooriya","RMPJ Rambukwella","JWHD Boteju","RR Wimalasiri","GF Labrooy","Jaffna Kings",14,"D/L",NA,NA,NA
1291202,6,"Dambulla Giants","Galle Gladiators","male","2021/22",2021-12-10,"Lanka Premier League","8","R Premadasa Stadium, Colombo","Colombo","Dambulla Giants","bat",NA,"Keerthi Bandara","LE Hannibal","RA Kottahachchi","RMPJ Rambukwella","WC Labrooy",NA,NA,NA,NA,"no result",NA
1291203,6,"Jaffna Kings","Colombo Stars","male","2021/22",2021-12-10,"Lanka Premier League","9","R Premadasa Stadium, Colombo","Colombo","Colombo Stars","field","NLTC Perera","ID Gunawardene","RR Wimalasiri","RD Kottahachchi","RSA Palliyaguruge","BCMS Mendis","Jaffna Kings",93,NA,NA,NA,NA
1291204,6,"Galle Gladiators","Kandy Warriors","male","2021/22",2021-12-11,"Lanka Premier League","10","R Premadasa Stadium, Colombo","Colombo","Galle Gladiators","bat","RS Bopara","RMPJ Rambukwella","RA Kottahachchi","EJAPAM Jayasooriya","LE Hannibal","WC Labrooy","Kandy Warriors",NA,NA,5,NA,NA
