"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"TJ Moores",8,96,85,112.941176470588,13.7142857142857,12,2,1,0,0,28
"TL Seifert",7,231,173,133.526011560694,38.5,14,11,1,0,3,74
"Tillakaratne Sampath",3,24,12,200,24,3,1,2,0,0,19
"Towhid Hridoy",6,155,114,135.964912280702,38.75,14,5,2,0,1,54
"Usman Shinwari",3,17,16,106.25,17,3,0,2,0,0,11
"V Viyaskanth",10,31,37,83.7837837837838,6.2,1,0,5,0,0,10
"WIA Fernando",38,1170,875,133.714285714286,34.4117647058824,98,59,4,1,9,100
"WU Tharanga",13,265,244,108.606557377049,22.0833333333333,36,3,1,0,1,77
"Wahab Riaz",10,80,73,109.58904109589,8.88888888888889,5,4,1,0,0,27
"Waqar Salamkheil",1,6,5,120,Inf,1,0,1,0,0,6
"YSD Seneveratne",1,6,7,85.7142857142857,6,0,0,0,0,0,6
"Yashodha Lanka",1,11,16,68.75,11,1,0,0,0,0,11
