"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"EA Burns",2024-08-26,"Barbados Royals","Guyana Amazon Warriors",1,"4.0",0,31,3,7.75,10,"Women's Caribbean Premier League",2024,1443203,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","Q Joseph","Barbados Royals",NA,"17"
"SS Connell",2022-09-03,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",1,9,2,2.25,16,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"SR Patil",2023-09-09,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"4.0",0,10,2,2.5,16,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"S Ismail",2024-08-26,"Barbados Royals","Guyana Amazon Warriors",1,"4.0",1,11,2,2.75,16,"Women's Caribbean Premier League",2024,1443203,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","Q Joseph","Barbados Royals",NA,"17"
"CL Tryon",2024-08-25,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"4.0",0,12,2,3,13,"Women's Caribbean Premier League",2024,1443202,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field","DJS Dottin",NA,NA,NA
"A Wellington",2023-09-02,"Trinbago Knight Riders","Barbados Royals",1,"4.0",1,13,2,3.25,16,"Women's Caribbean Premier League",2023,1380590,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","EA Burns","Barbados Royals","6",NA
"HK Matthews",2024-08-29,"Trinbago Knight Riders","Barbados Royals",1,"4.0",0,13,2,3.25,15,"Women's Caribbean Premier League",2024,1443205,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","AA Alleyne","Barbados Royals","4",NA
"A Wellington",2024-08-22,"Trinbago Knight Riders","Barbados Royals",1,"4.0",0,14,2,3.5,13,"Women's Caribbean Premier League",2024,1443200,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","HK Matthews","Barbados Royals","7",NA
"CA Henry",2024-08-22,"Trinbago Knight Riders","Barbados Royals",1,"2.0",0,14,2,7,7,"Women's Caribbean Premier League",2024,1443200,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","HK Matthews","Barbados Royals","7",NA
"Q Joseph",2024-08-21,"Guyana Amazon Warriors","Barbados Royals",1,"4.0",0,14,2,3.5,12,"Women's Caribbean Premier League",2024,1443199,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","HK Matthews","Barbados Royals","1",NA
