"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"EA Burns",2023-09-03,"Guyana Amazon Warriors","Barbados Royals",1,"4.0",0,32,2,8,10,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"LAGL Kirby",2022-08-31,"Barbados Royals","Trinbago Knight Riders",2,"4.0",0,32,2,8,12,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"Z James",2023-09-06,"Barbados Royals","Trinbago Knight Riders",2,"4.0",0,34,2,8.5,8,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"HK Matthews",2023-09-10,"Guyana Amazon Warriors","Barbados Royals",2,"4.0",0,38,2,9.5,9,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"LAGL Kirby",2022-09-04,"Barbados Royals","Trinbago Knight Riders",2,"1.0",0,1,1,1,5,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
"ASS Fletcher",2023-09-02,"Trinbago Knight Riders","Barbados Royals",1,"1.4",0,6,1,3.6,6,"Women's Caribbean Premier League",2023,1380590,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","EA Burns","Barbados Royals","6",NA
"AA Alleyne",2023-09-02,"Trinbago Knight Riders","Barbados Royals",1,"2.0",0,7,1,3.5,7,"Women's Caribbean Premier League",2023,1380590,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","EA Burns","Barbados Royals","6",NA
"A Mohammed",2022-08-31,"Barbados Royals","Trinbago Knight Riders",2,"2.0",0,9,1,4.5,5,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"DJS Dottin",2022-08-31,"Barbados Royals","Trinbago Knight Riders",2,"1.0",0,9,1,9,4,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"SC Selman",2023-09-09,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"3.0",0,10,1,3.33333333333333,11,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"SS Connell",2022-09-01,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"4.0",0,10,1,2.5,17,"Women's Caribbean Premier League",2022,1323179,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field",NA,NA,NA,NA
"A Khaka",2022-09-03,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",0,11,1,2.75,16,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"CL Tryon",2022-09-04,"Trinbago Knight Riders","Barbados Royals",1,"2.0",0,11,1,5.5,7,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
