"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"M du Preez",2023-09-06,"Trinbago Knight Riders","Barbados Royals",1,36,23,3,1,156.521739130435,TRUE,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"RS Williams",2023-09-10,"Barbados Royals","Guyana Amazon Warriors",1,36,23,6,1,156.521739130435,FALSE,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"DJS Dottin",2023-09-05,"Trinbago Knight Riders","Guyana Amazon Warriors",2,35,19,4,2,184.210526315789,FALSE,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"SR Taylor",2022-09-03,"Guyana Amazon Warriors","Barbados Royals",1,32,34,2,0,94.1176470588235,TRUE,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"SR Taylor",2023-09-05,"Guyana Amazon Warriors","Trinbago Knight Riders",1,32,29,4,0,110.344827586207,FALSE,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"Kycia A Knight",2023-09-06,"Trinbago Knight Riders","Barbados Royals",1,30,30,2,0,100,FALSE,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"LAGL Kirby",2022-08-31,"Trinbago Knight Riders","Barbados Royals",1,30,30,3,2,100,FALSE,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"SW Bates",2023-09-03,"Guyana Amazon Warriors","Barbados Royals",1,30,26,3,0,115.384615384615,FALSE,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"Q Joseph",2022-09-03,"Barbados Royals","Guyana Amazon Warriors",2,30,19,1,2,157.894736842105,TRUE,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"L Harris",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,30,12,3,3,250,FALSE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"EA Burns",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,29,15,3,1,193.333333333333,TRUE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"M Kelly",2023-09-06,"Trinbago Knight Riders","Barbados Royals",1,28,17,4,0,164.705882352941,FALSE,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"NY McLean",2023-09-10,"Guyana Amazon Warriors","Barbados Royals",2,28,17,1,2,164.705882352941,FALSE,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
