"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"MM Lanning",2023-03-07,"Delhi Capitals","UP Warriorz",1,70,42,10,3,166.666666666667,FALSE,"Women's Premier League","2022/23",1358933,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Delhi Capitals","UP Warriorz","UP Warriorz","field","JL Jonassen","Delhi Capitals",NA,"42"
"JI Rodrigues",2024-03-05,"Delhi Capitals","Mumbai Indians",1,69,33,8,3,209.090909090909,TRUE,"Women's Premier League","2023/24",1417727,"Arun Jaitley Stadium, Delhi","Delhi","Delhi Capitals","Mumbai Indians","Mumbai Indians","field","JI Rodrigues","Delhi Capitals",NA,"29"
"L Wolvaardt",2023-03-18,"Gujarat Giants","Royal Challengers Bangalore",1,68,42,9,2,161.904761904762,FALSE,"Women's Premier League","2022/23",1358944,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","SFM Devine","Royal Challengers Bangalore","8",NA
"EA Perry",2023-03-13,"Royal Challengers Bangalore","Delhi Capitals",1,67,52,4,5,128.846153846154,TRUE,"Women's Premier League","2022/23",1358939,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Royal Challengers Bangalore","Delhi Capitals","Delhi Capitals","field","JL Jonassen","Delhi Capitals","6",NA
"H Deol",2023-03-08,"Gujarat Giants","Royal Challengers Bangalore",1,67,45,9,1,148.888888888889,FALSE,"Women's Premier League","2022/23",1358934,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","SIR Dunkley","Gujarat Giants",NA,"11"
"EA Perry",2024-03-15,"Royal Challengers Bangalore","Mumbai Indians",1,66,50,8,1,132,FALSE,"Women's Premier League","2023/24",1417736,"Arun Jaitley Stadium, Delhi","Delhi","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","bat","EA Perry","Royal Challengers Bangalore",NA,"5"
"SFM Devine",2023-03-08,"Royal Challengers Bangalore","Gujarat Giants",2,66,45,8,2,146.666666666667,FALSE,"Women's Premier League","2022/23",1358934,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","SIR Dunkley","Gujarat Giants",NA,"11"
"BL Mooney",2024-03-09,"Gujarat Giants","Mumbai Indians",1,66,35,8,3,188.571428571429,FALSE,"Women's Premier League","2023/24",1417731,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Mumbai Indians","Gujarat Giants","bat","H Kaur","Mumbai Indians","7",NA
"H Kaur",2023-03-04,"Mumbai Indians","Gujarat Giants",1,65,30,14,0,216.666666666667,FALSE,"Women's Premier League","2022/23",1358929,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","Gujarat Giants","Gujarat Giants","field","H Kaur","Mumbai Indians",NA,"143"
"SIR Dunkley",2023-03-08,"Gujarat Giants","Royal Challengers Bangalore",1,65,28,11,3,232.142857142857,FALSE,"Women's Premier League","2022/23",1358934,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","SIR Dunkley","Gujarat Giants",NA,"11"
"Shafali Verma",2024-02-26,"Delhi Capitals","UP Warriorz",2,64,43,6,4,148.837209302326,TRUE,"Women's Premier League","2023/24",1417719,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","UP Warriorz","Delhi Capitals","Delhi Capitals","field","M Kapp","Delhi Capitals","9",NA
"RM Ghosh",2024-02-24,"Royal Challengers Bangalore","UP Warriorz",1,62,37,12,0,167.567567567568,FALSE,"Women's Premier League","2023/24",1417717,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Royal Challengers Bangalore","UP Warriorz","UP Warriorz","field","S Asha","Royal Challengers Bangalore",NA,"2"
