"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"A Capsey","Delhi Capitals","2023/24","Women's Premier League",5,"8.0",0,49,4,12.25,6.125,12,21,0,0,"2/23"
"HC Knight","Royal Challengers Bangalore","2022/23","Women's Premier League",4,"7.0",0,78,4,19.5,11.1428571428571,10.5,9,0,0,"2/17"
"SM Shakil","Gujarat Giants","2023/24","Women's Premier League",4,"12.0",0,84,4,21,7,18,37,0,0,"3/11"
"GM Harris","UP Warriorz","2023/24","Women's Premier League",7,"17.5",0,123,4,30.75,6.89719626168224,26.75,49,0,0,"2/8"
"RP Yadav","Delhi Capitals","2022/23","Women's Premier League",9,"24.0",0,173,4,43.25,7.20833333333333,36,57,0,0,"2/28"
"K Anjali Sarvani","UP Warriorz","2022/23","Women's Premier League",9,"23.0",0,182,4,45.5,7.91304347826087,34.5,56,0,0,"1/10"
"KE Bryce","Gujarat Giants","2023/24","Women's Premier League",8,"21.0",1,182,4,45.5,8.66666666666667,31.5,51,0,0,"1/19"
"EA Perry","Royal Challengers Bangalore","2022/23","Women's Premier League",8,"23.2",0,194,4,48.5,8.31428571428571,35,59,0,0,"3/16"
"ML Schutt","Royal Challengers Bangalore","2022/23","Women's Premier League",7,"26.0",1,220,4,55,8.46153846153846,39,59,0,0,"1/19"
"IECM Wong","Mumbai Indians","2023/24","Women's Premier League",2,"6.0",0,50,3,16.6666666666667,8.33333333333333,12,15,0,0,"2/30"
"M Mani","Delhi Capitals","2023/24","Women's Premier League",4,"8.0",0,63,3,21,7.875,16,19,0,0,"2/9"
"TR Sadhu","Delhi Capitals","2023/24","Women's Premier League",4,"9.0",1,70,3,23.3333333333333,7.77777777777778,18,27,0,0,"2/23"
"SZ Thakor","UP Warriorz","2023/24","Women's Premier League",4,"10.0",0,91,3,30.3333333333333,9.1,20,27,0,0,"2/30"
"S Ismail","UP Warriorz","2022/23","Women's Premier League",3,"10.3",0,92,3,30.6666666666667,8.76190476190476,21,36,0,0,"2/29"
"SFM Devine","Royal Challengers Bangalore","2022/23","Women's Premier League",5,"10.0",0,94,3,31.3333333333333,9.4,20,27,0,0,"2/23"
"PG Chopra","UP Warriorz","2022/23","Women's Premier League",4,"12.0",0,98,3,32.6666666666667,8.16666666666667,24,23,0,0,"2/29"
"AC Jayangani","UP Warriorz","2023/24","Women's Premier League",4,"15.0",0,103,3,34.3333333333333,6.86666666666667,30,43,0,0,"2/27"
"Preeti Bose","Royal Challengers Bangalore","2022/23","Women's Premier League",6,"17.0",0,162,3,54,9.52941176470588,34,28,0,0,"1/12"
"A Sutherland","Gujarat Giants","2022/23","Women's Premier League",4,"14.5",0,171,3,57,11.5280898876404,29.6666666666667,27,0,0,"2/56"
"KS Ahuja","Royal Challengers Bangalore","2022/23","Women's Premier League",1,"1.0",0,5,2,2.5,5,3,2,0,0,"2/5"
"P Vastrakar","Mumbai Indians","2022/23","Women's Premier League",3,"4.0",0,23,2,11.5,5.75,12,14,0,0,"1/6"
"S Sajana","Mumbai Indians","2023/24","Women's Premier League",2,"2.0",0,23,2,11.5,11.5,6,3,0,0,"1/11"
"N de Klerk","Royal Challengers Bangalore","2023/24","Women's Premier League",1,"4.0",0,35,2,17.5,8.75,12,10,0,0,"2/35"
"A Reddy","Delhi Capitals","2022/23","Women's Premier League",4,"9.0",0,68,2,34,7.55555555555556,27,18,0,0,"1/10"
