"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets"
1358948,6,"UP Warriorz","Delhi Capitals","female","2022/23",2023-03-21,"Women's Premier League","20","Brabourne Stadium, Mumbai","Mumbai","Delhi Capitals","field","A Capsey","Gayathri Venugopal","N Pandit","PG Pathak","VG Rathi","VR Nagre","Delhi Capitals",NA,5
1358949,6,"Mumbai Indians","UP Warriorz","female","2022/23",2023-03-24,"Women's Premier League",NA,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","UP Warriorz","field","NR Sciver-Brunt","N Pandit","Saurabh Dhote","Gayathri Venugopal","Ranjeev Sharma","RB Kalita","Mumbai Indians",72,NA
1358950,6,"Delhi Capitals","Mumbai Indians","female","2022/23",2023-03-26,"Women's Premier League",NA,"Brabourne Stadium, Mumbai","Mumbai","Delhi Capitals","bat","NR Sciver-Brunt","N Janani","VG Rathi","Gayathri Venugopal","PG Pathak","GS Lakshmi","Mumbai Indians",NA,7
1417716,6,"Delhi Capitals","Mumbai Indians","female","2023/24",2024-02-23,"Women's Premier League","1","M Chinnaswamy Stadium, Bengaluru","Bengaluru","Mumbai Indians","field","H Kaur","A Bengeri","VG Rathi","M Krishnadas","PG Pathak","GS Lakshmi","Mumbai Indians",NA,4
1417717,6,"Royal Challengers Bangalore","UP Warriorz","female","2023/24",2024-02-24,"Women's Premier League","2","M Chinnaswamy Stadium, Bengaluru","Bengaluru","UP Warriorz","field","S Asha","Abhijit Bhattacharya","N Janani","Mohamad Rafi","P Joshi","RB Kalita","Royal Challengers Bangalore",2,NA
1417718,6,"Gujarat Giants","Mumbai Indians","female","2023/24",2024-02-25,"Women's Premier League","3","M Chinnaswamy Stadium, Bengaluru","Bengaluru","Mumbai Indians","field","AC Kerr","Gayathri Venugopal","P Jayapal","A Bengeri","VG Rathi","AV Narvekar","Mumbai Indians",NA,5
1417719,6,"UP Warriorz","Delhi Capitals","female","2023/24",2024-02-26,"Women's Premier League","4","M Chinnaswamy Stadium, Bengaluru","Bengaluru","Delhi Capitals","field","M Kapp","M Krishnadas","PG Pathak","Abhijit Bhattacharya","N Janani","VR Nagre","Delhi Capitals",NA,9
1417720,6,"Gujarat Giants","Royal Challengers Bangalore","female","2023/24",2024-02-27,"Women's Premier League","5","M Chinnaswamy Stadium, Bengaluru","Bengaluru","Royal Challengers Bangalore","field","Renuka Singh","Mohamad Rafi","P Joshi","P Jayapal","Gayathri Venugopal","M Mangla","Royal Challengers Bangalore",NA,8
1417721,6,"Mumbai Indians","UP Warriorz","female","2023/24",2024-02-28,"Women's Premier League","6","M Chinnaswamy Stadium, Bengaluru","Bengaluru","UP Warriorz","field","KP Navgire","A Bengeri","VG Rathi","PG Pathak","M Krishnadas","GS Lakshmi","UP Warriorz",NA,7
1417722,6,"Delhi Capitals","Royal Challengers Bangalore","female","2023/24",2024-02-29,"Women's Premier League","7","M Chinnaswamy Stadium, Bengaluru","Bengaluru","Royal Challengers Bangalore","field","M Kapp","Abhijit Bhattacharya","N Janani","P Joshi","Mohamad Rafi","RB Kalita","Delhi Capitals",25,NA
1417723,6,"Gujarat Giants","UP Warriorz","female","2023/24",2024-03-01,"Women's Premier League","8","M Chinnaswamy Stadium, Bengaluru","Bengaluru","UP Warriorz","field","GM Harris","Gayathri Venugopal","P Jayapal","VG Rathi","A Bengeri","AV Narvekar","UP Warriorz",NA,6
1417724,6,"Royal Challengers Bangalore","Mumbai Indians","female","2023/24",2024-03-02,"Women's Premier League","9","M Chinnaswamy Stadium, Bengaluru","Bengaluru","Mumbai Indians","field","AC Kerr","M Krishnadas","PG Pathak","N Janani","Abhijit Bhattacharya","VR Nagre","Mumbai Indians",NA,7
1417725,6,"Delhi Capitals","Gujarat Giants","female","2023/24",2024-03-03,"Women's Premier League","10","M Chinnaswamy Stadium, Bengaluru","Bengaluru","Gujarat Giants","field","JL Jonassen","Mohamad Rafi","P Joshi","Gayathri Venugopal","P Jayapal","M Mangla","Delhi Capitals",25,NA
1417726,6,"Royal Challengers Bangalore","UP Warriorz","female","2023/24",2024-03-04,"Women's Premier League","11","M Chinnaswamy Stadium, Bengaluru","Bengaluru","UP Warriorz","field","S Mandhana","A Bengeri","VG Rathi","M Krishnadas","PG Pathak","GS Lakshmi","Royal Challengers Bangalore",23,NA
1417727,6,"Delhi Capitals","Mumbai Indians","female","2023/24",2024-03-05,"Women's Premier League","12","Arun Jaitley Stadium, Delhi","Delhi","Mumbai Indians","field","JI Rodrigues","Abhijit Bhattacharya","N Janani","Mohamad Rafi","P Joshi","RB Kalita","Delhi Capitals",29,NA
1417728,6,"Gujarat Giants","Royal Challengers Bangalore","female","2023/24",2024-03-06,"Women's Premier League","13","Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","bat","BL Mooney","Gayathri Venugopal","P Jayapal","A Bengeri","VG Rathi","AV Narvekar","Gujarat Giants",19,NA
1417729,6,"Mumbai Indians","UP Warriorz","female","2023/24",2024-03-07,"Women's Premier League","14","Arun Jaitley Stadium, Delhi","Delhi","Mumbai Indians","bat","NR Sciver-Brunt","M Krishnadas","PG Pathak","Abhijit Bhattacharya","N Janani","VR Nagre","Mumbai Indians",42,NA
1417730,6,"UP Warriorz","Delhi Capitals","female","2023/24",2024-03-08,"Women's Premier League","15","Arun Jaitley Stadium, Delhi","Delhi","UP Warriorz","bat","DB Sharma","Mohamad Rafi","P Joshi","P Jayapal","Gayathri Venugopal","M Mangla","UP Warriorz",1,NA
1417731,6,"Gujarat Giants","Mumbai Indians","female","2023/24",2024-03-09,"Women's Premier League","16","Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","bat","H Kaur","A Bengeri","VG Rathi","PG Pathak","M Krishnadas","GS Lakshmi","Mumbai Indians",NA,7
1417732,6,"Delhi Capitals","Royal Challengers Bangalore","female","2023/24",2024-03-10,"Women's Premier League","17","Arun Jaitley Stadium, Delhi","Delhi","Delhi Capitals","bat","JI Rodrigues","Abhijit Bhattacharya","N Janani","P Joshi","Mohamad Rafi","RB Kalita","Delhi Capitals",1,NA
1417733,6,"Gujarat Giants","UP Warriorz","female","2023/24",2024-03-11,"Women's Premier League","18","Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","bat","SM Shakil","Gayathri Venugopal","P Jayapal","VG Rathi","A Bengeri","AV Narvekar","Gujarat Giants",8,NA
1417734,6,"Mumbai Indians","Royal Challengers Bangalore","female","2023/24",2024-03-12,"Women's Premier League","19","Arun Jaitley Stadium, Delhi","Delhi","Royal Challengers Bangalore","field","EA Perry","M Krishnadas","PG Pathak","N Janani","Abhijit Bhattacharya","VR Nagre","Royal Challengers Bangalore",NA,7
1417735,6,"Gujarat Giants","Delhi Capitals","female","2023/24",2024-03-13,"Women's Premier League","20","Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","bat","Shafali Verma","Mohamad Rafi","P Joshi","Gayathri Venugopal","P Jayapal","M Mangla","Delhi Capitals",NA,7
1417736,6,"Royal Challengers Bangalore","Mumbai Indians","female","2023/24",2024-03-15,"Women's Premier League",NA,"Arun Jaitley Stadium, Delhi","Delhi","Royal Challengers Bangalore","bat","EA Perry","Gayathri Venugopal","P Joshi","Abhijit Bhattacharya","PG Pathak","VR Nagre","Royal Challengers Bangalore",5,NA
1417737,6,"Delhi Capitals","Royal Challengers Bangalore","female","2023/24",2024-03-17,"Women's Premier League",NA,"Arun Jaitley Stadium, Delhi","Delhi","Delhi Capitals","bat","S Molineux","Abhijit Bhattacharya","Gayathri Venugopal","PG Pathak","P Joshi","GS Lakshmi","Royal Challengers Bangalore",NA,8
