"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"EA Perry",2023-03-15,"UP Warriorz","Royal Challengers Bangalore",1,"4.0",0,16,3,4,15,"Women's Premier League","2022/23",1358941,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","UP Warriorz","Royal Challengers Bangalore","Royal Challengers Bangalore","field","KS Ahuja","Royal Challengers Bangalore","5",NA
"S Ismail",2024-02-25,"Gujarat Giants","Mumbai Indians",1,"4.0",0,18,3,4.5,15,"Women's Premier League","2023/24",1417718,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Gujarat Giants","Mumbai Indians","Mumbai Indians","field","AC Kerr","Mumbai Indians","5",NA
"HK Matthews",2023-03-09,"Delhi Capitals","Mumbai Indians",1,"4.0",0,19,3,4.75,9,"Women's Premier League","2022/23",1358935,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Delhi Capitals","Mumbai Indians","Delhi Capitals","bat","S Ishaque","Mumbai Indians","8",NA
"RP Yadav",2024-03-03,"Gujarat Giants","Delhi Capitals",2,"4.0",0,20,3,5,10,"Women's Premier League","2023/24",1417725,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Delhi Capitals","Gujarat Giants","Gujarat Giants","field","JL Jonassen","Delhi Capitals",NA,"25"
"S Ecclestone",2024-03-01,"Gujarat Giants","UP Warriorz",1,"4.0",0,20,3,5,11,"Women's Premier League","2023/24",1417723,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Gujarat Giants","UP Warriorz","UP Warriorz","field","GM Harris","UP Warriorz","6",NA
"S Molineux",2024-03-17,"Delhi Capitals","Royal Challengers Bangalore",1,"4.0",0,20,3,5,9,"Women's Premier League","2023/24",1417737,"Arun Jaitley Stadium, Delhi","Delhi","Delhi Capitals","Royal Challengers Bangalore","Delhi Capitals","bat","S Molineux","Royal Challengers Bangalore","8",NA
"JL Jonassen",2024-02-29,"Royal Challengers Bangalore","Delhi Capitals",2,"4.0",0,21,3,5.25,13,"Women's Premier League","2023/24",1417722,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Delhi Capitals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","M Kapp","Delhi Capitals",NA,"25"
"JL Jonassen",2024-03-05,"Mumbai Indians","Delhi Capitals",2,"4.0",0,21,3,5.25,12,"Women's Premier League","2023/24",1417727,"Arun Jaitley Stadium, Delhi","Delhi","Delhi Capitals","Mumbai Indians","Mumbai Indians","field","JI Rodrigues","Delhi Capitals",NA,"29"
"NR Sciver-Brunt",2023-03-14,"Gujarat Giants","Mumbai Indians",2,"4.0",0,21,3,5.25,13,"Women's Premier League","2022/23",1358940,"Brabourne Stadium, Mumbai","Mumbai","Mumbai Indians","Gujarat Giants","Gujarat Giants","field","H Kaur","Mumbai Indians",NA,"55"
"AC Kerr",2023-03-21,"Royal Challengers Bangalore","Mumbai Indians",1,"4.0",0,22,3,5.5,11,"Women's Premier League","2022/23",1358947,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","AC Kerr","Mumbai Indians","4",NA
"JL Jonassen",2024-03-03,"Gujarat Giants","Delhi Capitals",2,"4.0",0,22,3,5.5,10,"Women's Premier League","2023/24",1417725,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Delhi Capitals","Gujarat Giants","Gujarat Giants","field","JL Jonassen","Delhi Capitals",NA,"25"
"HK Matthews",2023-03-14,"Gujarat Giants","Mumbai Indians",2,"4.0",0,23,3,5.75,8,"Women's Premier League","2022/23",1358940,"Brabourne Stadium, Mumbai","Mumbai","Mumbai Indians","Gujarat Giants","Gujarat Giants","field","H Kaur","Mumbai Indians",NA,"55"
