"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"DJ Wainwright",7,"55.2",2,264,9,29.3333333333333,4.7710843373494,36.8888888888889,150,1,0,"4/34"
"Azhar Mahmood",7,"53.0",5,275,9,30.5555555555556,5.18867924528302,35.3333333333333,186,0,0,"2/28"
"NJ Rimmington",6,"53.0",2,295,9,32.7777777777778,5.56603773584906,35.3333333333333,157,0,0,"3/36"
"Jaspreet Singh",7,"52.5",3,296,9,32.8888888888889,5.60252365930599,35.2222222222222,180,0,0,"3/58"
"TL Greatwood",7,"50.0",2,302,9,33.5555555555556,6.04,33.3333333333333,152,0,0,"2/30"
"EA Brookes",9,"43.4",0,320,9,35.5555555555556,7.32824427480916,29.1111111111111,104,0,0,"3/15"
"PI Walter",9,"45.2",0,322,9,35.7777777777778,7.10294117647059,30.2222222222222,120,1,0,"4/37"
"BMAJ Mendis",8,"63.5",0,360,9,40,5.63968668407311,42.5555555555556,163,0,0,"2/38"
"MW Dixon",7,"53.4",0,367,9,40.7777777777778,6.83850931677019,35.7777777777778,157,0,0,"3/42"
"Steven Ryan Taylor",13,"95.0",3,381,9,42.3333333333333,4.01052631578947,63.3333333333333,341,0,0,"3/46"
"F Singh",10,"62.4",0,387,9,43,6.17553191489362,41.7777777777778,155,0,0,"2/7"
"LJ Hatchett",8,"70.0",3,391,9,43.4444444444444,5.58571428571429,46.6666666666667,220,0,0,"3/44"
"D Ibrahim",15,"80.0",0,442,9,49.1111111111111,5.525,53.3333333333333,238,0,0,"2/48"
"JDM Evison",12,"64.0",2,448,9,49.7777777777778,7,42.6666666666667,168,0,0,"3/62"
"Y Majid",10,"78.0",1,449,9,49.8888888888889,5.75641025641026,52,211,0,0,"3/74"
"U Arshad",13,"72.3",0,458,9,50.8888888888889,6.31724137931035,48.3333333333333,206,0,0,"3/50"
"CR Woakes",11,"94.2",7,508,9,56.4444444444444,5.38515901060071,62.8888888888889,328,0,0,"3/47"
"RR Patel",28,"160.1",8,709,9,78.7777777777778,4.42663891779396,106.777777777778,533,0,0,"2/17"
"Hammad Saeed",2,"15.1",1,39,8,4.875,2.57142857142857,11.375,69,0,1,"6/21"
"S Waqas Ahmed",3,"18.0",4,59,8,7.375,3.27777777777778,13.5,75,0,1,"6/24"
"Jitin Singh",6,"26.3",3,101,8,12.625,3.81132075471698,19.875,106,0,1,"5/22"
"B Karki",3,"27.3",2,104,8,13,3.78181818181818,20.625,107,1,0,"4/39"
