"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","match_referee","outcome","player_of_match","winner","winner_runs","winner_wickets","method","match_number","tv_umpire"
1127796,6,"Lancashire","Worcestershire","male","2018",2018-05-27,"Royal London One-Day Cup","County Ground, New Road, Worcester","Worcester","Worcestershire","field","ID Blackwell","MA Gough",NA,NA,NA,NA,"Worcestershire",NA,3,"D/L",NA,NA
1127797,6,"Durham","Northamptonshire","male","2018",2018-05-27,"Royal London One-Day Cup","County Ground, Northampton","Northampton","Northamptonshire","field","DJ Millns","JH Evans",NA,NA,NA,NA,"Durham",5,NA,NA,NA,NA
1127799,6,"Somerset","Middlesex","male","2018",2018-05-27,"Royal London One-Day Cup","The Cooper Associates County Ground, Taunton","Taunton","Middlesex","field","M Burns","PR Pollard",NA,NA,NA,NA,"Somerset",53,NA,NA,NA,NA
1127800,6,"Leicestershire","Yorkshire","male","2018",2018-05-27,"Royal London One-Day Cup","Grace Road, Leicester","Leicester","Leicestershire","bat","James Middlebrook","JW Lloyds",NA,NA,NA,NA,"Yorkshire",NA,9,NA,NA,NA
1127801,6,"Warwickshire","Nottinghamshire","male","2018",2018-05-27,"Royal London One-Day Cup","Trent Bridge, Nottingham","Nottingham","Warwickshire","bat","BV Taylor","RT Robinson",NA,NA,NA,NA,"Warwickshire",108,NA,NA,NA,NA
1136919,6,"Northern Knights","North-West Warriors","male","2018",2018-05-28,"Cricket Ireland Inter-Provincial Limited Over Cup","Civil Service Cricket Club, Stormont, Belfast","Belfast","Northern Knights","bat","G McCrea","Philip Thompson","D Milne",NA,NA,NA,"North-West Warriors",NA,8,NA,"1",NA
1127802,6,"Somerset","Kent","male","2018",2018-05-29,"Royal London One-Day Cup","St Lawrence Ground, Canterbury","Canterbury","Kent","field","DJ Millns","NGB Cook",NA,NA,NA,NA,"Kent",28,NA,"D/L",NA,"MJ Saggers"
1127804,6,"Leicestershire","Worcestershire","male","2018",2018-05-29,"Royal London One-Day Cup","County Ground, New Road, Worcester","Worcester","Leicestershire","bat","BV Taylor","M Burns",NA,NA,NA,NA,"Worcestershire",NA,6,NA,NA,NA
1127805,6,"Glamorgan","Essex","male","2018",2018-05-30,"Royal London One-Day Cup","County Ground, Chelmsford","Chelmsford","Essex","field","AG Wharf","PK Baldwin",NA,NA,NA,NA,"Essex",NA,9,NA,NA,NA
1127807,6,"Middlesex","Hampshire","male","2018",2018-05-30,"Royal London One-Day Cup","Merchant Taylors' School Ground, Northwood","Northwood","Middlesex","bat","ID Blackwell","RK Illingworth",NA,NA,NA,NA,"Hampshire",NA,5,NA,NA,NA
1127808,6,"Derbyshire","Yorkshire","male","2018",2018-05-30,"Royal London One-Day Cup","County Ground, Derby","Derby","Yorkshire","field","PR Pollard","RT Robinson",NA,NA,NA,NA,"Yorkshire",NA,2,NA,NA,NA
1127809,6,"Leicestershire","Lancashire","male","2018",2018-05-31,"Royal London One-Day Cup","Oakham School Ground","Oakham","Lancashire","field","BV Taylor","JH Evans",NA,NA,NA,NA,"Lancashire",NA,9,NA,NA,NA
1127810,6,"Kent","Surrey","male","2018",2018-06-01,"Royal London One-Day Cup","Kent County Cricket Ground, Beckenham","Beckenham","Surrey","field","AG Wharf","RJ Bailey",NA,NA,NA,NA,"Kent",220,NA,NA,NA,NA
1127811,6,"Durham","Warwickshire","male","2018",2018-06-01,"Royal London One-Day Cup","Riverside Ground, Chester-le-Street","Chester-le-Street","Warwickshire","field","NGB Cook","RT Robinson",NA,NA,NA,NA,"Warwickshire",NA,5,NA,NA,NA
1127812,6,"Derbyshire","Northamptonshire","male","2018",2018-06-01,"Royal London One-Day Cup","County Ground, Northampton","Northampton","Derbyshire","bat","DJ Millns","SJ O'Shaughnessy",NA,NA,NA,NA,"Derbyshire",51,NA,NA,NA,NA
1127813,6,"Sussex","Glamorgan","male","2018",2018-06-01,"Royal London One-Day Cup","Sophia Gardens, Cardiff","Cardiff","Glamorgan","field","M Burns","NA Mallender",NA,NA,NA,NA,"Glamorgan",NA,6,NA,NA,NA
1127814,6,"Somerset","Gloucestershire","male","2018",2018-06-01,"Royal London One-Day Cup","The Cooper Associates County Ground, Taunton","Taunton","Gloucestershire","field","BJ Debenham","RK Illingworth",NA,NA,"no result",NA,NA,NA,NA,NA,NA,NA
1127815,6,"Nottinghamshire","Worcestershire","male","2018",2018-06-01,"Royal London One-Day Cup","Trent Bridge, Nottingham","Nottingham","Worcestershire","field","NJ Llong","PR Pollard",NA,NA,NA,NA,"Nottinghamshire",38,NA,NA,NA,NA
1127816,6,"Gloucestershire","Kent","male","2018",2018-06-03,"Royal London One-Day Cup","Kent County Cricket Ground, Beckenham","Beckenham","Gloucestershire","bat","JW Lloyds","NL Bainton",NA,NA,NA,NA,"Kent",NA,7,NA,NA,NA
1127817,6,"Sussex","Essex","male","2018",2018-06-03,"Royal London One-Day Cup","The Saffrons, Eastbourne","Eastbourne","Essex","field","ID Blackwell","NJ Llong",NA,NA,NA,NA,"Essex",NA,4,NA,NA,NA
1127818,6,"Leicestershire","Warwickshire","male","2018",2018-06-03,"Royal London One-Day Cup","Edgbaston, Birmingham","Birmingham","Leicestershire","bat","AG Wharf","DJ Millns",NA,NA,NA,NA,"Warwickshire",NA,9,NA,NA,NA
1127819,6,"Nottinghamshire","Durham","male","2018",2018-06-03,"Royal London One-Day Cup","Riverside Ground, Chester-le-Street","Chester-le-Street","Durham","field","GD Lloyd","PK Baldwin",NA,NA,NA,NA,"Nottinghamshire",31,NA,NA,NA,NA
1127820,6,"Worcestershire","Northamptonshire","male","2018",2018-06-03,"Royal London One-Day Cup","County Ground, New Road, Worcester","Worcester","Worcestershire","bat","JH Evans","RJ Bailey",NA,NA,NA,NA,"Worcestershire",34,NA,NA,NA,NA
1127821,6,"Glamorgan","Hampshire","male","2018",2018-06-03,"Royal London One-Day Cup","St Helen's, Swansea","Swansea","Hampshire","field","RK Illingworth","SJ O'Shaughnessy",NA,NA,NA,NA,"Hampshire",NA,4,NA,NA,NA
1127822,6,"Middlesex","Surrey","male","2018",2018-06-03,"Royal London One-Day Cup","Lord's, London","London","Middlesex","bat","BV Taylor","MJ Saggers",NA,NA,NA,NA,"Surrey",NA,5,NA,NA,NA
1127823,6,"Lancashire","Derbyshire","male","2018",2018-06-03,"Royal London One-Day Cup","County Ground, Derby","Derby","Derbyshire","field","NA Mallender","RJ Warren",NA,NA,NA,NA,"Lancashire",25,NA,NA,NA,NA
1136920,6,"Leinster Lightning","Northern Knights","male","2018",2018-06-04,"Cricket Ireland Inter-Provincial Limited Over Cup","The Vineyard, Dublin","Dublin","Northern Knights","field","H Bingham","S Wijesundera","W Clarke",NA,NA,NA,"Leinster Lightning",53,NA,NA,"2",NA
1127824,6,"Yorkshire","Lancashire","male","2018",2018-06-05,"Royal London One-Day Cup","Old Trafford, Manchester","Manchester","Yorkshire","bat","RJ Bailey","RJ Warren",NA,NA,NA,NA,"Yorkshire",16,NA,NA,NA,NA
1127825,6,"Hampshire","Somerset","male","2018",2018-06-06,"Royal London One-Day Cup","The Rose Bowl, Southampton","Southampton","Hampshire","bat","JH Evans","NL Bainton",NA,NA,NA,NA,"Somerset",NA,3,NA,NA,"M Burns"
1127826,6,"Essex","Kent","male","2018",2018-06-06,"Royal London One-Day Cup","County Ground, Chelmsford","Chelmsford","Kent","field","DJ Millns","MJ Saggers",NA,NA,NA,NA,"Essex",153,NA,NA,NA,NA
1127827,6,"Glamorgan","Surrey","male","2018",2018-06-06,"Royal London One-Day Cup","Kennington Oval, London","London","Surrey","field","NJ Llong","RT Robinson",NA,NA,NA,NA,"Surrey",NA,5,NA,NA,NA
1127828,6,"Middlesex","Gloucestershire","male","2018",2018-06-06,"Royal London One-Day Cup","County Ground, Bristol","Bristol","Gloucestershire","field","JW Lloyds","RK Illingworth",NA,NA,NA,NA,"Middlesex",33,NA,NA,NA,NA
1127829,6,"Warwickshire","Worcestershire","male","2018",2018-06-07,"Royal London One-Day Cup","Edgbaston, Birmingham","Birmingham","Worcestershire","field","MA Gough","RJ Bailey",NA,NA,NA,NA,"Worcestershire",NA,1,NA,NA,"NA Mallender"
1127830,6,"Northamptonshire","Yorkshire","male","2018",2018-06-07,"Royal London One-Day Cup","Headingley, Leeds","Leeds","Northamptonshire","bat","PJ Hartley","SJ O'Shaughnessy",NA,NA,NA,NA,"Yorkshire",NA,4,NA,NA,NA
1127831,6,"Durham","Leicestershire","male","2018",2018-06-07,"Royal London One-Day Cup","Grace Road, Leicester","Leicester","Durham","bat","MJ Saggers","NGB Cook",NA,NA,NA,NA,"Leicestershire",NA,5,NA,NA,NA
1127832,6,"Derbyshire","Nottinghamshire","male","2018",2018-06-07,"Royal London One-Day Cup","Trent Bridge, Nottingham","Nottingham","Derbyshire","bat","AG Wharf","RJ Warren",NA,NA,NA,NA,"Nottinghamshire",NA,8,NA,NA,NA
1127833,6,"Nottinghamshire","Kent","male","2018",2018-06-14,"Royal London One-Day Cup","Trent Bridge, Nottingham","Nottingham","Kent","field","MA Gough","M Burns","Mark Newell",NA,NA,NA,"Kent",NA,9,NA,NA,NA
1127834,6,"Yorkshire","Essex","male","2018",2018-06-14,"Royal London One-Day Cup","County Ground, Chelmsford","Chelmsford","Yorkshire","bat","DJ Millns","MJ Saggers","James Middlebrook",NA,NA,"SA Patterson","Yorkshire",25,NA,NA,NA,"RT Robinson"
1127835,6,"Worcestershire","Kent","male","2018",2018-06-17,"Royal London One-Day Cup","County Ground, New Road, Worcester","Worcester","Worcestershire","bat","NA Mallender","NGB Cook","Rob White",NA,NA,"HG Kuhn","Kent",NA,2,NA,NA,"SJ O'Shaughnessy"
1127836,6,"Hampshire","Yorkshire","male","2018",2018-06-18,"Royal London One-Day Cup","The Rose Bowl, Southampton","Southampton","Yorkshire","field","AG Wharf","M Burns","Tom Lungley",NA,NA,"JM Vince","Hampshire",107,NA,NA,NA,"PK Baldwin"
1136921,6,"North-West Warriors","Leinster Lightning","male","2018",2018-06-19,"Cricket Ireland Inter-Provincial Limited Over Cup","Woodvale Road, Eglinton","Eglinton","Leinster Lightning","field","G McCrea","S Wood","GN Brolly",NA,"no result",NA,NA,NA,NA,NA,"3",NA
1127837,6,"Hampshire","Kent","male","2018",2018-06-30,"Royal London One-Day Cup","Lord's, London","London","Kent","field","DJ Millns","NGB Cook","Chris Watts",NA,NA,"RR Rossouw","Hampshire",61,NA,NA,NA,"MJ Saggers"
1136922,6,"Northern Knights","Leinster Lightning","male","2018",2018-07-01,"Cricket Ireland Inter-Provincial Limited Over Cup","Civil Service Cricket Club, Stormont, Belfast","Belfast","Northern Knights","bat","Michael Foster","S Wijesundera","MT Ross",NA,NA,NA,"Leinster Lightning",NA,3,NA,"4",NA
