"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"A Sibanda",1,"1.0",0,6,0,Inf,6,Inf,6,0,0,"0/6"
"K Schultz",1,"4.0",0,6,0,Inf,1.5,Inf,18,0,0,"0/6"
"M Veringmeier",1,"1.0",0,7,0,Inf,7,Inf,2,0,0,"0/7"
"Shaila Sharmin",1,"1.0",0,7,0,Inf,7,Inf,4,0,0,"0/7"
"A Munisar",1,"1.0",0,9,0,Inf,9,Inf,5,0,0,"0/9"
"P Maya",1,"2.0",0,9,0,Inf,4.5,Inf,8,0,0,"0/9"
"H Philip",1,"2.0",0,11,0,Inf,5.5,Inf,3,0,0,"0/11"
"J Maguire",1,"5.0",1,11,0,Inf,2.2,Inf,24,0,0,"0/11"
"U Iftikhar",1,"2.0",0,11,0,Inf,5.5,Inf,8,0,0,"0/11"
"C Murray",1,"3.0",0,12,0,Inf,4,Inf,10,0,0,"0/12"
"L Tipton",1,"2.0",0,12,0,Inf,6,Inf,7,0,0,"0/12"
"WGAKK Kulasuriya",1,"1.0",0,12,0,Inf,12,Inf,3,0,0,"0/12"
"ASS Fletcher",1,"4.0",0,14,0,Inf,3.5,Inf,16,0,0,"0/14"
"EE Corder",1,"3.0",0,14,0,Inf,4.66666666666667,Inf,12,0,0,"0/14"
"K Fraser",1,"4.0",0,14,0,Inf,3.5,Inf,15,0,0,"0/14"
"L Lee",1,"4.0",0,14,0,Inf,3.5,Inf,17,0,0,"0/14"
"S Soogrim",1,"2.0",0,14,0,Inf,7,Inf,2,0,0,"0/14"
"SR Thadani",1,"2.0",0,14,0,Inf,7,Inf,6,0,0,"0/14"
"D Claxton",1,"2.0",0,15,0,Inf,7.5,Inf,11,0,0,"0/15"
"E Windsor",1,"4.3",0,15,0,Inf,3.33333333333333,Inf,17,0,0,"0/15"
"J Roberts",1,"2.1",0,15,0,Inf,6.92307692307692,Inf,7,0,0,"0/15"
"E Bisht",2,"12.0",8,16,0,Inf,1.33333333333333,Inf,64,0,0,"0/3"
"Z James",1,"2.2",0,16,0,Inf,6.85714285714286,Inf,5,0,0,"0/16"
"LC Boylan",1,"2.0",0,18,0,Inf,9,Inf,6,0,0,"0/18"
"S Lateh",2,"2.0",0,18,0,Inf,9,Inf,5,0,0,"0/8"
"CN Whyte",1,"5.0",0,19,0,Inf,3.8,Inf,21,0,0,"0/19"
"I Thomson",1,"1.0",0,19,0,Inf,19,Inf,1,0,0,"0/19"
"J Richards",1,"3.0",0,19,0,Inf,6.33333333333333,Inf,10,0,0,"0/19"
"Ritu Moni",2,"5.0",1,19,0,Inf,3.8,Inf,22,0,0,"0/0"
"DL Collins",1,"3.0",0,20,0,Inf,6.66666666666667,Inf,3,0,0,"0/20"
"Emma Jones",1,"4.0",0,20,0,Inf,5,Inf,13,0,0,"0/20"
"GEB Boyce",2,"2.0",0,20,0,Inf,10,Inf,6,0,0,"0/10"
"S Lord",1,"2.0",0,20,0,Inf,10,Inf,3,0,0,"0/20"
"C Noel",2,"4.0",0,22,0,Inf,5.5,Inf,17,0,0,"0/10"
"NND de Silva",1,"4.0",0,22,0,Inf,5.5,Inf,10,0,0,"0/22"
