"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SA Piolet",2014-08-05,"Durham","Sussex",1,"10.0",0,43,1,4.3,32,"Royal London One-Day Cup","2014",693325,"County Ground, Hove","Brighton","Durham","Sussex","Durham","bat","Yasir Arafat","Sussex","3",NA
"SJ Magoffin",2016-06-08,"Glamorgan","Sussex",1,"8.0",0,43,1,5.375,30,"Royal London One-Day Cup","2016",947389,"Sophia Gardens, Cardiff","Cardiff","Glamorgan","Sussex","Glamorgan","bat",NA,"Glamorgan",NA,"84"
"SJ Mullaney",2015-08-04,"Lancashire","Nottinghamshire",1,"10.0",0,43,1,4.3,36,"Royal London One-Day Cup","2015",804805,"Aigburth, Liverpool","Liverpool","Lancashire","Nottinghamshire","Nottinghamshire","field",NA,"Nottinghamshire","4",NA
"SJ Thakor",2017-05-02,"Nottinghamshire","Derbyshire",2,"9.0",0,43,1,4.77777777777778,29,"Royal London One-Day Cup","2017",1068451,"County Ground, Derby","Derby","Derbyshire","Nottinghamshire","Derbyshire","bat",NA,"Nottinghamshire","4",NA
"SM Curran",2016-06-08,"Somerset","Surrey",2,"5.0",0,43,1,8.6,8,"Royal London One-Day Cup","2016",947387,"Kennington Oval, London","London","Surrey","Somerset","Surrey","bat",NA,"Somerset","8",NA
"SR Patel",2015-07-30,"Sussex","Nottinghamshire",1,"10.0",0,43,1,4.3,31,"Royal London One-Day Cup","2015",804757,"County Ground, Hove","Brighton","Sussex","Nottinghamshire","Sussex","bat",NA,"Nottinghamshire","4",NA
"SR Patel",2018-06-03,"Durham","Nottinghamshire",2,"9.0",0,43,1,4.77777777777778,27,"Royal London One-Day Cup","2018",1127819,"Riverside Ground, Chester-le-Street","Chester-le-Street","Nottinghamshire","Durham","Durham","field",NA,"Nottinghamshire",NA,"31"
"T van der Gugten",2018-05-25,"Kent","Glamorgan",2,"8.0",0,43,1,5.375,23,"Royal London One-Day Cup","2018",1127787,"St Lawrence Ground, Canterbury","Canterbury","Glamorgan","Kent","Kent","field",NA,"Kent","4",NA
"T Westley",2014-08-13,"Hampshire","Essex",2,"7.4",0,43,1,5.60869565217391,19,"Royal London One-Day Cup","2014",693389,"County Ground, Chelmsford","Chelmsford","Essex","Hampshire","Hampshire","field","AJA Wheater","Essex",NA,"5"
"T Westley",2022-08-14,"Glamorgan","Essex",2,"7.5",0,43,1,5.48936170212766,20,"Royal London One-Day Cup","2022",1297993,"County Ground, Chelmsford","Chelmsford","Essex","Glamorgan","Essex","bat",NA,"Essex",NA,"103"
"TC Smith",2016-06-08,"Northamptonshire","Lancashire",1,"7.0",0,43,1,6.14285714285714,18,"Royal London One-Day Cup","2016",947383,"County Ground, Northampton","Northampton","Northamptonshire","Lancashire","Lancashire","field",NA,"Northamptonshire",NA,"76"
"TD Groenewald",2014-08-12,"Glamorgan","Somerset",1,"9.0",1,43,1,4.77777777777778,32,"Royal London One-Day Cup","2014",693377,"County Ground, Taunton","Taunton","Glamorgan","Somerset","Somerset","field",NA,"Glamorgan",NA,"95"
"TJ Murtagh",2014-07-31,"Surrey","Middlesex",1,"7.0",0,43,1,6.14285714285714,23,"Royal London One-Day Cup","2014",693313,"Lord's, London","London","Surrey","Middlesex","Surrey","bat",NA,"Middlesex","6",NA
"TJ Murtagh",2019-04-23,"Hampshire","Middlesex",1,"10.0",1,43,1,4.3,30,"Royal London One-Day Cup","2019",1167071,"The Rose Bowl, Southampton","Southampton","Hampshire","Middlesex","Middlesex","field",NA,"Hampshire",NA,"119"
"WB Rankin",2014-07-31,"Durham","Warwickshire",2,"10.1",0,43,1,4.22950819672131,38,"Royal London One-Day Cup","2014",693315,"Roseworth Terrace, Gosforth","Gosforth","Warwickshire","Durham","Durham","field",NA,"Durham","5",NA
"WD Parnell",2021-08-01,"Derbyshire","Northamptonshire",1,"6.0",0,43,1,7.16666666666667,15,"Royal London One-Day Cup","2021",1250191,"County Ground, Northampton","Northampton","Derbyshire","Northamptonshire","Northamptonshire","field",NA,"Northamptonshire","8",NA
"WJ Weighell",2021-08-19,"Durham","Glamorgan",2,"8.0",0,43,1,5.375,23,"Royal London One-Day Cup","2021",1250235,"Trent Bridge, Nottingham","Nottingham","Glamorgan","Durham","Durham","field",NA,"Glamorgan",NA,"58"
"YP Dayal",2015-09-10,"Guernsey","Suriname",1,"8.0",0,43,1,5.375,24,"ICC World Cricket League Division Six","2015",913435,"Star Stile","Halstead","Guernsey","Suriname","Suriname","field","DR Hooper","Guernsey",NA,"44"
"A Cawley",2021-05-06,"North-West Warriors","Munster Reds",2,"8.0",0,44,1,5.5,29,"Cricket Ireland Inter-Provincial Limited Over Cup","2021",1259525,"Woodvale Road, Eglinton","Eglinton","Munster Reds","North-West Warriors","North-West Warriors","field","AR McBrine","North-West Warriors","5",NA
"A Karvelas",2022-08-23,"Middlesex","Sussex",2,"8.0",0,44,1,5.5,24,"Royal London One-Day Cup","2022",1298025,"County Ground, Hove","Brighton","Sussex","Middlesex","Middlesex","field",NA,"Sussex",NA,"157"
"AG Salter",2018-05-30,"Essex","Glamorgan",2,"7.0",0,44,1,6.28571428571429,21,"Royal London One-Day Cup","2018",1127805,"County Ground, Chelmsford","Chelmsford","Glamorgan","Essex","Essex","field",NA,"Essex","9",NA
"AM Kimote",2010-08-20,"Italy","Tanzania",1,"5.0",0,44,1,8.8,8,"ICC World Cricket League Division Four","2010",467092,"Centro Sportivo Dozza","Navile","Italy","Tanzania","Italy","bat","PA Petricola","Italy",NA,"167"
"B Mwita",2010-08-20,"Italy","Tanzania",1,"10.0",1,44,1,4.4,36,"ICC World Cricket League Division Four","2010",467092,"Centro Sportivo Dozza","Navile","Italy","Tanzania","Italy","bat","PA Petricola","Italy",NA,"167"
"BM Cliff",2022-08-02,"Northamptonshire","Yorkshire",2,"5.0",0,44,1,8.8,13,"Royal London One-Day Cup","2022",1297963,"York Cricket Club","York","Yorkshire","Northamptonshire","Northamptonshire","field",NA,"Yorkshire",NA,"33"
"BW Aitchison",2022-08-14,"Worcestershire","Derbyshire",2,"10.0",0,44,1,4.4,35,"Royal London One-Day Cup","2022",1298000,"County Ground, New Road, Worcester","Worcester","Derbyshire","Worcestershire","Worcestershire","field",NA,"Derbyshire",NA,"47"
"C McKerr",2019-05-02,"Kent","Surrey",2,"8.0",0,44,1,5.5,27,"Royal London One-Day Cup","2019",1167103,"Kennington Oval, London","London","Surrey","Kent","Surrey","bat",NA,"Kent","8",NA
