"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Karvelas","2023","One-Day Cup","Sussex",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"A Kaul","2022/23","CWC Challenge League","Singapore",3,8,24,33.3333333333333,2.66666666666667,0,0,0,0,0,4
"A Khan","2014","ICC World Cricket League Division Four","Denmark",4,55,56,98.2142857142857,13.75,4,2,0,0,0,34
"A Khan","2016/17","ICC World Cricket League Division Four","Denmark",4,55,93,59.1397849462366,27.5,3,2,2,0,0,32
"A Kind-David","2012","ICC World Cricket League Division Eight","Ghana",2,9,15,60,4.5,0,1,0,0,0,9
"A Krishna","2017","ICC World Cricket League Division Three","Singapore",3,6,26,23.0769230769231,2,0,0,0,0,0,6
"A Krishna","2018/19","ICC World Cricket League Division Three","Singapore",5,23,25,92,5.75,1,1,1,0,0,8
"A Krishna","2019","CWC Challenge League","Singapore",2,5,8,62.5,2.5,0,0,0,0,0,3
"A Krishna","2022","CWC Challenge League","Singapore",1,2,4,50,2,0,0,0,0,0,2
"A Lambert","2012","ICC World Cricket League Division Four","Denmark",5,137,203,67.487684729064,27.4,15,1,0,0,1,51
"A Liaqat Ali","2014","Asian Cricket Council Elite League","Kuwait",1,0,5,0,0,0,0,0,0,0,0
"A Lyth","2014","Royal London One-Day Cup","Yorkshire",9,317,370,85.6756756756757,39.625,40,2,1,0,2,84
"A Lyth","2015","Royal London One-Day Cup","Yorkshire",2,132,128,103.125,66,15,1,0,0,1,96
"A Lyth","2016","Royal London One-Day Cup","Yorkshire",9,439,382,114.921465968586,48.7777777777778,41,18,0,2,1,136
"A Lyth","2017","Royal London One-Day Cup","Yorkshire",9,304,317,95.8990536277603,33.7777777777778,40,4,0,0,3,75
"A Lyth","2018","Royal London One-Day Cup","Yorkshire",9,433,437,99.0846681922197,54.125,54,5,1,2,0,144
"A Lyth","2019","Royal London One-Day Cup","Yorkshire",7,201,184,109.239130434783,28.7142857142857,25,4,0,0,2,78
"A Mansale","2012","ICC World Cricket League Division Eight","Vanuatu",2,56,89,62.9213483146067,28,5,1,0,0,0,34
"A Mansale","2015","ICC World Cricket League Division Six","Vanuatu",3,79,152,51.9736842105263,39.5,7,1,1,0,0,34
"A Mansale","2016","ICC World Cricket League Division Five","Vanuatu",1,60,124,48.3870967741936,60,2,0,0,0,1,60
"A Mansale","2016/17","ICC World Cricket League East Asia-Pacific Region Qualifiers","Vanuatu",3,93,153,60.7843137254902,46.5,6,0,1,0,1,66
"A Mansale","2017","ICC World Cricket League Division Five","Vanuatu",5,87,185,47.027027027027,21.75,6,1,1,0,0,37
"A Mansale","2018","ICC World Cricket League Division Four","Vanuatu",5,113,217,52.073732718894,22.6,4,4,0,0,1,69
"A Mansale","2019","CWC Challenge League","Vanuatu",5,46,114,40.3508771929825,9.2,6,0,0,0,0,19
"A Mansale","2022","CWC Challenge League","Vanuatu",3,85,112,75.8928571428571,42.5,6,4,1,0,1,68
"A McDaid","2019","Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,6,9,66.6666666666667,6,0,1,0,0,0,6
"A Mehdi","2010","ICC World Cricket League Americas Region Division One","United States of America",1,1,2,50,1,0,0,0,0,0,1
"A Mene-Ejegi","2017","ICC World Cricket League Africa Region Qualifiers","Nigeria",3,25,31,80.6451612903226,25,3,0,2,0,0,19
"A Morris","2010","ICC World Cricket League Americas Region Division One","Cayman Islands",1,0,4,0,0,0,0,0,0,0,0
"A Morris","2010","ICC World Cricket League Division Four","Cayman Islands",1,0,3,0,0,0,0,0,0,0,0
"A Morris","2013/14","ICC World Cricket League Division Five","Cayman Islands",3,15,31,48.3870967741936,5,2,0,0,0,0,13
"A Morris","2015","ICC World Cricket League Division Six","Cayman Islands",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"A Morris","2017","ICC World Cricket League Division Five","Cayman Islands",2,24,18,133.333333333333,24,2,1,1,0,0,24
"A Mpeka","2016","ICC World Cricket League Division Five","Tanzania",1,0,5,0,0,0,0,0,0,0,0
"A Mutreja","2012","ICC World Cricket League Division Four","Singapore",1,19,22,86.3636363636364,19,3,0,0,0,0,19
"A Mutreja","2014","Asian Cricket Council Elite League","Singapore",3,124,90,137.777777777778,41.3333333333333,18,2,0,0,1,92
"A Mutreja","2014","ICC World Cricket League Division Four","Singapore",1,14,26,53.8461538461538,14,2,0,0,0,0,14
"A Mutreja","2014/15","ICC World Cricket League Division Three","Singapore",6,277,429,64.5687645687646,46.1666666666667,30,0,0,1,1,108
"A Mutreja","2015/16","Stan Nagaiah Trophy","Singapore",1,57,86,66.2790697674419,57,5,1,0,0,1,57
"A Mutreja","2017","ICC World Cricket League Division Three","Singapore",4,143,206,69.4174757281553,47.6666666666667,12,1,1,1,0,101
"A Mutreja","2018/19","ICC World Cricket League Division Three","Singapore",5,119,179,66.4804469273743,23.8,11,3,0,0,1,57
"A Mutreja","2019","CWC Challenge League","Singapore",4,106,190,55.7894736842105,26.5,11,0,0,0,1,72
"A Mutreja","2022","CWC Challenge League","Singapore",5,163,175,93.1428571428571,32.6,15,3,0,0,2,62
"A Nao","2017/18","ICC Cricket World Cup Qualifier","Papua New Guinea",2,6,27,22.2222222222222,6,0,0,1,0,0,6
"A Nsensha","2017","ICC World Cricket League Africa Region Qualifiers","Zambia",5,54,159,33.9622641509434,10.8,3,0,0,0,0,34
"A Otwani","2017","ICC World Cricket League Division Three","Uganda",2,71,96,73.9583333333333,35.5,2,1,0,0,0,47
"A Otwani","2018/19","ICC World Cricket League Division Three","Uganda",5,151,188,80.3191489361702,30.2,23,1,0,0,2,88
"A Otwani","2021","Uganda tour of Namibia","Uganda",2,5,26,19.2307692307692,2.5,0,0,0,0,0,3
"A Otwani","2022","CWC Challenge League","Uganda",5,91,142,64.0845070422535,18.2,11,1,0,0,1,56
"A Patmore","2012","ICC World Cricket League Division Eight","Japan",2,192,264,72.7272727272727,96,21,2,0,1,1,101
"A Peters","2010","ICC World Cricket League Americas Region Division One","Bahamas",1,7,18,38.8888888888889,7,0,0,0,0,0,7
"A Poulose","2016/17","ICC World Cricket League Division Four","Oman",5,77,87,88.5057471264368,15.4,10,3,0,0,0,42
"A Poulose","2017","ICC World Cricket League Division Three","Oman",1,8,19,42.1052631578947,8,1,0,0,0,0,8
"A Ramesh","2013","ICC World Cricket League Division Three","Oman",3,22,75,29.3333333333333,7.33333333333333,3,0,0,0,0,11
"A Randhawa","2017","ICC World Cricket League Europe Region Division One","Austria",1,36,26,138.461538461538,36,3,2,0,0,0,36
"A Rangaswamy","2015","ICC World Cricket League Division Six","Botswana",2,14,20,70,7,1,0,0,0,0,11
"A Rangaswamy","2017","ICC World Cricket League Africa Region Qualifiers","Botswana",3,20,66,30.3030303030303,6.66666666666667,1,0,0,0,0,16
"A Raza","2017","ICC World Cricket League Europe Region Division One","Belgium",1,6,9,66.6666666666667,6,1,0,0,0,0,6
"A Rehman","2012","ICC World Cricket League Division Eight","Belgium",1,20,29,68.9655172413793,20,2,1,0,0,0,20
"A Rehman","2017","ICC World Cricket League Europe Region Division One","Belgium",1,6,7,85.7142857142857,6,0,1,0,0,0,6
"A Rosslee","2023","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",2,3,22,13.6363636363636,1.5,0,0,0,0,0,2
"A Sakande","2018","Royal London One-Day Cup","Sussex",1,1,2,50,Inf,0,0,1,0,0,1
"A Sakande","2019","Royal London One-Day Cup","Sussex",3,3,7,42.8571428571429,1,0,0,0,0,0,2
"A Sarma","2017","ICC World Cricket League Division Five","Germany",4,93,179,51.9553072625698,23.25,7,2,0,0,0,42
"A Shahzad","2014","Royal London One-Day Cup","Nottinghamshire",6,81,77,105.194805194805,20.25,6,2,2,0,0,33
"A Shahzad","2016","Royal London One-Day Cup","Sussex",7,62,94,65.9574468085106,10.3333333333333,2,1,1,0,0,39
"A Shahzad","2017","Royal London One-Day Cup","Sussex",1,3,3,100,Inf,0,0,1,0,0,3
"A Sheikh","2015","Royal London One-Day Cup","Leicestershire",5,5,17,29.4117647058824,1.25,0,0,1,0,0,3
"A Shukla","2022","CWC Challenge League","Hong Kong",1,5,3,166.666666666667,5,1,0,0,0,0,5
"A Sidhu","2021","Cricket Ireland Inter-Provincial Limited Over Cup","Munster Reds",2,3,15,20,1.5,0,0,0,0,0,2
"A Sidhu","2022","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,0,0,NA,NA,0,0,1,0,0,0
"A Sidhu","2023","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,1,11,9.09090909090909,1,0,0,0,0,0,1
"A Sidhu","2024","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,9,29,31.0344827586207,9,1,0,0,0,0,9
"A Thyagarajan","2010","ICC World Cricket League Americas Region Division One","United States of America",2,33,59,55.9322033898305,16.5,2,0,0,0,0,33
"A Thyagarajan","2010","ICC World Cricket League Division Four","United States of America",2,106,165,64.2424242424242,106,14,0,1,1,0,102
"A Thyagarajan","2012","ICC World Cricket League Division Four","United States of America",3,33,61,54.0983606557377,11,2,0,0,0,0,21
"A Thyagarajan","2014/15","ICC World Cricket League Division Three","United States of America",4,42,83,50.6024096385542,14,3,1,1,0,0,18
"A Vala","2015","ICC World Cricket League Championship","Papua New Guinea",1,25,33,75.7575757575758,25,4,0,0,0,0,25
"A Vala","2015/16","ICC World Cricket League Championship","Papua New Guinea",2,105,127,82.6771653543307,52.5,9,0,0,0,1,87
"A Vala","2015/16","Oman tour of United Arab Emirates","Papua New Guinea",1,31,37,83.7837837837838,31,2,0,0,0,0,31
"A Vala","2016","ICC World Cricket League Championship","Papua New Guinea",2,82,86,95.3488372093023,82,9,0,1,0,1,69
"A Vala","2016/17","ICC World Cricket League Championship","Papua New Guinea",2,71,88,80.6818181818182,35.5,1,1,0,0,1,55
"A Vala","2017/18","ICC Cricket World Cup Qualifier","Papua New Guinea",2,54,65,83.0769230769231,27,7,0,0,0,0,44
"A Vala","2019","ICC World Cricket League Division Two","Papua New Guinea",5,125,194,64.4329896907217,25,9,3,0,0,1,82
"A Venkatesh","2017","ICC World Cricket League Europe Region Division One","Sweden",1,51,52,98.0769230769231,51,6,0,0,0,1,51
"A Vijayan","2015/16","Stan Nagaiah Trophy","Singapore",1,26,25,104,26,2,1,0,0,0,26
"A Virdi","2022","Royal London One-Day Cup","Surrey",5,28,56,50,5.6,2,0,0,0,0,8
"A Virdi","2023","One-Day Cup","Surrey",3,3,5,60,3,0,0,2,0,0,3
"A Wright","2015","ICC World Cricket League Division Six","Cayman Islands",1,0,2,0,NA,0,0,1,0,0,0
"AA Jasani","2016","ICC World Cricket League Division Five","Tanzania",4,14,80,17.5,3.5,0,0,0,0,0,6
"AA Obanda","2012/13","ICC World Cricket League Championship","Kenya",2,89,93,95.6989247311828,44.5,7,4,0,0,1,71
"AA Obanda","2014/15","ICC World Cricket League Division Two","Kenya",4,96,128,75,24,10,2,0,0,0,45
"AA Obanda","2015/16","ICC World Cricket League Championship","Kenya",2,66,95,69.4736842105263,33,8,1,0,0,1,52
"AA Obanda","2016/17","ICC World Cricket League Championship","Kenya",3,49,54,90.7407407407407,16.3333333333333,2,2,0,0,0,39
"AA Obanda","2017/18","ICC World Cricket League Championship","Kenya",3,41,87,47.1264367816092,13.6666666666667,5,0,0,0,0,19
"AA Obanda","2017/18","ICC World Cricket League Division Two","Kenya",6,123,177,69.4915254237288,20.5,12,2,0,0,0,41
"AA Obanda","2018/19","ICC World Cricket League Division Three","Kenya",4,93,117,79.4871794871795,23.25,11,3,0,0,1,59
"AA Obanda","2022","CWC Challenge League","Kenya",7,202,217,93.0875576036866,28.8571428571429,17,13,0,1,0,115
"AA Onikoyi","2013/14","ICC World Cricket League Division Five","Nigeria",1,25,19,131.578947368421,25,4,1,0,0,0,25
"AA Onikoyi","2016","ICC World Cricket League Division Five","Nigeria",2,26,20,130,13,1,2,0,0,0,19
"AA Premji","2017","ICC World Cricket League Africa Region Qualifiers","Tanzania",1,6,18,33.3333333333333,Inf,1,0,1,0,0,6
"AAA Amsterdam","2016/17","ICC World Cricket League Division Four","United States of America",5,213,276,77.1739130434783,53.25,21,2,1,1,1,102
"AAA Amsterdam","2017","ICC World Cricket League Division Three","United States of America",2,65,107,60.7476635514019,65,7,0,1,0,0,41
"AAP Atkinson","2021","Royal London One-Day Cup","Surrey",1,15,5,300,15,0,2,0,0,0,15
"AAhan Achar","2018/19","ICC World Cricket League Division Three","Singapore",1,0,0,NA,NA,0,0,1,0,0,0
"AAhan Achar","2019","CWC Challenge League","Singapore",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"AB Chawla","2012","ICC World Cricket League Division Four","Denmark",4,34,36,94.4444444444444,11.3333333333333,7,0,1,0,0,14
"AC Douglas","2014/15","ICC World Cricket League Division Three","Bermuda",5,54,76,71.0526315789474,10.8,2,5,0,0,0,36
"AC Evans","2017","ICC World Cricket League Championship","Scotland",1,15,16,93.75,Inf,2,0,1,0,0,15
"AC Lenham","2021","Royal London One-Day Cup","Sussex",5,47,57,82.4561403508772,15.6666666666667,3,1,2,0,0,16
"AC Lenham","2022","Royal London One-Day Cup","Sussex",3,24,25,96,24,2,0,2,0,0,18
"AC Lenham","2023","One-Day Cup","Sussex",1,1,1,100,Inf,0,0,1,0,0,1
"AC Thomas","2014","Royal London One-Day Cup","Somerset",4,87,76,114.473684210526,87,12,0,3,0,0,49
"AC Thomas","2015","Royal London One-Day Cup","Sussex",4,54,63,85.7142857142857,54,4,1,3,0,0,32
"AC Voges","2016","Royal London One-Day Cup","Middlesex",1,2,4,50,Inf,0,0,1,0,0,2
"AC Voges","2017","Royal London One-Day Cup","Middlesex",7,247,321,76.9470404984424,35.2857142857143,25,0,0,0,1,81
"AD Hales","2014","Royal London One-Day Cup","Nottinghamshire",5,384,320,120,76.8,45,10,0,3,0,141
"AD Hales","2015","Royal London One-Day Cup","Nottinghamshire",9,401,351,114.245014245014,44.5555555555556,40,18,0,1,3,103
"AD Hales","2017","Royal London One-Day Cup","Nottinghamshire",7,434,410,105.853658536585,72.3333333333333,50,9,1,2,1,187
"AD Hales","2018","Royal London One-Day Cup","Nottinghamshire",3,38,63,60.3174603174603,12.6666666666667,5,0,0,0,0,21
"AD Hales","2019","Royal London One-Day Cup","Nottinghamshire",2,90,94,95.7446808510638,45,12,1,0,0,1,54
"AD Kamania","2016","ICC World Cricket League Division Five","Tanzania",3,15,59,25.4237288135593,5,1,0,0,0,0,9
"AD Kamania","2017","ICC World Cricket League Africa Region Qualifiers","Tanzania",1,1,1,100,Inf,0,0,1,0,0,1
"AD Poynter","2016","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",2,109,112,97.3214285714286,109,13,2,1,0,2,56
"AD Thomason","2014","Royal London One-Day Cup","Warwickshire",1,0,0,NA,NA,0,0,1,0,0,0
"AD Thomason","2017","Royal London One-Day Cup","Warwickshire",7,105,113,92.9203539823009,21,7,2,2,0,0,28
"AD Thomason","2018","Royal London One-Day Cup","Warwickshire",4,48,51,94.1176470588235,24,4,1,2,0,0,15
"AD Thomason","2019","Royal London One-Day Cup","Warwickshire",1,23,15,153.333333333333,Inf,1,1,1,0,0,23
"AD de Lange","2014","Asian Cricket Council Elite League","Singapore",1,25,49,51.0204081632653,25,4,0,0,0,0,25
"AD de Lange","2014","ICC World Cricket League Division Four","Singapore",4,72,110,65.4545454545455,18,9,1,0,0,0,37
"AE Hall","2013/14","ICC World Cricket League Division Five","Cayman Islands",3,8,22,36.3636363636364,2.66666666666667,1,0,0,0,0,6
"AE Paraam","2012","ICC World Cricket League Division Four","Singapore",6,91,198,45.959595959596,15.1666666666667,6,2,0,0,0,31
"AE Paraam","2014/15","ICC World Cricket League Division Three","Singapore",6,223,303,73.5973597359736,37.1666666666667,15,7,0,0,2,95
"AE Paraam","2017","ICC World Cricket League Division Three","Singapore",4,140,229,61.1353711790393,35,10,1,0,0,1,58
"AE Paraam","2018/19","ICC World Cricket League Division Three","Singapore",5,158,240,65.8333333333333,31.6,12,3,0,0,1,85
"AE Paraam","2022","CWC Challenge League","Singapore",5,252,312,80.7692307692308,84,27,0,2,0,2,93
"AEN Riley","2014","Royal London One-Day Cup","Kent",1,0,1,0,0,0,0,0,0,0,0
"AG Cremer","2017/18","ICC Cricket World Cup Qualifier","Zimbabwe",1,4,5,80,Inf,0,0,1,0,0,4
"AG Dugmore","2010","ICC World Cricket League Division Four","Argentina",3,81,101,80.1980198019802,27,10,0,0,0,1,59
"AG Prince","2014","Royal London One-Day Cup","Lancashire",5,168,207,81.1594202898551,33.6,21,0,0,0,2,69
"AG Prince","2015","Royal London One-Day Cup","Lancashire",7,236,256,92.1875,39.3333333333333,21,3,1,1,1,102
"AG Salter","2014","Royal London One-Day Cup","Glamorgan",5,66,57,115.789473684211,66,10,0,4,0,0,36
"AG Salter","2015","Royal London One-Day Cup","Glamorgan",2,18,44,40.9090909090909,9,1,0,0,0,0,14
"AG Salter","2016","Royal London One-Day Cup","Glamorgan",5,60,48,125,20,2,3,2,0,0,42
"AG Salter","2017","Royal London One-Day Cup","Glamorgan",5,81,101,80.1980198019802,27,6,4,2,0,0,29
"AG Salter","2018","Royal London One-Day Cup","Glamorgan",7,89,89,100,14.8333333333333,5,3,1,0,0,43
"AG Salter","2021","Royal London One-Day Cup","Glamorgan",3,42,28,150,42,3,1,2,0,0,33
"AG Salter","2022","Royal London One-Day Cup","Glamorgan",4,59,87,67.816091954023,29.5,5,1,2,0,0,27
"AG Wakely","2015","Royal London One-Day Cup","Northamptonshire",5,65,99,65.6565656565657,16.25,7,1,1,0,0,31
"AG Wakely","2016","Royal London One-Day Cup","Northamptonshire",8,235,277,84.8375451263538,29.375,19,7,0,0,2,71
"AG Wakely","2017","Royal London One-Day Cup","Northamptonshire",6,247,285,86.6666666666667,49.4,24,1,1,1,1,109
"AG Wakely","2018","Royal London One-Day Cup","Northamptonshire",7,280,323,86.687306501548,40,22,5,0,0,2,79
"AG Wakely","2019","Royal London One-Day Cup","Northamptonshire",8,288,310,92.9032258064516,36,27,2,0,0,3,66
