"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"GKR McKinley",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,30,34,88.2352941176471,30,4,0,1,0,0,17
"GKR McKinley",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,27,27,100,Inf,0,2,1,0,0,27
"GR Adair",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,8,8,100,Inf,0,0,1,0,0,8
"GR Adair",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",5,129,97,132.989690721649,32.25,12,7,1,0,0,47
"GR Adair",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",6,109,109,100,21.8,10,5,1,0,1,76
"Gavin Roulston",2024,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,6,17,35.2941176470588,6,1,0,0,0,0,6
"H Dyer",2024,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,2,20,10,2,0,0,0,0,0,2
"H Zimmerman",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,3,5,60,Inf,0,0,1,0,0,3
"H Zimmerman",2024,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,6,13,46.1538461538462,6,0,0,0,0,0,6
"HT Tector",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",4,171,226,75.6637168141593,57,17,1,1,0,2,84
"HT Tector",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",6,202,212,95.2830188679245,50.5,20,4,2,0,1,57
"HT Tector",2020,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,31,50,62,15.5,4,0,0,0,0,20
"HT Tector",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",5,129,209,61.7224880382775,25.8,9,0,0,0,1,57
"HT Tector",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,171,203,84.2364532019704,85.5,16,5,2,0,2,92
"HT Tector",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",3,14,29,48.2758620689655,4.66666666666667,2,0,0,0,0,13
"ISS Samarasooriya",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,77,95,81.0526315789474,77,13,0,0,0,1,77
"Imran Butt",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,7,15,46.6666666666667,7,1,0,0,0,0,7
"J Anderson",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",3,88,122,72.1311475409836,29.3333333333333,12,0,0,0,1,78
"J Anderson",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,113,145,77.9310344827586,28.25,12,0,0,0,0,40
"J Anderson",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",3,78,128,60.9375,26,7,0,0,0,1,75
"J Barnes",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,9,10,90,9,2,0,0,0,0,9
"J Cameron-Dow",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,2,15,13.3333333333333,2,0,0,0,0,0,2
"J Cameron-Dow",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,25,41,60.9756097560976,12.5,2,0,0,0,0,22
"J Carty",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Munster Reds",4,129,216,59.7222222222222,43,5,2,1,0,1,97
"J Carty",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,23,36,63.8888888888889,23,5,0,0,0,0,23
"J Grassi",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,0,2,0,0,0,0,0,0,0,0
"J Grassi",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,158,271,58.3025830258303,39.5,14,4,0,0,1,82
"J Holmes",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,41,82,50,41,3,0,0,0,0,41
"J Little",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,2,4,50,Inf,0,0,1,0,0,2
"J Little",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,4,7,57.1428571428571,4,1,0,0,0,0,4
"J Little",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,22,19,115.789473684211,22,0,1,0,0,0,22
"J Little",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",2,20,30,66.6666666666667,20,1,0,1,0,0,13
"J Manley",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"J Manley",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Munster Reds",2,0,5,0,NA,0,0,2,0,0,0
"J Manley",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",4,27,89,30.3370786516854,9,1,0,1,0,0,10
"J Manley",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Munster Reds",2,46,57,80.7017543859649,46,6,1,1,0,0,44
"J Manley",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,10,5,200,Inf,0,1,1,0,0,10
"J Matchett",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,29,17,170.588235294118,29,2,1,1,0,0,20
"J Matchett",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,25,39,64.1025641025641,12.5,2,1,0,0,0,18
"J Mulder",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,31,30,103.333333333333,31,0,2,0,0,0,31
"J Mulder",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,8,17,47.0588235294118,4,1,0,0,0,0,7
"J Mulder",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",3,29,42,69.0476190476191,9.66666666666667,3,0,0,0,0,17
"J Mulder",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",3,28,40,70,14,1,0,1,0,0,28
"J Mulder",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"J Neill",2024,"Cricket Ireland Inter-Provincial Limited Over Cup","Munster Reds",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"J Robinson",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",3,9,8,112.5,4.5,0,1,1,0,0,8
"J Theron",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,4,18,22.2222222222222,4,1,0,0,0,0,4
"J Thompson",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",3,85,98,86.734693877551,42.5,6,5,1,0,1,51
"J Wilson",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",3,51,66,77.2727272727273,25.5,4,2,1,0,0,21
"J Wilson",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",4,64,88,72.7272727272727,16,4,2,0,0,0,29
"J Wilson",2024,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,18,31,58.0645161290323,18,2,0,0,0,0,18
"JA McCollum",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,23,38,60.5263157894737,11.5,2,1,0,0,0,13
"JA McCollum",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",3,55,88,62.5,18.3333333333333,8,0,0,0,0,42
"JA McCollum",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",4,32,53,60.377358490566,8,7,0,0,0,0,12
"JA McCollum",2020,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,81,111,72.972972972973,40.5,8,1,0,0,1,60
"JA McCollum",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",4,19,34,55.8823529411765,4.75,2,0,0,0,0,14
"JA McCollum",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",5,155,240,64.5833333333333,31,16,0,0,0,1,53
"JA McCollum",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",4,58,74,78.3783783783784,14.5,8,1,0,0,0,30
"JA McCollum",2024,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,33,47,70.2127659574468,33,4,0,0,0,0,33
"JB Tector",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,3,6,50,3,0,0,0,0,0,3
"JB Tector",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",3,118,163,72.3926380368098,39.3333333333333,11,1,0,0,2,58
"JB Tector",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",2,14,26,53.8461538461538,7,2,0,0,0,0,14
"JB Tector",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,136,191,71.2041884816754,34,15,1,0,1,0,110
"JB Tector",2020,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,76,84,90.4761904761905,25.3333333333333,7,1,1,0,1,76
"JB Tector",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",6,89,125,71.2,14.8333333333333,11,1,0,0,0,34
"JB Tector",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,7,24,29.1666666666667,7,1,0,0,0,0,7
"JB Tector",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,39,56,69.6428571428571,39,4,1,0,0,0,39
"JL Lawlor",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",5,230,319,72.1003134796238,57.5,26,2,1,0,2,95
"JL Lawlor",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",4,72,132,54.5454545454545,18,5,1,0,0,0,39
"JM Hunter",2020,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,4,14,28.5714285714286,4,0,0,0,0,0,4
