"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"K Hilton",1,1,7,14.2857142857143,1,0,0,0,0,0,1
"KJ O'Brien",25,688,715,96.2237762237762,36.2105263157895,65,20,6,0,5,89
"KW Magee",1,4,10,40,4,1,0,0,0,0,4
"L McCarthy",7,207,182,113.736263736264,51.75,22,5,3,0,1,74
"L Tucker",26,815,831,98.0746089049338,37.0454545454545,96,17,4,1,6,133
"LC Doherty",3,49,83,59.0361445783133,16.3333333333333,10,0,0,0,0,30
"LI Georgeson",5,317,404,78.4653465346535,63.4,26,7,0,1,2,128
"LT Nelson",4,25,33,75.7575757575758,6.25,4,0,0,0,0,12
"M Burton",1,16,16,100,16,3,0,0,0,0,16
"M Commins",16,622,848,73.3490566037736,41.4666666666667,69,6,1,2,4,125
"M Donegan",3,109,166,65.6626506024096,36.3333333333333,11,2,0,0,1,87
"M Ford",11,254,236,107.627118644068,50.8,23,5,6,0,2,71
"M Frost",4,46,67,68.6567164179104,46,6,0,3,0,0,19
"M Gilmour",1,15,25,60,15,3,0,0,0,0,15
"M Marais",1,66,77,85.7142857142857,66,8,1,0,0,1,66
"M O'Reilly",3,2,15,13.3333333333333,2,0,0,2,0,0,1
"M Topping",6,220,287,76.6550522648084,36.6666666666667,18,5,0,0,1,92
"MC Sorensen",3,28,42,66.6666666666667,9.33333333333333,3,0,0,0,0,25
"MD Poskitt",2,23,44,52.2727272727273,11.5,2,0,0,0,0,13
"MJ Humphreys",10,55,77,71.4285714285714,6.875,4,3,2,0,0,20
"ML Granger",1,0,3,0,0,0,0,0,0,0,0
"MN Erlank",2,37,52,71.1538461538462,18.5,3,0,0,0,0,28
"MP Ellison",11,284,389,73.0077120822622,25.8181818181818,30,9,0,0,2,87
"MR Adair",22,554,465,119.139784946237,27.7,47,28,2,1,1,108
"MT Foster",10,5,34,14.7058823529412,2.5,0,0,8,0,0,2
"Mansoor Amjad",1,11,17,64.7058823529412,11,2,0,0,0,0,11
"NA Rock",22,631,558,113.082437275986,35.0555555555556,62,25,4,1,3,102
"ND Laegsgaard",1,17,11,154.545454545455,17,1,2,0,0,0,17
"NG Jones",1,2,6,33.3333333333333,2,0,0,0,0,0,2
"NJ McGuire",10,166,199,83.4170854271357,20.75,16,6,2,0,1,53
"NJ O'Brien",5,139,221,62.89592760181,69.5,13,2,3,0,2,57
"NL Smith",8,176,229,76.8558951965066,25.1428571428571,23,1,1,0,0,40
"Nathan Smith",3,15,17,88.2352941176471,7.5,0,0,1,0,0,9
"O Williams",2,100,87,114.942528735632,50,11,2,0,0,1,85
"OG Metcalfe",1,49,58,84.4827586206897,49,8,1,0,0,0,49
"PA Eakin",1,16,15,106.666666666667,16,0,1,0,0,0,16
"PJ Moor",17,394,426,92.4882629107981,26.2666666666667,39,16,2,1,1,152
"PKD Chase",5,8,25,32,2.66666666666667,0,0,2,0,0,3
"PL le Roux",1,0,1,0,0,0,0,0,0,0,0
"PR Stirling",9,268,235,114.042553191489,29.7777777777778,33,11,0,0,2,66
"PS Eaglestone",1,2,7,28.5714285714286,2,0,0,0,0,0,2
"R Allen",10,45,84,53.5714285714286,6.42857142857143,0,1,3,0,0,9
"R Joyce",2,12,28,42.8571428571429,12,1,0,1,0,0,7
"R MacBeth",9,96,101,95.049504950495,32,10,3,6,0,0,29
"R Pretorius",18,470,636,73.8993710691824,26.1111111111111,42,9,0,0,5,96
"R Wilson",3,18,46,39.1304347826087,Inf,2,0,3,0,0,9
"RL Dougherty",6,127,160,79.375,25.4,6,5,1,0,1,60
"RN Gamble",1,0,0,NA,NA,0,0,1,0,0,0
"S Campbell",2,21,46,45.6521739130435,10.5,3,0,0,0,0,20
